date,game_id,book_key,market,player,over_under,value,odds,timestamp,home_team,away_team
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,betmgm,player_points_over_under,alec burks,True,6.5,-130,2023-10-25T23:30:04,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_points_over_under,alec burks,True,8.5,120,2023-10-26T01:40:04,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_points_over_under,alec burks,False,5.5,-160,2023-10-26T01:35:14,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_points_over_under,alec burks,False,6.5,-108,2023-10-26T01:20:06,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_points_over_under,alec burks,False,7.5,-1400,2023-10-26T01:55:20,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_points_over_under,alec burks,False,8.5,-154,2023-10-26T01:40:04,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,alec burks,True,6.5,-145,2023-10-25T23:35:38,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,alec burks,True,8.5,145,2023-10-25T23:35:38,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,alec burks,True,9.5,205,2023-10-25T23:35:38,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,alec burks,True,10.5,285,2023-10-25T23:35:38,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,alec burks,True,4.5,-105,2023-10-26T01:35:04,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_points_over_under,alec burks,True,7.5,300,2023-10-26T01:51:13,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,alec burks,True,6.5,110,2023-10-26T01:35:04,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,alec burks,True,8.5,-110,2023-10-26T00:21:23,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,alec burks,True,9.5,-125,2023-10-26T00:15:04,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,alec burks,False,6.5,110,2023-10-25T23:35:38,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,alec burks,False,8.5,-190,2023-10-25T23:35:38,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,alec burks,False,10.5,-380,2023-10-25T23:35:38,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,alec burks,False,4.5,-125,2023-10-26T01:35:04,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,alec burks,False,6.5,-145,2023-10-26T01:35:04,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,alec burks,False,7.5,-340,2023-10-26T01:55:11,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,alec burks,False,8.5,-120,2023-10-26T00:21:23,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,alec burks,False,9.5,-105,2023-10-26T00:15:04,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,alec burks,True,7.5,240,2023-10-26T01:55:11,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_points_over_under,alec burks,True,6.5,-118,2023-10-26T01:20:06,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_points_over_under,alec burks,True,5.5,124,2023-10-26T01:35:14,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,barstool,player_blocks_over_under,alec burks,False,0.5,-800,2023-10-25T23:45:46,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_assists_over_under,alec burks,True,0.5,920,2023-10-26T01:55:20,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_assists_over_under,alec burks,True,1.5,162,2023-10-26T00:07:33,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_assists_over_under,alec burks,False,0.5,-3500,2023-10-26T01:55:20,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_assists_over_under,alec burks,False,1.5,-220,2023-10-26T00:07:33,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_assists_over_under,alec burks,True,0.5,750,2023-10-26T01:55:11,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_assists_over_under,alec burks,True,1.5,155,2023-10-26T00:10:25,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_assists_over_under,alec burks,False,0.5,-2000,2023-10-26T01:55:11,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_assists_over_under,alec burks,False,1.5,-210,2023-10-26T00:10:25,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,betmgm,player_assists_over_under,alec burks,True,1.5,140,2023-10-25T23:45:04,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,betmgm,player_assists_over_under,alec burks,False,1.5,-190,2023-10-25T23:45:04,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,barstool,player_assists_over_under,alec burks,True,0.5,-200,2023-10-26T00:05:14,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,barstool,player_assists_over_under,alec burks,True,1.5,140,2023-10-26T00:00:05,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,barstool,player_assists_over_under,alec burks,False,0.5,140,2023-10-26T00:05:14,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,barstool,player_assists_over_under,alec burks,False,1.5,-200,2023-10-26T00:00:05,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_blocks_over_under,alec burks,True,0.5,1000,2023-10-26T01:25:16,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_blocks_over_under,alec burks,True,1.5,1000,2023-10-26T01:55:20,Miami Heat,Detroit Pistons
