date,game_id,book_key,market,player,over_under,value,odds,timestamp,home_team,away_team
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,cade cunningham,False,27.5,-115,2023-10-26T00:35:04,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,cade cunningham,True,22.5,-125,2023-10-26T00:15:04,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,cade cunningham,True,20.5,-130,2023-10-25T23:55:08,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,cade cunningham,True,19.5,-105,2023-10-25T23:10:04,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,cade cunningham,True,18.5,-130,2023-10-25T12:30:27,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,cade cunningham,True,22.5,165,2023-10-25T23:35:38,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,cade cunningham,True,21.5,125,2023-10-25T23:35:38,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,cade cunningham,True,20.5,115,2023-10-25T23:10:04,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,cade cunningham,True,19.5,-125,2023-10-25T23:35:38,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,cade cunningham,True,18.5,-170,2023-10-25T23:35:38,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,cade cunningham,True,17.5,-185,2023-10-25T23:10:04,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,draftkings,player_points_over_under,cade cunningham,True,16.5,-215,2023-10-25T12:30:27,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,pinnacle,player_points_over_under,cade cunningham,False,20.5,-112,2023-10-25T23:15:07,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,pinnacle,player_points_over_under,cade cunningham,True,20.5,-118,2023-10-25T23:15:07,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_points_over_under,cade cunningham,False,30.5,-156,2023-10-26T01:55:20,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_points_over_under,cade cunningham,False,28.5,104,2023-10-26T01:51:13,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_points_over_under,cade cunningham,False,27.5,-136,2023-10-26T01:05:14,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_points_over_under,cade cunningham,False,26.5,-104,2023-10-26T01:45:04,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_points_over_under,cade cunningham,False,25.5,-102,2023-10-26T01:30:17,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_points_over_under,cade cunningham,False,24.5,-162,2023-10-26T01:40:04,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_points_over_under,cade cunningham,False,23.5,102,2023-10-26T00:30:33,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_points_over_under,cade cunningham,False,22.5,-118,2023-10-26T00:25:35,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_points_over_under,cade cunningham,False,21.5,100,2023-10-26T00:00:15,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_points_over_under,cade cunningham,False,20.5,-115,2023-10-25T23:56:07,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_points_over_under,cade cunningham,False,19.5,-113,2023-10-25T23:50:19,Miami Heat,Detroit Pistons
2023-10-25,e144f29faba3f74fa2cfcff3a453c9f5,fanduel,player_points_over_under,cade cunningham,True,30.5,122,2023-10-26T01:55:20,Miami Heat,Detroit Pistons
