date,game_id,book_key,market,player,over_under,value,odds,timestamp,home_team,away_team
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,cj mccollum,True,22.5,-110,2023-03-22T00:00:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,cj mccollum,True,19.5,-140,2023-03-22T00:30:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,cj mccollum,True,20.5,-108,2023-03-22T00:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,cj mccollum,True,21.5,-114,2023-03-22T00:45:02,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,cj mccollum,False,13.5,-168,2023-03-22T01:45:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,cj mccollum,False,14.5,-138,2023-03-22T02:00:02,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,cj mccollum,False,15.5,-1000,2023-03-22T02:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,cj mccollum,False,17.5,-154,2023-03-22T01:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,cj mccollum,False,19.5,106,2023-03-22T00:30:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,cj mccollum,False,20.5,-122,2023-03-22T00:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,cj mccollum,False,21.5,-114,2023-03-22T00:45:02,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,cj mccollum,False,22.5,-110,2023-03-22T00:00:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_rebounds_over_under,cj mccollum,True,4.5,-112,2023-03-22T00:00:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_threes_over_under,cj mccollum,False,2.5,-180,2023-03-22T00:30:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_threes_over_under,cj mccollum,False,1.5,-50000,2023-03-22T02:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_threes_over_under,cj mccollum,True,2.5,134,2023-03-22T00:30:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_threes_over_under,cj mccollum,True,1.5,1000,2023-03-22T02:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_steals_over_under,cj mccollum,False,2.5,-100000,2023-03-22T02:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_steals_over_under,cj mccollum,False,1.5,-250,2023-03-22T01:00:02,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_steals_over_under,cj mccollum,False,0.5,118,2023-03-22T00:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_steals_over_under,cj mccollum,True,2.5,1000,2023-03-22T02:00:02,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_steals_over_under,cj mccollum,True,1.5,182,2023-03-22T01:00:02,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_steals_over_under,cj mccollum,True,0.5,-158,2023-03-22T00:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_rebounds_over_under,cj mccollum,False,9.5,-158,2023-03-22T00:45:02,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_rebounds_over_under,cj mccollum,False,8.5,-10000,2023-03-22T02:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_rebounds_over_under,cj mccollum,False,6.5,104,2023-03-22T00:30:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_rebounds_over_under,cj mccollum,False,5.5,-146,2023-03-22T00:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_rebounds_over_under,cj mccollum,False,4.5,-108,2023-03-22T00:00:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_rebounds_over_under,cj mccollum,True,9.5,118,2023-03-22T00:45:02,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_rebounds_over_under,cj mccollum,True,8.5,1000,2023-03-22T02:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,cj mccollum,True,17.5,116,2023-03-22T01:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_rebounds_over_under,cj mccollum,True,6.5,-138,2023-03-22T00:30:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,cj mccollum,True,15.5,520,2023-03-22T02:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,cj mccollum,True,13.5,126,2023-03-22T01:45:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,cj mccollum,True,14.5,104,2023-03-22T02:00:02,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_assists_over_under,cj mccollum,True,3.5,158,2023-03-22T02:00:02,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_assists_over_under,cj mccollum,True,4.5,1000,2023-03-22T02:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_assists_over_under,cj mccollum,True,5.5,158,2023-03-22T01:30:02,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_assists_over_under,cj mccollum,True,6.5,-106,2023-03-22T00:45:02,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_assists_over_under,cj mccollum,False,3.5,-215,2023-03-22T02:00:02,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_rebounds_over_under,cj mccollum,True,5.5,110,2023-03-22T00:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_assists_over_under,cj mccollum,False,5.5,-215,2023-03-22T01:30:02,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_assists_over_under,cj mccollum,False,6.5,-125,2023-03-22T00:45:02,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_blocks_over_under,cj mccollum,True,0.5,1000,2023-03-22T01:45:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_blocks_over_under,cj mccollum,False,0.5,-100000,2023-03-22T02:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_assists_over_under,cj mccollum,False,4.5,-7000,2023-03-22T02:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-23,f9b71bab32ff82972352f88176eb8194,fanduel,player_points_over_under,cj mccollum,True,19.5,-178,2023-03-24T02:00:02,New Orleans Pelicans,Charlotte Hornets
