date,game_id,book_key,market,player,over_under,value,odds,timestamp,home_team,away_team
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_threes_over_under,clint capela,True,0.5,1000,2023-03-21T23:45:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_points_over_under,clint capela,False,9.5,-188,2023-03-22T01:30:02,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_points_over_under,clint capela,False,8.5,116,2023-03-22T00:30:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_points_over_under,clint capela,False,7.5,-104,2023-03-22T01:00:02,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_points_over_under,clint capela,True,12.5,-118,2023-03-22T01:45:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_points_over_under,clint capela,True,11.5,-115,2023-03-21T23:00:02,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_points_over_under,clint capela,True,9.5,140,2023-03-22T01:30:02,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_points_over_under,clint capela,True,8.5,-154,2023-03-22T00:30:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_points_over_under,clint capela,False,10.5,-120,2023-03-21T23:45:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_points_over_under,clint capela,True,7.5,-128,2023-03-22T01:00:02,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_blocks_over_under,clint capela,False,0.5,-114,2023-03-22T00:45:02,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_blocks_over_under,clint capela,True,1.5,800,2023-03-22T01:45:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_blocks_over_under,clint capela,True,0.5,-118,2023-03-22T00:45:02,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_assists_over_under,clint capela,False,0.5,-3500,2023-03-22T01:45:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_assists_over_under,clint capela,True,0.5,920,2023-03-22T01:45:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_threes_over_under,clint capela,False,0.5,-100000,2023-03-21T23:45:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_steals_over_under,clint capela,False,2.5,-4000,2023-03-22T01:45:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_blocks_over_under,clint capela,False,1.5,-2200,2023-03-22T01:45:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_points_over_under,clint capela,False,11.5,-105,2023-03-21T23:00:02,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_points_over_under,clint capela,True,10.5,-110,2023-03-21T23:45:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_rebounds_over_under,clint capela,True,10.5,-132,2023-03-21T16:15:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_steals_over_under,clint capela,False,1.5,-800,2023-03-22T01:15:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_points_over_under,clint capela,False,12.5,-112,2023-03-22T01:45:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_steals_over_under,clint capela,True,2.5,1000,2023-03-22T01:45:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_steals_over_under,clint capela,True,1.5,450,2023-03-22T01:15:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_steals_over_under,clint capela,True,0.5,-148,2023-03-21T23:45:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_rebounds_over_under,clint capela,False,17.5,-198,2023-03-22T01:15:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_rebounds_over_under,clint capela,False,16.5,-102,2023-03-22T01:45:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_rebounds_over_under,clint capela,False,14.5,-102,2023-03-22T00:45:02,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_steals_over_under,clint capela,False,0.5,112,2023-03-21T23:45:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_rebounds_over_under,clint capela,False,11.5,-115,2023-03-21T23:30:02,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_rebounds_over_under,clint capela,False,10.5,104,2023-03-21T16:15:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_rebounds_over_under,clint capela,True,17.5,146,2023-03-22T01:15:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_rebounds_over_under,clint capela,True,16.5,-130,2023-03-22T01:45:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_rebounds_over_under,clint capela,True,14.5,-130,2023-03-22T00:45:02,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_rebounds_over_under,clint capela,True,12.5,114,2023-03-22T00:15:01,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_rebounds_over_under,clint capela,True,11.5,-105,2023-03-21T23:30:02,Atlanta Hawks,Detroit Pistons
2023-03-21,a1b9ce0fce5e09325a6d815ae5a02233,fanduel,player_rebounds_over_under,clint capela,False,12.5,-152,2023-03-22T00:15:01,Atlanta Hawks,Detroit Pistons
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_points_over_under,clint capela,False,9.5,-102,2023-03-23T01:15:02,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_points_over_under,clint capela,True,13.5,154,2023-03-23T02:00:01,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_points_over_under,clint capela,True,12.5,-166,2023-03-23T02:15:01,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_points_over_under,clint capela,True,11.5,-102,2023-03-23T00:00:01,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_points_over_under,clint capela,True,10.5,-114,2023-03-23T01:00:02,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_points_over_under,clint capela,True,9.5,-130,2023-03-23T01:15:02,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_blocks_over_under,clint capela,False,0.5,-700,2023-03-23T02:15:01,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_assists_over_under,clint capela,False,0.5,-144,2023-03-23T01:00:02,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_assists_over_under,clint capela,False,3.5,-700,2023-03-23T02:15:01,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_assists_over_under,clint capela,False,1.5,-172,2023-03-23T01:15:02,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_assists_over_under,clint capela,True,3.5,410,2023-03-23T02:15:01,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_assists_over_under,clint capela,True,1.5,128,2023-03-23T01:15:02,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_assists_over_under,clint capela,True,0.5,108,2023-03-23T01:00:02,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_points_over_under,clint capela,False,10.5,-114,2023-03-23T01:00:02,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_blocks_over_under,clint capela,True,0.5,410,2023-03-23T02:15:01,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_points_over_under,clint capela,False,11.5,-120,2023-03-23T00:00:01,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_points_over_under,clint capela,False,12.5,124,2023-03-23T02:15:01,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_points_over_under,clint capela,False,13.5,-210,2023-03-23T02:00:01,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_threes_over_under,clint capela,True,0.5,1000,2023-03-23T00:15:02,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_steals_over_under,clint capela,False,0.5,-1100,2023-03-23T02:15:01,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_steals_over_under,clint capela,True,0.5,550,2023-03-23T02:15:01,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_rebounds_over_under,clint capela,False,13.5,-128,2023-03-23T00:45:01,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_rebounds_over_under,clint capela,False,12.5,102,2023-03-23T01:00:02,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_rebounds_over_under,clint capela,False,11.5,116,2023-03-23T01:15:02,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_rebounds_over_under,clint capela,False,10.5,-130,2023-03-23T01:30:01,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_threes_over_under,clint capela,False,0.5,-100000,2023-03-23T00:15:02,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_rebounds_over_under,clint capela,False,8.5,132,2023-03-23T02:15:01,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_rebounds_over_under,clint capela,True,13.5,-104,2023-03-23T00:45:01,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_rebounds_over_under,clint capela,True,12.5,-136,2023-03-23T01:00:02,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_rebounds_over_under,clint capela,True,11.5,-154,2023-03-23T01:15:02,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_rebounds_over_under,clint capela,True,10.5,-102,2023-03-23T01:30:01,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_rebounds_over_under,clint capela,True,9.5,142,2023-03-23T01:45:02,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_rebounds_over_under,clint capela,True,8.5,-178,2023-03-23T02:15:01,Minnesota Timberwolves,Atlanta Hawks
2023-03-22,f5a7269478af52df731f40b910673b5c,fanduel,player_rebounds_over_under,clint capela,False,9.5,-192,2023-03-23T01:45:02,Minnesota Timberwolves,Atlanta Hawks
2023-03-25,c7d580c181e83c84596e36eb06afe5ae,fanduel,player_points_over_under,clint capela,False,17.5,-118,2023-03-25T22:30:02,Atlanta Hawks,Indiana Pacers
2023-03-25,c7d580c181e83c84596e36eb06afe5ae,fanduel,player_rebounds_over_under,clint capela,True,10.5,-144,2023-03-25T21:15:01,Atlanta Hawks,Indiana Pacers
2023-03-25,c7d580c181e83c84596e36eb06afe5ae,fanduel,player_rebounds_over_under,clint capela,True,11.5,-158,2023-03-25T22:15:01,Atlanta Hawks,Indiana Pacers
2023-03-25,c7d580c181e83c84596e36eb06afe5ae,fanduel,player_rebounds_over_under,clint capela,True,12.5,-108,2023-03-25T22:30:02,Atlanta Hawks,Indiana Pacers
2023-03-25,c7d580c181e83c84596e36eb06afe5ae,fanduel,player_rebounds_over_under,clint capela,True,14.5,-108,2023-03-25T23:00:01,Atlanta Hawks,Indiana Pacers
2023-03-25,c7d580c181e83c84596e36eb06afe5ae,fanduel,player_rebounds_over_under,clint capela,True,16.5,110,2023-03-25T22:45:01,Atlanta Hawks,Indiana Pacers
2023-03-25,c7d580c181e83c84596e36eb06afe5ae,fanduel,player_rebounds_over_under,clint capela,False,10.5,108,2023-03-25T21:15:01,Atlanta Hawks,Indiana Pacers
2023-03-25,c7d580c181e83c84596e36eb06afe5ae,fanduel,player_rebounds_over_under,clint capela,False,16.5,-146,2023-03-25T22:45:01,Atlanta Hawks,Indiana Pacers
2023-03-25,c7d580c181e83c84596e36eb06afe5ae,fanduel,player_rebounds_over_under,clint capela,False,12.5,-122,2023-03-25T22:30:02,Atlanta Hawks,Indiana Pacers
2023-03-25,c7d580c181e83c84596e36eb06afe5ae,fanduel,player_rebounds_over_under,clint capela,False,14.5,-122,2023-03-25T23:00:01,Atlanta Hawks,Indiana Pacers
2023-03-25,c7d580c181e83c84596e36eb06afe5ae,fanduel,player_steals_over_under,clint capela,True,0.5,640,2023-03-25T23:00:01,Atlanta Hawks,Indiana Pacers
2023-03-25,c7d580c181e83c84596e36eb06afe5ae,fanduel,player_steals_over_under,clint capela,False,0.5,-1450,2023-03-25T23:00:01,Atlanta Hawks,Indiana Pacers
