date,game_id,book_key,market,player,over_under,value,odds,timestamp,home_team,away_team
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_points_over_under,desmond bane,True,21.5,100,2023-03-21T00:30:02,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_assists_over_under,desmond bane,True,4.5,-102,2023-03-21T00:15:02,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_assists_over_under,desmond bane,True,5.5,114,2023-03-21T00:00:02,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_assists_over_under,desmond bane,False,2.5,-146,2023-03-21T02:15:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_assists_over_under,desmond bane,False,3.5,-138,2023-03-21T01:45:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_assists_over_under,desmond bane,False,4.5,-130,2023-03-21T00:15:02,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_assists_over_under,desmond bane,False,5.5,-140,2023-03-21T00:00:02,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_blocks_over_under,desmond bane,True,0.5,1000,2023-03-21T02:15:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_blocks_over_under,desmond bane,False,0.5,-5000,2023-03-21T02:15:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_points_over_under,desmond bane,True,17.5,-128,2023-03-21T02:15:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_points_over_under,desmond bane,True,18.5,-125,2023-03-21T01:30:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_points_over_under,desmond bane,True,19.5,-160,2023-03-21T02:00:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_points_over_under,desmond bane,True,20.5,106,2023-03-21T01:15:02,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_threes_over_under,desmond bane,False,2.5,-168,2023-03-21T00:15:02,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_threes_over_under,desmond bane,False,1.5,-350,2023-03-21T02:15:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_threes_over_under,desmond bane,False,0.5,108,2023-03-21T01:45:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_threes_over_under,desmond bane,True,2.5,126,2023-03-21T00:15:02,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_threes_over_under,desmond bane,True,1.5,240,2023-03-21T02:15:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_points_over_under,desmond bane,False,22.5,-130,2023-03-21T01:00:02,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_points_over_under,desmond bane,False,23.5,102,2023-03-21T00:45:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_rebounds_over_under,desmond bane,True,4.5,-122,2023-03-21T01:45:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_rebounds_over_under,desmond bane,True,5.5,-106,2023-03-21T02:15:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_rebounds_over_under,desmond bane,True,6.5,174,2023-03-21T02:00:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_rebounds_over_under,desmond bane,False,4.5,-108,2023-03-21T01:45:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_assists_over_under,desmond bane,True,3.5,104,2023-03-21T01:45:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_rebounds_over_under,desmond bane,False,5.5,-125,2023-03-21T02:15:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_rebounds_over_under,desmond bane,False,6.5,-240,2023-03-21T02:00:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_steals_over_under,desmond bane,True,0.5,-154,2023-03-21T00:30:02,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_steals_over_under,desmond bane,True,1.5,630,2023-03-21T02:15:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_steals_over_under,desmond bane,False,0.5,116,2023-03-21T00:30:02,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_steals_over_under,desmond bane,False,1.5,-1400,2023-03-21T02:15:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_threes_over_under,desmond bane,True,0.5,-144,2023-03-21T01:45:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_points_over_under,desmond bane,True,22.5,-102,2023-03-21T01:00:02,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_points_over_under,desmond bane,False,21.5,-132,2023-03-21T00:30:02,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_assists_over_under,desmond bane,True,2.5,110,2023-03-21T02:15:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_points_over_under,desmond bane,False,20.5,-140,2023-03-21T01:15:02,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_points_over_under,desmond bane,True,23.5,-136,2023-03-21T00:45:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_points_over_under,desmond bane,False,17.5,-104,2023-03-21T02:15:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_points_over_under,desmond bane,False,18.5,-104,2023-03-21T01:30:01,Memphis Grizzlies,Dallas Mavericks
2023-03-20,976374cabbe81585f0d8f27bc10b67e5,fanduel,player_points_over_under,desmond bane,False,19.5,120,2023-03-21T02:00:01,Memphis Grizzlies,Dallas Mavericks
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_rebounds_over_under,desmond bane,False,4.5,-108,2023-03-23T00:00:01,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_steals_over_under,desmond bane,True,0.5,110,2023-03-23T01:15:02,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_steals_over_under,desmond bane,True,1.5,400,2023-03-23T02:00:01,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_steals_over_under,desmond bane,False,0.5,-146,2023-03-23T01:15:02,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_steals_over_under,desmond bane,False,1.5,-670,2023-03-23T02:00:01,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_threes_over_under,desmond bane,True,2.5,-160,2023-03-23T00:45:01,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_assists_over_under,desmond bane,False,5.5,-158,2023-03-23T00:45:01,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_threes_over_under,desmond bane,True,3.5,142,2023-03-23T02:00:01,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_assists_over_under,desmond bane,False,3.5,116,2023-03-23T00:30:01,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_assists_over_under,desmond bane,False,4.5,-158,2023-03-23T00:00:01,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_rebounds_over_under,desmond bane,False,3.5,-152,2023-03-23T01:45:02,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_assists_over_under,desmond bane,True,7.5,188,2023-03-23T01:45:02,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_assists_over_under,desmond bane,True,6.5,104,2023-03-23T02:00:01,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_assists_over_under,desmond bane,True,5.5,118,2023-03-23T00:45:01,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_assists_over_under,desmond bane,True,4.5,128,2023-03-23T00:00:01,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_assists_over_under,desmond bane,True,3.5,-154,2023-03-23T00:30:01,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_threes_over_under,desmond bane,False,2.5,120,2023-03-23T00:45:01,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_threes_over_under,desmond bane,True,4.5,110,2023-03-23T01:15:02,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_points_over_under,desmond bane,True,15.5,-110,2023-03-23T01:45:02,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_blocks_over_under,desmond bane,False,1.5,-3500,2023-03-23T02:00:01,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_rebounds_over_under,desmond bane,True,3.5,114,2023-03-23T01:45:02,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_blocks_over_under,desmond bane,False,0.5,-550,2023-03-23T01:15:02,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_blocks_over_under,desmond bane,True,1.5,920,2023-03-23T02:00:01,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_blocks_over_under,desmond bane,True,0.5,350,2023-03-23T01:15:02,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_assists_over_under,desmond bane,False,7.5,-250,2023-03-23T01:45:02,Memphis Grizzlies,Houston Rockets
2023-03-22,fc7a6aa7b313493a91071a7f47079456,fanduel,player_assists_over_under,desmond bane,False,6.5,-138,2023-03-23T02:00:01,Memphis Grizzlies,Houston Rockets
