date,game_id,book_key,market,player,over_under,value,odds,timestamp,home_team,away_team
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_threes_over_under,gordon hayward,False,1.5,-260,2023-03-20T13:30:01,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_assists_over_under,gordon hayward,True,4.5,116,2023-03-21T00:30:02,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_assists_over_under,gordon hayward,True,5.5,-122,2023-03-21T01:15:02,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_assists_over_under,gordon hayward,False,4.5,-154,2023-03-21T00:30:02,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_assists_over_under,gordon hayward,False,5.5,-108,2023-03-21T01:15:02,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_blocks_over_under,gordon hayward,True,0.5,1000,2023-03-21T01:15:02,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_blocks_over_under,gordon hayward,False,0.5,-7000,2023-03-21T01:15:02,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_points_over_under,gordon hayward,True,14.5,-210,2023-03-21T01:15:02,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_points_over_under,gordon hayward,True,15.5,122,2023-03-21T00:45:01,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_points_over_under,gordon hayward,True,16.5,-108,2023-03-21T01:00:02,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_points_over_under,gordon hayward,True,18.5,116,2023-03-21T00:30:02,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_points_over_under,gordon hayward,False,14.5,154,2023-03-21T01:15:02,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_points_over_under,gordon hayward,False,15.5,-162,2023-03-21T00:45:01,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_points_over_under,gordon hayward,False,16.5,-122,2023-03-21T01:00:02,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_threes_over_under,gordon hayward,False,0.5,-1100,2023-03-21T01:15:02,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_rebounds_over_under,gordon hayward,True,2.5,-102,2023-03-21T01:15:02,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_threes_over_under,gordon hayward,True,1.5,196,2023-03-20T13:30:01,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_threes_over_under,gordon hayward,True,0.5,550,2023-03-21T01:15:02,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_steals_over_under,gordon hayward,False,1.5,-1000,2023-03-21T01:15:02,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_points_over_under,gordon hayward,False,18.5,-158,2023-03-21T00:30:02,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_steals_over_under,gordon hayward,True,1.5,520,2023-03-21T01:15:02,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_steals_over_under,gordon hayward,False,0.5,-102,2023-03-20T23:45:02,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_rebounds_over_under,gordon hayward,False,4.5,-162,2023-03-20T23:15:01,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_rebounds_over_under,gordon hayward,False,3.5,-192,2023-03-20T23:45:02,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_rebounds_over_under,gordon hayward,False,2.5,-130,2023-03-21T01:15:02,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_rebounds_over_under,gordon hayward,True,4.5,122,2023-03-20T23:15:01,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_rebounds_over_under,gordon hayward,True,3.5,142,2023-03-20T23:45:02,Charlotte Hornets,Indiana Pacers
2023-03-20,8d93fb92ce14f790a09add47ef4d5f8b,fanduel,player_steals_over_under,gordon hayward,True,0.5,-130,2023-03-20T23:45:02,Charlotte Hornets,Indiana Pacers
2023-03-24,45b0e1b9f5d525eea1791f14bbdfe8ae,fanduel,player_assists_over_under,gordon hayward,False,5.5,118,2023-03-25T01:30:01,Dallas Mavericks,Charlotte Hornets
2023-03-24,45b0e1b9f5d525eea1791f14bbdfe8ae,fanduel,player_assists_over_under,gordon hayward,False,4.5,-122,2023-03-25T00:45:01,Dallas Mavericks,Charlotte Hornets
2023-03-24,45b0e1b9f5d525eea1791f14bbdfe8ae,fanduel,player_assists_over_under,gordon hayward,True,9.5,132,2023-03-25T02:15:01,Dallas Mavericks,Charlotte Hornets
2023-03-24,45b0e1b9f5d525eea1791f14bbdfe8ae,fanduel,player_assists_over_under,gordon hayward,True,8.5,-260,2023-03-25T02:30:01,Dallas Mavericks,Charlotte Hornets
2023-03-24,f9b71bab32ff82972352f88176eb8194,fanduel,player_threes_over_under,gordon hayward,False,0.5,108,2023-03-24T00:45:01,New Orleans Pelicans,Charlotte Hornets
2023-03-24,45b0e1b9f5d525eea1791f14bbdfe8ae,fanduel,player_assists_over_under,gordon hayward,True,6.5,104,2023-03-25T01:45:02,Dallas Mavericks,Charlotte Hornets
