date,game_id,book_key,market,player,over_under,value,odds,timestamp,home_team,away_team
2023-03-19,a91b3fe8fb3af636c3c07f332f35fbb9,fanduel,player_points_over_under,grayson allen,True,4.5,-110,2023-03-20T01:45:01,Milwaukee Bucks,Toronto Raptors
2023-03-19,a91b3fe8fb3af636c3c07f332f35fbb9,fanduel,player_assists_over_under,grayson allen,True,0.5,550,2023-03-20T02:00:01,Milwaukee Bucks,Toronto Raptors
2023-03-19,a91b3fe8fb3af636c3c07f332f35fbb9,fanduel,player_assists_over_under,grayson allen,True,1.5,182,2023-03-20T00:45:01,Milwaukee Bucks,Toronto Raptors
2023-03-19,a91b3fe8fb3af636c3c07f332f35fbb9,fanduel,player_assists_over_under,grayson allen,False,0.5,-1100,2023-03-20T02:00:01,Milwaukee Bucks,Toronto Raptors
2023-03-19,a91b3fe8fb3af636c3c07f332f35fbb9,fanduel,player_assists_over_under,grayson allen,False,1.5,-250,2023-03-20T00:45:01,Milwaukee Bucks,Toronto Raptors
2023-03-19,a91b3fe8fb3af636c3c07f332f35fbb9,fanduel,player_blocks_over_under,grayson allen,True,0.5,1000,2023-03-20T01:30:01,Milwaukee Bucks,Toronto Raptors
2023-03-19,a91b3fe8fb3af636c3c07f332f35fbb9,fanduel,player_blocks_over_under,grayson allen,False,0.5,-100000,2023-03-20T02:00:01,Milwaukee Bucks,Toronto Raptors
2023-03-19,a91b3fe8fb3af636c3c07f332f35fbb9,fanduel,player_points_over_under,grayson allen,True,2.5,-118,2023-03-20T02:00:01,Milwaukee Bucks,Toronto Raptors
2023-03-19,a91b3fe8fb3af636c3c07f332f35fbb9,fanduel,player_points_over_under,grayson allen,True,6.5,-112,2023-03-20T01:15:02,Milwaukee Bucks,Toronto Raptors
2023-03-19,a91b3fe8fb3af636c3c07f332f35fbb9,fanduel,player_points_over_under,grayson allen,True,7.5,-162,2023-03-20T00:45:01,Milwaukee Bucks,Toronto Raptors
2023-03-19,a91b3fe8fb3af636c3c07f332f35fbb9,fanduel,player_points_over_under,grayson allen,True,8.5,100,2023-03-20T00:15:02,Milwaukee Bucks,Toronto Raptors
2023-03-19,a91b3fe8fb3af636c3c07f332f35fbb9,fanduel,player_points_over_under,grayson allen,True,9.5,102,2023-03-20T00:00:02,Milwaukee Bucks,Toronto Raptors
2023-03-19,a91b3fe8fb3af636c3c07f332f35fbb9,fanduel,player_points_over_under,grayson allen,False,4.5,-120,2023-03-20T01:45:01,Milwaukee Bucks,Toronto Raptors
2023-03-19,a91b3fe8fb3af636c3c07f332f35fbb9,fanduel,player_points_over_under,grayson allen,False,6.5,-118,2023-03-20T01:15:02,Milwaukee Bucks,Toronto Raptors
