date,game_id,book_key,market,player,over_under,value,odds,timestamp,home_team,away_team
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_assists_over_under,jaylin williams,True,0.5,-166,2023-03-22T03:15:01,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_assists_over_under,jaylin williams,True,1.5,1000,2023-03-22T04:45:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_threes_over_under,jaylin williams,False,2.5,-10000,2023-03-22T04:45:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_threes_over_under,jaylin williams,False,0.5,-130,2023-03-22T03:15:01,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_threes_over_under,jaylin williams,True,2.5,1000,2023-03-22T04:45:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_threes_over_under,jaylin williams,True,0.5,-102,2023-03-22T03:15:01,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_steals_over_under,jaylin williams,False,0.5,-50000,2023-03-22T04:45:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_steals_over_under,jaylin williams,True,0.5,1000,2023-03-22T04:45:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_rebounds_over_under,jaylin williams,False,5.5,-142,2023-03-21T22:00:01,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_rebounds_over_under,jaylin williams,False,3.5,-130,2023-03-22T04:15:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_rebounds_over_under,jaylin williams,False,2.5,-1000,2023-03-22T04:45:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_rebounds_over_under,jaylin williams,True,5.5,116,2023-03-21T22:00:01,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_rebounds_over_under,jaylin williams,True,4.5,118,2023-03-22T03:45:01,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_rebounds_over_under,jaylin williams,True,3.5,-102,2023-03-22T04:15:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_rebounds_over_under,jaylin williams,True,2.5,520,2023-03-22T04:45:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_points_over_under,jaylin williams,False,9.5,104,2023-03-22T03:30:02,LA Clippers,Oklahoma City Thunder
