date,game_id,book_key,market,player,over_under,value,odds,timestamp,home_team,away_team
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,josh richardson,True,10.5,580,2023-03-22T02:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_assists_over_under,josh richardson,True,2.5,1000,2023-03-22T02:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_assists_over_under,josh richardson,False,1.5,-112,2023-03-22T00:45:02,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_assists_over_under,josh richardson,False,2.5,-10000,2023-03-22T02:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_blocks_over_under,josh richardson,True,0.5,1000,2023-03-22T02:00:02,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_blocks_over_under,josh richardson,False,0.5,-100000,2023-03-22T02:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,josh richardson,True,8.5,-112,2023-03-21T23:45:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,josh richardson,True,9.5,-144,2023-03-22T00:30:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,josh richardson,True,11.5,140,2023-03-22T02:00:02,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,josh richardson,True,13.5,-125,2023-03-22T01:45:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,josh richardson,True,14.5,-154,2023-03-22T01:30:02,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,josh richardson,False,8.5,-108,2023-03-21T23:45:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,josh richardson,False,9.5,108,2023-03-22T00:30:01,New Orleans Pelicans,San Antonio Spurs
2023-03-21,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,josh richardson,False,10.5,-1200,2023-03-22T02:15:01,New Orleans Pelicans,San Antonio Spurs
