date,game_id,book_key,market,player,over_under,value,odds,timestamp,home_team,away_team
2023-10-25,4eec3d2ccf41b67f09948cb36fceee16,fanduel,player_points_over_under,lamelo ball,True,11.5,-108,2023-10-26T00:30:16,Charlotte Hornets,Atlanta Hawks
2023-10-25,4eec3d2ccf41b67f09948cb36fceee16,draftkings,player_points_over_under,lamelo ball,False,15.5,-320,2023-10-26T01:30:07,Charlotte Hornets,Atlanta Hawks
2023-10-25,4eec3d2ccf41b67f09948cb36fceee16,draftkings,player_points_over_under,lamelo ball,False,14.5,-110,2023-10-26T00:45:04,Charlotte Hornets,Atlanta Hawks
2023-10-25,4eec3d2ccf41b67f09948cb36fceee16,draftkings,player_points_over_under,lamelo ball,False,13.5,-120,2023-10-26T00:10:25,Charlotte Hornets,Atlanta Hawks
2023-10-25,4eec3d2ccf41b67f09948cb36fceee16,draftkings,player_points_over_under,lamelo ball,False,12.5,-130,2023-10-26T00:30:07,Charlotte Hornets,Atlanta Hawks
2023-10-25,4eec3d2ccf41b67f09948cb36fceee16,draftkings,player_points_over_under,lamelo ball,False,11.5,-130,2023-10-26T00:35:04,Charlotte Hornets,Atlanta Hawks
2023-10-25,4eec3d2ccf41b67f09948cb36fceee16,draftkings,player_points_over_under,lamelo ball,False,25.5,-165,2023-10-25T21:26:19,Charlotte Hornets,Atlanta Hawks
2023-10-25,4eec3d2ccf41b67f09948cb36fceee16,draftkings,player_points_over_under,lamelo ball,False,24.5,-135,2023-10-25T21:26:19,Charlotte Hornets,Atlanta Hawks
2023-10-25,4eec3d2ccf41b67f09948cb36fceee16,draftkings,player_points_over_under,lamelo ball,False,22.5,115,2023-10-25T21:26:19,Charlotte Hornets,Atlanta Hawks
2023-10-25,4eec3d2ccf41b67f09948cb36fceee16,draftkings,player_points_over_under,lamelo ball,False,21.5,-200,2023-10-25T23:15:06,Charlotte Hornets,Atlanta Hawks
2023-10-25,4eec3d2ccf41b67f09948cb36fceee16,draftkings,player_points_over_under,lamelo ball,False,20.5,-160,2023-10-25T23:15:06,Charlotte Hornets,Atlanta Hawks
