date,game_id,book_key,market,player,over_under,value,odds,timestamp,home_team,away_team
2023-03-22,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,malaki branham,True,6.5,188,2023-03-22T02:15:01,New Orleans Pelicans,San Antonio Spurs
2023-03-22,f6e96a0ab2043164bd6053627d4f723f,fanduel,player_assists_over_under,malaki branham,False,2.5,-114,2023-03-23T00:00:01,Milwaukee Bucks,San Antonio Spurs
2023-03-22,f6e96a0ab2043164bd6053627d4f723f,fanduel,player_assists_over_under,malaki branham,False,3.5,-420,2023-03-23T02:00:01,Milwaukee Bucks,San Antonio Spurs
2023-03-22,f6e96a0ab2043164bd6053627d4f723f,fanduel,player_assists_over_under,malaki branham,False,4.5,-245,2023-03-23T01:15:02,Milwaukee Bucks,San Antonio Spurs
2023-03-22,f6e96a0ab2043164bd6053627d4f723f,fanduel,player_blocks_over_under,malaki branham,True,0.5,1000,2023-03-23T01:30:01,Milwaukee Bucks,San Antonio Spurs
2023-03-22,f6e96a0ab2043164bd6053627d4f723f,fanduel,player_blocks_over_under,malaki branham,False,0.5,-50000,2023-03-23T02:00:01,Milwaukee Bucks,San Antonio Spurs
2023-03-22,f6e96a0ab2043164bd6053627d4f723f,fanduel,player_points_over_under,malaki branham,True,5.5,154,2023-03-23T02:00:01,Milwaukee Bucks,San Antonio Spurs
2023-03-22,f6e96a0ab2043164bd6053627d4f723f,fanduel,player_points_over_under,malaki branham,True,7.5,110,2023-03-23T01:45:02,Milwaukee Bucks,San Antonio Spurs
2023-03-22,0abd21a65febdc10758f318eb76b50d6,fanduel,player_points_over_under,malaki branham,True,9.5,-158,2023-03-22T01:00:02,New Orleans Pelicans,San Antonio Spurs
2023-03-22,f6e96a0ab2043164bd6053627d4f723f,fanduel,player_points_over_under,malaki branham,True,9.5,-130,2023-03-23T01:15:02,Milwaukee Bucks,San Antonio Spurs
2023-03-22,f6e96a0ab2043164bd6053627d4f723f,fanduel,player_points_over_under,malaki branham,True,11.5,116,2023-03-23T01:00:02,Milwaukee Bucks,San Antonio Spurs
