date,game_id,book_key,market,player,over_under,value,odds,timestamp,home_team,away_team
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_rebounds_over_under,mason plumlee,False,5.5,116,2023-03-20T01:00:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_rebounds_over_under,mason plumlee,True,5.5,-142,2023-03-20T01:00:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_points_over_under,mason plumlee,False,7.5,-105,2023-03-20T01:00:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_points_over_under,mason plumlee,True,7.5,-115,2023-03-20T01:00:01,Portland Trail Blazers,LA Clippers
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_rebounds_over_under,mason plumlee,True,5.5,-144,2023-03-21T23:30:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_rebounds_over_under,mason plumlee,False,6.5,-140,2023-03-22T02:30:01,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_rebounds_over_under,mason plumlee,False,5.5,118,2023-03-21T23:30:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_rebounds_over_under,mason plumlee,True,6.5,114,2023-03-22T02:30:01,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_points_over_under,mason plumlee,False,7.5,-120,2023-03-22T01:30:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_points_over_under,mason plumlee,True,7.5,-102,2023-03-22T01:30:02,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_points_over_under,mason plumlee,True,8.5,-104,2023-03-24T02:15:02,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_points_over_under,mason plumlee,False,8.5,-118,2023-03-24T02:15:02,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_rebounds_over_under,mason plumlee,True,7.5,-110,2023-03-24T02:15:02,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_rebounds_over_under,mason plumlee,False,7.5,-110,2023-03-24T02:15:02,LA Clippers,Oklahoma City Thunder
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_rebounds_over_under,mason plumlee,True,7.5,112,2023-03-25T17:45:02,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_rebounds_over_under,mason plumlee,False,6.5,-105,2023-03-26T02:30:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_points_over_under,mason plumlee,False,7.5,-104,2023-03-26T01:30:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_rebounds_over_under,mason plumlee,True,6.5,-115,2023-03-26T02:30:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_points_over_under,mason plumlee,True,7.5,-118,2023-03-26T02:00:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_rebounds_over_under,mason plumlee,False,7.5,-142,2023-03-25T17:45:02,LA Clippers,New Orleans Pelicans
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_rebounds_over_under,mason plumlee,True,6.5,-130,2023-03-28T02:15:02,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_rebounds_over_under,mason plumlee,False,6.5,106,2023-03-28T02:15:02,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_points_over_under,mason plumlee,True,7.5,-118,2023-03-28T02:30:01,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_points_over_under,mason plumlee,False,7.5,-104,2023-03-28T02:30:01,LA Clippers,Chicago Bulls
2023-03-29,43dee700681adce809f21c74b03f82d0,fanduel,player_points_over_under,mason plumlee,False,8.5,-114,2023-03-30T00:00:01,Memphis Grizzlies,LA Clippers
2023-03-29,43dee700681adce809f21c74b03f82d0,fanduel,player_points_over_under,mason plumlee,True,8.5,-106,2023-03-30T00:00:01,Memphis Grizzlies,LA Clippers
2023-03-29,43dee700681adce809f21c74b03f82d0,fanduel,player_rebounds_over_under,mason plumlee,False,7.5,106,2023-03-30T00:00:01,Memphis Grizzlies,LA Clippers
2023-03-29,43dee700681adce809f21c74b03f82d0,fanduel,player_rebounds_over_under,mason plumlee,True,7.5,-130,2023-03-30T00:00:01,Memphis Grizzlies,LA Clippers
2023-04-01,9903985ef140ac45a2d3644acf8ea5d8,fanduel,player_points_over_under,mason plumlee,True,6.5,108,2023-04-02T00:40:02,New Orleans Pelicans,LA Clippers
