date,game_id,book_key,market,player,over_under,value,odds,timestamp,home_team,away_team
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_points_over_under,nicolas batum,False,6.5,104,2023-03-24T02:30:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_rebounds_over_under,nicolas batum,False,3.5,114,2023-03-24T02:30:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_rebounds_over_under,nicolas batum,True,3.5,-140,2023-03-24T02:30:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_points_over_under,nicolas batum,True,6.5,-128,2023-03-24T02:30:01,LA Clippers,Oklahoma City Thunder
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_rebounds_over_under,nicolas batum,False,3.5,-164,2023-03-25T21:45:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_rebounds_over_under,nicolas batum,False,2.5,132,2023-03-26T02:15:02,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_rebounds_over_under,nicolas batum,True,3.5,134,2023-03-25T21:45:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_rebounds_over_under,nicolas batum,True,2.5,-162,2023-03-26T02:15:02,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_points_over_under,nicolas batum,False,6.5,-130,2023-03-25T22:30:02,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_points_over_under,nicolas batum,False,5.5,104,2023-03-26T02:30:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_points_over_under,nicolas batum,True,6.5,106,2023-03-25T22:30:02,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_points_over_under,nicolas batum,True,5.5,-128,2023-03-26T02:30:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_threes_over_under,nicolas batum,True,1.5,108,2023-03-26T02:15:02,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_threes_over_under,nicolas batum,False,1.5,-136,2023-03-26T02:30:01,LA Clippers,New Orleans Pelicans
