date,game_id,book_key,market,player,over_under,value,odds,timestamp,home_team,away_team
2023-03-22,fb8035881ab1c1f72a44af15d3111e50,fanduel,player_blocks_over_under,oshae brissett,True,0.5,1000,2023-03-23T01:45:02,Toronto Raptors,Indiana Pacers
2023-03-22,fb8035881ab1c1f72a44af15d3111e50,fanduel,player_points_over_under,oshae brissett,True,7.5,-106,2023-03-22T23:30:02,Toronto Raptors,Indiana Pacers
2023-03-22,fb8035881ab1c1f72a44af15d3111e50,fanduel,player_points_over_under,oshae brissett,True,8.5,118,2023-03-23T01:30:01,Toronto Raptors,Indiana Pacers
2023-03-22,fb8035881ab1c1f72a44af15d3111e50,fanduel,player_points_over_under,oshae brissett,True,9.5,240,2023-03-23T01:45:02,Toronto Raptors,Indiana Pacers
2023-03-22,fb8035881ab1c1f72a44af15d3111e50,fanduel,player_points_over_under,oshae brissett,True,10.5,-140,2023-03-23T00:45:01,Toronto Raptors,Indiana Pacers
2023-03-22,fb8035881ab1c1f72a44af15d3111e50,fanduel,player_points_over_under,oshae brissett,False,7.5,-114,2023-03-22T23:30:02,Toronto Raptors,Indiana Pacers
2023-03-22,fb8035881ab1c1f72a44af15d3111e50,fanduel,player_points_over_under,oshae brissett,False,8.5,-158,2023-03-23T01:30:01,Toronto Raptors,Indiana Pacers
2023-03-22,fb8035881ab1c1f72a44af15d3111e50,fanduel,player_points_over_under,oshae brissett,False,9.5,-350,2023-03-23T01:45:02,Toronto Raptors,Indiana Pacers
2023-03-22,fb8035881ab1c1f72a44af15d3111e50,fanduel,player_points_over_under,oshae brissett,False,10.5,106,2023-03-23T00:45:01,Toronto Raptors,Indiana Pacers
2023-03-22,fb8035881ab1c1f72a44af15d3111e50,fanduel,player_rebounds_over_under,oshae brissett,True,5.5,-152,2023-03-23T01:30:01,Toronto Raptors,Indiana Pacers
2023-03-22,fb8035881ab1c1f72a44af15d3111e50,fanduel,player_blocks_over_under,oshae brissett,False,0.5,-100000,2023-03-23T01:45:02,Toronto Raptors,Indiana Pacers
