date,game_id,book_key,market,player,over_under,value,odds,timestamp,home_team,away_team
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,draftkings,player_assists_over_under,ousmane dieng,False,2.5,115,2023-04-09T19:45:02,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,fanduel,player_points_over_under,ousmane dieng,True,14.5,-120,2023-04-09T20:00:01,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,fanduel,player_points_over_under,ousmane dieng,True,17.5,102,2023-04-09T21:15:01,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,fanduel,player_points_over_under,ousmane dieng,True,18.5,128,2023-04-09T21:30:02,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,fanduel,player_points_over_under,ousmane dieng,True,19.5,-136,2023-04-09T20:30:02,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,fanduel,player_points_over_under,ousmane dieng,True,22.5,-136,2023-04-09T21:00:01,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,fanduel,player_points_over_under,ousmane dieng,False,12.5,-112,2023-04-09T19:45:02,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,fanduel,player_points_over_under,ousmane dieng,False,14.5,-110,2023-04-09T20:00:01,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,fanduel,player_points_over_under,ousmane dieng,False,17.5,-136,2023-04-09T21:15:01,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,fanduel,player_points_over_under,ousmane dieng,False,18.5,-172,2023-04-09T21:30:02,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,fanduel,player_points_over_under,ousmane dieng,False,19.5,102,2023-04-09T20:30:02,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,fanduel,player_points_over_under,ousmane dieng,False,22.5,102,2023-04-09T21:00:01,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,draftkings,player_points_over_under,ousmane dieng,True,12.5,-110,2023-04-09T19:45:02,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,draftkings,player_points_over_under,ousmane dieng,True,14.5,-105,2023-04-09T19:15:01,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,draftkings,player_points_over_under,ousmane dieng,True,16.5,-125,2023-04-09T20:00:01,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,draftkings,player_points_over_under,ousmane dieng,True,17.5,105,2023-04-09T21:15:01,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,draftkings,player_points_over_under,ousmane dieng,True,19.5,-135,2023-04-09T20:30:02,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,draftkings,player_points_over_under,ousmane dieng,True,20.5,120,2023-04-09T21:30:02,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,fanduel,player_points_over_under,ousmane dieng,True,12.5,-118,2023-04-09T19:45:02,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,draftkings,player_points_over_under,ousmane dieng,True,22.5,-135,2023-04-09T21:00:01,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,caesars,player_blocks_over_under,ousmane dieng,False,0.5,-234,2023-04-09T19:15:01,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,draftkings,player_blocks_over_under,ousmane dieng,False,3.5,-1600,2023-04-09T21:15:01,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,draftkings,player_assists_over_under,ousmane dieng,False,6.5,-140,2023-04-09T20:45:02,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,draftkings,player_assists_over_under,ousmane dieng,False,7.5,-140,2023-04-09T21:00:01,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,draftkings,player_assists_over_under,ousmane dieng,False,8.5,-140,2023-04-09T21:15:01,Oklahoma City Thunder,Memphis Grizzlies
2023-04-09,33f1e4868b344c3bb39a1e68e7278c02,draftkings,player_assists_over_under,ousmane dieng,False,9.5,-425,2023-04-09T21:30:02,Oklahoma City Thunder,Memphis Grizzlies
