date,game_id,book_key,market,player,over_under,value,odds,timestamp,home_team,away_team
2023-03-23,9d7f17f70aa4b18ec0c791b126462a42,fanduel,player_rebounds_over_under,ricky rubio,False,2.5,-120,2023-03-23T23:30:01,Brooklyn Nets,Cleveland Cavaliers
2023-03-23,9d7f17f70aa4b18ec0c791b126462a42,fanduel,player_rebounds_over_under,ricky rubio,True,2.5,-102,2023-03-23T23:30:01,Brooklyn Nets,Cleveland Cavaliers
2023-03-23,9d7f17f70aa4b18ec0c791b126462a42,fanduel,player_points_over_under,ricky rubio,False,6.5,-122,2023-03-23T23:30:01,Brooklyn Nets,Cleveland Cavaliers
2023-03-23,9d7f17f70aa4b18ec0c791b126462a42,fanduel,player_points_over_under,ricky rubio,True,6.5,100,2023-03-23T23:30:01,Brooklyn Nets,Cleveland Cavaliers
2023-03-23,9d7f17f70aa4b18ec0c791b126462a42,fanduel,player_assists_over_under,ricky rubio,False,3.5,-140,2023-03-23T23:30:01,Brooklyn Nets,Cleveland Cavaliers
2023-03-23,9d7f17f70aa4b18ec0c791b126462a42,fanduel,player_assists_over_under,ricky rubio,True,3.5,114,2023-03-23T23:30:01,Brooklyn Nets,Cleveland Cavaliers
2023-03-26,96a923ecd8e2341af443b816c2d5befe,fanduel,player_points_over_under,ricky rubio,False,6.5,-102,2023-03-26T22:00:01,Cleveland Cavaliers,Houston Rockets
2023-03-26,96a923ecd8e2341af443b816c2d5befe,fanduel,player_rebounds_over_under,ricky rubio,False,2.5,-168,2023-03-26T22:00:01,Cleveland Cavaliers,Houston Rockets
2023-03-26,96a923ecd8e2341af443b816c2d5befe,fanduel,player_rebounds_over_under,ricky rubio,True,2.5,136,2023-03-26T22:00:01,Cleveland Cavaliers,Houston Rockets
2023-03-26,96a923ecd8e2341af443b816c2d5befe,fanduel,player_points_over_under,ricky rubio,True,6.5,-120,2023-03-26T22:00:01,Cleveland Cavaliers,Houston Rockets
2023-03-26,96a923ecd8e2341af443b816c2d5befe,fanduel,player_assists_over_under,ricky rubio,False,3.5,-102,2023-03-26T22:00:01,Cleveland Cavaliers,Houston Rockets
2023-03-26,96a923ecd8e2341af443b816c2d5befe,fanduel,player_assists_over_under,ricky rubio,True,3.5,-120,2023-03-26T22:00:01,Cleveland Cavaliers,Houston Rockets
2023-04-06,37c8eb855ee9e97bd3ae8c0e2d1dce0f,fanduel,player_points_over_under,ricky rubio,True,8.5,102,2023-04-06T23:30:01,Orlando Magic,Cleveland Cavaliers
2023-04-06,37c8eb855ee9e97bd3ae8c0e2d1dce0f,fanduel,player_points_over_under,ricky rubio,True,7.5,110,2023-04-07T00:45:01,Orlando Magic,Cleveland Cavaliers
2023-04-06,37c8eb855ee9e97bd3ae8c0e2d1dce0f,draftkings,player_assists_over_under,ricky rubio,True,6.5,-110,2023-04-07T00:45:01,Orlando Magic,Cleveland Cavaliers
2023-04-06,37c8eb855ee9e97bd3ae8c0e2d1dce0f,fanduel,player_points_over_under,ricky rubio,True,5.5,140,2023-04-07T01:00:01,Orlando Magic,Cleveland Cavaliers
2023-04-06,37c8eb855ee9e97bd3ae8c0e2d1dce0f,fanduel,player_points_over_under,ricky rubio,True,11.5,-112,2023-04-06T23:00:01,Orlando Magic,Cleveland Cavaliers
2023-04-06,37c8eb855ee9e97bd3ae8c0e2d1dce0f,fanduel,player_points_over_under,ricky rubio,True,6.5,-110,2023-04-07T00:30:02,Orlando Magic,Cleveland Cavaliers
2023-04-06,37c8eb855ee9e97bd3ae8c0e2d1dce0f,fanduel,player_points_over_under,ricky rubio,False,5.5,-188,2023-04-07T01:00:01,Orlando Magic,Cleveland Cavaliers
2023-04-06,37c8eb855ee9e97bd3ae8c0e2d1dce0f,draftkings,player_points_over_under,ricky rubio,True,6.5,110,2023-04-07T00:30:02,Orlando Magic,Cleveland Cavaliers
2023-04-06,37c8eb855ee9e97bd3ae8c0e2d1dce0f,fanduel,player_points_over_under,ricky rubio,False,7.5,-146,2023-04-07T00:45:01,Orlando Magic,Cleveland Cavaliers
2023-04-06,37c8eb855ee9e97bd3ae8c0e2d1dce0f,fanduel,player_points_over_under,ricky rubio,False,8.5,-136,2023-04-06T23:30:01,Orlando Magic,Cleveland Cavaliers
2023-04-06,37c8eb855ee9e97bd3ae8c0e2d1dce0f,fanduel,player_points_over_under,ricky rubio,False,11.5,-108,2023-04-06T23:00:01,Orlando Magic,Cleveland Cavaliers
2023-04-06,37c8eb855ee9e97bd3ae8c0e2d1dce0f,draftkings,player_points_over_under,ricky rubio,True,5.5,200,2023-04-07T01:00:01,Orlando Magic,Cleveland Cavaliers
2023-04-06,37c8eb855ee9e97bd3ae8c0e2d1dce0f,draftkings,player_blocks_over_under,ricky rubio,False,0.5,-425,2023-04-06T21:45:02,Orlando Magic,Cleveland Cavaliers
