date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-26,10.93,0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,2.0,0.0,-13.0,0.0,0.0,1.0,0.0,0.0,30.3,17.4,0.0,4.2,7.2,14.3,26.8,0.0,87.0,-24.6,"gordon hayward,devonte' graham,terry rozier,bismack biyombo,p.j. washington,miles bridges,cody martin,caleb martin,lamelo ball,jalen mcdaniels","luguentz dort,shai gilgeous-alexander,darius bazley,al horford,george hill,theo maledon,hamidou diallo,mike muscala,kenrich williams"
2020-12-28,14.43,1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.5,0.0,0.0,17.5,8.3,0.0,3.4,6.7,0.0,6.1,0.0,104.0,-5.6,"rudy gobert,donovan mitchell,bojan bogdanovic,royce o'neale,mike conley,jordan clarkson,joe ingles,derrick favors,georges niang,miye oni","shai gilgeous-alexander,darius bazley,luguentz dort,al horford,george hill,hamidou diallo,theo maledon,mike muscala,kenrich williams"
2020-12-29,19.48,1,1.0,8.0,0.125,0.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,3.0,0.0,2.0,1.0,2.0,2.0,-2.0,0.125,0.125,0.5,0.0,5.6,25.1,15.9,18.2,0.0,6.7,11.1,19.2,53.0,110.0,-9.7,"nikola vucevic,evan fournier,markelle fultz,aaron gordon,terrence ross,michael carter-williams,chuma okeke,cole anthony,khem birch","shai gilgeous-alexander,justin jackson,luguentz dort,darius bazley,isaiah roby,hamidou diallo,theo maledon,mike muscala,kenrich williams,josh hall"
2020-12-31,20.7,1,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.0,5.0,5.0,4.0,2.0,1.0,6.0,1.0,3.0,-22.0,0.375,0.375,1.0,0.0,0.0,24.7,11.8,33.5,4.8,4.2,60.0,22.0,46.0,103.0,-6.0,"lonzo ball,steven adams,brandon ingram,zion williamson,josh hart,nickeil alexander-walker,jaxson hayes,kira lewis jr.","shai gilgeous-alexander,darius bazley,al horford,george hill,luguentz dort,theo maledon,isaiah roby,hamidou diallo,mike muscala,josh hall,kenrich williams,moses brown"
2021-01-02,14.25,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,11.0,6.3,0.0,3.4,0.0,66.7,9.6,0.0,98.0,-12.2,"nikola vucevic,markelle fultz,michael carter-williams,aaron gordon,terrence ross,gary clark,cole anthony,khem birch","shai gilgeous-alexander,darius bazley,luguentz dort,al horford,george hill,mike muscala,theo maledon,hamidou diallo,kenrich williams"
2021-01-08,18.55,0,3.0,5.0,0.6,1.0,3.0,0.333,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,1.0,1.0,0.0,7.0,11.0,0.7,0.7,0.6,0.0,5.3,20.9,14.0,0.0,0.0,3.8,16.7,14.5,118.0,91.0,4.3,"rj barrett,julius randle,elfrid payton,mitchell robinson,reggie bullock,austin rivers,kevin knox,immanuel quickley,nerlens noel","shai gilgeous-alexander,luguentz dort,al horford,george hill,darius bazley,hamidou diallo,theo maledon,mike muscala,kenrich williams,isaiah roby"
2021-01-10,13.63,0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,16.0,0.375,0.375,0.75,0.0,0.0,28.5,13.7,0.0,0.0,0.0,20.0,16.4,57.0,117.0,-11.9,"kevin durant,caris levert,jarrett allen,joe harris,jeff green,taurean prince,timothe luwawu-cabarrot,landry shamet,deandre jordan,bruce brown","shai gilgeous-alexander,darius bazley,george hill,al horford,luguentz dort,hamidou diallo,isaiah roby,theo maledon,kenrich williams,moses brown"
2021-01-12,15.6,1,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,2.0,2.0,1.0,4.0,-9.0,0.333,0.333,0.167,0.0,6.7,23.7,15.7,10.3,0.0,10.3,25.0,22.6,62.0,103.0,-6.2,"keldon johnson,lonnie walker iv,dejounte murray,trey lyles,patty mills,devin vassell,rudy gay,jakob poeltl","shai gilgeous-alexander,darius bazley,al horford,george hill,luguentz dort,hamidou diallo,mike muscala,theo maledon,isaiah roby,justin jackson,kenrich williams"
2021-01-13,20.73,1,4.0,9.0,0.444,2.0,4.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,3.0,0.0,2.0,10.0,-7.0,0.556,0.556,0.444,0.0,4.9,15.4,10.1,16.7,0.0,12.0,0.0,19.8,120.0,126.0,6.0,"dennis schroder,lebron james,anthony davis,kentavious caldwell-pope,montrezl harrell,markieff morris,alex caruso,kyle kuzma,talen horton-tucker,alfonzo mckinnie","shai gilgeous-alexander,luguentz dort,darius bazley,isaiah roby,george hill,theo maledon,hamidou diallo,mike muscala,kenrich williams,josh hall,moses brown,justin jackson"
2021-01-15,12.4,1,2.0,7.0,0.286,1.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,5.0,-17.0,0.357,0.357,0.571,0.0,7.9,18.6,12.8,10.8,0.0,0.0,0.0,23.6,86.0,113.0,-7.3,"coby white,zach lavine,patrick williams,lauri markkanen,wendell carter jr.,otto porter jr.,garrett temple,denzel valentine,thaddeus young","shai gilgeous-alexander,luguentz dort,george hill,darius bazley,isaiah roby,kenrich williams,mike muscala,theo maledon,hamidou diallo"
2021-01-19,24.28,0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,1.0,3.0,1.0,0.0,-8.0,0.0,0.0,0.714,0.0,0.0,15.8,8.0,11.0,1.9,3.1,30.0,17.2,13.0,113.0,-16.9,"nikola jokic,gary harris,will barton,jamal murray,monte morris,pj dozier,facundo campazzo,jamychal green,isaiah hartenstein,r.j. hampton,bol bol,zeke nnaji,vlatko cancar","shai gilgeous-alexander,isaiah roby,luguentz dort,darius bazley,george hill,theo maledon,hamidou diallo,mike muscala,josh hall,justin jackson,kenrich williams,moses brown"
2021-01-22,14.72,0,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,3.0,-9.0,0.375,0.375,1.0,0.0,0.0,0.0,0.0,25.9,0.0,6.4,20.0,15.7,84.0,128.0,-3.2,"kawhi leonard,paul george,nicolas batum,patrick beverley,serge ibaka,marcus morris,luke kennard,ivica zubac,daniel oturu,mfiondu kabengele,terance mann","shai gilgeous-alexander,darius bazley,luguentz dort,george hill,isaiah roby,hamidou diallo,theo maledon,mike muscala,kenrich williams"
2021-01-24,17.13,0,1.0,8.0,0.125,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.125,0.125,0.375,0.0,0.0,23.8,11.6,0.0,2.9,6.1,11.1,22.7,25.0,102.0,-14.5,"kawhi leonard,nicolas batum,paul george,serge ibaka,patrick beverley,luke kennard,ivica zubac,reggie jackson,terance mann,amir coffey","shai gilgeous-alexander,luguentz dort,darius bazley,george hill,isaiah roby,mike muscala,hamidou diallo,theo maledon,kenrich williams"
2021-01-25,20.25,0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0,6.0,1.0,0.75,0.75,1.0,0.0,0.0,14.5,7.6,12.4,0.0,4.2,20.0,11.0,125.0,127.0,0.0,"gary trent jr.,damian lillard,derrick jones jr.,anfernee simons,nassir little","shai gilgeous-alexander,luguentz dort,darius bazley,isaiah roby,theo maledon,kenrich williams,hamidou diallo,mike muscala,justin jackson"
2021-01-27,22.42,0,3.0,8.0,0.375,1.0,4.0,0.25,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,3.0,1.0,1.0,7.0,-4.0,0.438,0.438,0.5,0.0,0.0,16.5,8.8,13.6,2.1,12.4,11.1,18.3,85.0,88.0,3.0,"deandre ayton,chris paul,jae crowder,cameron johnson,mikal bridges,jevon carter,frank kaminsky,jalen smith","shai gilgeous-alexander,luguentz dort,darius bazley,al horford,theo maledon,hamidou diallo,kenrich williams,mike muscala,isaiah roby,justin jackson"
2021-01-29,16.42,1,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-24.0,0.167,0.167,0.5,0.0,0.0,14.6,6.8,0.0,0.0,0.0,0.0,15.5,35.0,142.0,-19.7,"kyrie irving,joe harris,james harden,bruce brown,deandre jordan,jeff green,timothe luwawu-cabarrot,reggie perry,landry shamet,chris chiozza","theo maledon,luguentz dort,darius bazley,shai gilgeous-alexander,al horford,hamidou diallo,mike muscala,isaiah roby,kenrich williams,josh hall,moses brown,justin jackson"
2021-02-01,20.07,1,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,-9.0,0.25,0.25,0.5,0.0,0.0,15.3,7.6,6.5,0.0,4.8,20.0,10.6,51.0,133.0,-13.8,"p.j. tucker,christian wood,victor oladipo,jae'sean tate,john wall,danuel house jr.,eric gordon,demarcus cousins,sterling brown,mason jones","darius bazley,shai gilgeous-alexander,theo maledon,al horford,luguentz dort,kenrich williams,hamidou diallo,mike muscala,isaiah roby,justin jackson,josh hall,moses brown"
2021-03-11,29.88,1,4.0,11.0,0.364,2.0,6.0,0.333,4.0,4.0,1.0,3.0,5.0,8.0,3.0,0.0,2.0,2.0,3.0,14.0,4.0,0.549,0.455,0.545,0.364,10.3,17.8,14.0,13.9,0.0,6.7,13.6,21.8,121.0,114.0,0.3,"jalen brunson,dorian finney-smith,josh richardson,maxi kleber,willie cauley-stein,tim hardaway jr.,trey burke,james johnson,dwight powell,boban marjanovic,josh green","theo maledon,shai gilgeous-alexander,luguentz dort,al horford,ty jerome,isaiah roby,moses brown,kenrich williams"
2021-03-13,29.77,1,2.0,11.0,0.182,0.0,6.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,2.0,0.0,0.0,2.0,1.0,4.0,-10.0,0.182,0.182,0.545,0.0,8.5,17.5,13.4,9.5,0.0,0.0,15.4,20.3,51.0,125.0,-15.3,"julius randle,reggie bullock,rj barrett,nerlens noel,frank ntilikina,immanuel quickley,alec burks,taj gibson,obi toppin,kevin knox,theo pinson","theo maledon,luguentz dort,al horford,isaiah roby,ty jerome,kenrich williams,moses brown,justin jackson"
2021-03-14,39.13,1,7.0,13.0,0.538,5.0,8.0,0.625,4.0,4.0,1.0,1.0,9.0,10.0,4.0,1.0,1.0,3.0,1.0,23.0,18.0,0.779,0.731,0.615,0.308,4.2,22.5,15.7,14.7,1.2,1.8,16.9,19.5,139.0,120.0,6.3,"ja morant,dillon brooks,jonas valanciunas,kyle anderson,desmond bane,brandon clarke,justise winslow,de'anthony melton,xavier tillman sr.,tyus jones","shai gilgeous-alexander,ty jerome,moses brown,justin jackson,isaiah roby,kenrich williams,mike muscala"
2021-03-16,29.35,0,2.0,9.0,0.222,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,1.0,0.0,0.0,1.0,1.0,4.0,-30.0,0.222,0.222,0.222,0.0,7.6,23.4,15.4,4.2,0.0,0.0,10.0,14.5,63.0,130.0,-13.7,"lauri markkanen,zach lavine,patrick williams,thaddeus young,coby white,wendell carter jr.,otto porter jr.,ryan arcidiacono,denzel valentine,daniel gafford,adam mokoka","theo maledon,isaiah roby,moses brown,shai gilgeous-alexander,ty jerome,kenrich williams,justin jackson"
2021-03-18,27.13,0,2.0,11.0,0.182,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,2.0,0.0,0.0,1.0,1.0,4.0,-25.0,0.182,0.182,0.273,0.0,6.4,21.4,12.1,11.6,0.0,0.0,8.3,19.5,54.0,122.0,-13.9,"john collins,clint capela,trae young,kevin huerter,bogdan bogdanovic,danilo gallinari,nathan knight,onyeka okongwu,brandon goodwin,skylar mays,bruno fernando","shai gilgeous-alexander,al horford,isaiah roby,luguentz dort,ty jerome,kenrich williams,moses brown,theo maledon,svi mykhailiuk"
2021-03-21,28.8,0,2.0,9.0,0.222,2.0,5.0,0.4,3.0,4.0,0.75,2.0,7.0,9.0,2.0,2.0,0.0,1.0,2.0,9.0,-4.0,0.418,0.333,0.556,0.444,6.8,28.5,16.7,8.6,3.4,0.0,8.5,16.6,108.0,109.0,-2.3,"victor oladipo,christian wood,john wall,danuel house jr.,jae'sean tate,kevin porter jr.,sterling brown,kenyon martin jr.,d.j. wilson","isaiah roby,luguentz dort,theo maledon,moses brown,ty jerome,kenrich williams,svi mykhailiuk,justin jackson"
2021-03-22,33.32,0,5.0,13.0,0.385,3.0,8.0,0.375,0.0,0.0,0.0,0.0,9.0,9.0,2.0,0.0,3.0,2.0,0.0,13.0,-3.0,0.5,0.5,0.615,0.0,0.0,26.5,14.6,8.5,0.0,8.2,13.3,20.5,92.0,105.0,-3.7,"karl-anthony towns,ricky rubio,anthony edwards,jake layman,jarred vanderbilt,jaylen nowell,josh okogie,naz reid,jaden mcdaniels,juancho hernangomez,jarrett culver","shai gilgeous-alexander,moses brown,theo maledon,isaiah roby,ty jerome,kenrich williams,svi mykhailiuk,justin jackson"
2021-03-24,32.37,1,5.0,8.0,0.625,1.0,3.0,0.333,2.0,2.0,1.0,0.0,3.0,3.0,5.0,0.0,1.0,5.0,2.0,13.0,-8.0,0.732,0.688,0.375,0.25,0.0,9.1,4.4,20.8,0.0,2.1,36.0,17.7,98.0,117.0,-4.9,"ja morant,dillon brooks,jonas valanciunas,grayson allen,kyle anderson,brandon clarke,desmond bane,justise winslow,tyus jones,de'anthony melton","theo maledon,luguentz dort,isaiah roby,al horford,moses brown,ty jerome,kenrich williams,svi mykhailiuk"
2021-03-27,31.05,1,3.0,10.0,0.3,0.0,4.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,5.0,1.0,1.0,3.0,1.0,8.0,-7.0,0.368,0.3,0.4,0.2,0.0,6.2,3.0,26.3,1.5,2.7,21.6,19.6,76.0,111.0,-5.6,"jayson tatum,marcus smart,jaylen brown,robert williams,grant williams,payton pritchard,carsen edwards,aaron nesmith,luke kornet,moritz wagner,tremont waters","theo maledon,moses brown,isaiah roby,luguentz dort,kenrich williams,svi mykhailiuk,ty jerome,josh hall"
2021-03-29,33.95,1,8.0,17.0,0.471,3.0,10.0,0.3,2.0,3.0,0.667,2.0,4.0,6.0,2.0,0.0,0.0,2.0,1.0,21.0,-14.0,0.573,0.559,0.588,0.176,6.3,12.6,9.4,10.6,0.0,0.0,9.8,25.8,112.0,132.0,-2.4,"luka doncic,kristaps porzingis,dorian finney-smith,josh richardson,maxi kleber,tim hardaway jr.,jalen brunson,josh green,dwight powell,trey burke,nate hinton,tyler bey,boban marjanovic","isaiah roby,moses brown,theo maledon,svi mykhailiuk,ty jerome,josh hall,kenrich williams,tony bradley"
2021-04-02,32.9,0,7.0,14.0,0.5,4.0,6.0,0.667,2.0,4.0,0.5,2.0,3.0,5.0,4.0,1.0,0.0,2.0,0.0,20.0,-32.0,0.635,0.643,0.429,0.286,6.3,13.3,9.2,23.5,1.4,0.0,11.3,22.5,123.0,140.0,4.4,"devin booker,deandre ayton,mikal bridges,jae crowder,chris paul,cameron payne,jevon carter,torrey craig,cameron johnson,dario saric,jalen smith,ty-shon alexander","theo maledon,moses brown,svi mykhailiuk,isaiah roby,tony bradley,kenrich williams,josh hall,ty jerome,justin jackson"
2021-04-03,30.92,0,3.0,13.0,0.231,2.0,6.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,8.0,-42.0,0.308,0.308,0.462,0.0,0.0,6.3,3.0,24.5,1.5,5.4,23.5,22.5,58.0,130.0,-7.1,"cj mccollum,damian lillard,robert covington,norman powell,jusuf nurkic,nassir little,anfernee simons,cj elleby","isaiah roby,svi mykhailiuk,moses brown,theo maledon,ty jerome,kenrich williams,tony bradley,justin jackson,josh hall"
2021-04-05,31.5,1,8.0,19.0,0.421,2.0,6.0,0.333,1.0,1.0,1.0,2.0,2.0,4.0,0.0,0.0,2.0,4.0,4.0,19.0,-27.0,0.489,0.474,0.316,0.053,6.1,7.3,6.6,0.0,0.0,4.5,17.1,29.0,87.0,131.0,-10.2,"jerami grant,saddiq bey,isaiah stewart,josh jackson,saben lee,killian hayes,tyler cook,hamidou diallo,sekou doumbouya,cory joseph,frank jackson,deividas sirvydis","theo maledon,svi mykhailiuk,moses brown,kenrich williams,ty jerome,justin robinson,tony bradley"
2021-04-07,33.45,1,9.0,14.0,0.643,7.0,11.0,0.636,0.0,0.0,0.0,0.0,9.0,9.0,4.0,0.0,0.0,3.0,2.0,25.0,1.0,0.893,0.893,0.786,0.0,0.0,28.1,14.7,23.8,0.0,0.0,17.6,21.3,131.0,113.0,11.2,"terry rozier,miles bridges,jalen mcdaniels,p.j. washington,devonte' graham,cody zeller,cody martin,caleb martin","theo maledon,kenrich williams,svi mykhailiuk,moses brown,tony bradley,ty jerome,justin robinson"
2021-04-08,27.5,1,3.0,12.0,0.25,2.0,8.0,0.25,2.0,2.0,1.0,0.0,6.0,6.0,2.0,0.0,2.0,4.0,1.0,10.0,-27.0,0.388,0.333,0.667,0.167,0.0,24.9,11.9,10.0,0.0,6.1,23.7,26.9,67.0,128.0,-13.0,"isaac okoro,collin sexton,darius garland,dean wade,kevin love,taurean prince,isaiah hartenstein,matthew dellavedova,lamar stevens,brodric thomas","moses brown,kenrich williams,theo maledon,svi mykhailiuk,ty jerome,tony bradley,justin robinson"
2021-04-10,8.47,1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,-7.0,0.0,0.0,0.5,0.0,0.0,32.7,18.5,14.9,0.0,0.0,33.3,16.0,20.0,113.0,-17.7,"furkan korkmaz,ben simmons,seth curry,joel embiid,matisse thybulle,tyrese maxey,shake milton,isaiah joe,paul reed,rayjon tucker,mason jones","darius bazley,theo maledon,luguentz dort,moses brown,tony bradley,ty jerome,svi mykhailiuk,kenrich williams,justin robinson"
2021-04-18,28.43,0,4.0,14.0,0.286,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5.0,0.0,6.0,1.0,4.0,8.0,-15.0,0.286,0.286,0.571,0.0,0.0,22.3,12.7,27.9,0.0,17.5,6.7,22.6,77.0,103.0,-2.7,"chris boucher,gary trent jr.,malachi flynn,khem birch,yuta watanabe,deandre' bembry,stanley johnson","darius bazley,luguentz dort,theo maledon,moses brown,kenrich williams,isaiah roby,ty jerome,tony bradley,svi mykhailiuk"
2021-04-19,30.03,0,3.0,11.0,0.273,2.0,8.0,0.25,0.0,2.0,0.0,0.0,4.0,4.0,5.0,1.0,0.0,6.0,2.0,8.0,-2.0,0.337,0.364,0.727,0.182,0.0,13.6,7.1,25.6,1.5,0.0,33.6,25.1,58.0,114.0,-10.8,"russell westbrook,bradley beal,raul neto,deni avdija,alex len,davis bertans,ish smith,robin lopez,daniel gafford,garrison mathews,cassius winston","darius bazley,kenrich williams,theo maledon,moses brown,svi mykhailiuk,ty jerome,tony bradley,justin robinson"
2021-04-21,5.37,0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,-6.0,0.333,0.333,0.333,0.0,17.9,17.2,17.5,22.9,0.0,0.0,0.0,21.0,106.0,119.0,-2.1,"oshae brissett,caris levert,malcolm brogdon,justin holiday,edmond sumner,t.j. mcconnell,aaron holiday,kelan martin","darius bazley,svi mykhailiuk,theo maledon,moses brown,isaiah roby,kenrich williams,ty jerome,tony bradley,justin robinson"
2021-04-23,25.48,1,3.0,10.0,0.3,0.0,4.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,4.0,0.0,8.0,-19.0,0.368,0.3,0.4,0.2,3.6,9.9,6.3,0.0,1.8,6.2,26.9,23.4,60.0,124.0,-13.6,"russell westbrook,bradley beal,raul neto,alex len,davis bertans,anthony gill,robin lopez,ish smith,daniel gafford,chandler hutchison,garrison mathews,cassius winston,jordan bell","luguentz dort,darius bazley,theo maledon,moses brown,isaiah roby,kenrich williams,svi mykhailiuk,ty jerome,tony bradley,justin robinson"
