date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-22,0.93,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,-3.9,"anthony davis,lebron james,dennis schroder,kentavious caldwell-pope,montrezl harrell,kyle kuzma,markieff morris,alex caruso,wesley matthews,talen horton-tucker","paul george,kawhi leonard,nicolas batum,patrick beverley,serge ibaka,ivica zubac,luke kennard,reggie jackson,terance mann,mfiondu kabengele"
2020-12-25,0.43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,-4.4,"nikola jokic,jamal murray,michael porter jr.,gary harris,monte morris,will barton,pj dozier,isaiah hartenstein,bol bol,facundo campazzo","paul george,nicolas batum,kawhi leonard,patrick beverley,serge ibaka,luke kennard,ivica zubac,reggie jackson,terance mann,mfiondu kabengele,daniel oturu"
2020-12-27,17.65,1,0.0,5.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,-8.0,0.085,0.0,0.4,0.4,5.7,0.0,3.0,20.9,0.0,0.0,0.0,16.5,41.0,142.0,-13.5,"josh richardson,luka doncic,tim hardaway jr.,dorian finney-smith,dwight powell,james johnson,willie cauley-stein,trey burke,maxi kleber,jalen brunson,wes iwundu,josh green,boban marjanovic,tyrell terry","luke kennard,paul george,patrick beverley,nicolas batum,serge ibaka,terance mann,reggie jackson,ivica zubac,mfiondu kabengele,daniel oturu"
2020-12-29,11.35,1,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,-6.0,0.833,0.833,0.667,0.0,0.0,8.5,5.0,11.0,0.0,0.0,0.0,11.7,166.0,111.0,3.5,"d'angelo russell,malik beasley,ricky rubio,jarrett culver,naz reid,anthony edwards,juancho hernangomez,jordan mclaughlin,jarred vanderbilt,jake layman,jaden mcdaniels","paul george,luke kennard,nicolas batum,patrick beverley,serge ibaka,reggie jackson,terance mann,ivica zubac,mfiondu kabengele,daniel oturu"
2020-12-30,5.48,1,2.0,4.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0.676,0.625,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9,131.0,114.0,2.0,"derrick jones jr.,damian lillard,cj mccollum,robert covington,jusuf nurkic,anfernee simons,cj elleby","kawhi leonard,paul george,nicolas batum,serge ibaka,patrick beverley,reggie jackson,luke kennard,ivica zubac,terance mann,mfiondu kabengele,daniel oturu"
2021-01-01,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,-7.9,"donovan mitchell,mike conley,royce o'neale,bojan bogdanovic,rudy gobert,joe ingles,derrick favors,jordan clarkson,georges niang","kawhi leonard,paul george,nicolas batum,serge ibaka,patrick beverley,luke kennard,ivica zubac,terance mann,reggie jackson"
2021-01-05,0.08,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,-8.8,"dejounte murray,keldon johnson,lonnie walker iv,demar derozan,patty mills,rudy gay,jakob poeltl,devin vassell","luke kennard,kawhi leonard,nicolas batum,patrick beverley,serge ibaka,ivica zubac,reggie jackson,terance mann"
2021-01-08,0.72,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,-6.8,"stephen curry,draymond green,andrew wiggins,kelly oubre jr.,james wiseman,damion lee,eric paschall,kent bazemore,mychal mulder,kevon looney","paul george,kawhi leonard,serge ibaka,nicolas batum,patrick beverley,luke kennard,marcus morris,ivica zubac,reggie jackson,terance mann,mfiondu kabengele,daniel oturu"
2021-01-15,8.92,0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,0.833,0.833,0.333,0.0,15.4,0.0,6.8,13.1,0.0,0.0,0.0,15.1,188.0,115.0,6.7,"harrison barnes,marvin bagley iii,richaun holmes,buddy hield,de'aaron fox,tyrese haliburton,chimezie metu,cory joseph,justin james,robert woodard ii","paul george,kawhi leonard,nicolas batum,reggie jackson,serge ibaka,terance mann,luke kennard,marcus morris,ivica zubac,daniel oturu,mfiondu kabengele"
2021-01-17,7.32,1,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.347,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,22.8,47.0,99.0,-16.6,"justin holiday,domantas sabonis,malcolm brogdon,doug mcdermott,edmond sumner,t.j. mcconnell,aaron holiday,goga bitadze,cassius stanley,kelan martin,jalen lecque","paul george,kawhi leonard,patrick beverley,nicolas batum,ivica zubac,marcus morris,luke kennard,reggie jackson,terance mann,daniel oturu,mfiondu kabengele"
