date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,27.22,1,7.0,18.0,0.389,0.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,14.0,4.0,1.0,0.0,5.0,2.0,14.0,-5.0,0.389,0.389,0.056,0.0,15.6,40.4,30.1,21.0,1.7,0.0,21.7,35.6,80.0,110.0,-13.5,"terry rozier,devonte' graham,gordon hayward,p.j. washington,cody zeller,bismack biyombo,miles bridges,cody martin,lamelo ball,jalen mcdaniels","collin sexton,larry nance jr.,isaac okoro,darius garland,javale mcgee,cedi osman,dean wade,dylan windler,marques bolden"
2020-12-26,43.67,0,7.0,21.0,0.333,0.0,2.0,0.0,9.0,14.0,0.643,2.0,14.0,16.0,5.0,4.0,3.0,4.0,2.0,23.0,10.0,0.423,0.333,0.095,0.667,4.9,34.4,19.7,17.2,4.4,7.5,12.8,31.8,87.0,85.0,0.1,"blake griffin,jerami grant,delon wright,mason plumlee,killian hayes,derrick rose,svi mykhailiuk,josh jackson,jahlil okafor,sekou doumbouya,saddiq bey","collin sexton,darius garland,isaac okoro,kevin love,cedi osman,larry nance jr.,javale mcgee"
2020-12-27,25.67,1,11.0,18.0,0.611,0.0,0.0,0.0,2.0,4.0,0.5,6.0,8.0,14.0,3.0,3.0,2.0,1.0,1.0,24.0,27.0,0.607,0.611,0.0,0.222,26.7,35.6,31.2,20.5,5.6,8.9,4.8,34.0,130.0,79.0,15.4,"ben simmons,tobias harris,seth curry,danny green,shake milton,tyrese maxey,tony bradley,furkan korkmaz,matisse thybulle,dakota mathias,isaiah joe","larry nance jr.,collin sexton,darius garland,kevin love,cedi osman,javale mcgee,dean wade,marques bolden,lamar stevens"
2020-12-29,33.47,1,7.0,13.0,0.538,0.0,1.0,0.0,4.0,10.0,0.4,5.0,12.0,17.0,2.0,3.0,6.0,4.0,5.0,18.0,-5.0,0.517,0.538,0.077,0.769,13.0,40.0,24.9,13.1,4.5,15.9,18.7,27.7,91.0,78.0,6.2,"julius randle,reggie bullock,rj barrett,elfrid payton,mitchell robinson,nerlens noel,kevin knox,frank ntilikina","larry nance jr.,collin sexton,darius garland,cedi osman,javale mcgee,dean wade"
2020-12-31,25.03,0,4.0,11.0,0.364,0.0,0.0,0.0,3.0,4.0,0.75,3.0,10.0,13.0,4.0,1.0,1.0,3.0,4.0,11.0,5.0,0.431,0.364,0.0,0.364,12.5,46.8,28.7,26.1,1.9,3.7,19.0,27.3,92.0,110.0,-2.1,"domantas sabonis,malcolm brogdon,victor oladipo,myles turner,aaron holiday,doug mcdermott,justin holiday,kelan martin,t.j. mcconnell,edmond sumner,jalen lecque,cassius stanley","darius garland,collin sexton,larry nance jr.,cedi osman,javale mcgee,dean wade,marques bolden,lamar stevens"
2021-01-02,20.35,0,6.0,10.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,11.0,0.0,0.0,0.0,4.0,2.0,12.0,-8.0,0.6,0.6,0.0,0.0,19.7,35.9,27.6,0.0,0.0,0.0,28.6,29.1,90.0,91.0,-4.8,"john collins,trae young,de'andre hunter,clint capela,cam reddish,kevin huerter,bogdan bogdanovic,brandon goodwin,bruno fernando","larry nance jr.,collin sexton,darius garland,cedi osman,javale mcgee,dean wade"
2021-01-04,32.22,0,5.0,14.0,0.357,0.0,1.0,0.0,0.0,2.0,0.0,4.0,9.0,13.0,4.0,1.0,1.0,1.0,1.0,10.0,-16.0,0.336,0.357,0.071,0.143,13.2,30.5,21.8,23.3,1.6,2.8,6.3,22.7,85.0,105.0,-3.2,"nikola vucevic,markelle fultz,aaron gordon,michael carter-williams,terrence ross,khem birch,cole anthony,gary clark,mo bamba,jordan bone,karim mane","collin sexton,larry nance jr.,cedi osman,lamar stevens,dean wade,javale mcgee,marques bolden"
2021-01-06,26.3,0,9.0,16.0,0.563,0.0,0.0,0.0,1.0,4.0,0.25,6.0,9.0,15.0,1.0,1.0,1.0,5.0,4.0,19.0,-12.0,0.535,0.563,0.0,0.25,22.8,41.1,31.1,9.3,2.0,3.5,22.0,39.0,89.0,106.0,-5.2,"nikola vucevic,gary clark,aaron gordon,markelle fultz,cole anthony,khem birch,terrence ross,jordan bone,karim mane,mo bamba","collin sexton,cedi osman,larry nance jr.,isaac okoro,lamar stevens,javale mcgee,dean wade,marques bolden"
2021-01-07,37.35,0,9.0,20.0,0.45,0.0,0.0,0.0,4.0,6.0,0.667,3.0,12.0,15.0,3.0,2.0,0.0,6.0,2.0,22.0,0.0,0.486,0.45,0.0,0.3,8.8,37.6,22.7,15.8,2.8,0.0,20.9,36.4,85.0,91.0,-5.6,"brandon clarke,dillon brooks,kyle anderson,jonas valanciunas,tyus jones,desmond bane,de'anthony melton,xavier tillman sr.,gorgui dieng,grayson allen","isaac okoro,cedi osman,larry nance jr.,lamar stevens,javale mcgee,dean wade"
2021-01-09,41.28,0,11.0,23.0,0.478,0.0,1.0,0.0,4.0,5.0,0.8,5.0,19.0,24.0,3.0,1.0,1.0,6.0,4.0,26.0,-2.0,0.516,0.478,0.043,0.217,12.1,50.2,30.3,15.0,1.2,2.4,19.2,33.3,96.0,96.0,1.0,"jrue holiday,khris middleton,brook lopez,bobby portis,donte divincenzo,d.j. wilson,bryn forbes,thanasis antetokounmpo,pat connaughton","larry nance jr.,isaac okoro,cedi osman,javale mcgee,dean wade,lamar stevens"
2021-01-11,34.63,1,8.0,16.0,0.5,0.0,0.0,0.0,3.0,9.0,0.333,5.0,9.0,14.0,3.0,1.0,2.0,4.0,6.0,19.0,-20.0,0.476,0.5,0.0,0.563,16.1,33.7,24.3,16.0,1.5,4.8,16.7,31.6,93.0,105.0,-4.7,"dillon brooks,tyus jones,kyle anderson,jonas valanciunas,brandon clarke,desmond bane,de'anthony melton,xavier tillman sr.,grayson allen","isaac okoro,larry nance jr.,cedi osman,javale mcgee,dean wade,lamar stevens"
2021-01-15,39.6,1,10.0,18.0,0.556,0.0,1.0,0.0,13.0,19.0,0.684,7.0,16.0,23.0,3.0,2.0,2.0,2.0,5.0,33.0,12.0,0.626,0.556,0.056,1.056,18.4,47.3,32.0,15.2,2.6,4.3,7.1,31.5,133.0,102.0,8.1,"julius randle,rj barrett,reggie bullock,mitchell robinson,elfrid payton,immanuel quickley,kevin knox,nerlens noel,austin rivers,obi toppin","larry nance jr.,isaac okoro,cedi osman,lamar stevens,javale mcgee,dean wade"
2021-01-20,25.73,1,6.0,13.0,0.462,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,7.0,3.0,1.0,0.0,4.0,2.0,13.0,-5.0,0.484,0.462,0.0,0.077,4.4,26.5,15.5,15.9,1.9,0.0,22.9,29.7,87.0,113.0,-8.3,"james harden,kevin durant,kyrie irving,jeff green,deandre jordan,joe harris,timothe luwawu-cabarrot,reggie perry,bruce brown","cedi osman,larry nance jr.,isaac okoro,collin sexton,taurean prince,jarrett allen"
2021-01-22,27.47,1,8.0,13.0,0.615,0.0,0.0,0.0,3.0,4.0,0.75,5.0,11.0,16.0,4.0,2.0,1.0,4.0,3.0,19.0,13.0,0.644,0.615,0.0,0.308,24.3,44.7,35.4,22.5,3.6,4.0,21.3,29.0,121.0,105.0,6.7,"james harden,joe harris,kyrie irving,deandre jordan,bruce brown,jeff green,timothe luwawu-cabarrot,landry shamet,reggie perry,chris chiozza","isaac okoro,larry nance jr.,collin sexton,cedi osman,taurean prince,darius garland,jarrett allen,dylan windler,dean wade,lamar stevens"
2021-01-24,17.75,0,4.0,9.0,0.444,0.0,0.0,0.0,3.0,6.0,0.5,3.0,2.0,5.0,0.0,0.0,2.0,3.0,3.0,11.0,-29.0,0.473,0.444,0.0,0.667,15.3,15.0,15.2,0.0,0.0,8.3,20.5,33.8,82.0,137.0,-14.8,"marcus smart,daniel theis,kemba walker,tristan thompson,jaylen brown,carsen edwards,aaron nesmith,robert williams,tremont waters,grant williams,javonte green","isaac okoro,cedi osman,collin sexton,larry nance jr.,jarrett allen,dylan windler,darius garland,taurean prince,javale mcgee,dean wade"
2021-01-25,28.03,1,11.0,21.0,0.524,0.0,0.0,0.0,3.0,3.0,1.0,7.0,10.0,17.0,1.0,0.0,0.0,2.0,4.0,25.0,4.0,0.56,0.524,0.0,0.143,30.0,38.9,34.7,8.1,0.0,0.0,8.2,37.0,123.0,117.0,1.4,"lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,montrezl harrell,kyle kuzma,alex caruso,wesley matthews,markieff morris","isaac okoro,cedi osman,collin sexton,taurean prince,jarrett allen,darius garland,dylan windler,javale mcgee"
2021-01-27,28.02,1,9.0,24.0,0.375,0.0,0.0,0.0,5.0,8.0,0.625,6.0,10.0,16.0,2.0,5.0,2.0,4.0,2.0,23.0,6.0,0.418,0.375,0.0,0.333,29.4,40.8,35.6,10.9,8.4,6.2,12.7,47.7,91.0,82.0,-4.7,"jerami grant,delon wright,mason plumlee,saddiq bey,josh jackson,derrick rose,svi mykhailiuk,sekou doumbouya,isaiah stewart,jahlil okafor,frank jackson","isaac okoro,collin sexton,darius garland,cedi osman,taurean prince,dylan windler,jarrett allen,dean wade"
2021-01-29,23.92,0,2.0,7.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,15.0,2.0,2.0,2.0,2.0,0.0,4.0,1.0,0.286,0.286,0.0,0.0,17.1,59.7,35.8,16.1,4.5,7.6,22.2,17.1,73.0,95.0,1.7,"rj barrett,julius randle,alec burks,elfrid payton,mitchell robinson,nerlens noel,immanuel quickley,austin rivers,obi toppin,kevin knox,taj gibson","collin sexton,isaac okoro,darius garland,larry nance jr.,jarrett allen,taurean prince,dylan windler,cedi osman,dean wade"
2021-01-31,32.7,0,9.0,18.0,0.5,0.0,0.0,0.0,7.0,10.0,0.7,4.0,18.0,22.0,4.0,1.0,1.0,3.0,3.0,25.0,1.0,0.558,0.5,0.0,0.556,15.9,50.8,36.3,21.1,1.5,2.9,11.8,33.0,114.0,100.0,7.6,"d'angelo russell,anthony edwards,malik beasley,josh okogie,jarred vanderbilt,ricky rubio,jaden mcdaniels,jake layman,jaylen nowell","isaac okoro,larry nance jr.,collin sexton,darius garland,cedi osman,taurean prince,jarrett allen,dylan windler"
2021-02-03,22.25,1,4.0,13.0,0.308,0.0,0.0,0.0,5.0,7.0,0.714,2.0,3.0,5.0,2.0,0.0,0.0,3.0,3.0,13.0,-33.0,0.404,0.308,0.0,0.538,8.8,19.0,13.0,13.3,0.0,0.0,15.7,38.3,81.0,136.0,-14.4,"paul george,kawhi leonard,nicolas batum,reggie jackson,serge ibaka,ivica zubac,marcus morris,luke kennard,terance mann,amir coffey,mfiondu kabengele","collin sexton,darius garland,taurean prince,isaac okoro,jarrett allen,lamar stevens,dylan windler,cedi osman,dean wade"
2021-02-05,29.7,1,9.0,19.0,0.474,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,4.0,2.0,0.0,1.0,1.0,18.0,-3.0,0.474,0.474,0.053,0.0,10.3,22.6,16.2,24.4,3.2,0.0,5.0,29.4,102.0,117.0,1.5,"giannis antetokounmpo,khris middleton,jrue holiday,brook lopez,donte divincenzo,bobby portis,pat connaughton,bryn forbes,torrey craig","collin sexton,taurean prince,isaac okoro,darius garland,cedi osman,jarrett allen,lamar stevens,dylan windler,dean wade"
2021-02-06,30.18,1,12.0,17.0,0.706,0.0,0.0,0.0,4.0,5.0,0.8,3.0,8.0,11.0,2.0,2.0,0.0,4.0,4.0,28.0,-4.0,0.729,0.706,0.0,0.294,10.6,33.5,21.1,16.0,3.3,0.0,17.2,34.1,120.0,120.0,9.5,"giannis antetokounmpo,khris middleton,donte divincenzo,brook lopez,jrue holiday,bobby portis,bryn forbes,pat connaughton,torrey craig,thanasis antetokounmpo,d.j. wilson","darius garland,collin sexton,isaac okoro,larry nance jr.,jarrett allen,dylan windler,taurean prince,cedi osman,dean wade,lamar stevens"
2021-02-08,35.9,0,7.0,12.0,0.583,0.0,0.0,0.0,1.0,5.0,0.2,5.0,9.0,14.0,2.0,3.0,2.0,1.0,1.0,15.0,3.0,0.528,0.583,0.0,0.417,18.6,27.3,23.4,7.7,4.3,4.1,6.6,19.0,118.0,114.0,3.7,"deandre ayton,mikal bridges,devin booker,frank kaminsky,cameron johnson,jevon carter,langston galloway,damian jones","darius garland,collin sexton,jarrett allen,isaac okoro,taurean prince,cedi osman,dylan windler,javale mcgee"
2021-02-10,16.23,0,2.0,7.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,1.0,1.0,0.0,4.0,1.0,4.0,-28.0,0.286,0.286,0.0,0.0,22.3,16.9,20.2,9.8,3.0,0.0,36.4,27.1,55.0,133.0,-19.0,"nikola jokic,michael porter jr.,will barton,jamal murray,monte morris,r.j. hampton,zeke nnaji,jamychal green,facundo campazzo,isaiah hartenstein,bol bol","isaac okoro,collin sexton,darius garland,jarrett allen,taurean prince,cedi osman,dylan windler,lamar stevens,javale mcgee,dean wade"
