date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2022-10-21,30.33,1,5.0,12.0,0.417,2.0,7.0,0.286,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,0.0,0.0,4.0,14.0,11.0,0.543,0.5,0.583,0.167,3.6,9.0,6.0,11.0,2.9,0.0,0.0,15.7,131.0,125.0,-1.8,"tre jones,devin vassell,keldon johnson,jakob poeltl,jeremy sochan,josh richardson,joshua primo,zach collins,doug mcdermott,keita bates-diop","tyrese haliburton,buddy hield,terry taylor,chris duarte,jalen smith,bennedict mathurin,aaron nesmith,goga bitadze,t.j. mcconnell,isaiah jackson,james johnson"
2022-10-22,9.27,1,3.0,6.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,0.667,0.667,0.5,0.0,9.2,9.2,9.2,52.7,0.0,0.0,14.3,29.1,136.0,122.0,9.3,"saddiq bey,jaden ivey,cade cunningham,bojan bogdanovic,isaiah stewart,jalen duren,killian hayes,cory joseph,isaiah livers,hamidou diallo","tyrese haliburton,jalen smith,aaron nesmith,isaiah jackson,buddy hield,bennedict mathurin,goga bitadze,chris duarte,terry taylor,t.j. mcconnell"
2022-10-24,21.88,0,2.0,6.0,0.333,1.0,5.0,0.2,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,5.0,-2.0,0.417,0.417,0.833,0.0,0.0,16.5,7.7,26.1,0.0,0.0,0.0,11.6,117.0,133.0,-2.1,"tyrese maxey,james harden,tobias harris,joel embiid,p.j. tucker,georges niang,danuel house jr.,de'anthony melton,montrezl harrell,paul reed,shake milton,jaden springer,furkan korkmaz,matisse thybulle","tyrese haliburton,buddy hield,jalen smith,isaiah jackson,aaron nesmith,bennedict mathurin,goga bitadze,chris duarte,terry taylor,t.j. mcconnell,oshae brissett"
2022-10-26,8.67,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,-5.0,1.5,1.5,1.0,0.0,0.0,13.5,6.8,35.2,5.3,0.0,0.0,4.9,270.0,113.0,13.1,"zach lavine,demar derozan,nikola vucevic,ayo dosunmu,patrick williams,alex caruso,javonte green,andre drummond,goran dragic,coby white,derrick jones jr.,dalen terry,malcolm hill","tyrese haliburton,buddy hield,jalen smith,myles turner,aaron nesmith,bennedict mathurin,chris duarte,isaiah jackson,t.j. mcconnell,terry taylor"
2022-10-28,16.03,0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,3.0,-12.0,0.75,0.75,0.5,0.0,0.0,6.7,3.8,15.8,0.0,0.0,33.3,8.3,111.0,122.0,-5.7,"kyle kuzma,bradley beal,monte morris,kristaps porzingis,deni avdija,will barton,rui hachimura,daniel gafford,johnny davis,anthony gill,vernon carey jr.,jordan schakel,isaiah todd","tyrese haliburton,buddy hield,myles turner,jalen smith,aaron nesmith,bennedict mathurin,isaiah jackson,t.j. mcconnell,chris duarte,goga bitadze"
2022-10-29,16.55,0,1.0,6.0,0.167,1.0,3.0,0.333,2.0,2.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,3.0,5.0,-2.0,0.363,0.25,0.5,0.333,0.0,13.8,6.7,39.1,0.0,0.0,0.0,17.3,132.0,127.0,-5.9,"kyrie irving,kevin durant,royce o'neale,ben simmons,nic claxton,joe harris,seth curry,yuta watanabe,patty mills,markieff morris","buddy hield,jalen smith,tyrese haliburton,isaiah jackson,chris duarte,bennedict mathurin,james johnson,goga bitadze,oshae brissett,terry taylor"
2022-10-31,6.75,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,-13.0,0.0,0.0,1.0,0.0,16.5,0.0,9.2,0.0,6.8,14.2,50.0,11.7,31.0,94.0,-0.6,"kyrie irving,kevin durant,royce o'neale,nic claxton,joe harris,yuta watanabe,edmond sumner,day'ron sharpe,markieff morris,patty mills","chris duarte,buddy hield,tyrese haliburton,jalen smith,myles turner,bennedict mathurin,james johnson,t.j. mcconnell,isaiah jackson,goga bitadze,oshae brissett"
2022-11-04,27.77,1,2.0,8.0,0.25,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,1.0,4.0,4.0,13.0,0.25,0.25,0.5,0.0,0.0,11.5,6.2,30.9,0.0,0.0,11.1,14.3,77.0,104.0,-8.7,"max strus,tyler herro,kyle lowry,bam adebayo,caleb martin,gabe vincent,duncan robinson,dewayne dedmon,haywood highsmith","buddy hield,tyrese haliburton,myles turner,jalen smith,chris duarte,bennedict mathurin,t.j. mcconnell,isaiah jackson,oshae brissett"
2022-11-07,33.57,1,6.0,11.0,0.545,3.0,4.0,0.75,0.0,0.0,0.0,1.0,2.0,3.0,5.0,2.0,0.0,3.0,3.0,15.0,6.0,0.682,0.682,0.364,0.0,3.6,6.0,4.9,20.8,2.9,0.0,21.4,17.7,118.0,123.0,0.0,"brandon ingram,cj mccollum,zion williamson,herbert jones,jonas valanciunas,trey murphy iii,devonte' graham,jose alvarado,larry nance jr.,naji marshall","myles turner,buddy hield,tyrese haliburton,jalen smith,bennedict mathurin,isaiah jackson,t.j. mcconnell,terry taylor"
2022-11-09,28.93,1,3.0,6.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.0,4.0,4.0,4.0,2.0,0.0,4.0,2.0,8.0,-12.0,0.621,0.583,0.5,0.167,0.0,15.1,7.3,16.6,3.1,0.0,38.3,14.2,87.0,112.0,-2.9,"michael porter jr.,aaron gordon,kentavious caldwell-pope,jamal murray,nikola jokic,bones hyland,bruce brown,jeff green,deandre jordan","buddy hield,tyrese haliburton,myles turner,jalen smith,bennedict mathurin,aaron nesmith,isaiah jackson,t.j. mcconnell,oshae brissett,goga bitadze"
