date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-22,31.23,0,4.0,16.0,0.25,2.0,6.0,0.333,3.0,4.0,0.75,0.0,2.0,2.0,1.0,0.0,1.0,4.0,4.0,13.0,-28.0,0.366,0.313,0.375,0.25,0.0,6.5,3.0,5.0,0.0,2.7,18.4,26.3,63.0,118.0,-12.7,"kyrie irving,kevin durant,joe harris,spencer dinwiddie,deandre jordan,caris levert,landry shamet,jarrett allen,jeff green,taurean prince,reggie perry,bruce brown,timothe luwawu-cabarrot","stephen curry,kelly oubre jr.,james wiseman,eric paschall,jordan poole,juan toscano-anderson,marquese chriss,damion lee,kent bazemore,kevon looney,mychal mulder"
2020-12-25,24.9,0,6.0,18.0,0.333,0.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,1.0,0.0,1.0,3.0,12.0,-19.0,0.333,0.333,0.222,0.0,9.8,13.1,11.2,0.0,1.8,0.0,5.3,30.3,72.0,128.0,-10.2,"giannis antetokounmpo,khris middleton,jrue holiday,donte divincenzo,brook lopez,bobby portis,pat connaughton,d.j. wilson,bryn forbes,jordan nwora,thanasis antetokounmpo,torrey craig,sam merrill","stephen curry,james wiseman,eric paschall,kelly oubre jr.,jordan poole,damion lee,mychal mulder,marquese chriss,juan toscano-anderson,kevon looney,kent bazemore"
2020-12-27,36.43,0,6.0,15.0,0.4,2.0,3.0,0.667,5.0,6.0,0.833,2.0,7.0,9.0,4.0,0.0,1.0,0.0,2.0,19.0,2.0,0.539,0.467,0.2,0.4,4.6,24.3,12.5,15.5,0.0,2.9,0.0,18.0,124.0,117.0,-0.6,"coby white,zach lavine,wendell carter jr.,lauri markkanen,patrick williams,otto porter jr.,garrett temple,chandler hutchison","stephen curry,kelly oubre jr.,james wiseman,juan toscano-anderson,damion lee,eric paschall,kevon looney,jordan poole,mychal mulder"
2020-12-29,38.07,0,9.0,19.0,0.474,5.0,8.0,0.625,4.0,4.0,1.0,1.0,6.0,7.0,3.0,1.0,3.0,2.0,3.0,27.0,19.0,0.65,0.605,0.421,0.211,3.8,14.5,10.4,14.2,1.2,6.6,8.8,25.9,122.0,103.0,7.8,"jerami grant,josh jackson,mason plumlee,blake griffin,killian hayes,delon wright,derrick rose,isaiah stewart,saddiq bey,svi mykhailiuk,sekou doumbouya","stephen curry,kelly oubre jr.,juan toscano-anderson,james wiseman,kevon looney,damion lee,eric paschall,mychal mulder,jordan poole"
2021-01-01,32.57,1,5.0,12.0,0.417,1.0,3.0,0.333,4.0,7.0,0.571,1.0,3.0,4.0,1.0,0.0,2.0,3.0,2.0,15.0,-26.0,0.497,0.458,0.25,0.583,3.2,9.0,6.2,6.2,0.0,6.0,16.6,24.6,84.0,120.0,-4.7,"robert covington,damian lillard,cj mccollum,derrick jones jr.,jusuf nurkic,anfernee simons,cj elleby","stephen curry,kelly oubre jr.,james wiseman,draymond green,juan toscano-anderson,kent bazemore,eric paschall,damion lee,kevon looney,mychal mulder,jordan poole"
2021-01-03,35.32,1,8.0,16.0,0.5,1.0,5.0,0.2,4.0,7.0,0.571,1.0,6.0,7.0,2.0,0.0,2.0,2.0,5.0,21.0,19.0,0.55,0.531,0.313,0.438,3.5,15.1,10.2,7.1,0.0,4.9,9.5,24.3,111.0,114.0,-3.8,"damian lillard,cj mccollum,robert covington,jusuf nurkic,derrick jones jr.,gary trent jr.,anfernee simons","stephen curry,kelly oubre jr.,draymond green,james wiseman,kent bazemore,kevon looney,damion lee,eric paschall,juan toscano-anderson,mychal mulder"
2021-01-04,28.08,1,7.0,15.0,0.467,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,1.0,3.0,1.0,16.0,15.0,0.533,0.533,0.267,0.0,0.0,6.1,3.4,21.9,1.6,3.1,16.7,26.9,93.0,99.0,-2.4,"de'aaron fox,buddy hield,harrison barnes,marvin bagley iii,richaun holmes,cory joseph,kyle guy,justin james,chimezie metu,robert woodard ii,jahmi'us ramsey","stephen curry,kelly oubre jr.,draymond green,james wiseman,eric paschall,damion lee,kent bazemore,mychal mulder,kevon looney,jordan poole,nico mannion"
2021-01-06,33.92,1,8.0,12.0,0.667,2.0,4.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,19.0,-7.0,0.764,0.75,0.333,0.083,0.0,3.6,1.7,15.3,1.5,0.0,7.4,17.7,138.0,118.0,7.5,"paul george,kawhi leonard,serge ibaka,patrick beverley,nicolas batum,luke kennard,marcus morris,ivica zubac,reggie jackson,mfiondu kabengele,terance mann","stephen curry,draymond green,kelly oubre jr.,james wiseman,damion lee,eric paschall,kent bazemore,kevon looney,mychal mulder"
2021-01-08,28.03,1,5.0,10.0,0.5,2.0,5.0,0.4,4.0,4.0,1.0,1.0,5.0,6.0,1.0,1.0,1.0,3.0,2.0,16.0,-12.0,0.68,0.6,0.5,0.4,4.8,22.0,13.7,5.4,1.8,3.3,20.3,24.1,113.0,111.0,0.2,"paul george,kawhi leonard,serge ibaka,nicolas batum,patrick beverley,luke kennard,marcus morris,ivica zubac,reggie jackson,terance mann,amir coffey,mfiondu kabengele,daniel oturu","stephen curry,draymond green,kelly oubre jr.,james wiseman,damion lee,eric paschall,kent bazemore,mychal mulder,kevon looney"
2021-01-10,34.33,1,7.0,17.0,0.412,3.0,10.0,0.3,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,4.0,3.0,2.0,17.0,-8.0,0.5,0.5,0.588,0.0,0.0,5.4,2.8,19.8,0.0,9.6,15.0,24.0,90.0,106.0,1.6,"pascal siakam,fred vanvleet,og anunoby,kyle lowry,norman powell,chris boucher,malachi flynn,terence davis,stanley johnson,yuta watanabe","stephen curry,draymond green,kelly oubre jr.,james wiseman,kent bazemore,eric paschall,damion lee,kevon looney,mychal mulder"
