date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,25.15,1,5.0,12.0,0.417,1.0,5.0,0.2,4.0,4.0,1.0,2.0,2.0,4.0,4.0,0.0,0.0,1.0,1.0,15.0,4.0,0.545,0.458,0.417,0.333,7.8,8.9,8.3,26.8,0.0,0.0,6.8,25.3,121.0,108.0,1.3,"blake griffin,mason plumlee,jerami grant,killian hayes,delon wright,josh jackson,derrick rose,svi mykhailiuk,jahlil okafor,sekou doumbouya","josh okogie,karl-anthony towns,malik beasley,ricky rubio,jake layman,d'angelo russell,jarrett culver,naz reid,juancho hernangomez"
2020-12-26,22.33,0,8.0,12.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,18.0,6.0,0.75,0.75,0.25,0.0,0.0,4.6,2.2,7.7,4.2,0.0,0.0,21.9,150.0,109.0,12.0,"donovan mitchell,royce o'neale,bojan bogdanovic,mike conley,rudy gobert,joe ingles,jordan clarkson,derrick favors,georges niang,juwan morgan","malik beasley,d'angelo russell,josh okogie,karl-anthony towns,jake layman,ricky rubio,jarrett culver,naz reid,juancho hernangomez"
2020-12-27,28.53,0,6.0,21.0,0.286,1.0,9.0,0.111,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,0.0,1.0,2.0,15.0,-14.0,0.343,0.31,0.429,0.095,5.8,9.3,7.2,12.1,1.6,0.0,4.4,30.5,80.0,122.0,-6.9,"kyle kuzma,lebron james,dennis schroder,kentavious caldwell-pope,talen horton-tucker,montrezl harrell,wesley matthews,markieff morris,alex caruso,alfonzo mckinnie,kostas antetokounmpo","naz reid,malik beasley,d'angelo russell,jake layman,josh okogie,jarrett culver,ricky rubio,jordan mclaughlin,jarred vanderbilt,juancho hernangomez,jaden mcdaniels"
2020-12-29,24.7,0,4.0,10.0,0.4,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,-21.0,0.6,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,17.6,117.0,131.0,-1.0,"paul george,luke kennard,nicolas batum,patrick beverley,serge ibaka,reggie jackson,terance mann,ivica zubac,amir coffey,mfiondu kabengele,daniel oturu","d'angelo russell,malik beasley,ricky rubio,jarrett culver,naz reid,juancho hernangomez,jordan mclaughlin,jarred vanderbilt,jake layman,jaden mcdaniels"
2021-01-01,26.35,1,7.0,16.0,0.438,2.0,8.0,0.25,1.0,4.0,0.25,0.0,3.0,3.0,2.0,0.0,1.0,3.0,2.0,17.0,-7.0,0.479,0.5,0.5,0.25,0.0,13.7,6.4,12.5,0.0,3.3,14.5,32.3,88.0,127.0,-8.3,"bradley beal,deni avdija,raul neto,thomas bryant,rui hachimura,jerome robinson,ish smith,robin lopez,davis bertans,troy brown jr.,garrison mathews,anthony gill","malik beasley,d'angelo russell,ricky rubio,naz reid,jarrett culver,jordan mclaughlin,jake layman,juancho hernangomez,jarred vanderbilt,jaden mcdaniels"
2021-01-03,22.93,1,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,1.0,5.0,-8.0,0.625,0.625,0.75,0.0,0.0,0.0,0.0,21.0,2.2,0.0,42.9,13.8,87.0,134.0,-7.4,"jamal murray,nikola jokic,gary harris,will barton,monte morris,jamychal green,facundo campazzo,pj dozier,vlatko cancar,r.j. hampton,zeke nnaji","malik beasley,d'angelo russell,jarrett culver,juancho hernangomez,naz reid,jake layman,ricky rubio,jordan mclaughlin,jaden mcdaniels,jarred vanderbilt"
2021-01-05,25.57,0,6.0,19.0,0.316,1.0,7.0,0.143,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,15.0,-9.0,0.377,0.342,0.368,0.105,4.5,8.9,6.7,6.1,0.0,0.0,13.1,36.8,74.0,126.0,-15.8,"nikola jokic,will barton,gary harris,jamal murray,facundo campazzo,monte morris,jamychal green,pj dozier,r.j. hampton","malik beasley,d'angelo russell,juancho hernangomez,jarrett culver,jarred vanderbilt,ricky rubio,jake layman,naz reid"
2021-01-07,31.22,0,9.0,21.0,0.429,3.0,10.0,0.3,5.0,7.0,0.714,2.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0,26.0,-15.0,0.54,0.5,0.476,0.333,5.8,7.9,6.7,6.1,2.9,0.0,14.2,35.0,98.0,127.0,-4.3,"damian lillard,cj mccollum,robert covington,jusuf nurkic,derrick jones jr.,gary trent jr.,anfernee simons,nassir little,cj elleby","d'angelo russell,malik beasley,juancho hernangomez,jarrett culver,ricky rubio,jarred vanderbilt,naz reid,jake layman,jaden mcdaniels,jaylen nowell"
2021-01-09,30.27,1,5.0,11.0,0.455,1.0,4.0,0.25,2.0,2.0,1.0,0.0,4.0,4.0,4.0,0.0,0.0,3.0,3.0,13.0,2.0,0.547,0.5,0.364,0.182,0.0,13.0,6.9,17.8,0.0,0.0,20.2,21.8,99.0,121.0,-6.5,"demar derozan,keldon johnson,dejounte murray,lonnie walker iv,patty mills,rudy gay,jakob poeltl,devin vassell","malik beasley,d'angelo russell,karl-anthony towns,jarrett culver,juancho hernangomez,ricky rubio,naz reid,jarred vanderbilt,jake layman"
2021-01-10,17.68,1,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,1.0,0.0,0.0,2.0,1.0,0.0,-5.0,0.0,0.0,0.25,0.0,18.1,15.7,16.8,8.0,0.0,0.0,20.0,26.1,28.0,95.0,-23.7,"dejounte murray,trey lyles,keldon johnson,lonnie walker iv,patty mills,rudy gay,jakob poeltl,devin vassell","malik beasley,d'angelo russell,juancho hernangomez,jarrett culver,naz reid,ricky rubio,josh okogie,jarred vanderbilt"
