date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,24.35,0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,5.0,0.2,1.0,3.0,4.0,0.0,0.0,1.0,2.0,1.0,11.0,0.0,0.764,1.0,0.0,1.0,4.1,17.4,9.6,0.0,0.0,3.5,21.7,16.3,105.0,123.0,-4.9,"collin sexton,larry nance jr.,isaac okoro,darius garland,andre drummond,javale mcgee,cedi osman,dean wade,dylan windler,marques bolden","terry rozier,devonte' graham,gordon hayward,p.j. washington,cody zeller,miles bridges,cody martin,lamelo ball,jalen mcdaniels"
2020-12-26,30.32,1,2.0,7.0,0.286,0.0,0.0,0.0,1.0,2.0,0.5,3.0,6.0,9.0,4.0,0.0,2.0,0.0,2.0,5.0,-5.0,0.317,0.286,0.0,0.286,8.2,22.1,14.1,18.7,0.0,6.1,0.0,10.4,104.0,107.0,-2.3,"luguentz dort,shai gilgeous-alexander,darius bazley,al horford,george hill,theo maledon,hamidou diallo,mike muscala,kenrich williams,aleksej pokusevski","gordon hayward,devonte' graham,terry rozier,p.j. washington,miles bridges,cody martin,caleb martin,lamelo ball,jalen mcdaniels"
2020-12-27,29.63,1,5.0,6.0,0.833,0.0,0.0,0.0,2.0,4.0,0.5,4.0,2.0,6.0,1.0,0.0,1.0,1.0,5.0,12.0,-3.0,0.773,0.833,0.0,0.667,12.2,7.2,9.9,4.6,0.0,4.6,11.4,12.3,141.0,105.0,-0.2,"kevin durant,kyrie irving,joe harris,deandre jordan,spencer dinwiddie,caris levert,jarrett allen,landry shamet,jeff green,timothe luwawu-cabarrot,taurean prince","gordon hayward,devonte' graham,p.j. washington,terry rozier,miles bridges,lamelo ball,cody martin,caleb martin,jalen mcdaniels"
2020-12-30,29.88,0,3.0,6.0,0.5,0.0,0.0,0.0,3.0,5.0,0.6,4.0,2.0,6.0,4.0,0.0,1.0,2.0,5.0,9.0,8.0,0.549,0.5,0.0,0.833,16.9,6.3,10.8,16.8,0.0,3.6,19.6,14.1,122.0,104.0,-0.5,"tim hardaway jr.,josh richardson,dwight powell,dorian finney-smith,luka doncic,maxi kleber,jalen brunson,trey burke,james johnson,josh green,willie cauley-stein,wes iwundu,boban marjanovic,tyrell terry","gordon hayward,terry rozier,devonte' graham,p.j. washington,miles bridges,lamelo ball,jalen mcdaniels,caleb martin,cody martin,vernon carey jr.,nick richards"
2021-01-01,28.37,1,7.0,10.0,0.7,0.0,1.0,0.0,2.0,4.0,0.5,7.0,5.0,12.0,2.0,0.0,1.0,0.0,1.0,16.0,-17.0,0.68,0.7,0.1,0.4,24.7,20.1,22.6,14.6,0.0,3.3,0.0,17.6,151.0,112.0,9.1,"brandon clarke,kyle anderson,tyus jones,dillon brooks,jonas valanciunas,desmond bane,john konchar,gorgui dieng,sean mcdermott","terry rozier,gordon hayward,devonte' graham,p.j. washington,lamelo ball,miles bridges,caleb martin,jalen mcdaniels,cody martin,nick richards"
2021-01-02,30.58,0,3.0,7.0,0.429,0.0,0.0,0.0,3.0,4.0,0.75,3.0,6.0,9.0,5.0,1.0,0.0,2.0,3.0,9.0,-11.0,0.514,0.429,0.0,0.571,9.1,28.5,16.6,23.6,1.6,0.0,18.6,14.6,113.0,129.0,-3.3,"tobias harris,joel embiid,ben simmons,seth curry,danny green,shake milton,tyrese maxey,matisse thybulle","gordon hayward,terry rozier,devonte' graham,p.j. washington,lamelo ball,miles bridges,caleb martin,jalen mcdaniels"
2021-01-04,22.73,0,2.0,7.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,1.0,3.0,3.0,4.0,-20.0,0.286,0.286,0.0,0.0,4.3,12.0,8.3,26.6,0.0,3.4,30.0,18.9,63.0,117.0,-8.8,"ben simmons,tobias harris,seth curry,joel embiid,danny green,shake milton,tyrese maxey,matisse thybulle,isaiah joe,dakota mathias,paul reed","gordon hayward,terry rozier,p.j. washington,devonte' graham,lamelo ball,miles bridges,caleb martin,jalen mcdaniels,malik monk,nick richards"
2021-01-06,24.3,0,1.0,5.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,8.0,1.0,0.0,2.0,0.0,2.0,2.0,-5.0,0.17,0.2,0.0,0.4,7.5,22.4,14.9,6.6,0.0,7.1,0.0,10.7,64.0,94.0,-7.3,"trae young,de'andre hunter,john collins,cam reddish,clint capela,kevin huerter,brandon goodwin,bogdan bogdanovic,nathan knight","gordon hayward,devonte' graham,p.j. washington,terry rozier,lamelo ball,miles bridges,caleb martin,cody martin"
2021-01-08,27.0,0,4.0,5.0,0.8,0.0,0.0,0.0,3.0,4.0,0.75,1.0,5.0,6.0,0.0,0.0,1.0,1.0,2.0,11.0,3.0,0.814,0.8,0.0,0.8,4.2,22.8,13.2,0.0,0.0,4.6,12.9,12.3,141.0,118.0,-2.1,"lonzo ball,brandon ingram,steven adams,zion williamson,josh hart,nickeil alexander-walker,jaxson hayes","gordon hayward,devonte' graham,terry rozier,p.j. washington,miles bridges,lamelo ball,caleb martin,cody martin"
2021-01-09,21.17,1,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,0.0,0.0,1.0,2.0,4.0,4.0,-5.0,0.5,0.5,0.0,0.0,18.9,17.4,18.0,0.0,0.0,5.2,33.3,13.3,91.0,113.0,-11.4,"trae young,de'andre hunter,john collins,clint capela,bogdan bogdanovic,cam reddish,kevin huerter,brandon goodwin,nathan knight","p.j. washington,gordon hayward,terry rozier,devonte' graham,lamelo ball,miles bridges,caleb martin,cody martin"
