date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-25,7.03,0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,-2.0,0.75,0.75,0.0,0.0,0.0,16.6,8.5,0.0,0.0,0.0,0.0,26.4,135.0,144.0,-0.1,"lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,montrezl harrell,kyle kuzma,wesley matthews,markieff morris,alex caruso,talen horton-tucker,alfonzo mckinnie","luka doncic,dorian finney-smith,tim hardaway jr.,josh richardson,dwight powell,trey burke,maxi kleber,willie cauley-stein,jalen brunson,james johnson,wes iwundu,josh green,tyrell terry"
2020-12-27,10.27,0,2.0,4.0,0.5,0.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.41,0.5,0.5,0.5,22.3,29.2,26.0,0.0,0.0,0.0,17.0,26.2,87.0,84.0,-11.1,"luke kennard,paul george,patrick beverley,nicolas batum,serge ibaka,terance mann,reggie jackson,amir coffey,ivica zubac,mfiondu kabengele,daniel oturu","josh richardson,luka doncic,tim hardaway jr.,dorian finney-smith,dwight powell,james johnson,willie cauley-stein,trey burke,maxi kleber,jalen brunson,wes iwundu,josh green,tyrell terry"
2020-12-30,3.67,1,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.5,0.0,0.0,0.0,34.4,14.7,0.0,0.0,0.0,0.0,22.7,98.0,118.0,-4.3,"gordon hayward,terry rozier,bismack biyombo,devonte' graham,p.j. washington,miles bridges,lamelo ball,jalen mcdaniels,caleb martin,cody martin,vernon carey jr.,nick richards","tim hardaway jr.,josh richardson,dwight powell,dorian finney-smith,luka doncic,maxi kleber,jalen brunson,trey burke,james johnson,josh green,willie cauley-stein,wes iwundu,tyrell terry"
2021-01-03,7.15,0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0,-4.0,0.75,0.75,0.0,0.0,42.0,49.1,45.3,0.0,0.0,0.0,0.0,23.2,162.0,111.0,11.2,"zach lavine,coby white,otto porter jr.,patrick williams,wendell carter jr.,thaddeus young,garrett temple,daniel gafford,denzel valentine","jalen brunson,josh richardson,dorian finney-smith,tim hardaway jr.,dwight powell,maxi kleber,trey burke,james johnson,willie cauley-stein,josh green,nate hinton,tyrell terry"
2021-01-07,16.18,0,5.0,7.0,0.714,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.761,0.714,0.0,0.286,7.3,14.2,10.8,0.0,0.0,0.0,0.0,22.7,153.0,118.0,0.1,"jamal murray,nikola jokic,gary harris,will barton,pj dozier,monte morris,jamychal green,isaiah hartenstein","luka doncic,josh richardson,dorian finney-smith,maxi kleber,willie cauley-stein,tim hardaway jr.,jalen brunson,dwight powell,james johnson,josh green"
2021-01-09,1.88,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,65.4,0.0,29.3,0.0,0.0,0.0,0.0,24.5,74.0,111.0,-28.1,"aaron gordon,nikola vucevic,cole anthony,terrence ross,khem birch,gary clark,jordan bone","tim hardaway jr.,luka doncic,maxi kleber,willie cauley-stein,josh green,wes iwundu,james johnson,trey burke,dwight powell"
2021-01-13,15.0,0,3.0,6.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,8.0,13.0,0.581,0.5,0.0,0.333,18.8,11.4,15.0,0.0,0.0,0.0,0.0,19.5,138.0,103.0,-2.0,"terry rozier,devonte' graham,p.j. washington,gordon hayward,bismack biyombo,miles bridges,lamelo ball,caleb martin,cody martin,vernon carey jr.,jalen mcdaniels,malik monk","luka doncic,tim hardaway jr.,willie cauley-stein,wes iwundu,kristaps porzingis,trey burke,james johnson,josh green,tyler bey,nate hinton,tyrell terry"
2021-01-15,4.23,0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.25,0.25,0.0,0.0,43.6,0.0,21.0,0.0,0.0,0.0,0.0,40.6,83.0,122.0,-18.7,"khris middleton,jrue holiday,brook lopez,giannis antetokounmpo,donte divincenzo,pat connaughton,bobby portis,bryn forbes,thanasis antetokounmpo","tim hardaway jr.,luka doncic,willie cauley-stein,kristaps porzingis,wes iwundu,james johnson,trey burke,josh green,tyrell terry"
2021-01-17,6.47,1,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,-3.0,0.25,0.25,0.0,0.0,13.7,55.7,31.6,0.0,0.0,0.0,0.0,25.3,68.0,109.0,-18.0,"lauri markkanen,zach lavine,wendell carter jr.,coby white,patrick williams,garrett temple,otto porter jr.,thaddeus young,ryan arcidiacono,daniel gafford","luka doncic,kristaps porzingis,josh green,wes iwundu,willie cauley-stein,trey burke,james johnson,tyrell terry,nate hinton,tyler bey"
2021-01-18,3.33,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,26.2,0.0,125.0,-32.6,"kyle lowry,pascal siakam,fred vanvleet,og anunoby,chris boucher,norman powell,stanley johnson,terence davis,deandre' bembry,malachi flynn,yuta watanabe","luka doncic,kristaps porzingis,jalen brunson,tim hardaway jr.,willie cauley-stein,james johnson,trey burke,josh green,wes iwundu,tyrell terry,tyler bey,nate hinton"
