date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,25.85,1,5.0,9.0,0.556,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,10.0,-8.0,0.53,0.556,0.222,0.111,0.0,12.4,6.2,0.0,0.0,2.7,9.6,17.0,89.0,125.0,-7.9,"demar derozan,lonnie walker iv,keldon johnson,dejounte murray,rudy gay,devin vassell,patty mills,jakob poeltl","ja morant,dillon brooks,jonas valanciunas,kyle anderson,grayson allen,de'anthony melton,tyus jones,gorgui dieng,desmond bane"
2020-12-26,20.1,1,2.0,8.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,4.0,4.0,-15.0,0.25,0.25,0.125,0.0,4.8,9.6,7.2,7.4,0.0,0.0,0.0,16.5,67.0,122.0,-13.7,"trae young,de'andre hunter,cam reddish,bogdan bogdanovic,john collins,kevin huerter,bruno fernando,brandon goodwin,nathan knight","kyle anderson,ja morant,dillon brooks,grayson allen,jonas valanciunas,desmond bane,tyus jones,john konchar,gorgui dieng"
2020-12-28,28.97,0,6.0,11.0,0.545,1.0,1.0,1.0,3.0,7.0,0.429,4.0,3.0,7.0,2.0,1.0,0.0,0.0,0.0,16.0,0.0,0.568,0.591,0.091,0.636,13.8,10.4,12.1,11.8,1.7,0.0,0.0,19.9,133.0,105.0,7.4,"joe harris,timothe luwawu-cabarrot,caris levert,deandre jordan,taurean prince,chris chiozza,landry shamet,jeff green,jarrett allen","jonas valanciunas,kyle anderson,dillon brooks,grayson allen,ja morant,tyus jones,desmond bane,john konchar,gorgui dieng"
2020-12-30,25.85,0,4.0,13.0,0.308,0.0,2.0,0.0,2.0,6.0,0.333,1.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,10.0,-7.0,0.32,0.308,0.154,0.462,4.0,26.5,14.8,5.7,1.8,3.6,6.0,24.5,72.0,116.0,-8.8,"jaylen brown,marcus smart,jayson tatum,daniel theis,robert williams,payton pritchard,grant williams,aaron nesmith,carsen edwards,tremont waters","kyle anderson,dillon brooks,jonas valanciunas,tyus jones,grayson allen,desmond bane,gorgui dieng,john konchar,sean mcdermott"
2021-01-01,31.58,0,6.0,11.0,0.545,1.0,4.0,0.25,2.0,2.0,1.0,1.0,3.0,4.0,3.0,0.0,2.0,2.0,3.0,15.0,12.0,0.631,0.591,0.364,0.182,3.6,9.5,6.8,13.5,0.0,5.5,14.4,19.3,115.0,98.0,0.3,"bismack biyombo,terry rozier,gordon hayward,devonte' graham,p.j. washington,lamelo ball,miles bridges,caleb martin,jalen mcdaniels,cody martin,nick richards","kyle anderson,tyus jones,dillon brooks,jonas valanciunas,desmond bane,john konchar,gorgui dieng,sean mcdermott"
2021-01-03,28.52,1,4.0,10.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,0.0,0.0,1.0,1.0,0.0,8.0,-15.0,0.4,0.4,0.2,0.0,9.9,14.0,11.9,0.0,0.0,3.1,9.1,16.9,87.0,118.0,-6.0,"anthony davis,lebron james,dennis schroder,kyle kuzma,wesley matthews,talen horton-tucker,montrezl harrell,markieff morris,alfonzo mckinnie","kyle anderson,tyus jones,dillon brooks,jonas valanciunas,desmond bane,gorgui dieng,xavier tillman sr.,john konchar,grayson allen,sean mcdermott"
2021-01-05,28.53,1,5.0,11.0,0.455,1.0,2.0,0.5,1.0,2.0,0.5,1.0,2.0,3.0,1.0,3.0,1.0,0.0,2.0,12.0,-10.0,0.505,0.5,0.182,0.182,3.5,8.0,5.6,6.1,5.1,3.0,0.0,18.9,102.0,92.0,4.7,"dennis schroder,anthony davis,lebron james,kyle kuzma,wesley matthews,talen horton-tucker,montrezl harrell,markieff morris","tyus jones,dillon brooks,kyle anderson,jonas valanciunas,desmond bane,gorgui dieng,xavier tillman sr.,de'anthony melton,grayson allen"
2021-01-07,30.18,1,7.0,11.0,0.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.0,0.0,1.0,1.0,2.0,14.0,-1.0,0.636,0.636,0.0,0.0,0.0,28.9,15.0,12.8,0.0,3.2,8.3,18.3,117.0,105.0,-0.4,"isaac okoro,cedi osman,andre drummond,larry nance jr.,lamar stevens,javale mcgee,dean wade","dillon brooks,kyle anderson,jonas valanciunas,tyus jones,desmond bane,de'anthony melton,xavier tillman sr.,gorgui dieng,grayson allen"
2021-01-08,32.98,1,9.0,22.0,0.409,3.0,7.0,0.429,0.0,1.0,0.0,3.0,5.0,8.0,5.0,1.0,2.0,1.0,2.0,21.0,-9.0,0.468,0.477,0.318,0.045,8.7,19.1,13.2,22.8,1.4,5.8,4.3,29.4,106.0,106.0,2.4,"caris levert,jeff green,jarrett allen,taurean prince,bruce brown,joe harris,landry shamet,timothe luwawu-cabarrot,deandre jordan,chris chiozza","tyus jones,dillon brooks,kyle anderson,jonas valanciunas,grayson allen,de'anthony melton,desmond bane,xavier tillman sr.,gorgui dieng"
2021-01-11,29.8,0,7.0,13.0,0.538,0.0,2.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,1.0,1.0,0.0,2.0,2.0,15.0,3.0,0.54,0.538,0.154,0.154,4.4,11.2,8.1,5.6,1.7,0.0,12.6,25.0,93.0,101.0,-6.7,"isaac okoro,larry nance jr.,andre drummond,cedi osman,javale mcgee,dean wade,lamar stevens","dillon brooks,tyus jones,kyle anderson,jonas valanciunas,desmond bane,de'anthony melton,xavier tillman sr.,grayson allen"
