date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,41.12,0,7.0,15.0,0.467,5.0,11.0,0.455,3.0,3.0,1.0,1.0,3.0,4.0,3.0,1.0,0.0,3.0,5.0,22.0,-2.0,0.674,0.633,0.733,0.2,2.4,8.4,5.2,10.7,1.2,0.0,15.5,19.2,122.0,114.0,2.4,"nikola jokic,gary harris,jamal murray,michael porter jr.,will barton,monte morris,pj dozier,isaiah hartenstein,facundo campazzo","harrison barnes,de'aaron fox,marvin bagley iii,richaun holmes,tyrese haliburton,cory joseph"
2020-12-26,34.68,1,4.0,14.0,0.286,2.0,7.0,0.286,4.0,6.0,0.667,1.0,3.0,4.0,0.0,1.0,0.0,1.0,3.0,14.0,1.0,0.421,0.357,0.5,0.429,3.1,8.1,5.8,0.0,1.4,0.0,5.7,20.6,94.0,105.0,-5.0,"devin booker,chris paul,jae crowder,deandre ayton,mikal bridges,cameron johnson,damian jones,cameron payne,langston galloway,jevon carter,jalen smith,frank kaminsky","de'aaron fox,harrison barnes,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph"
2020-12-27,33.92,1,6.0,16.0,0.375,3.0,9.0,0.333,2.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,17.0,-18.0,0.504,0.469,0.563,0.125,0.0,0.0,0.0,15.4,1.4,2.4,5.6,24.8,97.0,120.0,-0.5,"mikal bridges,devin booker,deandre ayton,chris paul,jae crowder,cameron johnson,cameron payne,frank kaminsky,langston galloway,jevon carter,ty-shon alexander,damian jones","harrison barnes,marvin bagley iii,de'aaron fox,richaun holmes,tyrese haliburton,cory joseph,kyle guy,jahmi'us ramsey,robert woodard ii,justin james"
2020-12-29,34.62,1,4.0,10.0,0.4,3.0,7.0,0.429,1.0,1.0,1.0,1.0,7.0,8.0,3.0,0.0,0.0,2.0,2.0,12.0,8.0,0.575,0.55,0.7,0.1,3.2,30.3,14.6,10.3,0.0,0.0,16.1,15.2,109.0,119.0,-4.2,"michael porter jr.,nikola jokic,monte morris,gary harris,will barton,pj dozier,facundo campazzo,isaiah hartenstein,bol bol,r.j. hampton,zeke nnaji","de'aaron fox,harrison barnes,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph"
2020-12-31,37.78,0,7.0,18.0,0.389,5.0,15.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,5.0,0.0,1.0,2.0,3.0,19.0,-9.0,0.528,0.528,0.833,0.0,0.0,9.3,4.2,17.6,0.0,2.5,10.0,20.9,109.0,123.0,-1.9,"james harden,john wall,p.j. tucker,christian wood,danuel house jr.,eric gordon,jae'sean tate,demarcus cousins,sterling brown","harrison barnes,richaun holmes,de'aaron fox,marvin bagley iii,tyrese haliburton,cory joseph"
2021-01-02,37.52,0,6.0,17.0,0.353,5.0,12.0,0.417,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,3.0,3.0,17.0,-3.0,0.5,0.5,0.706,0.0,0.0,13.1,5.4,9.4,1.3,0.0,15.0,22.6,92.0,107.0,-1.6,"john wall,danuel house jr.,christian wood,p.j. tucker,eric gordon,sterling brown,jae'sean tate,demarcus cousins,david nwaba","harrison barnes,de'aaron fox,richaun holmes,marvin bagley iii,cory joseph,kyle guy"
2021-01-04,29.98,0,3.0,12.0,0.25,3.0,11.0,0.273,1.0,2.0,0.5,0.0,6.0,6.0,1.0,0.0,1.0,2.0,2.0,10.0,-21.0,0.388,0.375,0.917,0.167,0.0,21.8,9.6,5.5,0.0,3.0,13.4,19.7,70.0,127.0,-9.7,"stephen curry,andrew wiggins,kelly oubre jr.,draymond green,james wiseman,eric paschall,damion lee,kent bazemore,mychal mulder,kevon looney,jordan poole,nico mannion","de'aaron fox,harrison barnes,marvin bagley iii,richaun holmes,cory joseph,kyle guy,justin james,chimezie metu,robert woodard ii,jahmi'us ramsey"
2021-01-06,35.2,1,3.0,15.0,0.2,2.0,9.0,0.222,2.0,2.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,3.0,10.0,7.0,0.315,0.267,0.6,0.133,0.0,11.1,5.0,9.5,1.4,0.0,5.9,20.9,77.0,128.0,-15.7,"coby white,zach lavine,wendell carter jr.,otto porter jr.,patrick williams,garrett temple,denzel valentine,thaddeus young,daniel gafford","harrison barnes,richaun holmes,marvin bagley iii,de'aaron fox,tyrese haliburton,cory joseph"
2021-01-08,32.45,1,6.0,14.0,0.429,3.0,9.0,0.333,0.0,0.0,0.0,0.0,5.0,5.0,6.0,1.0,0.0,1.0,3.0,15.0,-18.0,0.536,0.536,0.643,0.0,0.0,21.1,10.6,23.9,1.5,0.0,6.7,21.3,109.0,147.0,-6.5,"fred vanvleet,pascal siakam,og anunoby,norman powell,alex len,chris boucher,terence davis,yuta watanabe,malachi flynn,stanley johnson,deandre' bembry,jalen harris","harrison barnes,marvin bagley iii,de'aaron fox,richaun holmes,tyrese haliburton,cory joseph,kyle guy,justin james,jahmi'us ramsey,robert woodard ii"
2021-01-09,25.9,1,3.0,10.0,0.3,2.0,8.0,0.25,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,1.0,2.0,2.0,8.0,-26.0,0.4,0.4,0.8,0.0,0.0,18.5,9.6,6.8,0.0,3.1,16.7,20.0,66.0,119.0,-8.4,"damian lillard,cj mccollum,robert covington,jusuf nurkic,derrick jones jr.,gary trent jr.,anfernee simons,cj elleby,nassir little","harrison barnes,tyrese haliburton,de'aaron fox,marvin bagley iii,cory joseph,justin james,chimezie metu,jahmi'us ramsey,robert woodard ii"
2021-01-11,30.77,1,6.0,11.0,0.545,6.0,11.0,0.545,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,0.0,2.0,3.0,18.0,0.0,0.818,0.818,1.0,0.0,0.0,13.3,7.7,12.4,1.5,0.0,15.4,18.1,133.0,119.0,4.4,"domantas sabonis,malcolm brogdon,victor oladipo,justin holiday,myles turner,doug mcdermott,aaron holiday,edmond sumner","de'aaron fox,harrison barnes,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph"
2021-01-13,38.27,1,9.0,21.0,0.429,8.0,18.0,0.444,0.0,0.0,0.0,0.0,6.0,6.0,5.0,1.0,0.0,0.0,5.0,26.0,3.0,0.619,0.619,0.857,0.0,0.0,16.4,9.4,19.2,1.3,0.0,0.0,24.3,130.0,135.0,2.3,"cj mccollum,damian lillard,robert covington,jusuf nurkic,derrick jones jr.,gary trent jr.","de'aaron fox,harrison barnes,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph,chimezie metu"
2021-01-15,29.25,1,3.0,11.0,0.273,2.0,9.0,0.222,1.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,2.0,3.0,9.0,-26.0,0.393,0.364,0.818,0.091,0.0,4.7,2.1,23.4,1.7,0.0,14.9,20.7,84.0,147.0,-7.7,"paul george,kawhi leonard,nicolas batum,reggie jackson,serge ibaka,terance mann,luke kennard,marcus morris,ivica zubac,amir coffey,daniel oturu,mfiondu kabengele","harrison barnes,marvin bagley iii,richaun holmes,de'aaron fox,tyrese haliburton,chimezie metu,cory joseph,justin james,robert woodard ii"
2021-01-17,35.75,1,5.0,12.0,0.417,5.0,11.0,0.455,3.0,3.0,1.0,0.0,4.0,4.0,3.0,1.0,1.0,2.0,4.0,18.0,13.0,0.676,0.625,0.917,0.25,0.0,13.8,6.6,10.0,1.4,2.1,13.1,18.9,123.0,131.0,0.7,"brandon ingram,zion williamson,nickeil alexander-walker,steven adams,josh hart,jaxson hayes,kira lewis jr.","richaun holmes,harrison barnes,de'aaron fox,marvin bagley iii,tyrese haliburton,cory joseph,chimezie metu"
2021-01-20,28.68,0,5.0,12.0,0.417,3.0,7.0,0.429,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,1.0,4.0,1.0,13.0,-12.0,0.542,0.542,0.583,0.0,0.0,8.2,3.8,16.4,4.9,3.3,25.0,24.5,80.0,105.0,1.2,"kawhi leonard,paul george,nicolas batum,patrick beverley,serge ibaka,marcus morris,luke kennard,ivica zubac,terance mann,mfiondu kabengele,reggie jackson,daniel oturu","richaun holmes,de'aaron fox,harrison barnes,marvin bagley iii,tyrese haliburton,cory joseph,chimezie metu,justin james"
2021-01-22,29.33,1,4.0,11.0,0.364,3.0,6.0,0.5,0.0,0.0,0.0,0.0,6.0,6.0,2.0,1.0,0.0,2.0,3.0,11.0,12.0,0.5,0.5,0.545,0.0,0.0,16.6,8.8,10.4,1.7,0.0,15.4,20.0,89.0,98.0,-4.3,"julius randle,rj barrett,elfrid payton,mitchell robinson,reggie bullock,alec burks,nerlens noel,immanuel quickley,obi toppin,kevin knox","de'aaron fox,richaun holmes,harrison barnes,marvin bagley iii,tyrese haliburton,cory joseph,chimezie metu"
2021-01-27,37.52,0,10.0,17.0,0.588,7.0,12.0,0.583,2.0,2.0,1.0,0.0,5.0,5.0,3.0,3.0,1.0,1.0,2.0,29.0,16.0,0.811,0.794,0.706,0.118,0.0,12.8,6.6,11.9,3.9,1.8,5.3,20.4,159.0,104.0,16.2,"nikola vucevic,cole anthony,evan fournier,aaron gordon,terrence ross,gary clark,khem birch,mo bamba,jordan bone","de'aaron fox,harrison barnes,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph,justin james,chimezie metu,robert woodard ii"
2021-01-29,39.62,0,7.0,12.0,0.583,5.0,8.0,0.625,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,22.0,7.0,0.826,0.792,0.667,0.25,3.6,6.2,5.0,7.0,1.2,2.2,13.1,16.3,145.0,127.0,4.6,"pascal siakam,kyle lowry,fred vanvleet,terence davis,yuta watanabe,stanley johnson,deandre' bembry,chris boucher","harrison barnes,de'aaron fox,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph"
2021-01-30,36.65,0,6.0,15.0,0.4,6.0,13.0,0.462,0.0,0.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,4.0,3.0,18.0,4.0,0.6,0.6,0.867,0.0,0.0,17.2,8.2,11.9,4.2,0.0,21.1,23.3,101.0,110.0,1.0,"tyler herro,bam adebayo,duncan robinson,jimmy butler,kz okpala,andre iguodala,kelly olynyk,max strus,precious achiuwa,gabe vincent","harrison barnes,de'aaron fox,richaun holmes,marvin bagley iii,tyrese haliburton,kyle guy,cory joseph"
2021-02-01,39.0,0,4.0,16.0,0.25,4.0,15.0,0.267,4.0,6.0,0.667,1.0,7.0,8.0,3.0,0.0,0.0,1.0,3.0,16.0,12.0,0.429,0.375,0.938,0.375,2.9,15.4,10.0,10.0,0.0,0.0,5.1,20.2,102.0,110.0,-5.1,"brandon ingram,lonzo ball,zion williamson,jaxson hayes,josh hart,willy hernangomez,nickeil alexander-walker,kira lewis jr.","harrison barnes,de'aaron fox,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph,kyle guy,chimezie metu"
2021-02-03,38.17,1,5.0,16.0,0.313,3.0,10.0,0.3,2.0,2.0,1.0,1.0,9.0,10.0,0.0,1.0,0.0,2.0,3.0,15.0,8.0,0.444,0.406,0.625,0.125,2.7,26.3,14.1,0.0,1.3,0.0,10.6,21.2,87.0,112.0,-7.5,"jayson tatum,jaylen brown,daniel theis,tristan thompson,tremont waters,robert williams,grant williams,javonte green,carsen edwards","de'aaron fox,harrison barnes,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph"
2021-02-06,39.08,1,1.0,11.0,0.091,0.0,9.0,0.0,3.0,4.0,0.75,0.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,5.0,1.0,0.196,0.091,0.818,0.364,0.0,10.2,5.3,20.1,0.0,0.0,0.0,14.4,78.0,124.0,-10.7,"nikola jokic,will barton,monte morris,michael porter jr.,r.j. hampton,jamychal green,vlatko cancar","de'aaron fox,harrison barnes,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph"
2021-02-07,38.0,0,7.0,18.0,0.389,3.0,9.0,0.333,5.0,5.0,1.0,1.0,8.0,9.0,2.0,0.0,0.0,3.0,1.0,22.0,7.0,0.545,0.472,0.5,0.278,2.6,17.7,10.8,6.8,0.0,0.0,12.9,26.0,103.0,112.0,-2.7,"kawhi leonard,reggie jackson,nicolas batum,serge ibaka,luke kennard,ivica zubac,terance mann,marcus morris","de'aaron fox,harrison barnes,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph,kyle guy,chimezie metu"
2021-02-09,37.85,1,7.0,20.0,0.35,6.0,16.0,0.375,1.0,1.0,1.0,0.0,8.0,8.0,4.0,0.0,1.0,3.0,5.0,21.0,-8.0,0.514,0.5,0.8,0.05,0.0,23.6,10.4,14.9,0.0,2.0,12.8,25.1,92.0,113.0,-0.7,"tobias harris,joel embiid,ben simmons,seth curry,danny green,matisse thybulle,shake milton,furkan korkmaz","de'aaron fox,harrison barnes,marvin bagley iii,richaun holmes,tyrese haliburton,cory joseph,kyle guy"
2021-02-12,33.28,1,7.0,15.0,0.467,5.0,12.0,0.417,0.0,0.0,0.0,1.0,3.0,4.0,4.0,1.0,0.0,1.0,5.0,19.0,-19.0,0.633,0.633,0.8,0.0,3.6,9.8,6.9,17.5,1.5,0.0,6.3,21.1,122.0,126.0,-0.5,"nikola vucevic,michael carter-williams,gary clark,terrence ross,khem birch,chuma okeke,mo bamba","harrison barnes,tyrese haliburton,richaun holmes,cory joseph,daquan jeffries,kyle guy,justin james"
2021-02-14,31.55,1,2.0,10.0,0.2,1.0,8.0,0.125,3.0,3.0,1.0,2.0,4.0,6.0,1.0,0.0,0.0,2.0,2.0,8.0,-11.0,0.353,0.25,0.8,0.3,7.8,16.4,12.0,4.0,0.0,0.0,15.0,18.5,75.0,127.0,-12.7,"ja morant,grayson allen,dillon brooks,kyle anderson,jonas valanciunas,xavier tillman sr.,brandon clarke,john konchar,tyus jones,sean mcdermott","de'aaron fox,harrison barnes,richaun holmes,daquan jeffries,tyrese haliburton,cory joseph,chimezie metu,kyle guy"
