date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,23.77,0,6.0,11.0,0.545,1.0,3.0,0.333,2.0,2.0,1.0,1.0,5.0,6.0,0.0,2.0,0.0,1.0,3.0,15.0,27.0,0.631,0.591,0.273,0.182,5.5,22.0,14.6,0.0,3.9,0.0,7.8,22.9,119.0,94.0,2.7,"patrick williams,coby white,lauri markkanen,wendell carter jr.,zach lavine,otto porter jr.,ryan arcidiacono,chandler hutchison,daniel gafford,adam mokoka","trae young,de'andre hunter,danilo gallinari,john collins,kevin huerter,bogdan bogdanovic,bruno fernando,brandon goodwin,nathan knight,skylar mays"
2020-12-26,32.47,0,2.0,8.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,5.0,0.0,0.313,0.313,0.125,0.0,3.0,5.9,4.4,8.4,1.4,3.0,27.3,13.5,61.0,109.0,-7.2,"kyle anderson,ja morant,dillon brooks,grayson allen,jonas valanciunas,desmond bane,brandon clarke,tyus jones,john konchar,gorgui dieng","trae young,de'andre hunter,bogdan bogdanovic,john collins,kevin huerter,bruno fernando,brandon goodwin,nathan knight"
2020-12-28,26.17,1,4.0,10.0,0.4,2.0,5.0,0.4,1.0,2.0,0.5,1.0,6.0,7.0,3.0,3.0,0.0,1.0,2.0,11.0,-3.0,0.506,0.5,0.5,0.2,4.7,20.4,13.8,16.8,5.6,0.0,8.4,20.0,109.0,110.0,1.5,"jerami grant,mason plumlee,saddiq bey,killian hayes,josh jackson,delon wright,isaiah stewart,svi mykhailiuk,sekou doumbouya","trae young,de'andre hunter,john collins,clint capela,bogdan bogdanovic,kevin huerter,bruno fernando"
2020-12-30,31.97,0,5.0,11.0,0.455,2.0,7.0,0.286,8.0,10.0,0.8,1.0,2.0,3.0,1.0,0.0,1.0,1.0,3.0,20.0,3.0,0.649,0.545,0.636,0.909,3.1,6.5,4.8,3.8,0.0,2.5,6.1,19.5,139.0,138.0,-1.3,"kevin durant,kyrie irving,joe harris,timothe luwawu-cabarrot,deandre jordan,jarrett allen,caris levert,taurean prince,landry shamet,jeff green","de'andre hunter,trae young,john collins,clint capela,bogdan bogdanovic,kevin huerter,bruno fernando,danilo gallinari"
2021-01-01,31.45,0,3.0,11.0,0.273,2.0,4.0,0.5,4.0,4.0,1.0,1.0,6.0,7.0,1.0,1.0,0.0,1.0,3.0,12.0,6.0,0.47,0.364,0.364,0.364,3.4,19.1,11.5,4.0,1.6,0.0,7.3,19.4,101.0,99.0,-3.7,"kevin durant,kyrie irving,joe harris,timothe luwawu-cabarrot,deandre jordan,caris levert,jarrett allen,landry shamet,taurean prince,jeff green,bruce brown,chris chiozza,reggie perry","trae young,de'andre hunter,clint capela,john collins,bogdan bogdanovic,kevin huerter,brandon goodwin,bruno fernando,nathan knight,skylar mays"
2021-01-02,23.95,1,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,3.0,2.0,3.0,0.25,0.25,0.25,0.0,4.4,4.2,4.3,6.1,2.1,0.0,33.3,10.6,51.0,106.0,-10.4,"larry nance jr.,collin sexton,darius garland,andre drummond,cedi osman,javale mcgee,dean wade","john collins,trae young,de'andre hunter,clint capela,kevin huerter,bogdan bogdanovic,brandon goodwin,bruno fernando"
2021-01-04,30.27,1,4.0,11.0,0.364,2.0,6.0,0.333,0.0,1.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,4.0,10.0,-5.0,0.437,0.455,0.545,0.091,0.0,15.5,7.5,4.7,0.0,0.0,14.9,19.5,76.0,118.0,-9.0,"rj barrett,julius randle,elfrid payton,mitchell robinson,reggie bullock,austin rivers,immanuel quickley,kevin knox","trae young,de'andre hunter,john collins,clint capela,kevin huerter,bogdan bogdanovic,brandon goodwin"
2021-01-06,27.37,1,3.0,15.0,0.2,0.0,8.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,1.0,1.0,8.0,-3.0,0.252,0.2,0.533,0.133,0.0,13.2,6.6,11.4,1.8,0.0,5.9,25.3,58.0,102.0,-8.8,"gordon hayward,devonte' graham,p.j. washington,terry rozier,bismack biyombo,lamelo ball,miles bridges,caleb martin,cody martin","trae young,de'andre hunter,john collins,clint capela,kevin huerter,brandon goodwin,bogdan bogdanovic,nathan knight"
2021-01-09,33.62,0,6.0,17.0,0.353,4.0,13.0,0.308,5.0,6.0,0.833,0.0,5.0,5.0,1.0,4.0,0.0,3.0,3.0,21.0,-5.0,0.535,0.471,0.765,0.353,0.0,19.8,8.1,5.6,6.0,0.0,13.3,28.0,99.0,111.0,1.6,"p.j. washington,gordon hayward,terry rozier,devonte' graham,bismack biyombo,lamelo ball,miles bridges,caleb martin,cody martin","trae young,de'andre hunter,john collins,clint capela,bogdan bogdanovic,kevin huerter,brandon goodwin,nathan knight"
2021-01-11,23.85,1,3.0,8.0,0.375,1.0,4.0,0.25,3.0,3.0,1.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,10.0,22.0,0.536,0.438,0.5,0.375,3.7,15.2,9.3,0.0,2.0,0.0,0.0,15.8,121.0,96.0,1.3,"dakota mathias,tyrese maxey,danny green,joel embiid,isaiah joe,paul reed,tony bradley","clint capela,trae young,john collins,de'andre hunter,kevin huerter,brandon goodwin,bruno fernando,nathan knight,skylar mays"
