date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-01-11,2.17,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46.2,0.0,0.0,0.0,19.9,66.0,116.0,-21.9,"chris paul,devin booker,jae crowder,deandre ayton,mikal bridges,dario saric,cameron johnson,jevon carter,langston galloway,damian jones,ty-shon alexander","bradley beal,rui hachimura,robin lopez,raul neto,deni avdija,davis bertans,moritz wagner,ish smith,garrison mathews,anthony gill"
2021-01-24,21.73,0,3.0,7.0,0.429,2.0,5.0,0.4,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,1.0,1.0,2.0,8.0,-16.0,0.571,0.571,0.714,0.0,0.0,20.5,9.4,13.6,0.0,3.4,12.5,15.8,107.0,120.0,-4.1,"dejounte murray,lonnie walker iv,keldon johnson,demar derozan,devin vassell,rudy gay,jakob poeltl,patty mills,tre jones,keita bates-diop,trey lyles,luka samanic","jerome robinson,bradley beal,russell westbrook,robin lopez,garrison mathews,alex len,anthony gill,jordan bell"
2021-01-26,1.22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,-10.6,"victor oladipo,p.j. tucker,demarcus cousins,jae'sean tate,john wall,eric gordon,david nwaba,sterling brown,danuel house jr.","bradley beal,robin lopez,russell westbrook,anthony gill,jerome robinson,garrison mathews,raul neto,jordan bell,alex len"
2021-01-27,15.67,0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,-5.0,0.75,0.75,0.5,0.0,0.0,0.0,0.0,27.1,0.0,0.0,0.0,5.5,172.0,135.0,-4.8,"brandon ingram,steven adams,zion williamson,lonzo ball,nickeil alexander-walker,josh hart,jaxson hayes","bradley beal,jordan bell,robin lopez,raul neto,garrison mathews,jerome robinson,alex len,anthony gill"
2021-01-29,1.82,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,250.0,126.0,21.0,"trae young,john collins,kevin huerter,clint capela,de'andre hunter,cam reddish,danilo gallinari,onyeka okongwu,brandon goodwin,bruno fernando","bradley beal,russell westbrook,jerome robinson,rui hachimura,robin lopez,davis bertans,garrison mathews,raul neto,alex len,moritz wagner,anthony gill"
2021-02-02,1.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,-10.8,"gary trent jr.,damian lillard,robert covington,anfernee simons,cj elleby","bradley beal,rui hachimura,russell westbrook,deni avdija,robin lopez,davis bertans,ish smith,moritz wagner,garrison mathews,alex len"
2021-03-12,6.32,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.5,1.5,1.0,0.0,0.0,21.1,9.4,23.5,0.0,0.0,0.0,6.9,278.0,129.0,12.5,"danny green,seth curry,tobias harris,matisse thybulle,joel embiid,shake milton,furkan korkmaz,tony bradley,tyrese maxey","russell westbrook,bradley beal,garrison mathews,rui hachimura,moritz wagner,deni avdija,robin lopez,raul neto,troy brown jr.,davis bertans,alex len"
2021-03-15,1.17,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,93.5,0.0,0.0,0.0,36.9,57.0,128.0,-17.9,"giannis antetokounmpo,khris middleton,donte divincenzo,brook lopez,jrue holiday,pat connaughton,bobby portis,bryn forbes","bradley beal,russell westbrook,rui hachimura,garrison mathews,alex len,deni avdija,davis bertans,raul neto,robin lopez"
2021-03-23,5.05,0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,-1.0,0.75,0.75,0.5,0.0,0.0,44.2,23.8,66.7,0.0,0.0,0.0,17.2,171.0,128.0,17.5,"rj barrett,julius randle,reggie bullock,elfrid payton,nerlens noel,mitchell robinson,alec burks,immanuel quickley,frank ntilikina,obi toppin,kevin knox","rui hachimura,bradley beal,russell westbrook,garrison mathews,alex len,moritz wagner,deni avdija,raul neto,troy brown jr.,robin lopez,anthony gill"
2021-03-27,0.87,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,96.0,-67.6,"saddiq bey,mason plumlee,saben lee,jerami grant,cory joseph,josh jackson,isaiah stewart,frank jackson,tyler cook,sekou doumbouya,deividas sirvydis","rui hachimura,russell westbrook,deni avdija,bradley beal,alex len,garrison mathews,raul neto,robin lopez,jerome robinson,daniel gafford"
