date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,18.58,1,1.0,6.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,0.167,0.167,0.0,0.0,5.6,27.9,15.6,0.0,0.0,0.0,14.3,15.8,40.0,122.0,-18.5,"trae young,de'andre hunter,danilo gallinari,cam reddish,john collins,kevin huerter,bogdan bogdanovic,bruno fernando,brandon goodwin,nathan knight,skylar mays","patrick williams,coby white,lauri markkanen,wendell carter jr.,zach lavine,otto porter jr.,ryan arcidiacono,daniel gafford,adam mokoka"
2020-12-26,7.52,1,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.532,0.0,0.0,2.0,0.0,17.3,7.1,0.0,0.0,0.0,0.0,9.8,126.0,122.0,-7.8,"domantas sabonis,malcolm brogdon,t.j. warren,myles turner,victor oladipo,justin holiday,doug mcdermott,t.j. mcconnell,aaron holiday,kelan martin,cassius stanley,jalen lecque","zach lavine,wendell carter jr.,lauri markkanen,coby white,patrick williams,garrett temple,otto porter jr.,denzel valentine,daniel gafford,ryan arcidiacono,adam mokoka"
2020-12-27,19.45,1,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,0.0,8.0,8.0,4.0,1.0,0.0,1.0,2.0,7.0,4.0,0.7,0.7,0.4,0.0,0.0,34.6,20.8,27.0,2.1,0.0,16.7,12.0,135.0,105.0,7.6,"stephen curry,andrew wiggins,kelly oubre jr.,james wiseman,juan toscano-anderson,damion lee,eric paschall,kevon looney,jordan poole,mychal mulder","coby white,zach lavine,wendell carter jr.,lauri markkanen,patrick williams,otto porter jr.,garrett temple"
2020-12-29,6.42,0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,-2.0,0.25,0.25,0.25,0.0,0.0,56.1,26.7,0.0,0.0,0.0,20.0,32.5,38.0,97.0,-23.2,"russell westbrook,bradley beal,thomas bryant,deni avdija,davis bertans,ish smith,raul neto,robin lopez,troy brown jr.,anthony gill,garrison mathews","zach lavine,coby white,wendell carter jr.,patrick williams,lauri markkanen,otto porter jr.,garrett temple,daniel gafford"
2021-01-23,7.43,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,32.3,14.8,0.0,0.0,0.0,33.3,17.3,0.0,101.0,-16.8,"lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,montrezl harrell,kyle kuzma,talen horton-tucker,wesley matthews,alex caruso,alfonzo mckinnie","zach lavine,lauri markkanen,coby white,patrick williams,daniel gafford,thaddeus young,garrett temple,denzel valentine,ryan arcidiacono"
2021-02-01,0.23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,-3.8,"julius randle,rj barrett,reggie bullock,mitchell robinson,elfrid payton,immanuel quickley,alec burks,nerlens noel,austin rivers,obi toppin","coby white,lauri markkanen,zach lavine,patrick williams,daniel gafford,thaddeus young,garrett temple,otto porter jr.,denzel valentine"
2021-02-05,3.93,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.5,13.7,0.0,0.0,0.0,100.0,10.8,0.0,122.0,-27.2,"nikola vucevic,cole anthony,evan fournier,gary clark,terrence ross,khem birch,chuma okeke","zach lavine,patrick williams,coby white,lauri markkanen,daniel gafford,thaddeus young,garrett temple,denzel valentine"
2021-03-29,25.08,1,8.0,11.0,0.727,2.0,3.0,0.667,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,3.0,2.0,18.0,12.0,0.818,0.818,0.273,0.0,4.6,15.3,10.4,0.0,0.0,0.0,21.4,21.4,119.0,115.0,-0.4,"domantas sabonis,myles turner,malcolm brogdon,caris levert,justin holiday,t.j. mcconnell,edmond sumner,jeremy lamb,aaron holiday,goga bitadze","russell westbrook,rui hachimura,deni avdija,alex len,jerome robinson,garrison mathews,raul neto,daniel gafford,robin lopez"
2021-03-30,20.68,1,1.0,6.0,0.167,0.0,3.0,0.0,3.0,3.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,2.0,2.0,5.0,-7.0,0.342,0.167,0.5,0.5,4.1,20.6,11.5,12.0,0.0,0.0,21.5,18.1,74.0,114.0,-10.6,"gordon hayward,terry rozier,devonte' graham,bismack biyombo,p.j. washington,miles bridges,cody zeller,cody martin,caleb martin","rui hachimura,russell westbrook,jerome robinson,deni avdija,alex len,robin lopez,garrison mathews,cassius winston"
2021-04-01,20.88,0,2.0,5.0,0.4,0.0,1.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,5.0,-5.0,0.425,0.4,0.2,0.4,0.0,20.0,10.4,6.5,2.2,0.0,0.0,12.6,90.0,114.0,-4.1,"josh jackson,mason plumlee,saddiq bey,jerami grant,saben lee,cory joseph,tyler cook,frank jackson,isaiah stewart,deividas sirvydis","russell westbrook,deni avdija,rui hachimura,alex len,jerome robinson,robin lopez,garrison mathews,raul neto,cassius winston"
