date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-10-20,2.07,0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-6.0,0.5,0.5,0.5,0.0,58.1,45.5,51.0,0.0,0.0,0.0,0.0,43.9,120.0,96.0,-1.5,"brandon ingram,nickeil alexander-walker,jonas valanciunas,devonte' graham,josh hart,naji marshall,jaxson hayes,trey murphy iii,kira lewis jr.,garrett temple,herbert jones","tyrese maxey,tobias harris,seth curry,joel embiid,danny green,matisse thybulle,furkan korkmaz,andre drummond,georges niang,isaiah joe,paul reed,jaden springer"
2021-10-26,1.43,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,200.0,137.0,24.3,"julius randle,evan fournier,rj barrett,mitchell robinson,kemba walker,derrick rose,taj gibson,alec burks,immanuel quickley,obi toppin","tobias harris,joel embiid,tyrese maxey,seth curry,danny green,furkan korkmaz,georges niang,matisse thybulle,andre drummond,isaiah joe,paul reed"
2021-10-30,3.15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,-11.1,"trae young,john collins,bogdan bogdanovic,clint capela,de'andre hunter,gorgui dieng,cam reddish,kevin huerter,danilo gallinari,skylar mays,jalen johnson,timothe luwawu-cabarrot,delon wright","tobias harris,joel embiid,seth curry,tyrese maxey,danny green,matisse thybulle,shake milton,furkan korkmaz,georges niang,andre drummond,isaiah joe,paul reed"
2021-11-09,4.77,1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.5,0.0,0.0,22.4,10.3,0.0,0.0,36.0,0.0,17.5,0.0,100.0,-8.9,"giannis antetokounmpo,bobby portis,grayson allen,george hill,jrue holiday,pat connaughton,jordan nwora,justin robinson","furkan korkmaz,shake milton,tyrese maxey,andre drummond,paul reed,danny green,georges niang"
2021-11-13,3.97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,34.6,14.6,31.8,0.0,0.0,0.0,0.0,232.0,127.0,2.0,"malcolm brogdon,myles turner,domantas sabonis,chris duarte,caris levert,justin holiday,kelan martin,t.j. mcconnell,torrey craig","tyrese maxey,tobias harris,seth curry,andre drummond,danny green,georges niang,shake milton,furkan korkmaz,paul reed"
2021-11-16,9.45,0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,3.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,-10.0,0.868,1.0,0.0,1.0,27.2,12.1,20.7,0.0,0.0,10.0,0.0,13.9,184.0,118.0,9.3,"rudy gobert,bojan bogdanovic,royce o'neale,mike conley,donovan mitchell,joe ingles,jordan clarkson,eric paschall,trent forrest,jared butler,miye oni,udoka azubuike","shake milton,tyrese maxey,tobias harris,seth curry,andre drummond,furkan korkmaz,georges niang,isaiah joe,paul reed"
2021-11-18,19.3,0,5.0,7.0,0.714,0.0,1.0,0.0,2.0,3.0,0.667,4.0,3.0,7.0,0.0,1.0,3.0,0.0,3.0,12.0,20.0,0.721,0.714,0.143,0.429,23.7,15.2,19.1,0.0,2.7,14.1,0.0,20.8,157.0,85.0,11.4,"nikola jokic,will barton,monte morris,aaron gordon,jeff green,austin rivers,pj dozier,bones hyland,jamychal green,facundo campazzo,bol bol","seth curry,tyrese maxey,georges niang,tobias harris,andre drummond,shake milton,furkan korkmaz,isaiah joe"
2021-11-20,14.42,0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,2.0,6.0,-6.0,1.042,1.0,0.0,1.0,0.0,58.8,28.5,0.0,0.0,7.2,0.0,9.5,219.0,117.0,3.6,"damian lillard,cj mccollum,norman powell,robert covington,jusuf nurkic,larry nance jr.,anfernee simons,nassir little,cody zeller","tobias harris,tyrese maxey,georges niang,seth curry,andre drummond,furkan korkmaz,matisse thybulle,shake milton,isaiah joe"
2021-11-22,14.83,0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,1.0,0.0,0.0,2.0,4.0,2.0,-7.0,0.5,0.5,0.0,0.0,13.2,36.0,24.1,9.9,0.0,0.0,50.0,12.5,80.0,100.0,-12.9,"de'aaron fox,harrison barnes,tyrese haliburton,richaun holmes,maurice harkless,buddy hield,davion mitchell,marvin bagley iii,tristan thompson,alex len","georges niang,tyrese maxey,matisse thybulle,andre drummond,furkan korkmaz,shake milton,isaiah joe,paul reed"
2021-11-24,7.57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,17.1,7.7,0.0,0.0,0.0,100.0,5.8,0.0,123.0,-13.3,"stephen curry,andrew wiggins,jordan poole,draymond green,kevon looney,juan toscano-anderson,otto porter jr.,gary payton ii,damion lee,jonathan kuminga","seth curry,matisse thybulle,tyrese maxey,andre drummond,georges niang,shake milton,furkan korkmaz,danny green,isaiah joe,paul reed"
