date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-02-17,18.5,1,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,4.0,2.0,7.0,0.25,0.25,0.5,0.0,0.0,10.4,5.4,32.9,0.0,0.0,20.0,12.0,89.0,99.0,-9.8,"julius randle,reggie bullock,nerlens noel,rj barrett,elfrid payton,alec burks,immanuel quickley,derrick rose,taj gibson,obi toppin,kevin knox","nikola vucevic,evan fournier,michael carter-williams,gary clark,terrence ross,chuma okeke,khem birch,mo bamba"
2021-02-19,15.02,1,1.0,4.0,0.25,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,-17.0,0.338,0.25,0.5,0.25,7.3,6.1,6.7,14.9,0.0,5.8,18.4,15.2,88.0,116.0,-8.8,"stephen curry,kelly oubre jr.,draymond green,andrew wiggins,juan toscano-anderson,damion lee,eric paschall,mychal mulder,kent bazemore","nikola vucevic,michael carter-williams,evan fournier,khem birch,terrence ross,chuma okeke,mo bamba"
2021-02-21,20.52,1,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,4.0,4.0,-8.0,1.064,1.0,0.0,2.0,0.0,12.8,7.0,0.0,0.0,0.0,34.7,6.4,132.0,103.0,-9.6,"jerami grant,saddiq bey,mason plumlee,dennis smith jr.,saben lee,josh jackson,isaiah stewart,sekou doumbouya,svi mykhailiuk","nikola vucevic,evan fournier,michael carter-williams,terrence ross,chuma okeke,khem birch"
2021-02-23,17.93,1,3.0,4.0,0.75,2.0,3.0,0.667,1.0,2.0,0.5,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,9.0,-9.0,0.922,1.0,0.75,0.5,0.0,11.6,5.5,21.4,0.0,0.0,17.0,14.3,138.0,112.0,1.5,"jerami grant,saddiq bey,mason plumlee,svi mykhailiuk,dennis smith jr.,josh jackson,saben lee,isaiah stewart,sekou doumbouya,frank jackson","nikola vucevic,evan fournier,michael carter-williams,terrence ross,chuma okeke,khem birch"
2021-02-25,24.13,0,2.0,5.0,0.4,1.0,4.0,0.25,1.0,2.0,0.5,0.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,6.0,-29.0,0.51,0.5,0.8,0.4,0.0,15.7,6.9,0.0,0.0,0.0,25.4,14.0,71.0,128.0,-12.5,"james harden,kyrie irving,deandre jordan,bruce brown,joe harris,landry shamet,timothe luwawu-cabarrot,nic claxton,chris chiozza,tyler cook","nikola vucevic,evan fournier,michael carter-williams,terrence ross,chuma okeke,mo bamba,gary clark,khem birch"
2021-02-27,22.5,1,3.0,7.0,0.429,2.0,5.0,0.4,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,3.0,8.0,2.0,0.571,0.571,0.714,0.0,0.0,5.3,2.4,39.7,2.2,0.0,0.0,14.6,140.0,131.0,4.1,"donovan mitchell,royce o'neale,joe ingles,rudy gobert,bojan bogdanovic,jordan clarkson,georges niang,derrick favors,miye oni,jarrell brantley,trent forrest,juwan morgan","nikola vucevic,evan fournier,michael carter-williams,terrence ross,chuma okeke,mo bamba,gary clark"
2021-03-01,18.68,1,3.0,5.0,0.6,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,7.0,1.0,0.7,0.7,0.6,0.0,0.0,6.1,3.0,19.6,2.6,0.0,0.0,11.8,154.0,128.0,2.8,"luka doncic,dorian finney-smith,kristaps porzingis,josh richardson,maxi kleber,jalen brunson,tim hardaway jr.,dwight powell,trey burke,willie cauley-stein","nikola vucevic,michael carter-williams,evan fournier,terrence ross,chuma okeke,khem birch,gary clark"
2021-03-03,13.55,1,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,6.0,0.3,0.3,0.8,0.0,0.0,8.4,4.0,43.7,0.0,0.0,0.0,16.7,99.0,127.0,-4.5,"danilo gallinari,trae young,kevin huerter,john collins,bogdan bogdanovic,onyeka okongwu,bruno fernando","terrence ross,nikola vucevic,michael carter-williams,chuma okeke,khem birch,mo bamba,gary clark"
2021-03-11,30.32,0,3.0,7.0,0.429,3.0,5.0,0.6,0.0,0.0,0.0,0.0,2.0,2.0,5.0,2.0,0.0,1.0,2.0,9.0,-10.0,0.643,0.643,0.714,0.0,0.0,6.3,3.1,23.1,3.2,0.0,12.5,10.9,133.0,111.0,2.9,"jimmy butler,kelly olynyk,kendrick nunn,duncan robinson,kz okpala,tyler herro,goran dragic,andre iguodala,maurice harkless,chris silva,precious achiuwa","nikola vucevic,michael carter-williams,aaron gordon,chuma okeke,khem birch,gary clark,mo bamba"
2021-03-12,36.63,0,2.0,7.0,0.286,1.0,5.0,0.2,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,3.0,3.0,5.0,-30.0,0.357,0.357,0.714,0.0,2.8,6.0,4.3,14.9,0.0,0.0,30.0,12.7,65.0,114.0,-11.4,"dejounte murray,jakob poeltl,derrick white,keldon johnson,trey lyles,lonnie walker iv,patty mills,rudy gay,drew eubanks,devin vassell,luka samanic,tre jones,keita bates-diop","nikola vucevic,chuma okeke,michael carter-williams,gary clark,khem birch,mo bamba"
