date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-01-04,4.75,0,3.0,4.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.875,0.875,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,157.0,131.0,22.9,"stephen curry,andrew wiggins,kelly oubre jr.,draymond green,james wiseman,eric paschall,damion lee,kent bazemore,mychal mulder,kevon looney,jordan poole,nico mannion","de'aaron fox,buddy hield,harrison barnes,marvin bagley iii,richaun holmes,cory joseph,kyle guy,justin james,robert woodard ii,jahmi'us ramsey"
2021-01-09,6.57,1,1.0,3.0,0.333,0.0,0.0,0.0,4.0,5.0,0.8,3.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,6.0,2.0,0.577,0.333,0.0,1.667,46.7,0.0,22.6,28.5,7.0,24.8,0.0,34.1,144.0,90.0,31.0,"damian lillard,cj mccollum,robert covington,jusuf nurkic,derrick jones jr.,gary trent jr.,anfernee simons,cj elleby,nassir little","harrison barnes,tyrese haliburton,buddy hield,de'aaron fox,marvin bagley iii,cory joseph,justin james,jahmi'us ramsey,robert woodard ii"
2021-01-13,3.48,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.4,64.0,143.0,-17.7,"cj mccollum,damian lillard,robert covington,jusuf nurkic,derrick jones jr.,gary trent jr.","buddy hield,de'aaron fox,harrison barnes,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph"
2021-01-15,17.52,1,4.0,11.0,0.364,0.0,2.0,0.0,2.0,4.0,0.5,4.0,4.0,8.0,3.0,0.0,0.0,0.0,3.0,10.0,-11.0,0.392,0.364,0.182,0.364,24.9,31.3,27.7,28.3,0.0,0.0,0.0,32.8,106.0,145.0,-4.3,"paul george,kawhi leonard,nicolas batum,reggie jackson,serge ibaka,terance mann,luke kennard,marcus morris,ivica zubac,amir coffey,daniel oturu,mfiondu kabengele","harrison barnes,marvin bagley iii,richaun holmes,buddy hield,de'aaron fox,tyrese haliburton,cory joseph,justin james,robert woodard ii"
2021-01-17,5.23,1,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,-7.0,0.667,0.667,0.0,0.0,21.8,47.0,34.0,0.0,0.0,14.6,25.0,33.7,103.0,117.0,-1.7,"brandon ingram,zion williamson,nickeil alexander-walker,steven adams,josh hart,jaxson hayes,kira lewis jr.","richaun holmes,harrison barnes,de'aaron fox,marvin bagley iii,buddy hield,tyrese haliburton,cory joseph"
2021-01-20,12.67,0,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.2,0.2,0.0,0.0,8.2,27.7,17.4,0.0,0.0,7.4,16.7,20.8,44.0,110.0,-15.6,"kawhi leonard,paul george,nicolas batum,patrick beverley,serge ibaka,marcus morris,luke kennard,ivica zubac,terance mann,mfiondu kabengele,reggie jackson,daniel oturu","richaun holmes,de'aaron fox,harrison barnes,marvin bagley iii,buddy hield,tyrese haliburton,cory joseph,justin james"
2021-01-22,10.97,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,1.0,2.0,1.0,4.0,2.0,-5.0,1.0,1.0,0.0,0.0,16.5,22.3,19.5,0.0,4.6,12.2,50.0,8.2,118.0,81.0,0.6,"julius randle,rj barrett,elfrid payton,mitchell robinson,reggie bullock,alec burks,nerlens noel,immanuel quickley,obi toppin,kevin knox","de'aaron fox,richaun holmes,harrison barnes,marvin bagley iii,buddy hield,tyrese haliburton,cory joseph"
2021-01-27,0.65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.3,0.0,100.0,62.3,0.0,-52.0,-0.8,"nikola vucevic,cole anthony,evan fournier,aaron gordon,terrence ross,gary clark,khem birch,mo bamba,jordan bone","de'aaron fox,harrison barnes,buddy hield,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph,justin james,robert woodard ii"
2021-02-01,0.13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,-5.9,"brandon ingram,lonzo ball,zion williamson,jaxson hayes,josh hart,willy hernangomez,nickeil alexander-walker,kira lewis jr.","harrison barnes,de'aaron fox,buddy hield,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph,kyle guy"
2021-02-07,1.77,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.1,0.0,0.0,0.0,0.0,222.0,119.0,19.5,"kawhi leonard,reggie jackson,nicolas batum,serge ibaka,luke kennard,ivica zubac,terance mann,marcus morris","buddy hield,de'aaron fox,harrison barnes,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph,kyle guy"
2021-02-14,7.7,1,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,17.1,109.0,130.0,-3.2,"ja morant,grayson allen,dillon brooks,kyle anderson,jonas valanciunas,xavier tillman sr.,brandon clarke,john konchar,tyus jones,sean mcdermott","buddy hield,de'aaron fox,harrison barnes,richaun holmes,daquan jeffries,tyrese haliburton,cory joseph,kyle guy"
2021-03-24,8.93,1,3.0,5.0,0.6,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,-6.0,0.7,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,29.4,105.0,121.0,-7.1,"trae young,john collins,clint capela,kevin huerter,bogdan bogdanovic,de'andre hunter,danilo gallinari,onyeka okongwu,nathan knight","harrison barnes,de'aaron fox,buddy hield,tyrese haliburton,richaun holmes,cory joseph,justin james"
2021-03-25,16.0,1,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,1.0,1.0,1.0,8.0,11.0,0.8,0.8,0.0,0.0,0.0,37.5,19.7,14.6,0.0,5.4,16.7,17.4,137.0,119.0,2.6,"andrew wiggins,kelly oubre jr.,jordan poole,james wiseman,juan toscano-anderson,nico mannion,damion lee,kevon looney,kent bazemore,mychal mulder,alen smailagic","harrison barnes,de'aaron fox,tyrese haliburton,richaun holmes,buddy hield,kyle guy,daquan jeffries,justin james,robert woodard ii"
2021-03-27,14.22,1,2.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,0.0,2.0,1.0,4.0,5.0,8.0,0.563,0.5,0.0,0.25,9.4,23.0,16.9,9.9,0.0,11.6,18.4,17.6,108.0,97.0,-0.2,"collin sexton,larry nance jr.,darius garland,isaac okoro,brodric thomas,dean wade,lamar stevens","de'aaron fox,harrison barnes,richaun holmes,tyrese haliburton,buddy hield,delon wright,terence davis,maurice harkless"
2021-03-29,13.38,0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,-3.0,1.25,1.25,0.5,0.0,0.0,15.9,9.2,0.0,0.0,0.0,0.0,7.1,250.0,125.0,1.0,"dejounte murray,demar derozan,jakob poeltl,derrick white,keldon johnson,patty mills,rudy gay,devin vassell,drew eubanks,luka samanic,tre jones,quinndary weatherspoon","de'aaron fox,buddy hield,richaun holmes,harrison barnes,tyrese haliburton,delon wright,terence davis,maurice harkless,chris silva,kyle guy,justin james,daquan jeffries,robert woodard ii"
2021-03-31,13.87,0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,4.0,10.0,0.667,0.667,0.0,0.0,0.0,22.6,10.7,32.4,0.0,0.0,25.0,12.3,117.0,121.0,0.9,"demar derozan,dejounte murray,derrick white,jakob poeltl,keldon johnson,patty mills,rudy gay,devin vassell,drew eubanks,gorgui dieng,tre jones,luka samanic,quinndary weatherspoon","harrison barnes,de'aaron fox,richaun holmes,buddy hield,tyrese haliburton,delon wright,terence davis,maurice harkless,kyle guy,justin james,chris silva,robert woodard ii"
2021-04-02,15.48,1,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,1.0,1.0,2.0,4.0,7.0,1.0,1.0,0.0,0.0,0.0,27.6,13.3,20.8,0.0,5.3,33.3,8.8,132.0,111.0,1.1,"kentavious caldwell-pope,kyle kuzma,markieff morris,dennis schroder,talen horton-tucker,alex caruso,montrezl harrell,alfonzo mckinnie,wesley matthews,devontae cacok,kostas antetokounmpo","harrison barnes,tyrese haliburton,buddy hield,de'aaron fox,richaun holmes,maurice harkless,terence davis,delon wright,robert woodard ii,justin james,daquan jeffries,kyle guy"
2021-04-03,14.12,1,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,2.0,0.0,0.0,0.0,1.0,8.0,2.0,0.571,0.571,0.0,0.0,28.9,17.0,23.4,19.2,0.0,0.0,0.0,20.4,148.0,131.0,2.5,"jrue holiday,khris middleton,pat connaughton,donte divincenzo,brook lopez,bobby portis,bryn forbes,jordan nwora,thanasis antetokounmpo","de'aaron fox,harrison barnes,tyrese haliburton,buddy hield,richaun holmes,terence davis,maurice harkless,delon wright"
2021-04-08,5.77,1,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.75,0.75,0.0,0.0,0.0,42.7,20.6,0.0,0.0,0.0,0.0,30.4,137.0,114.0,12.5,"saddiq bey,isaiah stewart,cory joseph,dennis smith jr.,josh jackson,killian hayes,hamidou diallo,jahlil okafor,frank jackson,sekou doumbouya","harrison barnes,de'aaron fox,buddy hield,richaun holmes,maurice harkless,tyrese haliburton,delon wright,terence davis"
2021-04-10,8.53,0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,2.0,0.5,2.0,2.0,4.0,0.0,0.0,0.0,2.0,3.0,3.0,-22.0,0.307,0.25,0.25,0.5,25.0,25.0,25.0,0.0,0.0,0.0,29.1,35.9,64.0,129.0,-28.7,"royce o'neale,donovan mitchell,mike conley,rudy gobert,bojan bogdanovic,joe ingles,georges niang,derrick favors,miye oni","de'aaron fox,harrison barnes,buddy hield,richaun holmes,maurice harkless,tyrese haliburton,terence davis,delon wright"
2021-04-12,9.55,0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,0.5,2.0,1.0,3.0,0.0,1.0,1.0,0.0,3.0,3.0,-1.0,0.412,0.0,0.0,6.0,20.1,14.4,17.7,0.0,4.8,8.7,0.0,15.7,114.0,101.0,-3.1,"zion williamson,brandon ingram,wes iwundu,steven adams,naji marshall,jaxson hayes,kira lewis jr.,james johnson,willy hernangomez","harrison barnes,de'aaron fox,maurice harkless,tyrese haliburton,richaun holmes,delon wright,damian jones,terence davis,kyle guy"
