date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-10-20,32.7,0,9.0,15.0,0.6,6.0,9.0,0.667,3.0,3.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,1.0,4.0,27.0,7.0,0.827,0.8,0.6,0.2,0.0,13.3,7.6,5.1,1.4,0.0,5.8,21.8,145.0,114.0,7.6,"gordon hayward,kelly oubre jr.,miles bridges,mason plumlee,lamelo ball,cody martin,ish smith,p.j. washington,jalen mcdaniels","malcolm brogdon,domantas sabonis,myles turner,justin holiday,torrey craig,jeremy lamb,t.j. mcconnell"
2021-10-22,45.3,0,6.0,16.0,0.375,3.0,8.0,0.375,0.0,0.0,0.0,0.0,4.0,4.0,5.0,1.0,0.0,2.0,2.0,15.0,4.0,0.469,0.469,0.5,0.0,0.0,11.4,5.8,13.0,1.1,0.0,11.1,17.9,96.0,131.0,-6.2,"kyle kuzma,kentavious caldwell-pope,spencer dinwiddie,aaron holiday,daniel gafford,montrezl harrell,raul neto,davis bertans,deni avdija,corey kispert","malcolm brogdon,myles turner,domantas sabonis,justin holiday,jeremy lamb,t.j. mcconnell,torrey craig,oshae brissett"
2021-10-23,41.47,1,6.0,21.0,0.286,2.0,7.0,0.286,5.0,5.0,1.0,1.0,4.0,5.0,1.0,1.0,0.0,1.0,1.0,19.0,15.0,0.409,0.333,0.333,0.238,2.2,10.0,5.8,4.2,1.2,0.0,4.1,25.3,89.0,90.0,-1.9,"jimmy butler,bam adebayo,duncan robinson,p.j. tucker,gabe vincent,tyler herro,markieff morris,max strus,dewayne dedmon","domantas sabonis,malcolm brogdon,justin holiday,myles turner,oshae brissett,t.j. mcconnell,jeremy lamb,torrey craig,isaiah jackson"
2021-10-25,33.45,1,7.0,16.0,0.438,2.0,5.0,0.4,2.0,2.0,1.0,0.0,5.0,5.0,1.0,0.0,0.0,1.0,2.0,18.0,-1.0,0.533,0.5,0.313,0.125,0.0,17.1,8.1,4.8,0.0,0.0,5.6,22.0,107.0,119.0,-3.0,"giannis antetokounmpo,khris middleton,grayson allen,george hill,thanasis antetokounmpo,pat connaughton,jordan nwora,justin robinson,sandro mamukelashvili","justin holiday,domantas sabonis,malcolm brogdon,myles turner,oshae brissett,t.j. mcconnell,goga bitadze,jeremy lamb,torrey craig"
2021-10-27,32.1,0,6.0,15.0,0.4,2.0,7.0,0.286,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,2.0,14.0,-9.0,0.467,0.467,0.467,0.0,0.0,12.7,7.4,5.2,1.5,0.0,6.3,22.1,96.0,123.0,-5.7,"fred vanvleet,scottie barnes,gary trent jr.,og anunoby,precious achiuwa,khem birch,chris boucher,dalano banton,svi mykhailiuk,justin champagnie,malachi flynn,david johnson","domantas sabonis,justin holiday,myles turner,malcolm brogdon,oshae brissett,t.j. mcconnell,jeremy lamb,torrey craig,isaiah jackson,goga bitadze"
2021-10-29,33.75,0,9.0,19.0,0.474,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,1.0,4.0,5.0,19.0,-23.0,0.489,0.5,0.211,0.053,2.8,9.5,5.9,11.8,1.4,2.8,17.1,28.5,83.0,105.0,-4.3,"kevin durant,james harden,joe harris,bruce brown,blake griffin,patty mills,jevon carter,deandre' bembry","domantas sabonis,t.j. mcconnell,justin holiday,myles turner,torrey craig,jeremy lamb,oshae brissett,goga bitadze,duane washington jr."
2021-10-30,32.43,1,5.0,11.0,0.455,2.0,6.0,0.333,0.0,0.0,0.0,1.0,5.0,6.0,6.0,1.0,0.0,5.0,1.0,12.0,0.0,0.545,0.545,0.545,0.0,3.4,16.8,10.1,32.2,1.5,0.0,31.3,22.1,87.0,103.0,-1.7,"fred vanvleet,og anunoby,scottie barnes,gary trent jr.,precious achiuwa,khem birch,svi mykhailiuk,chris boucher,dalano banton,malachi flynn","domantas sabonis,myles turner,t.j. mcconnell,caris levert,justin holiday,jeremy lamb,goga bitadze,torrey craig,oshae brissett"
2021-11-01,28.22,1,6.0,11.0,0.545,4.0,6.0,0.667,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,2.0,18.0,12.0,0.758,0.727,0.545,0.182,4.5,9.2,6.8,8.1,1.7,0.0,7.8,19.9,144.0,122.0,1.9,"lonnie walker iv,derrick white,dejounte murray,keldon johnson,jakob poeltl,devin vassell,keita bates-diop,bryn forbes,tre jones,thaddeus young,jock landale,drew eubanks","domantas sabonis,t.j. mcconnell,myles turner,caris levert,torrey craig,justin holiday,kelan martin,goga bitadze,duane washington jr.,oshae brissett"
2021-11-03,33.88,1,4.0,9.0,0.444,2.0,4.0,0.5,0.0,0.0,0.0,1.0,4.0,5.0,1.0,2.0,0.0,1.0,2.0,10.0,13.0,0.556,0.556,0.444,0.0,3.4,10.7,7.5,3.9,3.0,0.0,10.0,13.1,107.0,104.0,-1.2,"julius randle,rj barrett,evan fournier,kemba walker,mitchell robinson,alec burks,derrick rose,nerlens noel,immanuel quickley,obi toppin","malcolm brogdon,domantas sabonis,caris levert,myles turner,justin holiday,torrey craig,t.j. mcconnell,goga bitadze,kelan martin"
2021-11-05,26.18,0,4.0,7.0,0.571,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,1.0,9.0,-1.0,0.643,0.643,0.429,0.0,4.3,9.4,6.7,20.6,1.9,0.0,12.5,14.2,128.0,118.0,0.9,"cj mccollum,damian lillard,robert covington,norman powell,jusuf nurkic,anfernee simons,larry nance jr.,nassir little,cody zeller","domantas sabonis,caris levert,t.j. mcconnell,myles turner,justin holiday,torrey craig,kelan martin,goga bitadze"
2021-11-07,31.33,0,6.0,12.0,0.5,2.0,5.0,0.4,1.0,2.0,0.5,0.0,5.0,5.0,2.0,1.0,0.0,2.0,2.0,15.0,19.0,0.582,0.583,0.417,0.167,0.0,15.6,8.8,11.0,1.6,0.0,13.4,20.7,113.0,99.0,2.0,"harrison barnes,de'aaron fox,tyrese haliburton,richaun holmes,maurice harkless,buddy hield,davion mitchell,alex len,terence davis","myles turner,t.j. mcconnell,caris levert,domantas sabonis,torrey craig,justin holiday,jeremy lamb,kelan martin,goga bitadze"
2021-11-10,21.17,0,2.0,9.0,0.222,2.0,7.0,0.286,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,6.0,-8.0,0.333,0.333,0.778,0.0,0.0,13.9,7.8,6.4,0.0,0.0,10.0,22.5,71.0,119.0,-13.7,"will barton,aaron gordon,monte morris,jeff green,jamychal green,pj dozier,bones hyland,zeke nnaji,austin rivers,facundo campazzo","justin holiday,malcolm brogdon,domantas sabonis,myles turner,t.j. mcconnell,torrey craig,kelan martin,jeremy lamb,oshae brissett"
2021-11-11,31.3,0,5.0,14.0,0.357,1.0,4.0,0.25,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,11.0,11.0,0.37,0.393,0.286,0.143,0.0,17.0,8.5,0.0,0.0,0.0,6.3,21.3,78.0,109.0,-10.6,"donovan mitchell,royce o'neale,bojan bogdanovic,rudy gobert,mike conley,joe ingles,jordan clarkson,eric paschall,trent forrest,jared butler,udoka azubuike,elijah hughes,miye oni","malcolm brogdon,domantas sabonis,myles turner,justin holiday,t.j. mcconnell,kelan martin,torrey craig,jeremy lamb,goga bitadze"
2021-11-13,26.6,1,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.0,3.0,5.0,3.0,2.0,0.0,2.0,1.0,7.0,-6.0,0.583,0.583,0.333,0.0,10.3,11.3,10.9,13.0,3.8,0.0,25.0,13.9,111.0,116.0,-1.2,"tyrese maxey,tobias harris,seth curry,andre drummond,danny green,georges niang,shake milton,furkan korkmaz,paul reed,charles bassey","malcolm brogdon,myles turner,domantas sabonis,caris levert,justin holiday,kelan martin,t.j. mcconnell,torrey craig"
2021-11-19,13.55,0,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,6.0,-15.0,0.6,0.6,0.2,0.0,0.0,9.8,4.3,11.7,0.0,0.0,16.7,19.0,101.0,125.0,-9.2,"lamelo ball,miles bridges,gordon hayward,mason plumlee,terry rozier,kelly oubre jr.,cody martin,jalen mcdaniels,ish smith,nick richards","malcolm brogdon,domantas sabonis,myles turner,caris levert,torrey craig,t.j. mcconnell,goga bitadze,kelan martin,jeremy lamb,justin holiday,oshae brissett"
