date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-26,43.62,0,14.0,22.0,0.636,0.0,2.0,0.0,3.0,4.0,0.75,3.0,10.0,13.0,3.0,0.0,1.0,3.0,4.0,31.0,-6.0,0.652,0.636,0.091,0.182,8.3,28.3,18.2,13.0,0.0,2.1,11.2,27.8,122.0,118.0,0.9,"cj mccollum,damian lillard,robert covington,derrick jones jr.,jusuf nurkic,anfernee simons,gary trent jr.","james harden,p.j. tucker,danuel house jr.,david nwaba,jae'sean tate,sterling brown,brodric thomas,bruno caboclo"
2020-12-28,36.82,0,9.0,20.0,0.45,4.0,5.0,0.8,1.0,2.0,0.5,0.0,3.0,3.0,1.0,2.0,2.0,0.0,1.0,23.0,-2.0,0.551,0.55,0.25,0.1,0.0,8.9,4.3,4.8,2.5,4.7,0.0,24.5,104.0,117.0,2.3,"nikola jokic,jamal murray,gary harris,michael porter jr.,monte morris,will barton,pj dozier,isaiah hartenstein,facundo campazzo,bol bol,r.j. hampton,vlatko cancar,zeke nnaji","david nwaba,james harden,danuel house jr.,p.j. tucker,sterling brown,jae'sean tate,bruno caboclo,brodric thomas"
2020-12-31,31.87,1,9.0,14.0,0.643,0.0,3.0,0.0,3.0,4.0,0.75,3.0,9.0,12.0,3.0,1.0,2.0,1.0,1.0,21.0,13.0,0.666,0.643,0.214,0.286,11.0,27.7,20.1,14.4,1.4,4.8,6.0,22.0,139.0,109.0,5.1,"buddy hield,harrison barnes,richaun holmes,de'aaron fox,marvin bagley iii,tyrese haliburton,cory joseph","james harden,john wall,p.j. tucker,danuel house jr.,eric gordon,jae'sean tate,demarcus cousins,sterling brown"
2021-01-02,33.38,1,7.0,14.0,0.5,2.0,7.0,0.286,4.0,7.0,0.571,3.0,12.0,15.0,1.0,1.0,4.0,1.0,5.0,20.0,2.0,0.585,0.571,0.5,0.5,11.1,30.8,22.7,5.5,1.5,9.3,5.5,25.0,120.0,87.0,4.6,"harrison barnes,buddy hield,de'aaron fox,richaun holmes,marvin bagley iii,cory joseph,kyle guy","john wall,danuel house jr.,p.j. tucker,eric gordon,sterling brown,jae'sean tate,demarcus cousins,david nwaba"
2021-01-04,32.73,1,8.0,15.0,0.533,0.0,5.0,0.0,7.0,8.0,0.875,1.0,6.0,7.0,0.0,1.0,1.0,3.0,3.0,23.0,-18.0,0.621,0.533,0.333,0.533,3.1,23.2,11.9,0.0,1.6,3.4,13.9,30.1,107.0,116.0,-0.1,"luka doncic,dorian finney-smith,josh richardson,willie cauley-stein,maxi kleber,tim hardaway jr.,james johnson,jalen brunson,dwight powell,trey burke,wes iwundu","james harden,p.j. tucker,john wall,david nwaba,eric gordon,jae'sean tate,sterling brown,demarcus cousins,bruno caboclo,brodric thomas"
2021-01-08,26.53,1,9.0,17.0,0.529,1.0,5.0,0.2,3.0,4.0,0.75,3.0,12.0,15.0,0.0,1.0,2.0,1.0,1.0,22.0,18.0,0.586,0.559,0.294,0.235,13.6,42.6,29.8,0.0,1.9,6.0,5.1,34.4,117.0,81.0,-0.3,"gary clark,nikola vucevic,cole anthony,jordan bone,khem birch,karim mane,terrence ross,mo bamba","james harden,john wall,p.j. tucker,david nwaba,eric gordon,sterling brown,demarcus cousins,jae'sean tate,mason jones,kenyon martin jr.,bruno caboclo"
2021-01-10,31.82,1,10.0,20.0,0.5,1.0,5.0,0.2,2.0,3.0,0.667,1.0,2.0,3.0,1.0,0.0,1.0,1.0,4.0,23.0,-21.0,0.539,0.525,0.25,0.15,2.9,7.5,4.9,6.9,0.0,2.4,4.5,27.8,107.0,119.0,-0.6,"dennis schroder,lebron james,anthony davis,kentavious caldwell-pope,kyle kuzma,montrezl harrell,alex caruso,talen horton-tucker,alfonzo mckinnie,markieff morris","james harden,john wall,p.j. tucker,david nwaba,eric gordon,jae'sean tate,sterling brown,demarcus cousins,mason jones,bruno caboclo,kenyon martin jr."
2021-01-12,25.9,1,8.0,18.0,0.444,2.0,5.0,0.4,0.0,0.0,0.0,2.0,6.0,8.0,1.0,0.0,0.0,2.0,1.0,18.0,-23.0,0.5,0.5,0.278,0.0,6.9,25.9,15.3,8.0,0.0,0.0,10.0,31.7,91.0,117.0,-2.9,"lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,kyle kuzma,montrezl harrell,alex caruso,talen horton-tucker,markieff morris,alfonzo mckinnie","james harden,john wall,p.j. tucker,david nwaba,jae'sean tate,eric gordon,sterling brown,demarcus cousins,mason jones,kenyon martin jr.,bruno caboclo"
2021-01-14,34.85,0,10.0,18.0,0.556,5.0,7.0,0.714,2.0,6.0,0.333,2.0,13.0,15.0,1.0,0.0,3.0,5.0,3.0,27.0,3.0,0.654,0.694,0.389,0.333,6.7,36.5,23.0,4.9,0.0,6.8,19.5,31.4,102.0,100.0,2.5,"dejounte murray,demar derozan,keldon johnson,lonnie walker iv,patty mills,devin vassell,rudy gay,jakob poeltl","sterling brown,p.j. tucker,jae'sean tate,david nwaba,demarcus cousins,kenyon martin jr.,mason jones"
2021-01-16,40.77,0,9.0,20.0,0.45,1.0,3.0,0.333,5.0,8.0,0.625,6.0,12.0,18.0,3.0,0.0,3.0,2.0,0.0,24.0,-2.0,0.51,0.475,0.15,0.4,13.3,25.2,19.4,17.3,0.0,4.6,7.8,25.5,108.0,97.0,4.7,"demar derozan,dejounte murray,keldon johnson,lonnie walker iv,jakob poeltl,patty mills,rudy gay,devin vassell","p.j. tucker,mason jones,jae'sean tate,david nwaba,kenyon martin jr."
