date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-28,19.9,1,3.0,5.0,0.6,0.0,0.0,0.0,1.0,2.0,0.5,2.0,7.0,9.0,1.0,0.0,2.0,0.0,1.0,7.0,-10.0,0.595,0.6,0.0,0.4,12.4,31.3,23.3,7.4,0.0,8.5,0.0,13.0,141.0,114.0,1.5,"jerami grant,mason plumlee,saddiq bey,killian hayes,josh jackson,delon wright,isaiah stewart,svi mykhailiuk,sekou doumbouya","trae young,de'andre hunter,cam reddish,john collins,bogdan bogdanovic,kevin huerter,bruno fernando"
2020-12-30,19.93,0,3.0,7.0,0.429,0.0,0.0,0.0,1.0,2.0,0.5,3.0,9.0,12.0,0.0,0.0,1.0,1.0,0.0,7.0,1.0,0.444,0.429,0.0,0.286,15.1,47.1,30.7,0.0,0.0,4.1,11.3,16.9,103.0,130.0,-6.0,"kevin durant,kyrie irving,joe harris,timothe luwawu-cabarrot,deandre jordan,jarrett allen,caris levert,taurean prince,landry shamet,jeff green","de'andre hunter,cam reddish,trae young,john collins,bogdan bogdanovic,kevin huerter,bruno fernando,danilo gallinari"
2021-01-01,29.72,0,6.0,10.0,0.6,0.0,0.0,0.0,0.0,2.0,0.0,3.0,8.0,11.0,6.0,0.0,0.0,1.0,3.0,12.0,12.0,0.551,0.6,0.0,0.2,10.8,26.9,19.1,29.1,0.0,0.0,8.4,17.7,129.0,100.0,5.7,"kevin durant,kyrie irving,joe harris,timothe luwawu-cabarrot,deandre jordan,caris levert,jarrett allen,landry shamet,taurean prince,jeff green,bruce brown,chris chiozza,reggie perry","trae young,cam reddish,de'andre hunter,john collins,bogdan bogdanovic,kevin huerter,brandon goodwin,bruno fernando,nathan knight,skylar mays"
2021-01-02,30.92,1,8.0,12.0,0.667,0.0,0.0,0.0,0.0,5.0,0.0,8.0,8.0,16.0,0.0,3.0,2.0,3.0,4.0,16.0,3.0,0.563,0.667,0.0,0.417,27.0,25.9,26.4,0.0,4.9,5.0,17.4,23.6,98.0,88.0,3.5,"larry nance jr.,collin sexton,darius garland,andre drummond,cedi osman,javale mcgee,dean wade","john collins,trae young,de'andre hunter,cam reddish,kevin huerter,bogdan bogdanovic,brandon goodwin,bruno fernando"
2021-01-04,30.62,1,5.0,7.0,0.714,0.0,0.0,0.0,2.0,2.0,1.0,2.0,10.0,12.0,0.0,0.0,1.0,0.0,3.0,12.0,-1.0,0.761,0.714,0.0,0.286,7.1,38.2,22.1,0.0,0.0,2.4,0.0,11.3,161.0,111.0,2.9,"rj barrett,julius randle,elfrid payton,mitchell robinson,reggie bullock,austin rivers,immanuel quickley,kevin knox","trae young,de'andre hunter,john collins,cam reddish,kevin huerter,bogdan bogdanovic,brandon goodwin"
2021-01-06,26.38,1,3.0,8.0,0.375,0.0,0.0,0.0,1.0,2.0,0.5,6.0,13.0,19.0,1.0,0.0,1.0,0.0,1.0,7.0,2.0,0.394,0.375,0.0,0.25,20.6,44.6,32.6,6.0,0.0,3.7,0.0,13.8,109.0,95.0,2.6,"gordon hayward,devonte' graham,p.j. washington,terry rozier,bismack biyombo,lamelo ball,miles bridges,caleb martin,cody martin","trae young,de'andre hunter,john collins,cam reddish,kevin huerter,brandon goodwin,bogdan bogdanovic,nathan knight"
2021-01-09,27.28,0,2.0,6.0,0.333,0.0,0.0,0.0,3.0,4.0,0.75,4.0,9.0,13.0,1.0,1.0,0.0,2.0,1.0,7.0,-4.0,0.451,0.333,0.0,0.667,13.5,44.0,26.0,5.8,1.9,0.0,20.5,14.9,97.0,117.0,-5.0,"p.j. washington,gordon hayward,terry rozier,devonte' graham,bismack biyombo,lamelo ball,miles bridges,caleb martin,cody martin","trae young,de'andre hunter,john collins,bogdan bogdanovic,cam reddish,kevin huerter,brandon goodwin,nathan knight"
2021-01-11,26.43,1,4.0,12.0,0.333,0.0,0.0,0.0,4.0,6.0,0.667,3.0,8.0,11.0,1.0,1.0,1.0,3.0,1.0,12.0,26.0,0.41,0.333,0.0,0.5,9.9,27.4,18.5,6.1,1.8,3.2,17.0,26.9,83.0,90.0,-5.7,"dakota mathias,tyrese maxey,danny green,joel embiid,isaiah joe,paul reed,tony bradley","trae young,john collins,cam reddish,de'andre hunter,kevin huerter,brandon goodwin,bruno fernando,nathan knight,skylar mays"
2021-01-15,27.27,0,8.0,9.0,0.889,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,11.0,0.0,0.0,0.0,0.0,3.0,16.0,-19.0,0.889,0.889,0.0,0.0,3.6,39.1,20.6,0.0,0.0,0.0,0.0,13.9,174.0,108.0,7.7,"royce o'neale,donovan mitchell,rudy gobert,mike conley,bojan bogdanovic,jordan clarkson,georges niang,miye oni,derrick favors,udoka azubuike,elijah hughes,shaquille harrison","de'andre hunter,cam reddish,john collins,trae young,kevin huerter,brandon goodwin,onyeka okongwu,bruno fernando"
2021-01-16,36.52,0,11.0,16.0,0.688,0.0,0.0,0.0,3.0,5.0,0.6,4.0,11.0,15.0,0.0,1.0,4.0,2.0,4.0,25.0,0.0,0.687,0.688,0.0,0.313,11.7,24.9,19.1,0.0,1.3,8.9,9.9,23.6,124.0,101.0,7.9,"damian lillard,derrick jones jr.,robert covington,cj mccollum,gary trent jr.,anfernee simons","trae young,kevin huerter,de'andre hunter,john collins,brandon goodwin"
2021-01-18,39.4,1,10.0,16.0,0.625,0.0,0.0,0.0,3.0,3.0,1.0,4.0,11.0,15.0,2.0,2.0,3.0,4.0,1.0,23.0,0.0,0.664,0.625,0.0,0.188,13.2,26.8,21.0,9.8,2.3,6.8,18.8,22.8,111.0,89.0,3.7,"malik beasley,d'angelo russell,jarred vanderbilt,naz reid,josh okogie,anthony edwards,jarrett culver,jordan mclaughlin,jaden mcdaniels","kevin huerter,de'andre hunter,john collins,trae young,brandon goodwin"
2021-01-20,38.78,1,10.0,18.0,0.556,0.0,0.0,0.0,7.0,12.0,0.583,12.0,14.0,26.0,2.0,1.0,5.0,0.0,2.0,27.0,17.0,0.58,0.556,0.0,0.667,28.3,40.7,33.8,9.0,1.3,10.4,0.0,24.5,144.0,96.0,13.1,"jerami grant,blake griffin,mason plumlee,delon wright,derrick rose,josh jackson,isaiah stewart,svi mykhailiuk,jahlil okafor,saddiq bey,sekou doumbouya","trae young,john collins,kevin huerter,onyeka okongwu,brandon goodwin,nathan knight"
