date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-11-29,1.85,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.9,0.0,0.0,0.0,0.0,238.0,93.0,5.4,"shai gilgeous-alexander,luguentz dort,josh giddey,jeremiah robinson-earl,darius bazley,tre mann,isaiah roby,aleksej pokusevski,aaron wiggins,ty jerome,theo maledon","kevin porter jr.,garrison mathews,christian wood,eric gordon,jae'sean tate,armoni brooks,danuel house jr.,kenyon martin jr.,alperen sengun,josh christopher"
2021-12-27,25.5,0,5.0,8.0,0.625,1.0,3.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,11.0,-15.0,0.688,0.688,0.375,0.0,0.0,14.9,6.8,21.2,5.6,0.0,27.3,17.9,105.0,115.0,2.3,"mason plumlee,gordon hayward,terry rozier,jalen mcdaniels,lamelo ball,kelly oubre jr.,ish smith,cody martin,nick richards,james bouknight,jt thor,kai jones","armoni brooks,christian wood,david nwaba,eric gordon,josh christopher,trevelin queen,daniel theis,alperen sengun,usman garuba"
2021-12-31,3.83,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,-14.0,"tyler herro,caleb martin,kyle lowry,jimmy butler,omer yurtseven,kyle guy,chris silva,haywood highsmith,nik stauskas","christian wood,kevin porter jr.,jalen green,eric gordon,david nwaba,jae'sean tate,josh christopher,armoni brooks,kenyon martin jr.,alperen sengun,trevelin queen"
2022-01-01,11.63,1,5.0,6.0,0.833,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,13.0,15.0,0.945,1.0,0.5,0.333,0.0,0.0,0.0,25.2,8.4,0.0,22.5,32.6,123.0,116.0,19.4,"facundo campazzo,austin rivers,will barton,nikola jokic,aaron gordon,rayjon tucker,jamychal green,bol bol,davon reed,vlatko cancar,carlik jones","jalen green,daniel theis,david nwaba,jae'sean tate,kevin porter jr.,kenyon martin jr.,josh christopher,armoni brooks,trevelin queen,usman garuba,christian wood"
2022-01-03,2.93,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.1,17.0,44.2,0.0,0.0,100.0,28.6,25.0,129.0,-31.9,"furkan korkmaz,tobias harris,seth curry,joel embiid,danny green,isaiah joe,shake milton,georges niang,andre drummond,paul reed,charles bassey","daniel theis,garrison mathews,eric gordon,jae'sean tate,jalen green,kenyon martin jr.,david nwaba,josh christopher,trevelin queen"
2022-01-07,9.15,1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.5,0.0,10.3,23.8,16.6,14.2,5.0,0.0,0.0,9.3,58.0,116.0,-4.3,"maxi kleber,jalen brunson,dorian finney-smith,reggie bullock,dwight powell,josh green,tim hardaway jr.,sterling brown,frank ntilikina,trey burke,moses brown,marquese chriss,theo pinson","kevin porter jr.,jae'sean tate,jalen green,christian wood,eric gordon,garrison mathews,josh christopher,david nwaba,kenyon martin jr.,armoni brooks,trevelin queen"
2022-01-09,7.4,1,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,36.7,19.3,39.3,0.0,0.0,33.3,16.0,135.0,124.0,0.7,"anthony edwards,karl-anthony towns,d'angelo russell,jarred vanderbilt,jaden mcdaniels,malik beasley,jaylen nowell,josh okogie,naz reid,taurean prince,nathan knight,jake layman,jordan mclaughlin","christian wood,eric gordon,jalen green,kevin porter jr.,jae'sean tate,garrison mathews,kenyon martin jr.,josh christopher,david nwaba"
2022-01-10,4.52,1,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,5.0,0.41,0.5,0.0,0.5,0.0,0.0,0.0,54.9,10.8,0.0,29.1,33.6,69.0,99.0,-0.2,"furkan korkmaz,joel embiid,matisse thybulle,tobias harris,danny green,isaiah joe,charlie brown jr.,georges niang,andre drummond,charles bassey,braxton key","christian wood,jalen green,kevin porter jr.,jae'sean tate,daniel theis,garrison mathews,josh christopher,kenyon martin jr.,david nwaba,usman garuba"
2022-03-04,2.35,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,0.0,127.0,-34.9,"will barton,aaron gordon,jeff green,monte morris,demarcus cousins,jamychal green,davon reed,bones hyland,facundo campazzo,bryn forbes","jalen green,kevin porter jr.,christian wood,eric gordon,jae'sean tate,garrison mathews,alperen sengun,kenyon martin jr.,josh christopher,trevelin queen"
2022-03-07,22.98,0,2.0,6.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,3.0,7.0,-1.0,0.509,0.417,0.5,0.333,0.0,5.6,2.5,24.0,2.2,0.0,12.7,15.3,111.0,131.0,-5.1,"kyle lowry,bam adebayo,jimmy butler,duncan robinson,p.j. tucker,tyler herro,caleb martin,victor oladipo,dewayne dedmon,gabe vincent,max strus,kyle guy,haywood highsmith,omer yurtseven","jalen green,alperen sengun,kevin porter jr.,jae'sean tate,garrison mathews,kenyon martin jr.,josh christopher,david nwaba,bruno fernando,trevelin queen"
