date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,7.62,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.1,7.2,0.0,6.3,13.1,100.0,5.8,0.0,83.0,-8.8,"josh richardson,luka doncic,dorian finney-smith,tim hardaway jr.,dwight powell,maxi kleber,trey burke,jalen brunson,james johnson,willie cauley-stein,josh green","mikal bridges,devin booker,chris paul,jae crowder,deandre ayton,cameron johnson,cameron payne,jalen smith,jevon carter,langston galloway"
2020-12-26,15.45,0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,-10.0,0.333,0.333,0.0,0.0,0.0,13.8,6.5,0.0,0.0,0.0,0.0,8.1,69.0,109.0,-9.9,"de'aaron fox,buddy hield,harrison barnes,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph","devin booker,chris paul,jae crowder,deandre ayton,mikal bridges,cameron johnson,cameron payne,langston galloway,jevon carter,jalen smith,frank kaminsky"
2020-12-27,1.15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,94.9,0.0,50.3,0.0,0.0,0.0,0.0,0.0,230.0,108.0,1.7,"buddy hield,harrison barnes,marvin bagley iii,de'aaron fox,richaun holmes,tyrese haliburton,cory joseph,kyle guy,jahmi'us ramsey,robert woodard ii,justin james","mikal bridges,devin booker,deandre ayton,chris paul,jae crowder,cameron johnson,cameron payne,frank kaminsky,langston galloway,jevon carter,ty-shon alexander"
2020-12-29,6.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-13.0,0.0,0.0,0.0,0.0,34.2,0.0,18.7,0.0,0.0,14.8,100.0,7.7,94.0,91.0,-2.8,"zion williamson,brandon ingram,steven adams,lonzo ball,josh hart,nickeil alexander-walker,jaxson hayes,kira lewis jr.,willy hernangomez","mikal bridges,deandre ayton,devin booker,chris paul,jae crowder,cameron payne,cameron johnson,jevon carter,dario saric,langston galloway,frank kaminsky,ty-shon alexander"
2021-01-11,11.6,0,2.0,3.0,0.667,0.0,1.0,0.0,2.0,5.0,0.4,1.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,6.0,-3.0,0.577,0.667,0.333,1.667,8.8,17.2,13.1,0.0,0.0,7.1,16.1,24.2,101.0,129.0,-6.6,"bradley beal,rui hachimura,robin lopez,raul neto,deni avdija,davis bertans,moritz wagner,ish smith,garrison mathews,anthony gill,cassius winston","chris paul,devin booker,jae crowder,deandre ayton,mikal bridges,dario saric,cameron johnson,jevon carter,langston galloway,ty-shon alexander"
2021-02-03,6.15,0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,0.906,1.0,0.0,4.0,18.2,39.0,28.2,0.0,0.0,0.0,0.0,20.6,194.0,130.0,9.8,"brandon ingram,zion williamson,steven adams,lonzo ball,josh hart,nickeil alexander-walker,willy hernangomez,kira lewis jr.,wenyen gabriel","mikal bridges,devin booker,deandre ayton,cameron johnson,chris paul,frank kaminsky,langston galloway,jae crowder,jevon carter,jalen smith"
2021-02-05,15.05,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,5.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,11.2,6.7,0.0,0.0,0.0,50.0,11.3,0.0,97.0,-19.4,"jerami grant,saddiq bey,delon wright,mason plumlee,blake griffin,josh jackson,isaiah stewart,sekou doumbouya,svi mykhailiuk,rodney mcgruder,saben lee,frank jackson","deandre ayton,mikal bridges,devin booker,chris paul,frank kaminsky,cameron johnson,langston galloway,jevon carter,jalen smith"
2021-02-07,9.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0.0,0.0,0.0,103.0,-2.2,"jayson tatum,kemba walker,grant williams,tristan thompson,carsen edwards,daniel theis,payton pritchard,robert williams,javonte green","deandre ayton,mikal bridges,devin booker,chris paul,frank kaminsky,cameron johnson,langston galloway,jevon carter"
2021-02-08,2.2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,49.6,0.0,27.3,0.0,0.0,0.0,0.0,20.1,75.0,126.0,-34.9,"darius garland,andre drummond,collin sexton,jarrett allen,isaac okoro,taurean prince,cedi osman,dylan windler,javale mcgee","deandre ayton,mikal bridges,devin booker,frank kaminsky,cameron johnson,jevon carter,langston galloway"
2021-02-13,1.37,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,-2.8,"tobias harris,joel embiid,ben simmons,seth curry,danny green,furkan korkmaz,matisse thybulle,tyrese maxey,isaiah joe,tony bradley","devin booker,chris paul,deandre ayton,mikal bridges,frank kaminsky,jae crowder,cameron johnson,dario saric,cameron payne,jevon carter,jalen smith"
