date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-22,12.23,0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0,3.0,8.0,0.75,0.75,0.5,0.0,6.9,50.1,26.4,23.7,0.0,0.0,0.0,6.2,169.0,106.0,6.8,"kyrie irving,kevin durant,joe harris,spencer dinwiddie,deandre jordan,caris levert,landry shamet,jarrett allen,jeff green,taurean prince,reggie perry,bruce brown,timothe luwawu-cabarrot","andrew wiggins,stephen curry,kelly oubre jr.,james wiseman,eric paschall,jordan poole,juan toscano-anderson,marquese chriss,kent bazemore,kevon looney,mychal mulder"
2020-12-25,18.9,0,2.0,4.0,0.5,2.0,4.0,0.5,3.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,9.0,-10.0,0.846,0.75,1.0,0.75,0.0,11.5,4.9,8.8,0.0,0.0,15.8,13.3,144.0,133.0,2.5,"giannis antetokounmpo,khris middleton,jrue holiday,donte divincenzo,brook lopez,bobby portis,pat connaughton,d.j. wilson,bryn forbes,jordan nwora,thanasis antetokounmpo,torrey craig,sam merrill","stephen curry,james wiseman,eric paschall,andrew wiggins,kelly oubre jr.,jordan poole,mychal mulder,marquese chriss,juan toscano-anderson,kevon looney,kent bazemore"
2020-12-27,20.62,0,4.0,7.0,0.571,4.0,5.0,0.8,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,4.0,12.0,11.0,0.857,0.857,0.714,0.0,4.1,6.1,4.9,14.2,4.0,0.0,0.0,12.6,169.0,111.0,8.7,"coby white,zach lavine,wendell carter jr.,lauri markkanen,patrick williams,otto porter jr.,garrett temple,chandler hutchison","stephen curry,andrew wiggins,kelly oubre jr.,james wiseman,juan toscano-anderson,eric paschall,kevon looney,jordan poole,mychal mulder"
2020-12-29,18.97,0,3.0,6.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,9.0,0.667,0.667,0.833,0.0,7.7,9.7,8.9,0.0,2.5,0.0,0.0,13.7,132.0,106.0,4.3,"jerami grant,josh jackson,mason plumlee,blake griffin,killian hayes,delon wright,derrick rose,isaiah stewart,saddiq bey,svi mykhailiuk,sekou doumbouya","andrew wiggins,stephen curry,kelly oubre jr.,juan toscano-anderson,james wiseman,kevon looney,eric paschall,mychal mulder,jordan poole"
2021-01-01,16.22,1,0.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,1.0,6.0,7.0,1.0,0.0,0.0,0.0,4.0,2.0,-8.0,0.258,0.0,1.0,0.667,6.4,36.2,21.8,9.5,0.0,0.0,0.0,10.6,79.0,118.0,-9.2,"robert covington,damian lillard,cj mccollum,derrick jones jr.,jusuf nurkic,anfernee simons,cj elleby","stephen curry,andrew wiggins,kelly oubre jr.,james wiseman,draymond green,juan toscano-anderson,kent bazemore,eric paschall,kevon looney,mychal mulder,jordan poole"
2021-01-03,17.05,1,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,6.0,-2.0,1.0,1.0,1.0,0.0,0.0,10.4,6.1,13.0,0.0,0.0,0.0,7.2,207.0,118.0,4.1,"damian lillard,cj mccollum,robert covington,jusuf nurkic,derrick jones jr.,gary trent jr.,anfernee simons","stephen curry,andrew wiggins,kelly oubre jr.,draymond green,james wiseman,kent bazemore,kevon looney,eric paschall,juan toscano-anderson,mychal mulder"
2021-01-04,19.9,1,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,6.0,6.0,3.0,0.0,0.0,0.0,2.0,3.0,10.0,0.5,0.5,1.0,0.0,0.0,25.8,14.5,14.9,0.0,0.0,0.0,6.3,130.0,97.0,-1.7,"de'aaron fox,buddy hield,harrison barnes,marvin bagley iii,richaun holmes,cory joseph,kyle guy,justin james,chimezie metu,robert woodard ii,jahmi'us ramsey","stephen curry,andrew wiggins,kelly oubre jr.,draymond green,james wiseman,eric paschall,kent bazemore,mychal mulder,kevon looney,jordan poole,nico mannion"
2021-01-06,22.28,1,2.0,5.0,0.4,2.0,4.0,0.5,1.0,2.0,0.5,0.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,7.0,3.0,0.595,0.6,0.8,0.4,0.0,16.6,7.8,6.2,4.5,0.0,14.5,13.8,101.0,107.0,3.0,"paul george,kawhi leonard,serge ibaka,patrick beverley,nicolas batum,luke kennard,marcus morris,ivica zubac,reggie jackson,mfiondu kabengele,terance mann","stephen curry,andrew wiggins,draymond green,kelly oubre jr.,james wiseman,eric paschall,kent bazemore,kevon looney,mychal mulder"
2021-01-08,21.87,1,3.0,6.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,8.0,22.0,0.667,0.667,0.833,0.0,6.1,0.0,2.9,13.1,2.3,0.0,0.0,12.6,153.0,118.0,4.3,"paul george,kawhi leonard,serge ibaka,nicolas batum,patrick beverley,luke kennard,marcus morris,ivica zubac,reggie jackson,terance mann,amir coffey,mfiondu kabengele,daniel oturu","stephen curry,draymond green,andrew wiggins,kelly oubre jr.,james wiseman,eric paschall,kent bazemore,mychal mulder,kevon looney"
2021-01-10,15.47,1,4.0,7.0,0.571,3.0,6.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,13.0,-2.0,0.825,0.786,0.857,0.286,0.0,11.9,6.3,12.1,3.1,0.0,0.0,21.0,160.0,103.0,17.8,"pascal siakam,fred vanvleet,og anunoby,kyle lowry,norman powell,chris boucher,malachi flynn,terence davis,stanley johnson,yuta watanabe","stephen curry,andrew wiggins,draymond green,kelly oubre jr.,james wiseman,kent bazemore,eric paschall,kevon looney,mychal mulder"
