date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-26,32.93,0,7.0,12.0,0.583,1.0,5.0,0.2,0.0,0.0,0.0,1.0,9.0,10.0,1.0,1.0,2.0,1.0,1.0,15.0,9.0,0.625,0.625,0.417,0.0,3.4,22.6,14.4,4.9,1.4,4.8,7.7,16.5,116.0,100.0,2.6,"gordon hayward,devonte' graham,terry rozier,bismack biyombo,p.j. washington,miles bridges,cody martin,caleb martin,lamelo ball,jalen mcdaniels","luguentz dort,shai gilgeous-alexander,al horford,george hill,theo maledon,hamidou diallo,mike muscala,kenrich williams,aleksej pokusevski"
2020-12-28,33.35,1,3.0,8.0,0.375,2.0,4.0,0.5,1.0,2.0,0.5,0.0,11.0,11.0,0.0,0.0,1.0,3.0,1.0,9.0,-5.0,0.507,0.5,0.5,0.25,0.0,41.7,19.8,0.0,0.0,2.9,25.3,15.6,72.0,110.0,-6.3,"rudy gobert,donovan mitchell,bojan bogdanovic,royce o'neale,mike conley,jordan clarkson,joe ingles,derrick favors,georges niang,miye oni","shai gilgeous-alexander,luguentz dort,al horford,george hill,hamidou diallo,theo maledon,mike muscala,aleksej pokusevski,kenrich williams"
2020-12-29,28.52,1,3.0,14.0,0.214,0.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,2.0,0.0,2.0,2.0,0.0,6.0,-9.0,0.214,0.214,0.286,0.0,7.7,13.7,10.9,8.9,0.0,4.5,12.5,23.3,56.0,115.0,-13.0,"nikola vucevic,evan fournier,markelle fultz,aaron gordon,terrence ross,michael carter-williams,chuma okeke,cole anthony,khem birch","shai gilgeous-alexander,justin jackson,luguentz dort,isaiah roby,hamidou diallo,theo maledon,mike muscala,aleksej pokusevski,kenrich williams,josh hall"
2020-12-31,26.73,1,2.0,6.0,0.333,0.0,3.0,0.0,3.0,3.0,1.0,1.0,3.0,4.0,2.0,0.0,1.0,4.0,2.0,7.0,-11.0,0.478,0.333,0.5,0.5,3.5,11.5,7.3,13.6,0.0,3.3,35.3,19.2,72.0,119.0,-10.1,"lonzo ball,steven adams,brandon ingram,zion williamson,josh hart,nickeil alexander-walker,jaxson hayes,kira lewis jr.","shai gilgeous-alexander,al horford,george hill,luguentz dort,theo maledon,aleksej pokusevski,isaiah roby,hamidou diallo,mike muscala,josh hall,kenrich williams,moses brown"
2021-01-02,32.4,0,7.0,10.0,0.7,2.0,4.0,0.5,3.0,3.0,1.0,0.0,12.0,12.0,2.0,0.0,1.0,0.0,0.0,19.0,1.0,0.839,0.8,0.4,0.3,0.0,29.1,16.6,10.7,0.0,2.1,0.0,15.9,167.0,95.0,10.3,"nikola vucevic,markelle fultz,michael carter-williams,aaron gordon,terrence ross,gary clark,cole anthony,khem birch","shai gilgeous-alexander,luguentz dort,al horford,george hill,mike muscala,theo maledon,hamidou diallo,kenrich williams,aleksej pokusevski"
2021-01-04,25.92,0,5.0,10.0,0.5,3.0,5.0,0.6,3.0,3.0,1.0,0.0,8.0,8.0,2.0,2.0,1.0,2.0,1.0,16.0,-17.0,0.707,0.65,0.5,0.3,0.0,41.2,17.4,18.8,3.8,3.9,15.0,23.3,115.0,111.0,10.4,"duncan robinson,tyler herro,bam adebayo,kelly olynyk,jimmy butler,goran dragic,precious achiuwa,andre iguodala,kendrick nunn,kz okpala,maurice harkless,chris silva","shai gilgeous-alexander,luguentz dort,george hill,al horford,isaiah roby,justin jackson,theo maledon,hamidou diallo,mike muscala,kenrich williams,josh hall,moses brown"
2021-01-06,33.95,0,8.0,20.0,0.4,3.0,11.0,0.273,1.0,1.0,1.0,1.0,11.0,12.0,3.0,1.0,0.0,3.0,3.0,20.0,9.0,0.489,0.475,0.55,0.05,3.0,36.2,18.9,14.8,1.4,0.0,12.8,30.7,87.0,105.0,-4.7,"brandon ingram,lonzo ball,steven adams,zion williamson,josh hart,nickeil alexander-walker,jaxson hayes","shai gilgeous-alexander,luguentz dort,george hill,al horford,mike muscala,hamidou diallo,theo maledon,kenrich williams,isaiah roby"
2021-01-08,23.38,0,2.0,9.0,0.222,0.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,0.0,0.0,1.0,1.0,1.0,4.0,-5.0,0.222,0.222,0.333,0.0,4.2,19.9,12.9,0.0,0.0,3.0,10.0,19.1,50.0,92.0,-11.3,"rj barrett,julius randle,elfrid payton,mitchell robinson,reggie bullock,austin rivers,kevin knox,immanuel quickley,nerlens noel","shai gilgeous-alexander,luguentz dort,al horford,george hill,hamidou diallo,theo maledon,aleksej pokusevski,mike muscala,kenrich williams,isaiah roby"
2021-01-10,33.32,0,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,2.0,1.0,1.0,5.0,-7.0,0.417,0.417,0.667,0.0,3.6,15.6,9.4,6.2,0.0,5.6,14.3,9.4,92.0,114.0,-4.4,"kevin durant,caris levert,jarrett allen,joe harris,jeff green,taurean prince,timothe luwawu-cabarrot,landry shamet,deandre jordan,bruce brown","shai gilgeous-alexander,george hill,al horford,luguentz dort,hamidou diallo,isaiah roby,theo maledon,aleksej pokusevski,kenrich williams,moses brown"
2021-01-12,32.72,1,4.0,14.0,0.286,2.0,7.0,0.286,2.0,2.0,1.0,1.0,5.0,6.0,2.0,0.0,1.0,1.0,2.0,12.0,-7.0,0.403,0.357,0.5,0.143,3.2,14.1,9.0,9.7,0.0,2.4,6.3,21.4,85.0,112.0,-4.3,"keldon johnson,lonnie walker iv,dejounte murray,trey lyles,patty mills,devin vassell,rudy gay,jakob poeltl","shai gilgeous-alexander,al horford,george hill,luguentz dort,hamidou diallo,mike muscala,aleksej pokusevski,theo maledon,isaiah roby,justin jackson,kenrich williams"
