date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-10-24,1.48,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,0.0,121.0,-32.5,"miles bridges,gordon hayward,mason plumlee,lamelo ball,kelly oubre jr.,cody martin,p.j. washington,ish smith,jalen mcdaniels,james bouknight,vernon carey jr.,kai jones,nick richards,jt thor","kevin durant,james harden,joe harris,jevon carter,nic claxton,patty mills,bruce brown,james johnson,deandre' bembry,cam thomas"
2021-10-25,4.05,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,200.0,98.0,4.4,"bradley beal,kyle kuzma,spencer dinwiddie,kentavious caldwell-pope,daniel gafford,montrezl harrell,davis bertans,deni avdija,aaron holiday,raul neto,isaiah todd,corey kispert,joel ayayi","kevin durant,james harden,joe harris,bruce brown,blake griffin,patty mills,deandre' bembry,nic claxton,jevon carter,james johnson,cam thomas"
2021-10-27,1.57,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,-7.4,"jimmy butler,kyle lowry,p.j. tucker,duncan robinson,bam adebayo,tyler herro,dewayne dedmon,markieff morris,max strus,caleb martin,kz okpala,gabe vincent,omer yurtseven","kevin durant,james harden,bruce brown,joe harris,blake griffin,patty mills,deandre' bembry,jevon carter,cam thomas"
2021-10-31,6.65,1,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,-1.0,0.868,1.25,0.5,1.0,30.1,15.7,20.6,0.0,0.0,0.0,0.0,21.2,151.0,99.0,4.6,"jerami grant,saddiq bey,killian hayes,hamidou diallo,isaiah stewart,josh jackson,kelly olynyk,cory joseph,frank jackson,trey lyles,luka garza,rodney mcgruder,saben lee,jamorko pickett","james harden,kevin durant,joe harris,bruce brown,blake griffin,deandre' bembry,james johnson,patty mills,jevon carter,cam thomas"
2021-11-08,3.23,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,-4.0,1.0,1.0,0.0,0.0,0.0,29.1,15.1,0.0,14.9,0.0,66.7,41.1,40.0,84.0,-10.6,"demar derozan,zach lavine,nikola vucevic,lonzo ball,javonte green,alex caruso,ayo dosunmu,derrick jones jr.,tony bradley,troy brown jr.,alize johnson","kevin durant,joe harris,james harden,bruce brown,blake griffin,patty mills,deandre' bembry,jevon carter,cam thomas"
2021-11-10,6.9,0,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,5.0,0.0,1.0,1.0,1.0,0.0,4.0,2.0,0.41,0.25,0.0,0.5,46.4,26.3,35.5,0.0,6.7,11.8,17.0,36.0,101.0,67.0,-0.8,"franz wagner,cole anthony,mo bamba,jalen suggs,wendell carter jr.,chuma okeke,r.j. hampton,terrence ross,gary harris,moritz wagner,ignas brazdeikis,mychal mulder","james harden,kevin durant,joe harris,bruce brown,blake griffin,jevon carter,patty mills,deandre' bembry,cam thomas"
2021-11-16,9.07,1,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,1.0,3.0,1.0,4.0,9.0,0.4,0.4,0.2,0.0,20.0,69.7,40.7,0.0,0.0,13.6,37.5,38.2,59.0,105.0,-15.9,"stephen curry,draymond green,jordan poole,andrew wiggins,kevon looney,damion lee,andre iguodala,jonathan kuminga,otto porter jr.,gary payton ii,moses moody,juan toscano-anderson","kevin durant,patty mills,james harden,bruce brown,blake griffin,deandre' bembry,jevon carter,cam thomas,kessler edwards,james johnson"
2021-11-24,2.65,0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,-2.0,0.581,0.667,0.0,0.333,90.6,0.0,38.1,0.0,0.0,0.0,0.0,57.6,134.0,120.0,5.9,"marcus smart,jayson tatum,al horford,jaylen brown,grant williams,dennis schroder,romeo langford,aaron nesmith,payton pritchard,juancho hernangomez,bruno fernando","kevin durant,james harden,patty mills,deandre' bembry,cam thomas,james johnson,jevon carter,kessler edwards"
2021-12-14,13.18,1,3.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.25,4.0,3.0,7.0,0.0,0.0,1.0,2.0,2.0,7.0,-7.0,0.735,1.0,0.0,1.333,34.2,22.3,27.9,0.0,0.0,7.6,29.6,21.0,106.0,117.0,-3.6,"fred vanvleet,pascal siakam,scottie barnes,gary trent jr.,chris boucher,yuta watanabe,justin champagnie,svi mykhailiuk,malachi flynn","kevin durant,patty mills,david duke jr.,blake griffin,nic claxton,kessler edwards,cam thomas"
2021-12-16,13.35,1,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.521,0.5,0.0,1.0,16.7,25.1,20.9,0.0,0.0,0.0,0.0,9.4,136.0,108.0,-3.8,"danny green,seth curry,tobias harris,shake milton,joel embiid,isaiah joe,matisse thybulle,andre drummond","kevin durant,patty mills,david duke jr.,blake griffin,nic claxton,kessler edwards,cam thomas,langston galloway"
2022-01-03,9.4,1,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,5.0,6.0,13.0,1.0,1.0,0.0,0.0,11.1,31.9,21.7,0.0,0.0,0.0,0.0,14.5,204.0,114.0,-3.1,"desmond bane,ja morant,steven adams,jaren jackson jr.,killian tillie,jarrett culver,brandon clarke,tyus jones,santi aldama,yves pons,xavier sneed,daquan jeffries,dakota mathias","james harden,kevin durant,patty mills,nic claxton,deandre' bembry,bruce brown,james johnson,blake griffin,cam thomas,jevon carter,david duke jr."
2022-01-07,6.97,1,2.0,4.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0,0.615,0.5,0.0,0.5,44.9,0.0,22.0,0.0,0.0,0.0,0.0,30.3,151.0,135.0,0.9,"bobby portis,jordan nwora,khris middleton,wesley matthews,giannis antetokounmpo,langston galloway,sandro mamukelashvili,thanasis antetokounmpo,javonte smart,luke kornet,jeff dowtin","kevin durant,james harden,patty mills,nic claxton,david duke jr.,cam thomas,james johnson,bruce brown,deandre' bembry,jevon carter,kessler edwards"
2022-01-09,11.27,1,3.0,8.0,0.375,0.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,6.0,0.0,1.0,0.0,1.0,3.0,7.0,1.0,0.415,0.375,0.0,0.125,52.3,8.7,28.5,0.0,4.1,0.0,10.6,34.5,102.0,102.0,-9.7,"dejounte murray,joshua primo,keita bates-diop,jakob poeltl,lonnie walker iv,bryn forbes,jock landale,devontae cacok,joe wieskamp","james harden,kevin durant,patty mills,nic claxton,david duke jr.,cam thomas,deandre' bembry,kessler edwards,blake griffin,james johnson"
2022-01-10,24.0,0,6.0,6.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,4.0,3.0,7.0,2.0,0.0,3.0,3.0,4.0,14.0,14.0,0.956,1.0,0.0,0.5,16.7,14.6,15.7,13.3,0.0,12.5,29.1,18.3,138.0,116.0,5.5,"nassir little,anfernee simons,robert covington,jusuf nurkic,cj elleby,cody zeller,trendon watford,dennis smith jr.","kevin durant,kyrie irving,deandre' bembry,david duke jr.,nic claxton,patty mills,cam thomas,kessler edwards,blake griffin,james johnson"
2022-01-12,21.67,0,10.0,14.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,0.0,0.0,1.0,2.0,6.0,20.0,-5.0,0.714,0.714,0.0,0.0,20.8,20.1,20.4,0.0,0.0,4.3,12.5,32.7,124.0,114.0,-6.6,"zach lavine,demar derozan,lonzo ball,nikola vucevic,derrick jones jr.,coby white,ayo dosunmu,alfonzo mckinnie,troy brown jr.,tony bradley,devon dotson,marko simonovic","james harden,kevin durant,kessler edwards,kyrie irving,patty mills,blake griffin,deandre' bembry,cam thomas,david duke jr.,jevon carter,bruce brown,james johnson"
2022-01-13,19.92,1,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,0.0,1.0,1.0,2.0,4.0,-17.0,0.4,0.4,0.0,0.0,9.6,25.4,16.4,6.7,0.0,5.2,16.7,12.1,95.0,138.0,-11.2,"shai gilgeous-alexander,luguentz dort,josh giddey,aaron wiggins,jeremiah robinson-earl,ty jerome,tre mann,darius bazley,mike muscala,mamadi diakite","james harden,bruce brown,kessler edwards,deandre' bembry,cam thomas,jevon carter,david duke jr.,blake griffin,james johnson"
2022-01-15,26.85,1,6.0,14.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,10.0,0.0,0.0,1.0,1.0,6.0,12.0,2.0,0.429,0.429,0.0,0.0,33.5,15.2,22.6,0.0,0.0,3.2,6.7,25.4,106.0,112.0,-14.1,"brandon ingram,josh hart,jonas valanciunas,herbert jones,devonte' graham,garrett temple,nickeil alexander-walker,jaxson hayes,jose alvarado,gary clark,naji marshall,trey murphy iii","james harden,kessler edwards,patty mills,kevin durant,cam thomas,blake griffin,bruce brown,deandre' bembry,jevon carter,david duke jr."
2022-01-17,23.7,0,4.0,8.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,6.0,2.0,2.0,1.0,4.0,3.0,10.0,7.0,0.563,0.5,0.0,0.25,15.2,17.4,16.2,12.3,4.3,4.1,31.1,24.9,93.0,114.0,-4.7,"evan mobley,darius garland,jarrett allen,isaac okoro,lauri markkanen,cedi osman,kevin love,dylan windler,brandon goodwin","james harden,kessler edwards,kyrie irving,patty mills,cam thomas,blake griffin,bruce brown"
2022-01-19,15.9,0,5.0,6.0,0.833,0.0,0.0,0.0,4.0,4.0,1.0,2.0,4.0,6.0,2.0,1.0,1.0,0.0,5.0,14.0,-3.0,0.902,0.833,0.0,0.667,17.8,28.8,23.8,18.9,3.1,5.3,0.0,21.3,192.0,109.0,18.7,"bradley beal,spencer dinwiddie,kyle kuzma,kentavious caldwell-pope,daniel gafford,montrezl harrell,deni avdija,rui hachimura,corey kispert,thomas bryant,davis bertans","james harden,kyrie irving,patty mills,kessler edwards,cam thomas,bruce brown"
2022-01-21,14.23,0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0.5,0.5,0.0,0.0,15.0,47.3,33.1,0.0,0.0,0.0,0.0,18.0,120.0,93.0,-0.9,"dejounte murray,jakob poeltl,derrick white,keldon johnson,doug mcdermott,devin vassell,keita bates-diop,lonnie walker iv,drew eubanks,jock landale,juancho hernangomez,tre jones","james harden,kyrie irving,kessler edwards,patty mills,bruce brown,james johnson,blake griffin,cam thomas,deandre' bembry,david duke jr."
2022-01-23,21.97,0,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,9.0,0.0,0.0,1.0,2.0,3.0,8.0,8.0,0.571,0.571,0.0,0.0,30.5,15.6,23.1,0.0,0.0,3.6,22.2,16.6,115.0,134.0,-7.1,"karl-anthony towns,jarred vanderbilt,d'angelo russell,anthony edwards,jaden mcdaniels,jaylen nowell,taurean prince,naz reid,malik beasley,josh okogie,nathan knight,jake layman,jordan mclaughlin,mckinley wright iv","james harden,kyrie irving,patty mills,kessler edwards,james johnson,deandre' bembry,cam thomas,bruce brown,blake griffin,jevon carter"
2022-01-25,10.97,1,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.5,0.5,0.0,0.0,28.5,53.4,40.2,0.0,0.0,0.0,20.0,18.9,101.0,111.0,-4.5,"lebron james,russell westbrook,stanley johnson,anthony davis,malik monk,austin reaves,talen horton-tucker,kent bazemore","james harden,kessler edwards,patty mills,deandre' bembry,james johnson,bruce brown,nic claxton,cam thomas,jevon carter"
