date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,24.53,1,1.0,6.0,0.167,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,3.0,-7.0,0.25,0.25,0.5,0.0,0.0,8.7,4.3,4.2,0.0,5.6,0.0,10.3,59.0,122.0,-8.5,"demar derozan,lonnie walker iv,keldon johnson,dejounte murray,rudy gay,devin vassell,patty mills,jakob poeltl","ja morant,dillon brooks,jonas valanciunas,kyle anderson,grayson allen,brandon clarke,tyus jones,gorgui dieng,desmond bane"
2021-01-05,15.73,1,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,1.0,2.0,3.0,5.0,12.0,0.417,0.417,0.5,0.0,0.0,14.5,6.8,51.0,3.1,5.4,25.0,23.1,83.0,93.0,3.4,"dennis schroder,anthony davis,lebron james,kyle kuzma,wesley matthews,talen horton-tucker,montrezl harrell,markieff morris","tyus jones,dillon brooks,kyle anderson,brandon clarke,jonas valanciunas,desmond bane,gorgui dieng,xavier tillman sr.,grayson allen"
2021-01-07,21.2,1,4.0,7.0,0.571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,8.0,7.0,0.571,0.571,0.143,0.0,0.0,15.4,8.0,25.2,7.4,4.6,30.0,21.7,85.0,90.0,1.9,"isaac okoro,cedi osman,andre drummond,larry nance jr.,lamar stevens,javale mcgee,dean wade","brandon clarke,dillon brooks,kyle anderson,jonas valanciunas,tyus jones,desmond bane,xavier tillman sr.,gorgui dieng,grayson allen"
2021-01-08,22.0,1,6.0,10.0,0.6,2.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,1.0,1.0,2.0,0.0,14.0,-6.0,0.7,0.7,0.2,0.0,4.4,23.0,12.4,6.8,2.1,4.4,16.7,22.5,112.0,106.0,4.5,"caris levert,jeff green,jarrett allen,taurean prince,bruce brown,joe harris,landry shamet,timothe luwawu-cabarrot,deandre jordan,chris chiozza","brandon clarke,tyus jones,dillon brooks,kyle anderson,jonas valanciunas,grayson allen,desmond bane,xavier tillman sr.,gorgui dieng"
2021-01-11,18.2,0,3.0,7.0,0.429,1.0,2.0,0.5,1.0,2.0,0.5,0.0,2.0,2.0,2.0,1.0,0.0,1.0,4.0,8.0,7.0,0.508,0.5,0.286,0.286,0.0,12.3,6.6,16.4,2.8,0.0,11.3,22.9,94.0,96.0,-6.0,"isaac okoro,larry nance jr.,andre drummond,cedi osman,javale mcgee,dean wade,lamar stevens","dillon brooks,tyus jones,kyle anderson,jonas valanciunas,brandon clarke,desmond bane,xavier tillman sr.,grayson allen"
2021-01-13,24.77,0,7.0,12.0,0.583,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,15.0,7.0,0.625,0.625,0.333,0.0,0.0,4.5,2.0,21.3,3.9,3.7,7.7,21.2,123.0,107.0,8.5,"d'angelo russell,karl-anthony towns,malik beasley,juancho hernangomez,josh okogie,ricky rubio,anthony edwards,jarred vanderbilt,naz reid,jarrett culver","brandon clarke,jonas valanciunas,dillon brooks,tyus jones,kyle anderson,grayson allen,xavier tillman sr.,desmond bane"
2021-01-16,12.05,1,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,5.0,0.333,0.333,0.333,0.0,0.0,8.5,4.1,11.4,3.9,0.0,14.3,23.6,64.0,101.0,-8.5,"ben simmons,danny green,tobias harris,tyrese maxey,shake milton,matisse thybulle,isaiah joe,tony bradley","ja morant,kyle anderson,brandon clarke,dillon brooks,jonas valanciunas,xavier tillman sr.,grayson allen,desmond bane,tyus jones"
2021-01-30,32.3,0,8.0,13.0,0.615,4.0,7.0,0.571,0.0,0.0,0.0,2.0,3.0,5.0,2.0,0.0,2.0,0.0,5.0,20.0,11.0,0.769,0.769,0.538,0.0,7.4,10.4,9.0,7.6,0.0,5.5,0.0,17.3,159.0,116.0,6.2,"dejounte murray,lonnie walker iv,demar derozan,keldon johnson,rudy gay,derrick white,patty mills,jakob poeltl,trey lyles,devin vassell,drew eubanks,tre jones,quinndary weatherspoon,keita bates-diop","dillon brooks,ja morant,brandon clarke,xavier tillman sr.,kyle anderson,gorgui dieng,tyus jones,desmond bane,john konchar"
2021-02-01,26.55,0,6.0,14.0,0.429,5.0,9.0,0.556,0.0,0.0,0.0,0.0,7.0,7.0,5.0,2.0,1.0,2.0,3.0,17.0,21.0,0.607,0.607,0.643,0.0,0.0,23.9,13.3,22.0,3.6,3.5,12.5,26.3,114.0,96.0,5.4,"keldon johnson,demar derozan,dejounte murray,lonnie walker iv,patty mills,derrick white,jakob poeltl,rudy gay,devin vassell,drew eubanks,trey lyles,keita bates-diop,quinndary weatherspoon","kyle anderson,xavier tillman sr.,dillon brooks,brandon clarke,ja morant,tyus jones,desmond bane,gorgui dieng,john konchar"
2021-02-02,22.02,0,4.0,8.0,0.5,1.0,5.0,0.2,3.0,3.0,1.0,0.0,2.0,2.0,6.0,0.0,2.0,3.0,2.0,12.0,5.0,0.644,0.563,0.625,0.375,0.0,12.5,5.6,39.3,0.0,8.2,24.4,22.5,112.0,130.0,3.4,"domantas sabonis,myles turner,justin holiday,malcolm brogdon,jeremy lamb,t.j. mcconnell,doug mcdermott,aaron holiday,goga bitadze,kelan martin,edmond sumner","ja morant,dillon brooks,brandon clarke,xavier tillman sr.,kyle anderson,desmond bane,gorgui dieng,tyus jones,john konchar"
2021-02-04,24.05,1,3.0,7.0,0.429,1.0,3.0,0.333,1.0,3.0,0.333,0.0,3.0,3.0,5.0,0.0,1.0,1.0,3.0,8.0,20.0,0.481,0.5,0.429,0.429,0.0,15.0,6.9,32.2,0.0,4.8,10.7,16.8,105.0,122.0,-3.7,"p.j. tucker,eric gordon,jae'sean tate,john wall,christian wood,danuel house jr.,sterling brown,demarcus cousins,mason jones","ja morant,dillon brooks,brandon clarke,kyle anderson,xavier tillman sr.,desmond bane,gorgui dieng,tyus jones,john konchar"
2021-02-06,14.27,0,2.0,4.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,6.0,-4.0,0.75,0.75,0.5,0.0,7.5,16.0,11.6,30.3,0.0,0.0,20.0,15.7,136.0,130.0,6.5,"brandon ingram,zion williamson,lonzo ball,steven adams,josh hart,kira lewis jr.,willy hernangomez","ja morant,kyle anderson,xavier tillman sr.,dillon brooks,gorgui dieng,jonas valanciunas,grayson allen,tyus jones,desmond bane"
