date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,24.17,1,5.0,9.0,0.556,0.0,0.0,0.0,3.0,6.0,0.5,1.0,7.0,8.0,1.0,1.0,2.0,2.0,4.0,13.0,-4.0,0.558,0.556,0.0,0.667,5.1,29.0,18.3,7.1,2.0,8.3,14.7,24.9,99.0,94.0,1.0,"josh richardson,luka doncic,dorian finney-smith,tim hardaway jr.,dwight powell,maxi kleber,trey burke,jalen brunson,james johnson,willie cauley-stein,josh green","mikal bridges,devin booker,chris paul,jae crowder,cameron johnson,cameron payne,jalen smith,jevon carter,langston galloway,damian jones"
2020-12-26,29.93,0,3.0,5.0,0.6,0.0,0.0,0.0,3.0,5.0,0.6,4.0,8.0,12.0,2.0,0.0,1.0,2.0,5.0,9.0,7.0,0.625,0.6,0.0,1.0,12.6,28.5,20.0,8.9,0.0,2.5,21.7,12.9,118.0,102.0,-2.5,"de'aaron fox,buddy hield,harrison barnes,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph","devin booker,chris paul,jae crowder,mikal bridges,cameron johnson,damian jones,cameron payne,langston galloway,jevon carter,jalen smith,frank kaminsky"
2020-12-27,29.3,0,5.0,11.0,0.455,1.0,2.0,0.5,0.0,0.0,0.0,3.0,12.0,15.0,4.0,0.0,0.0,1.0,2.0,11.0,-1.0,0.5,0.5,0.182,0.0,11.2,50.4,29.6,17.3,0.0,0.0,8.3,18.2,114.0,104.0,1.8,"buddy hield,harrison barnes,marvin bagley iii,de'aaron fox,richaun holmes,tyrese haliburton,cory joseph,kyle guy,jahmi'us ramsey,robert woodard ii,justin james","mikal bridges,devin booker,chris paul,jae crowder,cameron johnson,cameron payne,frank kaminsky,langston galloway,jevon carter,ty-shon alexander,damian jones"
2020-12-29,26.45,1,6.0,11.0,0.545,0.0,0.0,0.0,1.0,1.0,1.0,5.0,7.0,12.0,0.0,0.0,1.0,0.0,1.0,13.0,16.0,0.568,0.545,0.0,0.091,19.7,33.4,25.9,0.0,0.0,3.4,0.0,20.3,136.0,94.0,2.2,"zion williamson,brandon ingram,steven adams,lonzo ball,josh hart,nickeil alexander-walker,jaxson hayes,kira lewis jr.,willy hernangomez","mikal bridges,devin booker,chris paul,jae crowder,cameron payne,cameron johnson,jevon carter,dario saric,langston galloway,frank kaminsky,damian jones,ty-shon alexander"
2020-12-31,28.33,0,2.0,8.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,3.0,1.0,2.0,1.0,3.0,4.0,-1.0,0.25,0.25,0.0,0.0,8.3,25.8,17.5,13.5,1.8,6.8,11.1,14.7,78.0,92.0,-1.7,"donovan mitchell,mike conley,royce o'neale,rudy gobert,bojan bogdanovic,joe ingles,jordan clarkson,derrick favors,georges niang","jae crowder,mikal bridges,devin booker,chris paul,cameron payne,dario saric,cameron johnson,jevon carter,langston galloway,frank kaminsky"
2021-01-01,37.5,0,10.0,13.0,0.769,0.0,1.0,0.0,2.0,2.0,1.0,2.0,9.0,11.0,1.0,0.0,2.0,4.0,3.0,22.0,-11.0,0.793,0.769,0.077,0.154,6.7,31.1,18.8,5.3,0.0,4.5,22.4,22.4,119.0,107.0,4.1,"jamal murray,will barton,gary harris,nikola jokic,monte morris,pj dozier,jamychal green,isaiah hartenstein,facundo campazzo,r.j. hampton","mikal bridges,devin booker,chris paul,jae crowder,cameron johnson,cameron payne,jevon carter,frank kaminsky,langston galloway"
2021-01-03,29.5,1,9.0,12.0,0.75,0.0,0.0,0.0,6.0,7.0,0.857,4.0,4.0,8.0,2.0,1.0,0.0,1.0,5.0,24.0,-15.0,0.796,0.75,0.0,0.583,18.1,15.9,16.9,14.6,1.8,0.0,6.2,26.1,159.0,121.0,11.0,"paul george,kawhi leonard,nicolas batum,patrick beverley,serge ibaka,luke kennard,ivica zubac,reggie jackson","devin booker,mikal bridges,chris paul,jae crowder,cameron johnson,dario saric,cameron payne,langston galloway,jevon carter"
2021-01-06,31.42,1,5.0,8.0,0.625,0.0,1.0,0.0,1.0,1.0,1.0,2.0,14.0,16.0,1.0,0.0,0.0,2.0,5.0,11.0,-1.0,0.652,0.625,0.125,0.125,7.6,49.7,29.5,4.7,0.0,0.0,19.2,15.4,113.0,116.0,-4.7,"fred vanvleet,kyle lowry,pascal siakam,og anunoby,norman powell,yuta watanabe,chris boucher,alex len,malachi flynn,deandre' bembry","jae crowder,devin booker,chris paul,mikal bridges,cameron johnson,jevon carter,dario saric,cameron payne,langston galloway"
2021-01-08,36.82,0,7.0,9.0,0.778,0.0,0.0,0.0,0.0,3.0,0.0,4.0,9.0,13.0,2.0,1.0,2.0,5.0,5.0,14.0,-26.0,0.678,0.778,0.0,0.333,12.5,25.9,19.5,9.3,1.4,5.1,32.6,18.7,96.0,101.0,-1.2,"jerami grant,blake griffin,delon wright,mason plumlee,josh jackson,saddiq bey,derrick rose,svi mykhailiuk,jahlil okafor,frank jackson,isaiah stewart,sekou doumbouya","devin booker,chris paul,mikal bridges,jae crowder,dario saric,cameron johnson,cameron payne,jevon carter,langston galloway"
2021-01-09,33.7,0,4.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,14.0,3.0,0.0,0.0,0.0,2.0,8.0,12.0,0.4,0.4,0.0,0.0,9.9,32.0,21.7,10.6,0.0,0.0,0.0,13.8,109.0,117.0,-5.6,"domantas sabonis,malcolm brogdon,myles turner,victor oladipo,aaron holiday,justin holiday,doug mcdermott,edmond sumner,cassius stanley","devin booker,mikal bridges,chris paul,jae crowder,cameron johnson,dario saric,jevon carter,langston galloway"
2021-01-11,24.9,0,4.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,0.0,1.0,2.0,2.0,8.0,-23.0,0.4,0.4,0.0,0.0,8.2,16.1,12.2,6.2,0.0,3.3,16.7,21.8,78.0,132.0,-11.2,"bradley beal,rui hachimura,robin lopez,raul neto,deni avdija,davis bertans,moritz wagner,ish smith,garrison mathews,anthony gill,cassius winston","chris paul,devin booker,jae crowder,mikal bridges,dario saric,cameron johnson,jevon carter,langston galloway,damian jones,ty-shon alexander"
