date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,19.15,0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,1.0,0.0,5.0,3.0,0.5,0.5,0.6,0.0,0.0,10.2,5.4,25.1,2.5,0.0,16.7,13.9,102.0,112.0,-0.1,"josh okogie,karl-anthony towns,malik beasley,ricky rubio,jake layman,d'angelo russell,anthony edwards,jarrett culver,naz reid,juancho hernangomez","blake griffin,mason plumlee,jerami grant,killian hayes,josh jackson,derrick rose,svi mykhailiuk,jahlil okafor,sekou doumbouya"
2020-12-26,42.2,1,5.0,9.0,0.556,2.0,3.0,0.667,7.0,9.0,0.778,3.0,3.0,6.0,4.0,0.0,1.0,1.0,0.0,19.0,-23.0,0.733,0.667,0.333,1.0,7.6,7.6,7.6,16.6,0.0,2.0,7.2,14.3,151.0,110.0,4.4,"collin sexton,darius garland,andre drummond,isaac okoro,kevin love,cedi osman,larry nance jr.,javale mcgee","blake griffin,jerami grant,mason plumlee,killian hayes,derrick rose,svi mykhailiuk,josh jackson,jahlil okafor,sekou doumbouya,saddiq bey"
2020-12-28,21.75,0,5.0,9.0,0.556,1.0,2.0,0.5,7.0,8.0,0.875,1.0,4.0,5.0,4.0,0.0,2.0,2.0,3.0,18.0,-5.0,0.719,0.611,0.222,0.889,4.1,22.6,11.9,27.6,0.0,11.0,13.8,27.5,139.0,127.0,9.6,"trae young,de'andre hunter,cam reddish,john collins,clint capela,bogdan bogdanovic,kevin huerter,bruno fernando","jerami grant,mason plumlee,saddiq bey,killian hayes,josh jackson,isaiah stewart,svi mykhailiuk,sekou doumbouya"
2020-12-29,28.02,1,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,5.0,-5.0,0.5,0.5,0.4,0.0,0.0,5.2,2.0,16.3,0.0,0.0,28.6,10.0,87.0,120.0,-8.6,"andrew wiggins,stephen curry,kelly oubre jr.,juan toscano-anderson,james wiseman,kevon looney,damion lee,eric paschall,mychal mulder,jordan poole","jerami grant,josh jackson,mason plumlee,blake griffin,killian hayes,derrick rose,isaiah stewart,saddiq bey,svi mykhailiuk,sekou doumbouya"
2021-01-01,21.93,1,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,-15.0,0.25,0.25,0.25,0.0,8.9,0.0,4.8,12.9,0.0,0.0,33.3,11.3,64.0,100.0,-9.2,"marcus smart,jaylen brown,jayson tatum,tristan thompson,daniel theis,grant williams,payton pritchard,robert williams,carsen edwards","jerami grant,saddiq bey,mason plumlee,josh jackson,killian hayes,derrick rose,isaiah stewart,svi mykhailiuk,sekou doumbouya"
2021-01-03,18.42,1,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,4.0,-10.0,0.694,0.5,0.0,1.0,0.0,21.1,10.6,20.4,5.5,4.8,25.8,9.5,131.0,116.0,4.1,"jayson tatum,jaylen brown,marcus smart,tristan thompson,daniel theis,payton pritchard,robert williams","jerami grant,blake griffin,mason plumlee,killian hayes,josh jackson,derrick rose,saddiq bey,isaiah stewart,svi mykhailiuk,sekou doumbouya,jahlil okafor"
2021-01-04,9.97,0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,-1.0,0.5,0.5,0.5,0.0,0.0,30.1,12.0,25.2,4.7,0.0,33.3,13.0,90.0,115.0,-4.1,"giannis antetokounmpo,khris middleton,jrue holiday,brook lopez,donte divincenzo,bobby portis,bryn forbes,jordan nwora,thanasis antetokounmpo","jerami grant,saddiq bey,mason plumlee,killian hayes,svi mykhailiuk,derrick rose,sekou doumbouya,isaiah stewart,rodney mcgruder,jahlil okafor"
2021-01-06,25.0,0,1.0,8.0,0.125,1.0,5.0,0.2,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,-12.0,0.188,0.188,0.625,0.0,0.0,4.7,2.0,16.0,1.9,0.0,0.0,12.9,65.0,129.0,-9.7,"khris middleton,jrue holiday,giannis antetokounmpo,brook lopez,donte divincenzo,bobby portis,bryn forbes,jordan nwora,thanasis antetokounmpo","jerami grant,blake griffin,mason plumlee,saddiq bey,isaiah stewart,svi mykhailiuk,sekou doumbouya,saben lee,jahlil okafor,derrick rose,rodney mcgruder,deividas sirvydis"
2021-01-08,33.58,1,7.0,11.0,0.636,0.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,6.0,0.0,0.0,1.0,1.0,16.0,18.0,0.673,0.636,0.091,0.182,3.2,13.7,8.2,36.5,0.0,0.0,7.8,17.4,138.0,107.0,4.2,"devin booker,chris paul,deandre ayton,mikal bridges,jae crowder,dario saric,cameron johnson,cameron payne,jevon carter,langston galloway","jerami grant,blake griffin,mason plumlee,josh jackson,saddiq bey,derrick rose,svi mykhailiuk,jahlil okafor,frank jackson,isaiah stewart,sekou doumbouya"
2021-01-10,36.15,1,2.0,9.0,0.222,0.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,3.0,2.0,2.0,0.0,0.0,6.0,-9.0,0.304,0.222,0.111,0.222,2.3,12.1,6.5,15.1,3.0,5.7,0.0,12.7,81.0,108.0,-1.2,"donovan mitchell,rudy gobert,royce o'neale,mike conley,bojan bogdanovic,jordan clarkson,joe ingles,derrick favors,georges niang","jerami grant,blake griffin,mason plumlee,josh jackson,saddiq bey,svi mykhailiuk,isaiah stewart,frank jackson,jahlil okafor,sekou doumbouya"
