date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,28.1,0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.5,0.0,4.0,4.0,1.0,1.0,0.0,1.0,3.0,7.0,14.0,1.215,1.5,1.0,1.0,0.0,15.2,7.9,4.8,1.6,0.0,25.8,5.8,140.0,108.0,2.6,"joel embiid,ben simmons,seth curry,tobias harris,danny green,shake milton,furkan korkmaz,tyrese maxey,matisse thybulle","russell westbrook,bradley beal,thomas bryant,ish smith,troy brown jr.,davis bertans,robin lopez,raul neto,moritz wagner"
2020-12-26,14.67,1,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,4.0,5.0,-7.0,1.025,1.25,0.5,0.5,0.0,20.9,10.1,16.6,0.0,0.0,0.0,6.6,198.0,119.0,2.4,"nikola vucevic,markelle fultz,aaron gordon,evan fournier,terrence ross,michael carter-williams,chuma okeke,cole anthony,khem birch","bradley beal,russell westbrook,thomas bryant,ish smith,davis bertans,jerome robinson,robin lopez,troy brown jr.,raul neto"
2020-12-27,36.18,1,4.0,11.0,0.364,1.0,5.0,0.2,0.0,0.0,0.0,2.0,7.0,9.0,3.0,2.0,0.0,1.0,1.0,9.0,13.0,0.409,0.409,0.455,0.0,5.6,20.6,13.0,9.5,2.7,0.0,8.3,13.8,98.0,118.0,-3.4,"markelle fultz,nikola vucevic,evan fournier,aaron gordon,terrence ross,michael carter-williams,khem birch,cole anthony,chuma okeke,gary clark","bradley beal,thomas bryant,raul neto,troy brown jr.,davis bertans,ish smith,robin lopez,jerome robinson"
2020-12-29,26.32,1,3.0,6.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,1.0,1.0,5.0,9.0,-5.0,0.75,0.75,0.833,0.0,0.0,16.6,8.7,23.1,3.5,3.6,14.3,11.2,133.0,102.0,8.4,"zach lavine,coby white,wendell carter jr.,patrick williams,lauri markkanen,otto porter jr.,garrett temple,daniel gafford,chandler hutchison","russell westbrook,bradley beal,thomas bryant,davis bertans,ish smith,raul neto,robin lopez,troy brown jr.,anthony gill,garrison mathews"
2020-12-31,24.53,1,2.0,5.0,0.4,0.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,6.0,5.0,0.51,0.4,0.6,0.4,4.4,15.9,9.7,15.4,0.0,0.0,0.0,9.9,135.0,130.0,-2.1,"coby white,zach lavine,otto porter jr.,wendell carter jr.,patrick williams,garrett temple,thaddeus young,daniel gafford,denzel valentine","russell westbrook,bradley beal,thomas bryant,rui hachimura,raul neto,davis bertans,troy brown jr.,ish smith,moritz wagner,robin lopez"
2021-01-01,27.23,0,4.0,7.0,0.571,3.0,5.0,0.6,0.0,0.0,0.0,0.0,7.0,7.0,3.0,3.0,0.0,1.0,3.0,11.0,32.0,0.786,0.786,0.714,0.0,0.0,26.8,14.3,12.6,5.0,0.0,12.5,12.3,136.0,94.0,7.1,"malik beasley,d'angelo russell,ricky rubio,naz reid,jarrett culver,anthony edwards,jordan mclaughlin,jake layman,juancho hernangomez,jarred vanderbilt,jaden mcdaniels","bradley beal,raul neto,thomas bryant,rui hachimura,jerome robinson,ish smith,robin lopez,davis bertans,troy brown jr.,garrison mathews,anthony gill"
2021-01-03,16.38,0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,-9.0,0.375,0.375,0.5,0.0,0.0,6.8,2.9,7.3,2.7,6.0,20.0,11.6,68.0,109.0,-4.9,"kyrie irving,kevin durant,joe harris,timothe luwawu-cabarrot,deandre jordan,caris levert,jarrett allen,landry shamet,jeff green,taurean prince","russell westbrook,bradley beal,rui hachimura,thomas bryant,davis bertans,robin lopez,raul neto,jerome robinson,ish smith"
2021-01-06,15.52,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,-9.0,0.266,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,4.8,61.0,127.0,-9.0,"tobias harris,joel embiid,seth curry,ben simmons,danny green,shake milton,matisse thybulle,tyrese maxey","russell westbrook,bradley beal,thomas bryant,rui hachimura,davis bertans,ish smith,robin lopez,raul neto,jerome robinson,anthony gill"
2021-01-08,14.42,0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,-21.0,0.0,0.0,0.667,0.0,0.0,15.9,7.7,8.1,0.0,0.0,0.0,8.9,21.0,115.0,-12.7,"jaylen brown,marcus smart,jayson tatum,daniel theis,payton pritchard,javonte green","bradley beal,rui hachimura,russell westbrook,thomas bryant,davis bertans,ish smith,moritz wagner,garrison mathews,robin lopez,raul neto"
2021-01-09,31.63,1,7.0,15.0,0.467,5.0,9.0,0.556,1.0,1.0,1.0,0.0,5.0,5.0,5.0,2.0,0.0,0.0,2.0,20.0,-4.0,0.648,0.633,0.6,0.067,0.0,18.1,7.6,22.7,2.8,0.0,0.0,20.0,133.0,116.0,8.7,"tyler herro,jimmy butler,duncan robinson,kelly olynyk,bam adebayo,goran dragic,andre iguodala,precious achiuwa,meyers leonard,kz okpala","rui hachimura,jerome robinson,raul neto,thomas bryant,ish smith,garrison mathews,troy brown jr.,davis bertans,robin lopez,moritz wagner"
