date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-26,12.9,1,4.0,6.0,0.667,3.0,4.0,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,11.0,-10.0,0.917,0.917,0.667,0.0,0.0,10.1,4.1,0.0,3.5,5.6,0.0,18.3,162.0,112.0,20.5,"domantas sabonis,malcolm brogdon,t.j. warren,myles turner,victor oladipo,justin holiday,doug mcdermott,t.j. mcconnell,aaron holiday,kelan martin,cassius stanley,jalen lecque","zach lavine,wendell carter jr.,lauri markkanen,coby white,patrick williams,garrett temple,otto porter jr.,daniel gafford,ryan arcidiacono,chandler hutchison,adam mokoka"
2020-12-31,14.98,0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,2.0,3.0,4.0,0.5,0.5,0.667,0.0,8.7,21.8,15.8,6.8,3.0,0.0,0.0,8.1,132.0,120.0,-1.1,"russell westbrook,bradley beal,thomas bryant,rui hachimura,deni avdija,raul neto,davis bertans,troy brown jr.,ish smith,moritz wagner,robin lopez","coby white,zach lavine,otto porter jr.,wendell carter jr.,patrick williams,garrett temple,thaddeus young,daniel gafford"
2021-01-01,20.53,0,5.0,8.0,0.625,2.0,3.0,0.667,2.0,2.0,1.0,1.0,4.0,5.0,0.0,2.0,0.0,1.0,0.0,14.0,-3.0,0.788,0.75,0.375,0.25,5.2,22.8,13.6,0.0,4.3,0.0,10.1,19.9,137.0,113.0,11.0,"giannis antetokounmpo,jrue holiday,khris middleton,donte divincenzo,brook lopez,bobby portis,bryn forbes,pat connaughton,thanasis antetokounmpo,jordan nwora,sam merrill,d.j. wilson","coby white,zach lavine,patrick williams,wendell carter jr.,otto porter jr.,thaddeus young,garrett temple,daniel gafford,adam mokoka,devon dotson,luke kornet"
2021-01-03,15.78,1,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,6.0,4.0,0.75,0.75,1.0,0.0,0.0,25.3,13.7,9.2,3.0,0.0,0.0,10.7,163.0,103.0,9.6,"jalen brunson,josh richardson,dorian finney-smith,tim hardaway jr.,dwight powell,maxi kleber,trey burke,james johnson,willie cauley-stein,boban marjanovic,josh green,nate hinton,tyrell terry","zach lavine,coby white,otto porter jr.,patrick williams,wendell carter jr.,thaddeus young,garrett temple,daniel gafford"
2021-01-05,19.2,0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.667,0.0,0.0,39.2,20.4,12.5,2.5,0.0,25.0,8.8,32.0,99.0,-5.6,"damian lillard,robert covington,cj mccollum,derrick jones jr.,jusuf nurkic,gary trent jr.,anfernee simons","zach lavine,coby white,otto porter jr.,wendell carter jr.,patrick williams,garrett temple,thaddeus young,daniel gafford"
2021-01-06,21.23,0,4.0,10.0,0.4,2.0,7.0,0.286,0.0,0.0,0.0,0.0,4.0,4.0,5.0,2.0,0.0,0.0,2.0,10.0,10.0,0.5,0.5,0.7,0.0,0.0,20.1,11.0,28.3,4.6,0.0,0.0,19.9,128.0,121.0,6.3,"harrison barnes,buddy hield,richaun holmes,marvin bagley iii,de'aaron fox,tyrese haliburton,cory joseph","coby white,zach lavine,wendell carter jr.,otto porter jr.,patrick williams,garrett temple,thaddeus young,daniel gafford"
2021-01-08,24.52,0,2.0,8.0,0.25,1.0,5.0,0.2,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,5.0,9.0,0.313,0.313,0.625,0.0,0.0,18.6,9.4,4.7,0.0,0.0,0.0,14.3,74.0,125.0,-11.1,"dennis schroder,lebron james,wesley matthews,markieff morris,montrezl harrell,talen horton-tucker,kyle kuzma,alex caruso","zach lavine,patrick williams,coby white,wendell carter jr.,otto porter jr.,thaddeus young,garrett temple,daniel gafford,adam mokoka"
2021-01-10,20.17,0,4.0,6.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,2.0,1.0,10.0,-8.0,0.833,0.833,0.5,0.0,0.0,20.3,13.0,19.1,0.0,0.0,25.0,17.9,126.0,131.0,2.4,"paul george,kawhi leonard,nicolas batum,serge ibaka,patrick beverley,marcus morris,luke kennard,ivica zubac,terance mann","coby white,zach lavine,garrett temple,patrick williams,wendell carter jr.,thaddeus young,daniel gafford,adam mokoka"
2021-01-15,15.43,0,2.0,7.0,0.286,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,0.0,2.0,2.0,4.0,14.0,0.286,0.286,0.429,0.0,0.0,25.4,13.7,28.5,5.9,0.0,22.2,24.5,66.0,99.0,-7.4,"shai gilgeous-alexander,luguentz dort,george hill,darius bazley,isaiah roby,kenrich williams,mike muscala,theo maledon,hamidou diallo,aleksej pokusevski","coby white,zach lavine,patrick williams,lauri markkanen,wendell carter jr.,otto porter jr.,garrett temple,thaddeus young"
2021-01-18,24.47,1,5.0,13.0,0.385,3.0,6.0,0.5,0.0,0.0,0.0,0.0,8.0,8.0,3.0,0.0,0.0,1.0,0.0,13.0,14.0,0.5,0.5,0.462,0.0,0.0,40.2,18.9,17.7,0.0,0.0,7.1,23.2,106.0,116.0,-2.3,"eric gordon,p.j. tucker,victor oladipo,christian wood,david nwaba,jae'sean tate,demarcus cousins,mason jones","zach lavine,lauri markkanen,garrett temple,coby white,wendell carter jr.,thaddeus young,ryan arcidiacono,daniel gafford,adam mokoka"
