date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,16.28,0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,3.0,0.0,0.0,0.0,3.0,10.0,5.0,1.0,1.0,0.0,0.0,12.8,27.8,20.8,31.3,0.0,0.0,0.0,13.0,213.0,102.0,18.1,"cj mccollum,damian lillard,derrick jones jr.,jusuf nurkic,robert covington,gary trent jr.,cj elleby","bojan bogdanovic,donovan mitchell,mike conley,rudy gobert,royce o'neale,joe ingles,jordan clarkson,georges niang,miye oni,udoka azubuike,elijah hughes,juwan morgan,shaquille harrison"
2020-12-26,17.93,1,1.0,3.0,0.333,0.0,0.0,0.0,3.0,4.0,0.75,2.0,4.0,6.0,2.0,1.0,0.0,2.0,4.0,5.0,-6.0,0.525,0.333,0.0,1.333,11.4,21.4,16.6,16.1,2.6,0.0,29.6,14.1,100.0,109.0,-0.9,"malik beasley,d'angelo russell,josh okogie,karl-anthony towns,jake layman,ricky rubio,anthony edwards,jarrett culver,naz reid,juancho hernangomez","donovan mitchell,royce o'neale,bojan bogdanovic,mike conley,rudy gobert,joe ingles,jordan clarkson,georges niang,juwan morgan"
2020-12-28,11.17,0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,3.0,6.0,-4.0,0.75,0.75,0.0,0.0,11.3,20.5,16.1,0.0,4.3,0.0,20.0,19.9,116.0,105.0,-1.6,"shai gilgeous-alexander,darius bazley,luguentz dort,al horford,george hill,hamidou diallo,theo maledon,mike muscala,aleksej pokusevski,kenrich williams","rudy gobert,donovan mitchell,bojan bogdanovic,royce o'neale,mike conley,jordan clarkson,joe ingles,georges niang,miye oni"
2020-12-31,13.82,1,4.0,8.0,0.5,0.0,0.0,0.0,2.0,3.0,0.667,3.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,10.0,-2.0,0.536,0.5,0.0,0.375,22.7,16.9,20.0,16.5,0.0,6.8,0.0,30.7,127.0,110.0,10.2,"jae crowder,mikal bridges,devin booker,chris paul,deandre ayton,cameron payne,dario saric,cameron johnson,jevon carter,langston galloway,frank kaminsky","donovan mitchell,mike conley,royce o'neale,rudy gobert,bojan bogdanovic,joe ingles,jordan clarkson,georges niang"
2021-01-01,23.53,1,6.0,12.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,4.0,7.0,11.0,2.0,0.0,1.0,1.0,4.0,14.0,6.0,0.509,0.5,0.0,0.333,18.5,31.7,25.2,14.2,0.0,3.9,6.8,27.8,115.0,105.0,2.8,"kawhi leonard,paul george,nicolas batum,serge ibaka,patrick beverley,luke kennard,ivica zubac,terance mann,reggie jackson,amir coffey","donovan mitchell,mike conley,royce o'neale,bojan bogdanovic,rudy gobert,joe ingles,jordan clarkson,georges niang"
2021-01-03,14.97,0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,3.0,0.667,1.0,3.0,4.0,2.0,0.0,2.0,0.0,2.0,6.0,13.0,0.694,0.667,0.0,1.0,8.0,15.5,12.6,15.1,0.0,7.5,0.0,11.9,166.0,100.0,7.9,"keldon johnson,demar derozan,dejounte murray,jakob poeltl,lonnie walker iv,rudy gay,devin vassell,patty mills,trey lyles,drew eubanks,tre jones,luka samanic","royce o'neale,donovan mitchell,rudy gobert,bojan bogdanovic,mike conley,jordan clarkson,joe ingles,georges niang,miye oni,shaquille harrison,udoka azubuike,elijah hughes,juwan morgan"
2021-01-05,13.27,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,3.0,2.0,-12.0,1.0,1.0,0.0,0.0,0.0,36.2,15.7,0.0,0.0,6.3,0.0,3.2,200.0,122.0,-3.6,"jarrett allen,kyrie irving,bruce brown,taurean prince,jeff green,timothe luwawu-cabarrot,joe harris,caris levert,deandre jordan,reggie perry,landry shamet,chris chiozza","donovan mitchell,rudy gobert,mike conley,bojan bogdanovic,royce o'neale,joe ingles,jordan clarkson,miye oni,elijah hughes,udoka azubuike,trent forrest,shaquille harrison,georges niang"
2021-01-06,13.0,0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,4.0,0.0,2.0,4.0,6.0,1.0,1.0,0.0,0.0,7.9,17.2,12.3,11.3,0.0,22.7,0.0,6.7,209.0,102.0,13.8,"elfrid payton,mitchell robinson,julius randle,rj barrett,reggie bullock,austin rivers,kevin knox,immanuel quickley","donovan mitchell,rudy gobert,royce o'neale,mike conley,bojan bogdanovic,joe ingles,jordan clarkson,georges niang"
2021-01-08,23.47,0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,0.0,1.0,0.0,3.0,4.0,9.0,0.667,0.667,0.0,0.0,8.9,16.7,12.9,4.6,0.0,3.7,0.0,5.4,168.0,114.0,-2.4,"khris middleton,jrue holiday,giannis antetokounmpo,brook lopez,donte divincenzo,bobby portis,bryn forbes,thanasis antetokounmpo,jordan nwora,sam merrill","royce o'neale,rudy gobert,donovan mitchell,bojan bogdanovic,mike conley,jordan clarkson,georges niang,miye oni,udoka azubuike,trent forrest,shaquille harrison,elijah hughes"
2021-01-10,17.25,0,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,14.0,0.0,0.0,0.0,1.0,3.0,6.0,5.0,0.429,0.429,0.0,0.0,31.6,43.2,38.2,0.0,0.0,0.0,12.5,21.3,105.0,87.0,-3.4,"jerami grant,delon wright,blake griffin,mason plumlee,josh jackson,saddiq bey,svi mykhailiuk,isaiah stewart,frank jackson,jahlil okafor,sekou doumbouya","donovan mitchell,rudy gobert,royce o'neale,mike conley,bojan bogdanovic,jordan clarkson,joe ingles,georges niang"
2021-01-12,17.0,0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,3.0,0.0,1.0,2.0,18.0,0.5,0.5,0.0,0.0,7.4,16.9,12.8,7.2,3.0,14.4,0.0,5.4,148.0,82.0,6.1,"cedi osman,isaac okoro,larry nance jr.,javale mcgee,lamar stevens,dean wade,marques bolden","donovan mitchell,royce o'neale,bojan bogdanovic,mike conley,rudy gobert,jordan clarkson,miye oni,georges niang,udoka azubuike,jarrell brantley,shaquille harrison,elijah hughes"
2021-01-15,13.38,1,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,1.0,2.0,3.0,2.0,5.0,0.333,0.333,0.0,0.0,8.0,29.3,19.1,0.0,0.0,5.6,40.0,15.3,51.0,86.0,-12.7,"de'andre hunter,cam reddish,clint capela,john collins,trae young,kevin huerter,brandon goodwin,onyeka okongwu,bruno fernando","royce o'neale,donovan mitchell,rudy gobert,mike conley,bojan bogdanovic,jordan clarkson,georges niang,miye oni,udoka azubuike,elijah hughes,shaquille harrison"
2021-01-17,15.33,0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,-7.0,0.615,0.5,0.0,0.5,0.0,6.0,3.6,8.7,7.0,5.0,0.0,7.5,143.0,108.0,6.6,"jamal murray,nikola jokic,will barton,gary harris,pj dozier,monte morris,jamychal green,facundo campazzo,isaiah hartenstein","donovan mitchell,royce o'neale,bojan bogdanovic,rudy gobert,mike conley,jordan clarkson,georges niang,miye oni"
2021-01-19,16.35,1,4.0,6.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,3.0,4.0,7.0,0.0,0.0,0.0,0.0,3.0,9.0,-6.0,0.654,0.667,0.0,0.333,22.6,22.2,22.3,0.0,0.0,0.0,0.0,19.0,148.0,107.0,-0.8,"zion williamson,brandon ingram,steven adams,lonzo ball,nickeil alexander-walker,josh hart,jaxson hayes,kira lewis jr.,willy hernangomez,naji marshall","royce o'neale,donovan mitchell,rudy gobert,bojan bogdanovic,mike conley,jordan clarkson,joe ingles,georges niang,miye oni,shaquille harrison,udoka azubuike,jarrell brantley"
2021-01-21,16.42,1,1.0,2.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,2.0,2.0,4.0,0.0,0.0,1.0,1.0,3.0,5.0,-2.0,0.665,0.5,0.0,2.0,15.0,14.3,14.6,0.0,0.0,4.9,21.0,12.2,128.0,117.0,-5.1,"zion williamson,brandon ingram,steven adams,lonzo ball,josh hart,nickeil alexander-walker,jaxson hayes,willy hernangomez,naji marshall,kira lewis jr.","donovan mitchell,royce o'neale,mike conley,rudy gobert,bojan bogdanovic,jordan clarkson,joe ingles,georges niang,udoka azubuike,shaquille harrison,juwan morgan,miye oni"
2021-01-23,14.28,1,4.0,6.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,4.0,4.0,8.0,1.0,0.0,1.0,0.0,2.0,9.0,2.0,0.654,0.667,0.0,0.333,29.9,28.6,29.2,10.6,0.0,6.2,0.0,19.3,157.0,101.0,7.2,"stephen curry,andrew wiggins,james wiseman,draymond green,kelly oubre jr.,jordan poole,damion lee,eric paschall,kevon looney,mychal mulder,nico mannion,kent bazemore,juan toscano-anderson","donovan mitchell,mike conley,royce o'neale,bojan bogdanovic,rudy gobert,jordan clarkson,georges niang,joe ingles,miye oni,udoka azubuike,juwan morgan,shaquille harrison"
2021-01-26,15.45,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,-11.0,1.0,1.0,0.0,0.0,11.9,13.8,12.8,9.2,0.0,0.0,0.0,2.9,221.0,110.0,0.5,"rj barrett,julius randle,mitchell robinson,alec burks,elfrid payton,austin rivers,immanuel quickley,nerlens noel,obi toppin,kevin knox,theo pinson","royce o'neale,donovan mitchell,mike conley,rudy gobert,bojan bogdanovic,joe ingles,jordan clarkson,georges niang,udoka azubuike,shaquille harrison,juwan morgan,miye oni"
2021-01-31,19.42,0,2.0,3.0,0.667,0.0,0.0,0.0,3.0,3.0,1.0,2.0,4.0,6.0,1.0,1.0,2.0,1.0,4.0,7.0,-3.0,0.81,0.667,0.0,1.0,11.8,28.3,19.3,9.1,2.6,8.4,18.8,12.4,152.0,123.0,4.3,"will barton,nikola jokic,jamal murray,gary harris,monte morris,jamychal green,michael porter jr.,facundo campazzo,r.j. hampton,bol bol,vlatko cancar,zeke nnaji","bojan bogdanovic,donovan mitchell,mike conley,royce o'neale,rudy gobert,joe ingles,jordan clarkson,georges niang,shaquille harrison,miye oni,jarrell brantley,juwan morgan"
2021-02-02,18.52,1,2.0,4.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,1.0,5.0,6.0,1.0,1.0,2.0,0.0,4.0,6.0,19.0,0.615,0.5,0.25,0.5,6.2,27.0,17.3,7.9,2.6,7.9,0.0,11.7,144.0,95.0,4.0,"jerami grant,delon wright,blake griffin,mason plumlee,josh jackson,isaiah stewart,rodney mcgruder,sekou doumbouya,saddiq bey,svi mykhailiuk","donovan mitchell,royce o'neale,bojan bogdanovic,mike conley,rudy gobert,joe ingles,jordan clarkson,georges niang"
2021-02-04,17.58,0,2.0,5.0,0.4,0.0,0.0,0.0,5.0,6.0,0.833,4.0,2.0,6.0,0.0,2.0,1.0,2.0,1.0,9.0,9.0,0.589,0.4,0.0,1.2,25.4,9.4,16.2,0.0,5.7,4.1,20.7,23.8,116.0,88.0,4.6,"kevin huerter,john collins,cam reddish,clint capela,brandon goodwin,danilo gallinari,nathan knight,bruno fernando,skylar mays","donovan mitchell,bojan bogdanovic,royce o'neale,rudy gobert,mike conley,joe ingles,jordan clarkson,georges niang,miye oni,jarrell brantley,juwan morgan,shaquille harrison"
2021-02-05,21.0,0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,7.0,3.0,2.0,3.0,2.0,1.0,7.0,8.0,0.788,0.75,0.0,0.25,21.4,17.6,19.0,16.7,4.5,9.9,31.1,13.3,144.0,105.0,10.8,"lamelo ball,gordon hayward,terry rozier,cody zeller,devonte' graham,malik monk,caleb martin,bismack biyombo,miles bridges,cody martin,nick richards","bojan bogdanovic,royce o'neale,donovan mitchell,rudy gobert,mike conley,joe ingles,jordan clarkson,georges niang,miye oni"
2021-02-07,17.2,0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,7.0,2.0,1.0,1.0,0.0,3.0,7.0,4.0,0.788,0.75,0.0,0.25,15.8,21.5,18.6,18.8,2.8,4.4,0.0,10.8,181.0,87.0,14.2,"malcolm brogdon,domantas sabonis,justin holiday,myles turner,jeremy lamb,doug mcdermott,t.j. mcconnell,aaron holiday,goga bitadze","donovan mitchell,bojan bogdanovic,royce o'neale,joe ingles,rudy gobert,jordan clarkson,georges niang,miye oni"
2021-02-09,11.52,1,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,-9.0,0.515,0.333,0.0,0.667,24.5,0.0,11.0,0.0,0.0,0.0,0.0,15.3,142.0,129.0,-11.1,"jayson tatum,jaylen brown,kemba walker,daniel theis,tristan thompson,grant williams,payton pritchard,robert williams","royce o'neale,rudy gobert,joe ingles,donovan mitchell,bojan bogdanovic,jordan clarkson,georges niang,miye oni"
2021-02-12,19.8,1,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,0.0,2.0,2.0,10.0,4.0,1.0,1.0,0.0,0.0,14.3,21.5,18.4,0.0,0.0,0.0,28.6,14.9,137.0,112.0,2.9,"giannis antetokounmpo,khris middleton,brook lopez,donte divincenzo,bryn forbes,pat connaughton,bobby portis,torrey craig,thanasis antetokounmpo","donovan mitchell,royce o'neale,bojan bogdanovic,rudy gobert,joe ingles,jordan clarkson,georges niang,miye oni"
