date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,25.58,1,3.0,9.0,0.333,3.0,5.0,0.6,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,3.0,9.0,-16.0,0.5,0.5,0.556,0.0,3.5,12.2,7.6,0.0,0.0,0.0,10.0,17.8,87.0,127.0,-6.8,"bojan bogdanovic,donovan mitchell,mike conley,rudy gobert,royce o'neale,joe ingles,jordan clarkson,derrick favors,georges niang,miye oni,udoka azubuike,elijah hughes,juwan morgan,shaquille harrison","cj mccollum,damian lillard,jusuf nurkic,robert covington,gary trent jr.,cj elleby"
2020-12-26,36.4,1,2.0,4.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,2.0,4.0,6.0,1.0,1.0,1.0,0.0,5.0,6.0,5.0,0.521,0.5,0.0,1.0,6.8,13.2,10.0,3.3,1.4,2.8,0.0,6.7,131.0,118.0,-5.1,"christian wood,james harden,p.j. tucker,danuel house jr.,david nwaba,jae'sean tate,sterling brown,brodric thomas,bruno caboclo","cj mccollum,damian lillard,robert covington,jusuf nurkic,anfernee simons,gary trent jr."
2020-12-28,36.78,0,1.0,9.0,0.111,0.0,5.0,0.0,3.0,4.0,0.75,0.0,2.0,2.0,1.0,0.0,3.0,1.0,4.0,5.0,0.0,0.232,0.111,0.556,0.444,0.0,5.9,3.0,3.1,0.0,6.5,8.5,14.3,52.0,108.0,-11.8,"anthony davis,dennis schroder,lebron james,kentavious caldwell-pope,montrezl harrell,kyle kuzma,wesley matthews,talen horton-tucker,markieff morris","robert covington,cj mccollum,damian lillard,jusuf nurkic,gary trent jr.,anfernee simons"
2020-12-30,34.9,0,2.0,6.0,0.333,1.0,3.0,0.333,1.0,2.0,0.5,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,-14.0,0.436,0.417,0.5,0.333,0.0,8.8,4.7,0.0,1.4,0.0,0.0,8.8,88.0,128.0,-4.0,"kawhi leonard,paul george,nicolas batum,serge ibaka,patrick beverley,reggie jackson,luke kennard,ivica zubac,terance mann,mfiondu kabengele,amir coffey,daniel oturu","damian lillard,cj mccollum,robert covington,jusuf nurkic,anfernee simons,cj elleby"
2021-01-01,32.78,0,3.0,7.0,0.429,1.0,2.0,0.5,1.0,2.0,0.5,4.0,4.0,8.0,3.0,5.0,0.0,0.0,4.0,8.0,32.0,0.508,0.5,0.286,0.286,12.0,12.7,12.3,12.3,7.0,0.0,0.0,10.0,138.0,85.0,7.6,"stephen curry,andrew wiggins,kelly oubre jr.,james wiseman,draymond green,juan toscano-anderson,kent bazemore,eric paschall,damion lee,kevon looney,mychal mulder,jordan poole","robert covington,damian lillard,cj mccollum,jusuf nurkic,anfernee simons,cj elleby"
2021-01-03,16.9,0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,3.0,-8.0,0.521,0.5,0.5,1.0,5.3,0.0,3.1,0.0,0.0,0.0,41.0,11.1,71.0,134.0,-14.2,"stephen curry,andrew wiggins,kelly oubre jr.,draymond green,james wiseman,kent bazemore,kevon looney,damion lee,eric paschall,juan toscano-anderson,mychal mulder","damian lillard,cj mccollum,robert covington,jusuf nurkic,gary trent jr.,anfernee simons"
2021-01-05,31.37,1,2.0,7.0,0.286,0.0,3.0,0.0,1.0,4.0,0.25,2.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,5.0,-5.0,0.285,0.286,0.429,0.571,6.0,3.3,4.7,4.3,4.6,3.1,10.2,13.3,71.0,107.0,-4.3,"zach lavine,coby white,otto porter jr.,wendell carter jr.,patrick williams,garrett temple,thaddeus young,denzel valentine,daniel gafford","damian lillard,robert covington,cj mccollum,jusuf nurkic,gary trent jr.,anfernee simons"
2021-01-07,18.82,1,3.0,4.0,0.75,1.0,2.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,4.0,9.0,16.0,0.922,0.875,0.5,0.5,0.0,14.4,8.3,6.2,2.4,0.0,0.0,10.8,189.0,109.0,3.6,"d'angelo russell,malik beasley,juancho hernangomez,jarrett culver,anthony edwards,ricky rubio,jarred vanderbilt,naz reid,jake layman,jaden mcdaniels,jaylen nowell","damian lillard,cj mccollum,robert covington,jusuf nurkic,gary trent jr.,anfernee simons,nassir little,cj elleby"
2021-01-09,20.53,0,4.0,6.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,9.0,32.0,0.75,0.75,0.333,0.0,0.0,9.9,4.8,0.0,2.2,4.6,14.3,13.9,115.0,93.0,1.5,"harrison barnes,tyrese haliburton,buddy hield,de'aaron fox,marvin bagley iii,cory joseph,justin james,chimezie metu,jahmi'us ramsey,robert woodard ii","damian lillard,cj mccollum,robert covington,jusuf nurkic,gary trent jr.,anfernee simons,cj elleby,nassir little"
2021-01-11,19.28,1,1.0,3.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,4.0,8.0,0.515,0.333,0.667,0.667,5.7,12.1,8.8,7.0,2.5,5.9,0.0,9.0,132.0,110.0,2.8,"pascal siakam,fred vanvleet,og anunoby,kyle lowry,alex len,chris boucher,stanley johnson,norman powell,terence davis","damian lillard,cj mccollum,robert covington,jusuf nurkic,gary trent jr."
2021-01-13,22.27,0,3.0,5.0,0.6,1.0,3.0,0.333,1.0,2.0,0.5,2.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,8.0,3.0,0.68,0.7,0.6,0.4,9.4,12.7,10.8,0.0,0.0,0.0,0.0,11.5,150.0,137.0,-6.7,"buddy hield,de'aaron fox,harrison barnes,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph,chimezie metu","cj mccollum,damian lillard,robert covington,jusuf nurkic,gary trent jr."
2021-01-14,21.85,1,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,3.0,2.0,2.0,9.0,-8.0,1.125,1.125,0.25,0.0,8.6,20.9,14.2,0.0,0.0,10.6,33.3,12.0,132.0,114.0,7.7,"domantas sabonis,myles turner,malcolm brogdon,justin holiday,edmond sumner,doug mcdermott,t.j. mcconnell,aaron holiday,kelan martin,cassius stanley","damian lillard,cj mccollum,robert covington,jusuf nurkic,gary trent jr.,anfernee simons,cj elleby,nassir little"
2021-01-16,34.12,1,5.0,12.0,0.417,0.0,4.0,0.0,0.0,0.0,0.0,5.0,4.0,9.0,0.0,2.0,0.0,2.0,3.0,10.0,15.0,0.417,0.417,0.333,0.0,12.1,12.5,12.3,0.0,2.8,0.0,14.3,16.6,91.0,105.0,-5.5,"trae young,clint capela,kevin huerter,de'andre hunter,john collins,brandon goodwin","damian lillard,robert covington,cj mccollum,gary trent jr.,anfernee simons"
