date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,26.8,0,7.0,13.0,0.538,1.0,3.0,0.333,0.0,2.0,0.0,0.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,15.0,-7.0,0.54,0.577,0.231,0.154,0.0,3.7,1.9,33.1,3.6,3.8,6.7,24.6,110.0,109.0,6.6,"josh okogie,karl-anthony towns,malik beasley,ricky rubio,jake layman,d'angelo russell,anthony edwards,jarrett culver,naz reid,juancho hernangomez","blake griffin,mason plumlee,jerami grant,killian hayes,delon wright,josh jackson,svi mykhailiuk,jahlil okafor,sekou doumbouya"
2020-12-26,33.12,1,4.0,15.0,0.267,1.0,2.0,0.5,4.0,6.0,0.667,1.0,3.0,4.0,4.0,0.0,0.0,6.0,1.0,13.0,-3.0,0.368,0.3,0.133,0.4,3.2,9.7,6.5,21.2,0.0,0.0,25.4,30.9,67.0,111.0,-15.6,"collin sexton,darius garland,andre drummond,isaac okoro,kevin love,cedi osman,larry nance jr.,javale mcgee","blake griffin,jerami grant,delon wright,mason plumlee,killian hayes,svi mykhailiuk,josh jackson,jahlil okafor,sekou doumbouya,saddiq bey"
2020-12-29,26.43,1,6.0,18.0,0.333,1.0,4.0,0.25,2.0,2.0,1.0,1.0,1.0,2.0,7.0,2.0,0.0,2.0,4.0,15.0,8.0,0.397,0.361,0.222,0.111,3.5,5.5,4.3,52.7,3.6,0.0,9.6,31.7,97.0,112.0,-1.5,"andrew wiggins,stephen curry,kelly oubre jr.,juan toscano-anderson,james wiseman,kevon looney,damion lee,eric paschall,mychal mulder,jordan poole","jerami grant,josh jackson,mason plumlee,blake griffin,killian hayes,delon wright,isaiah stewart,saddiq bey,svi mykhailiuk,sekou doumbouya"
2021-01-01,24.18,1,7.0,12.0,0.583,0.0,3.0,0.0,3.0,4.0,0.75,0.0,5.0,5.0,4.0,2.0,0.0,4.0,2.0,17.0,4.0,0.618,0.583,0.25,0.333,0.0,23.1,10.8,35.9,3.9,0.0,22.5,30.4,103.0,87.0,5.9,"marcus smart,jaylen brown,jayson tatum,tristan thompson,daniel theis,grant williams,payton pritchard,robert williams,carsen edwards","jerami grant,saddiq bey,mason plumlee,josh jackson,killian hayes,delon wright,isaiah stewart,svi mykhailiuk,sekou doumbouya"
2021-01-03,23.48,1,4.0,12.0,0.333,1.0,3.0,0.333,4.0,4.0,1.0,1.0,0.0,1.0,8.0,0.0,1.0,4.0,0.0,13.0,6.0,0.472,0.375,0.25,0.333,5.5,0.0,2.8,49.8,0.0,3.8,22.5,34.2,100.0,134.0,-7.3,"jayson tatum,jaylen brown,marcus smart,tristan thompson,daniel theis,payton pritchard,robert williams","jerami grant,blake griffin,mason plumlee,killian hayes,josh jackson,saddiq bey,delon wright,isaiah stewart,svi mykhailiuk,sekou doumbouya,jahlil okafor"
2021-01-04,24.63,0,9.0,18.0,0.5,2.0,4.0,0.5,4.0,4.0,1.0,0.0,2.0,2.0,8.0,1.0,0.0,0.0,1.0,24.0,4.0,0.607,0.556,0.222,0.222,0.0,12.2,4.9,61.2,1.9,0.0,0.0,34.6,134.0,124.0,11.7,"giannis antetokounmpo,khris middleton,jrue holiday,brook lopez,donte divincenzo,bobby portis,bryn forbes,jordan nwora,thanasis antetokounmpo","jerami grant,saddiq bey,mason plumlee,killian hayes,svi mykhailiuk,sekou doumbouya,isaiah stewart,delon wright,rodney mcgruder,jahlil okafor"
2021-01-06,11.05,0,3.0,7.0,0.429,0.0,1.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,-6.0,0.571,0.429,0.143,0.571,0.0,10.6,4.6,17.4,0.0,0.0,0.0,31.9,131.0,132.0,1.3,"khris middleton,jrue holiday,giannis antetokounmpo,brook lopez,donte divincenzo,bobby portis,bryn forbes,jordan nwora,thanasis antetokounmpo","jerami grant,blake griffin,delon wright,mason plumlee,saddiq bey,isaiah stewart,svi mykhailiuk,sekou doumbouya,saben lee,jahlil okafor,rodney mcgruder,deividas sirvydis"
2021-01-08,19.42,1,1.0,7.0,0.143,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,1.0,4.0,-13.0,0.254,0.143,0.143,0.286,0.0,0.0,0.0,39.8,2.6,7.0,20.2,23.1,66.0,100.0,-6.7,"devin booker,chris paul,deandre ayton,mikal bridges,jae crowder,dario saric,cameron johnson,cameron payne,jevon carter,langston galloway","jerami grant,blake griffin,delon wright,mason plumlee,josh jackson,saddiq bey,svi mykhailiuk,jahlil okafor,frank jackson,isaiah stewart,sekou doumbouya"
2021-01-16,21.3,0,8.0,12.0,0.667,3.0,5.0,0.6,4.0,5.0,0.8,0.0,1.0,1.0,4.0,4.0,0.0,1.0,2.0,23.0,2.0,0.81,0.792,0.417,0.417,0.0,6.6,3.2,32.2,9.5,0.0,6.6,31.5,155.0,92.0,24.8,"duncan robinson,bam adebayo,kz okpala,kelly olynyk,gabe vincent,goran dragic,kendrick nunn,andre iguodala,precious achiuwa,max strus,chris silva","jerami grant,blake griffin,mason plumlee,delon wright,josh jackson,isaiah stewart,sekou doumbouya,saddiq bey,svi mykhailiuk,saben lee,deividas sirvydis"
2021-01-18,26.57,0,6.0,11.0,0.545,1.0,4.0,0.25,8.0,9.0,0.889,0.0,3.0,3.0,4.0,2.0,0.0,3.0,1.0,21.0,-6.0,0.702,0.591,0.364,0.818,0.0,20.1,8.0,26.6,3.8,0.0,16.7,29.9,127.0,115.0,6.6,"duncan robinson,bam adebayo,goran dragic,kelly olynyk,kz okpala,kendrick nunn,maurice harkless,andre iguodala,precious achiuwa,gabe vincent","blake griffin,mason plumlee,jerami grant,delon wright,josh jackson,svi mykhailiuk,isaiah stewart,sekou doumbouya,saddiq bey"
