date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,10.55,1,2.0,5.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,6.0,-6.0,0.6,0.6,0.8,0.0,10.1,30.3,20.2,0.0,0.0,0.0,16.7,24.0,99.0,124.0,-3.9,"demar derozan,lonnie walker iv,keldon johnson,dejounte murray,rudy gay,devin vassell,patty mills,jakob poeltl","ja morant,dillon brooks,jonas valanciunas,kyle anderson,grayson allen,brandon clarke,de'anthony melton,tyus jones,gorgui dieng"
2020-12-26,22.35,1,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,1.5,1.5,1.0,0.0,0.0,4.3,2.1,0.0,0.0,0.0,0.0,3.7,300.0,124.0,-1.9,"trae young,de'andre hunter,cam reddish,bogdan bogdanovic,john collins,kevin huerter,bruno fernando,brandon goodwin,nathan knight","kyle anderson,ja morant,dillon brooks,grayson allen,jonas valanciunas,brandon clarke,tyus jones,john konchar,gorgui dieng"
2020-12-28,23.92,0,2.0,6.0,0.333,2.0,5.0,0.4,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,6.0,-6.0,0.5,0.5,0.833,0.0,4.2,8.4,6.3,0.0,0.0,0.0,14.3,12.0,96.0,110.0,-6.5,"joe harris,timothe luwawu-cabarrot,caris levert,deandre jordan,taurean prince,chris chiozza,landry shamet,jeff green,jarrett allen","jonas valanciunas,kyle anderson,dillon brooks,grayson allen,ja morant,tyus jones,brandon clarke,john konchar,gorgui dieng"
2020-12-30,31.9,0,6.0,11.0,0.545,3.0,6.0,0.5,1.0,1.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,2.0,16.0,-10.0,0.699,0.682,0.545,0.091,6.5,7.2,6.8,0.0,2.9,0.0,14.9,16.1,119.0,120.0,1.6,"jaylen brown,marcus smart,jayson tatum,daniel theis,robert williams,payton pritchard,grant williams,aaron nesmith,carsen edwards,tremont waters","kyle anderson,dillon brooks,jonas valanciunas,tyus jones,grayson allen,brandon clarke,gorgui dieng,john konchar,sean mcdermott"
2021-01-01,28.13,0,4.0,12.0,0.333,2.0,7.0,0.286,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,10.0,-5.0,0.417,0.417,0.583,0.0,0.0,7.1,3.8,18.9,1.7,0.0,14.3,21.8,85.0,98.0,-6.1,"bismack biyombo,terry rozier,gordon hayward,devonte' graham,p.j. washington,lamelo ball,miles bridges,caleb martin,jalen mcdaniels,cody martin,nick richards","brandon clarke,kyle anderson,tyus jones,dillon brooks,jonas valanciunas,john konchar,gorgui dieng,sean mcdermott"
2021-01-03,21.47,1,5.0,8.0,0.625,3.0,4.0,0.75,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,13.0,4.0,0.77,0.813,0.5,0.125,0.0,4.7,2.3,16.1,2.4,0.0,10.6,19.3,133.0,117.0,9.8,"anthony davis,lebron james,dennis schroder,kyle kuzma,wesley matthews,talen horton-tucker,montrezl harrell,markieff morris,alfonzo mckinnie","kyle anderson,tyus jones,dillon brooks,brandon clarke,jonas valanciunas,gorgui dieng,xavier tillman sr.,john konchar,grayson allen,sean mcdermott"
2021-01-05,24.65,1,3.0,8.0,0.375,1.0,4.0,0.25,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,7.0,12.0,0.438,0.438,0.5,0.0,0.0,13.9,6.5,6.5,2.0,0.0,20.0,18.4,68.0,100.0,-6.3,"dennis schroder,anthony davis,lebron james,kyle kuzma,wesley matthews,talen horton-tucker,montrezl harrell,markieff morris","tyus jones,dillon brooks,kyle anderson,brandon clarke,jonas valanciunas,gorgui dieng,xavier tillman sr.,de'anthony melton,grayson allen"
2021-01-07,23.6,1,2.0,6.0,0.333,2.0,4.0,0.5,0.0,0.0,0.0,1.0,5.0,6.0,2.0,1.0,0.0,1.0,0.0,6.0,3.0,0.5,0.5,0.667,0.0,5.0,23.1,14.4,12.7,2.2,0.0,14.3,13.6,101.0,105.0,-1.6,"isaac okoro,cedi osman,andre drummond,larry nance jr.,lamar stevens,javale mcgee,dean wade","brandon clarke,dillon brooks,kyle anderson,jonas valanciunas,tyus jones,de'anthony melton,xavier tillman sr.,gorgui dieng,grayson allen"
2021-01-08,21.45,1,2.0,6.0,0.333,2.0,3.0,0.667,4.0,4.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,10.0,4.0,0.644,0.5,0.5,0.667,0.0,11.8,5.1,0.0,2.2,0.0,0.0,14.9,138.0,110.0,-2.4,"caris levert,jeff green,jarrett allen,taurean prince,bruce brown,joe harris,landry shamet,timothe luwawu-cabarrot,deandre jordan,chris chiozza","brandon clarke,tyus jones,dillon brooks,kyle anderson,jonas valanciunas,grayson allen,de'anthony melton,xavier tillman sr.,gorgui dieng"
2021-01-11,20.15,0,4.0,5.0,0.8,0.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,2.0,2.0,9.0,16.0,0.827,0.8,0.2,0.2,0.0,22.2,11.9,15.6,2.5,0.0,26.9,17.3,113.0,96.0,0.5,"isaac okoro,larry nance jr.,andre drummond,cedi osman,javale mcgee,dean wade,lamar stevens","dillon brooks,tyus jones,kyle anderson,jonas valanciunas,brandon clarke,de'anthony melton,xavier tillman sr.,grayson allen"
