date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,35.8,0,4.0,11.0,0.364,1.0,6.0,0.167,2.0,2.0,1.0,1.0,7.0,8.0,3.0,2.0,0.0,0.0,3.0,11.0,11.0,0.463,0.409,0.545,0.182,2.8,24.1,12.3,13.1,2.7,0.0,0.0,14.8,106.0,101.0,3.0,"mikal bridges,devin booker,chris paul,jae crowder,deandre ayton,cameron johnson,cameron payne,jalen smith,jevon carter,langston galloway,damian jones","josh richardson,luka doncic,tim hardaway jr.,dwight powell,maxi kleber,trey burke,jalen brunson,james johnson,willie cauley-stein,josh green"
2020-12-25,29.37,0,4.0,9.0,0.444,2.0,6.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,1.0,4.0,10.0,-19.0,0.556,0.556,0.667,0.0,0.0,8.0,4.1,0.0,5.0,0.0,10.0,15.8,92.0,135.0,-5.2,"lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,montrezl harrell,kyle kuzma,wesley matthews,markieff morris,alex caruso,talen horton-tucker,alfonzo mckinnie","luka doncic,tim hardaway jr.,josh richardson,dwight powell,trey burke,maxi kleber,willie cauley-stein,jalen brunson,james johnson,boban marjanovic,wes iwundu,josh green,tyrell terry"
2020-12-27,18.03,0,2.0,4.0,0.5,2.0,4.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,25.0,0.82,0.75,1.0,0.5,0.0,5.5,3.0,7.1,0.0,0.0,0.0,12.4,174.0,89.0,5.8,"luke kennard,paul george,patrick beverley,nicolas batum,serge ibaka,terance mann,reggie jackson,amir coffey,ivica zubac,mfiondu kabengele,daniel oturu","josh richardson,luka doncic,tim hardaway jr.,dwight powell,james johnson,willie cauley-stein,trey burke,maxi kleber,jalen brunson,wes iwundu,josh green,boban marjanovic,tyrell terry"
2020-12-30,24.08,1,2.0,8.0,0.25,1.0,6.0,0.167,0.0,0.0,0.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,5.0,-22.0,0.313,0.313,0.75,0.0,15.6,10.5,13.4,0.0,2.0,4.0,11.1,15.5,79.0,117.0,-8.1,"gordon hayward,terry rozier,bismack biyombo,devonte' graham,p.j. washington,miles bridges,lamelo ball,jalen mcdaniels,caleb martin,cody martin,vernon carey jr.,nick richards","tim hardaway jr.,josh richardson,dwight powell,luka doncic,maxi kleber,jalen brunson,trey burke,james johnson,josh green,willie cauley-stein,wes iwundu,boban marjanovic,tyrell terry"
2021-01-01,22.42,1,5.0,8.0,0.625,2.0,5.0,0.4,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,4.0,12.0,3.0,0.75,0.75,0.625,0.0,5.4,17.1,11.9,0.0,0.0,0.0,0.0,16.5,140.0,90.0,5.9,"bam adebayo,duncan robinson,tyler herro,jimmy butler,andre iguodala,kelly olynyk,goran dragic,precious achiuwa,maurice harkless,kendrick nunn","tim hardaway jr.,luka doncic,josh richardson,dwight powell,maxi kleber,trey burke,james johnson,jalen brunson,willie cauley-stein"
2021-01-03,35.72,0,2.0,5.0,0.4,0.0,3.0,0.0,1.0,2.0,0.5,1.0,5.0,6.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,0.425,0.4,0.6,0.4,2.8,16.4,9.1,3.7,1.3,2.8,14.5,8.0,87.0,116.0,-4.9,"zach lavine,coby white,otto porter jr.,patrick williams,wendell carter jr.,thaddeus young,garrett temple,daniel gafford,denzel valentine","jalen brunson,josh richardson,tim hardaway jr.,dwight powell,maxi kleber,trey burke,james johnson,willie cauley-stein,boban marjanovic,josh green,nate hinton,tyrell terry"
2021-01-04,32.63,0,3.0,8.0,0.375,2.0,5.0,0.4,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,9.0,22.0,0.533,0.5,0.625,0.125,3.9,9.2,6.8,4.3,1.6,4.0,10.6,13.1,109.0,104.0,-0.6,"james harden,p.j. tucker,john wall,christian wood,david nwaba,eric gordon,jae'sean tate,sterling brown,demarcus cousins,bruno caboclo,brodric thomas","luka doncic,josh richardson,willie cauley-stein,maxi kleber,tim hardaway jr.,james johnson,jalen brunson,dwight powell,trey burke,wes iwundu"
2021-01-07,36.48,0,5.0,12.0,0.417,4.0,8.0,0.5,0.0,0.0,0.0,3.0,5.0,8.0,2.0,3.0,2.0,0.0,4.0,14.0,-1.0,0.583,0.583,0.667,0.0,9.7,15.8,12.8,8.4,4.1,5.5,0.0,15.3,129.0,105.0,6.2,"jamal murray,nikola jokic,gary harris,will barton,pj dozier,monte morris,jamychal green,isaiah hartenstein","luka doncic,josh richardson,maxi kleber,willie cauley-stein,tim hardaway jr.,jalen brunson,boban marjanovic,dwight powell,james johnson,josh green"
2021-01-27,24.18,0,1.0,8.0,0.125,1.0,6.0,0.167,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,3.0,-12.0,0.188,0.188,0.75,0.0,9.2,9.2,9.2,9.9,0.0,0.0,0.0,15.4,68.0,127.0,-10.3,"rudy gobert,bojan bogdanovic,royce o'neale,joe ingles,mike conley,jordan clarkson,georges niang,juwan morgan,miye oni,udoka azubuike,jarrell brantley,shaquille harrison","tim hardaway jr.,luka doncic,kristaps porzingis,josh richardson,james johnson,jalen brunson,trey burke,dwight powell,wes iwundu,willie cauley-stein,nate hinton,tyrell terry,josh green,boban marjanovic"
2021-01-29,22.55,0,4.0,9.0,0.444,3.0,8.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,11.0,-13.0,0.611,0.611,0.889,0.0,0.0,0.0,0.0,0.0,2.2,0.0,10.0,19.5,102.0,130.0,-0.7,"royce o'neale,mike conley,bojan bogdanovic,joe ingles,rudy gobert,jordan clarkson,juwan morgan,georges niang,miye oni,jarrell brantley,udoka azubuike,shaquille harrison","luka doncic,tim hardaway jr.,josh richardson,kristaps porzingis,jalen brunson,james johnson,trey burke,dwight powell,willie cauley-stein,josh green,wes iwundu,boban marjanovic,tyrell terry"
2021-01-30,34.07,1,3.0,5.0,0.6,2.0,4.0,0.5,1.0,2.0,0.5,0.0,5.0,5.0,1.0,1.0,0.0,1.0,2.0,9.0,7.0,0.765,0.8,0.8,0.4,0.0,17.2,8.9,3.5,1.5,0.0,14.5,9.3,126.0,115.0,1.8,"deandre ayton,chris paul,cameron johnson,mikal bridges,jae crowder,langston galloway,frank kaminsky","tim hardaway jr.,josh richardson,luka doncic,willie cauley-stein,jalen brunson,james johnson,dwight powell,trey burke"
2021-02-01,37.28,1,2.0,7.0,0.286,1.0,4.0,0.25,0.0,0.0,0.0,2.0,3.0,5.0,1.0,1.0,0.0,1.0,3.0,5.0,3.0,0.357,0.357,0.571,0.0,6.3,8.4,7.4,3.7,1.3,0.0,12.5,9.3,83.0,113.0,-5.6,"mikal bridges,chris paul,cameron johnson,deandre ayton,devin booker,langston galloway,jae crowder,frank kaminsky","luka doncic,josh richardson,kristaps porzingis,maxi kleber,tim hardaway jr.,jalen brunson,willie cauley-stein,james johnson,trey burke"
2021-02-03,28.83,0,5.0,10.0,0.5,3.0,7.0,0.429,0.0,0.0,0.0,3.0,2.0,5.0,0.0,1.0,0.0,1.0,3.0,13.0,6.0,0.65,0.65,0.7,0.0,10.9,7.4,9.1,0.0,1.7,0.0,9.1,16.1,126.0,121.0,-1.4,"john collins,kevin huerter,trae young,clint capela,cam reddish,danilo gallinari,brandon goodwin","luka doncic,josh richardson,kristaps porzingis,maxi kleber,tim hardaway jr.,jalen brunson,willie cauley-stein,trey burke,james johnson"
2021-02-04,26.63,1,1.0,3.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,4.0,5.0,-19.0,0.644,0.5,1.0,0.667,3.5,15.0,8.3,10.0,0.0,0.0,0.0,6.2,159.0,146.0,-6.0,"juan toscano-anderson,kelly oubre jr.,stephen curry,andrew wiggins,draymond green,damion lee,kent bazemore,mychal mulder","luka doncic,josh richardson,kristaps porzingis,maxi kleber,tim hardaway jr.,jalen brunson,dwight powell,trey burke,james johnson,boban marjanovic,willie cauley-stein,josh green,wes iwundu"
2021-02-06,35.13,1,4.0,9.0,0.444,2.0,5.0,0.4,0.0,0.0,0.0,3.0,3.0,6.0,2.0,0.0,0.0,1.0,3.0,10.0,3.0,0.556,0.556,0.556,0.0,8.4,10.8,9.4,7.1,0.0,0.0,10.0,11.1,125.0,129.0,-3.2,"stephen curry,draymond green,juan toscano-anderson,kelly oubre jr.,andrew wiggins,kent bazemore,damion lee,mychal mulder","luka doncic,maxi kleber,kristaps porzingis,josh richardson,tim hardaway jr.,jalen brunson,dwight powell,trey burke"
2021-02-08,32.75,1,3.0,4.0,0.75,0.0,1.0,0.0,1.0,1.0,1.0,2.0,5.0,7.0,3.0,1.0,1.0,1.0,1.0,7.0,-12.0,0.788,0.75,0.25,0.25,6.7,16.3,11.5,10.8,1.4,3.0,18.4,7.0,150.0,117.0,2.3,"malik beasley,anthony edwards,josh okogie,naz reid,d'angelo russell,ricky rubio,jarred vanderbilt,jaylen nowell,jaden mcdaniels,jake layman,juancho hernangomez","luka doncic,josh richardson,kristaps porzingis,maxi kleber,tim hardaway jr.,jalen brunson,dwight powell,trey burke,wes iwundu"
2021-02-10,37.27,1,3.0,6.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,2.0,5.0,7.0,3.0,1.0,1.0,1.0,2.0,8.0,8.0,0.667,0.667,0.667,0.0,7.0,15.3,11.4,9.9,1.3,2.6,14.3,8.9,133.0,119.0,2.7,"trae young,john collins,kevin huerter,cam reddish,clint capela,danilo gallinari,onyeka okongwu,brandon goodwin,skylar mays","luka doncic,josh richardson,maxi kleber,kristaps porzingis,jalen brunson,tim hardaway jr.,willie cauley-stein,dwight powell,trey burke"
2021-02-12,34.87,1,5.0,6.0,0.833,4.0,5.0,0.8,0.0,0.0,0.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0,3.0,14.0,10.0,1.167,1.167,0.833,0.0,4.0,13.4,9.2,0.0,1.4,0.0,0.0,8.0,220.0,133.0,4.1,"zion williamson,brandon ingram,lonzo ball,steven adams,josh hart,willy hernangomez,kira lewis jr.","luka doncic,maxi kleber,josh richardson,kristaps porzingis,jalen brunson,tim hardaway jr.,willie cauley-stein,trey burke,dwight powell"
2021-02-14,34.55,1,5.0,8.0,0.625,4.0,7.0,0.571,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,14.0,-10.0,0.875,0.875,0.875,0.0,3.9,7.9,5.9,4.2,1.5,3.1,11.1,12.0,157.0,130.0,5.1,"robert covington,damian lillard,gary trent jr.,derrick jones jr.,anfernee simons,nassir little","luka doncic,kristaps porzingis,maxi kleber,josh richardson,jalen brunson,tim hardaway jr.,willie cauley-stein,trey burke"
