date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,9.48,1,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,-4.0,0.3,0.3,0.8,0.0,0.0,0.0,0.0,0.0,10.0,0.0,16.7,26.7,54.0,99.0,-11.2,"terry rozier,devonte' graham,gordon hayward,p.j. washington,cody zeller,bismack biyombo,miles bridges,cody martin,lamelo ball,jalen mcdaniels","collin sexton,larry nance jr.,isaac okoro,darius garland,andre drummond,javale mcgee,cedi osman,dean wade,marques bolden"
2021-01-22,16.3,1,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,2.0,6.0,4.0,1.5,1.5,1.0,0.0,0.0,41.1,22.4,7.5,3.0,0.0,0.0,5.2,284.0,110.0,12.2,"james harden,joe harris,kyrie irving,deandre jordan,bruce brown,jeff green,timothe luwawu-cabarrot,landry shamet,reggie perry,chris chiozza","isaac okoro,larry nance jr.,collin sexton,cedi osman,andre drummond,taurean prince,darius garland,jarrett allen,dean wade,lamar stevens"
2021-01-24,25.73,0,3.0,6.0,0.5,1.0,4.0,0.25,4.0,4.0,1.0,2.0,2.0,4.0,3.0,1.0,0.0,0.0,1.0,11.0,-2.0,0.709,0.583,0.667,0.667,7.0,10.4,8.4,19.7,1.8,0.0,0.0,12.4,161.0,139.0,2.4,"marcus smart,daniel theis,kemba walker,tristan thompson,jaylen brown,carsen edwards,aaron nesmith,robert williams,tremont waters,grant williams,javonte green","isaac okoro,andre drummond,cedi osman,collin sexton,larry nance jr.,jarrett allen,darius garland,taurean prince,javale mcgee,dean wade"
2021-01-25,17.55,1,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,4.0,-7.0,1.0,1.0,0.0,0.0,0.0,12.4,6.5,0.0,2.9,0.0,50.0,9.7,80.0,120.0,-3.6,"lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,montrezl harrell,kyle kuzma,alex caruso,wesley matthews,markieff morris","isaac okoro,cedi osman,collin sexton,andre drummond,taurean prince,jarrett allen,darius garland,javale mcgee"
2021-01-27,21.92,1,3.0,6.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,8.0,29.0,0.667,0.667,0.667,0.0,0.0,10.4,5.7,0.0,4.3,4.0,14.3,13.6,110.0,103.0,1.1,"jerami grant,delon wright,mason plumlee,saddiq bey,josh jackson,derrick rose,svi mykhailiuk,sekou doumbouya,isaiah stewart,jahlil okafor,frank jackson","isaac okoro,collin sexton,darius garland,andre drummond,cedi osman,taurean prince,jarrett allen,dean wade"
2021-01-29,20.1,0,3.0,5.0,0.6,2.0,4.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,8.0,-23.0,0.8,0.8,0.8,0.0,0.0,19.4,8.5,0.0,0.0,4.5,16.7,13.5,124.0,116.0,0.4,"rj barrett,julius randle,alec burks,elfrid payton,mitchell robinson,nerlens noel,immanuel quickley,austin rivers,obi toppin,kevin knox,taj gibson","collin sexton,isaac okoro,darius garland,larry nance jr.,andre drummond,jarrett allen,taurean prince,cedi osman,dean wade"
2021-01-31,13.15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,6.5,0.0,117.0,-13.8,"d'angelo russell,anthony edwards,malik beasley,josh okogie,jarred vanderbilt,ricky rubio,jaden mcdaniels,jake layman,jaylen nowell","andre drummond,isaac okoro,larry nance jr.,collin sexton,darius garland,cedi osman,taurean prince,jarrett allen"
2021-02-01,4.98,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,1.0,0.0,0.0,18.5,9.9,27.5,0.0,0.0,0.0,8.7,55.0,108.0,-7.4,"malik beasley,anthony edwards,d'angelo russell,josh okogie,jaden mcdaniels,ricky rubio,jarred vanderbilt,jaylen nowell,jake layman,naz reid","collin sexton,darius garland,jarrett allen,isaac okoro,taurean prince,cedi osman,lamar stevens,javale mcgee"
2021-02-03,19.77,1,1.0,3.0,0.333,0.0,2.0,0.0,2.0,3.0,0.667,0.0,5.0,5.0,2.0,1.0,2.0,1.0,1.0,4.0,8.0,0.463,0.333,0.667,1.0,0.0,35.7,14.6,12.6,2.6,10.8,18.8,12.0,91.0,119.0,-0.2,"paul george,kawhi leonard,nicolas batum,reggie jackson,serge ibaka,ivica zubac,marcus morris,luke kennard,terance mann,amir coffey,mfiondu kabengele","collin sexton,darius garland,taurean prince,isaac okoro,andre drummond,jarrett allen,lamar stevens,cedi osman,dean wade"
2021-02-05,15.67,1,2.0,6.0,0.333,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,2.0,2.0,0.0,4.0,-6.0,0.333,0.333,0.5,0.0,0.0,35.6,17.0,8.8,0.0,8.2,25.0,22.3,54.0,114.0,-9.2,"giannis antetokounmpo,khris middleton,jrue holiday,brook lopez,donte divincenzo,bobby portis,pat connaughton,bryn forbes,torrey craig","collin sexton,taurean prince,isaac okoro,andre drummond,darius garland,cedi osman,jarrett allen,lamar stevens,dean wade"
