date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,22.17,0,3.0,7.0,0.429,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,5.0,3.0,7.0,-15.0,0.5,0.5,0.143,0.0,4.8,4.8,4.8,20.0,2.0,0.0,41.7,23.4,69.0,117.0,-11.6,"domantas sabonis,malcolm brogdon,myles turner,victor oladipo,t.j. warren,doug mcdermott,justin holiday,t.j. mcconnell,aaron holiday","julius randle,rj barrett,reggie bullock,mitchell robinson,alec burks,obi toppin,kevin knox,immanuel quickley,nerlens noel,frank ntilikina,theo pinson"
2020-12-26,18.23,1,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,-15.0,0.0,0.0,0.5,0.0,0.0,18.8,8.8,8.2,0.0,0.0,0.0,14.5,11.0,119.0,-17.4,"ben simmons,joel embiid,tobias harris,seth curry,danny green,shake milton,furkan korkmaz,tyrese maxey,matisse thybulle","rj barrett,julius randle,reggie bullock,mitchell robinson,alec burks,kevin knox,dennis smith jr.,nerlens noel,frank ntilikina,theo pinson"
2020-12-27,29.3,1,12.0,16.0,0.75,3.0,3.0,1.0,0.0,2.0,0.0,1.0,2.0,3.0,7.0,1.0,0.0,3.0,2.0,27.0,15.0,0.8,0.844,0.188,0.125,4.7,6.0,5.5,43.5,1.6,0.0,15.1,29.1,141.0,112.0,12.6,"khris middleton,giannis antetokounmpo,jrue holiday,donte divincenzo,brook lopez,bobby portis,bryn forbes,pat connaughton,jordan nwora,sam merrill,d.j. wilson,thanasis antetokounmpo,torrey craig","rj barrett,julius randle,mitchell robinson,reggie bullock,kevin knox,alec burks,frank ntilikina,nerlens noel,theo pinson,ignas brazdeikis"
2020-12-29,35.57,0,6.0,15.0,0.4,2.0,4.0,0.5,0.0,2.0,0.0,3.0,5.0,8.0,7.0,0.0,0.0,5.0,2.0,14.0,11.0,0.441,0.467,0.267,0.133,9.4,12.3,11.0,36.5,0.0,0.0,23.9,24.9,90.0,97.0,-3.7,"larry nance jr.,collin sexton,darius garland,andre drummond,cedi osman,javale mcgee,dean wade","julius randle,reggie bullock,rj barrett,mitchell robinson,nerlens noel,kevin knox,frank ntilikina"
2020-12-31,23.35,0,7.0,12.0,0.583,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,2.0,1.0,14.0,-14.0,0.563,0.583,0.167,0.083,0.0,12.8,6.1,46.7,2.1,0.0,13.9,26.6,96.0,101.0,6.4,"kyle lowry,fred vanvleet,og anunoby,norman powell,chris boucher,terence davis,stanley johnson,alex len,yuta watanabe,deandre' bembry,malachi flynn","reggie bullock,julius randle,rj barrett,mitchell robinson,kevin knox,austin rivers,nerlens noel,theo pinson,ignas brazdeikis"
2021-01-02,33.7,0,8.0,17.0,0.471,0.0,1.0,0.0,3.0,4.0,0.75,3.0,5.0,8.0,5.0,0.0,0.0,3.0,0.0,19.0,6.0,0.506,0.471,0.059,0.235,11.5,15.5,13.7,23.3,0.0,0.0,13.8,29.9,108.0,114.0,-2.3,"malcolm brogdon,domantas sabonis,victor oladipo,myles turner,aaron holiday,justin holiday,doug mcdermott,t.j. mcconnell,kelan martin","rj barrett,julius randle,reggie bullock,mitchell robinson,austin rivers,nerlens noel,kevin knox,immanuel quickley"
2021-01-04,28.52,0,6.0,18.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,0.0,2.0,2.0,3.0,14.0,-11.0,0.371,0.333,0.0,0.111,8.2,3.8,5.9,25.6,0.0,6.0,9.6,31.7,90.0,116.0,-7.8,"trae young,de'andre hunter,john collins,clint capela,cam reddish,kevin huerter,bogdan bogdanovic,brandon goodwin","rj barrett,julius randle,mitchell robinson,reggie bullock,austin rivers,immanuel quickley,kevin knox"
2021-01-06,42.27,1,10.0,15.0,0.667,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,8.0,1.0,0.0,1.0,3.0,22.0,25.0,0.693,0.667,0.133,0.133,0.0,4.8,2.5,27.0,1.2,0.0,5.9,17.9,146.0,110.0,5.0,"donovan mitchell,rudy gobert,royce o'neale,mike conley,bojan bogdanovic,joe ingles,jordan clarkson,derrick favors,georges niang","mitchell robinson,julius randle,rj barrett,reggie bullock,austin rivers,kevin knox,immanuel quickley"
2021-01-08,30.63,1,4.0,17.0,0.235,1.0,4.0,0.25,7.0,8.0,0.875,2.0,4.0,6.0,1.0,0.0,0.0,0.0,4.0,16.0,1.0,0.39,0.265,0.235,0.471,5.1,12.8,8.5,5.7,0.0,0.0,0.0,29.6,89.0,112.0,-7.2,"shai gilgeous-alexander,luguentz dort,al horford,george hill,darius bazley,hamidou diallo,theo maledon,aleksej pokusevski,mike muscala,kenrich williams,isaiah roby","rj barrett,julius randle,mitchell robinson,reggie bullock,austin rivers,kevin knox,immanuel quickley,nerlens noel"
2021-01-10,32.18,1,4.0,10.0,0.4,0.0,1.0,0.0,4.0,5.0,0.8,0.0,3.0,3.0,5.0,1.0,0.0,2.0,4.0,12.0,-6.0,0.492,0.4,0.1,0.5,0.0,12.4,5.7,28.6,1.6,0.0,14.1,21.0,99.0,124.0,-3.5,"gary harris,nikola jokic,jamal murray,will barton,jamychal green,monte morris,pj dozier,facundo campazzo,isaiah hartenstein,bol bol,r.j. hampton,zeke nnaji,vlatko cancar","julius randle,mitchell robinson,rj barrett,reggie bullock,austin rivers,kevin knox,immanuel quickley,nerlens noel,dennis smith jr.,theo pinson,ignas brazdeikis"
2021-01-11,30.68,0,7.0,14.0,0.5,1.0,3.0,0.333,0.0,2.0,0.0,4.0,2.0,6.0,4.0,2.0,0.0,3.0,4.0,15.0,-24.0,0.504,0.536,0.214,0.143,12.8,8.5,10.9,27.1,3.4,0.0,16.8,25.3,100.0,119.0,1.9,"devonte' graham,gordon hayward,terry rozier,p.j. washington,bismack biyombo,lamelo ball,miles bridges,caleb martin,cody martin,vernon carey jr.,jalen mcdaniels,nick richards","austin rivers,rj barrett,mitchell robinson,julius randle,kevin knox,immanuel quickley,nerlens noel"
2021-01-13,32.5,1,3.0,11.0,0.273,1.0,3.0,0.333,0.0,0.0,0.0,1.0,5.0,6.0,4.0,0.0,0.0,2.0,1.0,7.0,-13.0,0.318,0.318,0.273,0.0,3.2,17.2,10.0,14.9,0.0,0.0,15.4,18.1,77.0,130.0,-11.5,"jeff green,kevin durant,bruce brown,deandre jordan,joe harris,timothe luwawu-cabarrot,chris chiozza,landry shamet,reggie perry","julius randle,rj barrett,austin rivers,mitchell robinson,kevin knox,immanuel quickley,nerlens noel,obi toppin"
2021-01-15,20.45,0,4.0,7.0,0.571,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,9.0,-14.0,0.605,0.571,0.143,0.143,5.7,10.2,8.1,0.0,0.0,0.0,28.7,24.3,86.0,121.0,-12.4,"larry nance jr.,isaac okoro,andre drummond,cedi osman,lamar stevens,javale mcgee,dean wade","julius randle,rj barrett,reggie bullock,mitchell robinson,immanuel quickley,kevin knox,nerlens noel,austin rivers,obi toppin"
2021-01-17,23.17,0,3.0,9.0,0.333,0.0,1.0,0.0,3.0,3.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,9.0,15.0,0.436,0.333,0.111,0.333,5.3,10.9,8.6,19.6,2.2,5.5,16.2,24.3,94.0,81.0,-1.8,"jaylen brown,marcus smart,tristan thompson,grant williams,kemba walker,daniel theis,javonte green,payton pritchard,aaron nesmith,tremont waters","julius randle,rj barrett,reggie bullock,mitchell robinson,nerlens noel,immanuel quickley,obi toppin,austin rivers,kevin knox,dennis smith jr.,theo pinson,ignas brazdeikis"
2021-01-18,33.18,1,6.0,11.0,0.545,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,0.0,1.0,1.0,12.0,20.0,0.545,0.545,0.0,0.0,5.4,0.0,2.8,25.9,3.2,0.0,8.3,16.1,115.0,96.0,4.7,"nikola vucevic,aaron gordon,cole anthony,terrence ross,khem birch,gary clark,jordan bone","julius randle,rj barrett,mitchell robinson,reggie bullock,austin rivers,immanuel quickley,nerlens noel,kevin knox,obi toppin"
2021-01-21,37.25,0,5.0,11.0,0.455,1.0,4.0,0.25,4.0,6.0,0.667,0.0,2.0,2.0,5.0,1.0,0.0,3.0,3.0,15.0,15.0,0.55,0.5,0.364,0.545,0.0,4.9,2.6,20.4,1.3,0.0,18.0,19.3,102.0,108.0,-3.6,"stephen curry,andrew wiggins,kelly oubre jr.,james wiseman,draymond green,eric paschall,damion lee,kent bazemore,kevon looney,jordan poole,nico mannion,mychal mulder","rj barrett,julius randle,mitchell robinson,reggie bullock,alec burks,nerlens noel,obi toppin,kevin knox,immanuel quickley"
2021-01-22,31.05,0,3.0,12.0,0.25,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,0.0,1.0,0.0,5.0,7.0,-15.0,0.281,0.25,0.083,0.083,2.6,5.8,4.1,14.8,0.0,2.7,0.0,16.6,77.0,112.0,-8.3,"de'aaron fox,richaun holmes,harrison barnes,marvin bagley iii,buddy hield,tyrese haliburton,cory joseph,chimezie metu","julius randle,rj barrett,mitchell robinson,reggie bullock,alec burks,nerlens noel,immanuel quickley,obi toppin,kevin knox"
2021-01-24,24.0,0,3.0,8.0,0.375,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,2.0,8.0,-5.0,0.45,0.375,0.25,0.25,4.7,9.3,7.0,12.1,2.1,0.0,10.1,18.1,103.0,126.0,-6.9,"damian lillard,derrick jones jr.,robert covington,anfernee simons,gary trent jr.,nassir little","julius randle,alec burks,mitchell robinson,rj barrett,austin rivers,immanuel quickley,nerlens noel,kevin knox,obi toppin"
2021-01-26,21.37,0,2.0,7.0,0.286,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,3.0,4.0,-7.0,0.286,0.286,0.286,0.0,5.0,4.3,4.6,14.3,0.0,0.0,22.2,19.9,63.0,131.0,-14.9,"royce o'neale,donovan mitchell,mike conley,rudy gobert,bojan bogdanovic,joe ingles,jordan clarkson,derrick favors,georges niang,udoka azubuike,shaquille harrison,juwan morgan,miye oni","rj barrett,julius randle,mitchell robinson,alec burks,austin rivers,immanuel quickley,nerlens noel,obi toppin,kevin knox,theo pinson"
2021-01-29,23.13,1,1.0,6.0,0.167,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0,2.0,0.167,0.167,0.167,0.0,0.0,4.4,2.5,16.9,2.3,0.0,25.0,16.6,48.0,98.0,-11.5,"collin sexton,isaac okoro,darius garland,larry nance jr.,andre drummond,jarrett allen,taurean prince,dylan windler,cedi osman,dean wade","rj barrett,julius randle,alec burks,mitchell robinson,nerlens noel,immanuel quickley,austin rivers,obi toppin,kevin knox,taj gibson"
2021-01-31,20.73,1,3.0,7.0,0.429,1.0,2.0,0.5,3.0,4.0,0.75,0.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,10.0,-6.0,0.571,0.5,0.286,0.571,0.0,21.0,9.4,20.4,0.0,0.0,0.0,19.4,133.0,145.0,-1.9,"kawhi leonard,paul george,reggie jackson,serge ibaka,marcus morris,ivica zubac,terance mann,luke kennard,amir coffey,mfiondu kabengele","julius randle,rj barrett,mitchell robinson,reggie bullock,immanuel quickley,alec burks,taj gibson,austin rivers,obi toppin"
2021-02-01,17.68,0,2.0,5.0,0.4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,5.0,-5.0,0.46,0.4,0.2,0.2,0.0,13.2,6.4,0.0,2.8,0.0,26.9,18.5,67.0,112.0,-8.9,"coby white,lauri markkanen,zach lavine,patrick williams,daniel gafford,thaddeus young,garrett temple,otto porter jr.,denzel valentine,chandler hutchison","julius randle,rj barrett,reggie bullock,mitchell robinson,immanuel quickley,alec burks,nerlens noel,austin rivers,obi toppin"
2021-02-03,34.72,0,9.0,20.0,0.45,0.0,2.0,0.0,2.0,2.0,1.0,4.0,4.0,8.0,4.0,0.0,1.0,1.0,2.0,20.0,7.0,0.479,0.45,0.1,0.1,12.9,13.2,13.0,18.1,0.0,2.7,4.6,26.9,113.0,107.0,1.6,"zach lavine,lauri markkanen,coby white,patrick williams,daniel gafford,thaddeus young,garrett temple,denzel valentine","julius randle,rj barrett,mitchell robinson,reggie bullock,nerlens noel,alec burks,austin rivers,immanuel quickley,obi toppin"
2021-02-06,35.3,1,10.0,19.0,0.526,1.0,4.0,0.25,1.0,3.0,0.333,2.0,5.0,7.0,4.0,0.0,1.0,2.0,2.0,22.0,6.0,0.541,0.553,0.211,0.158,7.2,12.6,10.3,17.9,0.0,3.2,9.0,28.2,111.0,106.0,0.5,"damian lillard,robert covington,gary trent jr.,anfernee simons,derrick jones jr.","julius randle,rj barrett,mitchell robinson,reggie bullock,alec burks,taj gibson,immanuel quickley,obi toppin,austin rivers"
2021-02-07,30.67,1,3.0,12.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,5.0,2.0,0.0,2.0,1.0,7.0,-9.0,0.272,0.25,0.167,0.167,0.0,7.8,3.6,23.5,3.3,0.0,13.4,22.5,69.0,115.0,-9.5,"bam adebayo,duncan robinson,jimmy butler,kendrick nunn,kelly olynyk,tyler herro,andre iguodala,gabe vincent,precious achiuwa","julius randle,mitchell robinson,reggie bullock,rj barrett,alec burks,immanuel quickley,austin rivers,taj gibson,obi toppin"
2021-02-09,26.6,0,8.0,16.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,3.0,2.0,5.0,4.0,0.0,0.0,3.0,1.0,18.0,-9.0,0.547,0.531,0.125,0.063,12.6,8.8,10.7,32.0,0.0,0.0,15.4,32.5,105.0,117.0,3.2,"jimmy butler,bam adebayo,kendrick nunn,duncan robinson,kelly olynyk,tyler herro,andre iguodala,precious achiuwa,gabe vincent","julius randle,mitchell robinson,rj barrett,reggie bullock,alec burks,immanuel quickley,derrick rose,nerlens noel,obi toppin"
2021-02-12,23.4,0,6.0,12.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,12.0,7.0,0.5,0.5,0.083,0.0,7.9,3.5,5.5,12.9,2.0,0.0,7.7,22.5,107.0,95.0,1.6,"russell westbrook,rui hachimura,davis bertans,garrison mathews,alex len,deni avdija,troy brown jr.,robin lopez,raul neto,ish smith,moritz wagner","julius randle,rj barrett,mitchell robinson,reggie bullock,alec burks,immanuel quickley,derrick rose,nerlens noel,obi toppin,taj gibson,kevin knox,austin rivers,theo pinson"
2021-02-13,21.77,1,7.0,11.0,0.636,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,15.0,1.0,0.682,0.682,0.091,0.0,0.0,8.5,4.9,22.4,2.3,0.0,8.3,25.7,127.0,103.0,5.4,"eric gordon,p.j. tucker,john wall,jae'sean tate,demarcus cousins,sterling brown,danuel house jr.,david nwaba,ray spalding,mason jones","julius randle,nerlens noel,reggie bullock,rj barrett,alec burks,derrick rose,immanuel quickley,taj gibson,obi toppin,kevin knox,austin rivers,theo pinson"
2021-02-15,24.38,1,5.0,12.0,0.417,0.0,1.0,0.0,2.0,2.0,1.0,3.0,4.0,7.0,1.0,1.0,0.0,1.0,2.0,12.0,3.0,0.466,0.417,0.083,0.167,14.4,18.3,16.4,6.1,2.1,0.0,7.2,26.6,108.0,118.0,-6.8,"trae young,kevin huerter,clint capela,cam reddish,john collins,danilo gallinari,skylar mays,onyeka okongwu","julius randle,rj barrett,nerlens noel,reggie bullock,derrick rose,immanuel quickley,alec burks,taj gibson,obi toppin"
