date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,30.72,1,9.0,13.0,0.692,3.0,5.0,0.6,4.0,5.0,0.8,0.0,0.0,0.0,4.0,3.0,0.0,2.0,2.0,25.0,0.0,0.822,0.808,0.385,0.385,0.0,0.0,0.0,22.4,4.5,0.0,11.6,22.7,147.0,102.0,13.2,"jimmy butler,bam adebayo,tyler herro,duncan robinson,maurice harkless,goran dragic,kelly olynyk,andre iguodala,precious achiuwa,kendrick nunn","nikola vucevic,markelle fultz,aaron gordon,terrence ross,chuma okeke,cole anthony,michael carter-williams,khem birch"
2020-12-26,28.95,0,4.0,8.0,0.5,1.0,5.0,0.2,4.0,5.0,0.8,1.0,4.0,5.0,0.0,2.0,0.0,2.0,4.0,13.0,-1.0,0.637,0.563,0.625,0.625,3.5,13.3,8.5,0.0,3.0,0.0,16.4,16.8,111.0,105.0,-4.3,"bradley beal,russell westbrook,thomas bryant,deni avdija,ish smith,davis bertans,jerome robinson,robin lopez,troy brown jr.,raul neto","nikola vucevic,markelle fultz,aaron gordon,terrence ross,michael carter-williams,chuma okeke,cole anthony,khem birch"
2020-12-27,27.83,0,4.0,10.0,0.4,2.0,5.0,0.4,9.0,10.0,0.9,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,19.0,-15.0,0.66,0.5,0.5,1.0,3.8,0.0,1.9,11.5,0.0,0.0,6.5,23.8,138.0,121.0,-0.1,"bradley beal,deni avdija,thomas bryant,raul neto,troy brown jr.,davis bertans,ish smith,robin lopez,jerome robinson","markelle fultz,nikola vucevic,aaron gordon,terrence ross,michael carter-williams,khem birch,cole anthony,chuma okeke,gary clark"
2020-12-29,31.73,0,5.0,11.0,0.455,2.0,6.0,0.333,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,4.0,4.0,14.0,12.0,0.589,0.545,0.545,0.182,0.0,3.4,1.6,7.3,3.0,0.0,25.2,21.1,90.0,106.0,-7.7,"shai gilgeous-alexander,justin jackson,luguentz dort,darius bazley,isaiah roby,hamidou diallo,theo maledon,mike muscala,aleksej pokusevski,kenrich williams,josh hall","nikola vucevic,markelle fultz,aaron gordon,terrence ross,michael carter-williams,chuma okeke,cole anthony,khem birch"
2020-12-31,7.8,1,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,-11.0,0.436,0.333,0.667,0.333,0.0,13.7,6.0,45.8,0.0,0.0,0.0,18.4,109.0,116.0,-1.3,"joel embiid,tobias harris,seth curry,ben simmons,danny green,shake milton,tyrese maxey,matisse thybulle,isaiah joe,dakota mathias","markelle fultz,nikola vucevic,aaron gordon,cole anthony,michael carter-williams,khem birch,karim mane,chuma okeke,gary clark,jordan bone"
2021-01-20,28.3,0,9.0,21.0,0.429,2.0,9.0,0.222,4.0,4.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,24.0,15.0,0.527,0.476,0.429,0.19,0.0,3.9,1.9,16.4,3.6,0.0,8.1,37.4,102.0,102.0,3.8,"malik beasley,d'angelo russell,naz reid,josh okogie,jarred vanderbilt,jaden mcdaniels,anthony edwards,jordan mclaughlin,jarrett culver","nikola vucevic,aaron gordon,cole anthony,khem birch,terrence ross,gary clark"
2021-01-22,35.68,0,8.0,14.0,0.571,4.0,8.0,0.5,6.0,12.0,0.5,1.0,3.0,4.0,9.0,0.0,0.0,1.0,0.0,26.0,3.0,0.674,0.714,0.571,0.857,3.0,10.1,6.4,43.0,0.0,0.0,4.9,25.4,144.0,123.0,11.1,"domantas sabonis,myles turner,malcolm brogdon,doug mcdermott,justin holiday,t.j. mcconnell,jeremy lamb,aaron holiday,edmond sumner,goga bitadze","nikola vucevic,aaron gordon,cole anthony,terrence ross,khem birch,gary clark"
2021-01-24,32.78,1,7.0,16.0,0.438,3.0,8.0,0.375,4.0,7.0,0.571,0.0,3.0,3.0,6.0,1.0,0.0,4.0,1.0,21.0,-6.0,0.55,0.531,0.5,0.438,0.0,10.7,5.1,30.6,1.5,0.0,17.3,31.4,102.0,114.0,-0.9,"terry rozier,gordon hayward,devonte' graham,p.j. washington,bismack biyombo,lamelo ball,miles bridges,cody zeller,caleb martin","gary clark,nikola vucevic,cole anthony,terrence ross,khem birch,jordan bone"
2021-01-25,31.92,1,7.0,14.0,0.5,5.0,8.0,0.625,0.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,0.0,2.0,3.0,19.0,11.0,0.679,0.679,0.571,0.0,0.0,6.0,3.3,28.7,3.0,0.0,12.5,21.4,127.0,108.0,4.7,"gordon hayward,devonte' graham,terry rozier,bismack biyombo,p.j. washington,miles bridges,lamelo ball,cody zeller,caleb martin","nikola vucevic,aaron gordon,cole anthony,terrence ross,khem birch,gary clark"
2021-01-27,30.17,1,7.0,15.0,0.467,3.0,8.0,0.375,8.0,8.0,1.0,0.0,3.0,3.0,4.0,0.0,3.0,1.0,2.0,25.0,-18.0,0.675,0.567,0.533,0.533,0.0,10.2,4.9,22.1,0.0,8.1,5.1,26.3,145.0,125.0,11.3,"de'aaron fox,harrison barnes,buddy hield,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph,justin james,chimezie metu,robert woodard ii","nikola vucevic,cole anthony,aaron gordon,terrence ross,gary clark,khem birch,mo bamba,jordan bone"
