date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,4.78,0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-5.0,0.174,0.0,0.5,1.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,26.0,38.0,102.0,-14.1,"domantas sabonis,malcolm brogdon,myles turner,victor oladipo,t.j. warren,doug mcdermott,justin holiday,t.j. mcconnell,aaron holiday","julius randle,rj barrett,reggie bullock,elfrid payton,mitchell robinson,alec burks,obi toppin,kevin knox,immanuel quickley,nerlens noel,theo pinson"
2020-12-26,2.45,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,125.0,-21.6,"ben simmons,joel embiid,tobias harris,seth curry,danny green,shake milton,furkan korkmaz,tyrese maxey,matisse thybulle","rj barrett,julius randle,reggie bullock,mitchell robinson,elfrid payton,alec burks,kevin knox,dennis smith jr.,nerlens noel,theo pinson"
2020-12-27,18.7,1,4.0,6.0,0.667,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,12.0,5.0,1.0,1.0,0.667,0.0,0.0,4.7,2.9,0.0,0.0,0.0,14.3,16.1,147.0,116.0,4.4,"khris middleton,giannis antetokounmpo,jrue holiday,donte divincenzo,brook lopez,bobby portis,bryn forbes,pat connaughton,jordan nwora,sam merrill,d.j. wilson,thanasis antetokounmpo,torrey craig","rj barrett,julius randle,mitchell robinson,elfrid payton,reggie bullock,kevin knox,alec burks,nerlens noel,theo pinson,ignas brazdeikis"
2020-12-29,16.2,0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,5.0,3.0,0.46,0.5,0.6,0.2,6.9,10.8,9.1,31.7,6.2,0.0,15.5,16.9,106.0,84.0,6.8,"larry nance jr.,collin sexton,darius garland,andre drummond,cedi osman,javale mcgee,dean wade","julius randle,reggie bullock,rj barrett,elfrid payton,mitchell robinson,nerlens noel,kevin knox"
2021-02-25,23.42,1,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,7.0,17.0,0.583,0.583,0.5,0.0,0.0,0.0,0.0,9.1,5.9,0.0,14.3,12.8,116.0,110.0,2.7,"de'aaron fox,harrison barnes,buddy hield,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph,daquan jeffries,kyle guy,norvel pelle,justin james","julius randle,derrick rose,rj barrett,nerlens noel,reggie bullock,alec burks,taj gibson,immanuel quickley,obi toppin,kevin knox,theo pinson"
2021-02-27,10.92,1,1.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,5.0,-8.0,0.868,0.75,0.5,1.0,0.0,11.0,6.0,24.7,4.3,0.0,0.0,11.7,186.0,101.0,10.5,"t.j. mcconnell,domantas sabonis,myles turner,justin holiday,doug mcdermott,aaron holiday,edmond sumner,jeremy lamb,goga bitadze","julius randle,nerlens noel,derrick rose,rj barrett,reggie bullock,alec burks,immanuel quickley,obi toppin,taj gibson,kevin knox"
2021-02-28,12.78,0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,20.0,18.5,0.0,99.0,-22.5,"saddiq bey,jerami grant,dennis smith jr.,mason plumlee,svi mykhailiuk,isaiah stewart,josh jackson,saben lee,sekou doumbouya,rodney mcgruder","nerlens noel,julius randle,rj barrett,derrick rose,reggie bullock,alec burks,obi toppin,immanuel quickley"
2021-03-02,24.83,0,5.0,7.0,0.714,3.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,13.0,-20.0,0.929,0.929,0.429,0.0,0.0,9.4,4.5,0.0,0.0,0.0,12.5,14.9,144.0,131.0,2.0,"dejounte murray,lonnie walker iv,trey lyles,jakob poeltl,demar derozan,patty mills,luka samanic,drew eubanks,keita bates-diop,keldon johnson,tre jones","nerlens noel,julius randle,rj barrett,reggie bullock,immanuel quickley,obi toppin,alec burks,kevin knox,theo pinson"
2021-03-04,12.95,1,3.0,4.0,0.75,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-4.0,1.125,1.125,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,217.0,124.0,12.6,"svi mykhailiuk,saddiq bey,mason plumlee,dennis smith jr.,saben lee,isaiah stewart,rodney mcgruder,sekou doumbouya","julius randle,nerlens noel,elfrid payton,reggie bullock,rj barrett,alec burks,immanuel quickley,obi toppin"
2021-03-11,14.87,0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.667,0.667,0.0,29.4,12.0,0.0,3.2,0.0,0.0,11.3,0.0,129.0,-13.0,"giannis antetokounmpo,khris middleton,jrue holiday,brook lopez,donte divincenzo,pat connaughton,bobby portis,bryn forbes,thanasis antetokounmpo,torrey craig,d.j. wilson,sam merrill,mamadi diakite","rj barrett,julius randle,elfrid payton,nerlens noel,reggie bullock,alec burks,taj gibson,immanuel quickley,obi toppin,kevin knox,theo pinson"
2021-03-13,7.1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,7.0,0.0,0.0,6.2,61.0,92.0,-5.1,"aleksej pokusevski,theo maledon,luguentz dort,al horford,isaiah roby,ty jerome,kenrich williams,moses brown,justin jackson","julius randle,reggie bullock,rj barrett,nerlens noel,immanuel quickley,alec burks,taj gibson,obi toppin,kevin knox,theo pinson"
2021-03-15,16.18,0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.8,0.0,5.8,19.8,11.0,8.0,3.1,0.0,0.0,13.3,30.0,119.0,-18.5,"james harden,kyrie irving,jeff green,joe harris,deandre jordan,landry shamet,nic claxton,bruce brown,timothe luwawu-cabarrot","reggie bullock,julius randle,rj barrett,immanuel quickley,nerlens noel,alec burks,taj gibson,obi toppin"
2021-03-16,14.87,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,6.9,0.0,3.3,8.7,6.8,0.0,20.0,15.3,26.0,99.0,-9.5,"tobias harris,ben simmons,seth curry,danny green,tony bradley,furkan korkmaz,shake milton,matisse thybulle","julius randle,rj barrett,reggie bullock,immanuel quickley,nerlens noel,alec burks,taj gibson,obi toppin"
2021-03-18,26.98,1,4.0,9.0,0.444,3.0,7.0,0.429,2.0,3.0,0.667,0.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,13.0,-2.0,0.63,0.611,0.778,0.333,0.0,7.7,3.9,6.0,2.0,3.7,0.0,18.8,121.0,102.0,4.4,"nikola vucevic,evan fournier,aaron gordon,chasson randle,khem birch,chuma okeke,mo bamba","rj barrett,julius randle,alec burks,nerlens noel,reggie bullock,taj gibson,obi toppin,kevin knox"
