date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-10-20,32.27,0,6.0,9.0,0.667,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,12.0,-4.0,0.667,0.667,0.222,0.0,6.9,6.8,6.8,11.4,1.5,4.4,0.0,11.9,149.0,127.0,3.4,"dejounte murray,derrick white,jakob poeltl,keldon johnson,doug mcdermott,lonnie walker iv,devin vassell,drew eubanks,keita bates-diop,tre jones,bryn forbes,joshua primo,jock landale","jalen suggs,cole anthony,mo bamba,wendell carter jr.,terrence ross,r.j. hampton,ignas brazdeikis,moritz wagner,robin lopez"
2021-10-22,33.8,1,6.0,12.0,0.5,4.0,5.0,0.8,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,3.0,1.0,16.0,-8.0,0.667,0.667,0.417,0.0,3.5,9.9,6.8,0.0,0.0,0.0,20.0,19.8,95.0,129.0,-5.2,"julius randle,mitchell robinson,evan fournier,rj barrett,kemba walker,derrick rose,obi toppin,immanuel quickley,alec burks,jericho sims,quentin grimes,kevin knox,miles mcbride","mo bamba,jalen suggs,cole anthony,wendell carter jr.,terrence ross,r.j. hampton,moritz wagner,robin lopez,ignas brazdeikis"
2021-10-24,38.63,0,4.0,11.0,0.364,1.0,6.0,0.167,1.0,2.0,0.5,1.0,6.0,7.0,2.0,2.0,0.0,1.0,3.0,10.0,10.0,0.421,0.409,0.545,0.182,2.7,11.8,8.0,8.0,2.4,0.0,7.8,13.8,90.0,100.0,-3.7,"julius randle,mitchell robinson,rj barrett,evan fournier,kemba walker,derrick rose,alec burks,obi toppin,immanuel quickley,taj gibson,miles mcbride","cole anthony,mo bamba,wendell carter jr.,jalen suggs,terrence ross,r.j. hampton,robin lopez,moritz wagner,ignas brazdeikis"
2021-10-25,26.92,0,6.0,13.0,0.462,2.0,7.0,0.286,1.0,2.0,0.5,0.0,2.0,2.0,4.0,1.0,1.0,0.0,2.0,15.0,-5.0,0.54,0.538,0.538,0.154,0.0,8.5,4.4,32.0,1.9,3.0,0.0,23.5,116.0,113.0,7.8,"jimmy butler,kyle lowry,bam adebayo,duncan robinson,p.j. tucker,tyler herro,markieff morris,max strus,dewayne dedmon,marcus garrett,kz okpala,gabe vincent,omer yurtseven","cole anthony,mo bamba,jalen suggs,wendell carter jr.,r.j. hampton,terrence ross,gary harris,moritz wagner,robin lopez,ignas brazdeikis"
2021-10-27,32.25,1,5.0,7.0,0.714,3.0,4.0,0.75,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,15.0,6.0,0.952,0.929,0.571,0.286,0.0,4.3,2.0,4.2,1.5,2.8,11.3,11.8,164.0,123.0,4.5,"gordon hayward,miles bridges,mason plumlee,kelly oubre jr.,lamelo ball,cody martin,ish smith,jalen mcdaniels,nick richards","jalen suggs,cole anthony,wendell carter jr.,mo bamba,terrence ross,gary harris,r.j. hampton,moritz wagner"
2021-10-29,33.68,0,4.0,12.0,0.333,1.0,2.0,0.5,1.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,0.0,2.0,4.0,10.0,1.0,0.402,0.375,0.167,0.083,9.9,3.3,6.6,8.1,1.5,0.0,13.9,18.5,92.0,118.0,-8.2,"og anunoby,fred vanvleet,scottie barnes,gary trent jr.,precious achiuwa,khem birch,dalano banton,chris boucher,svi mykhailiuk","mo bamba,cole anthony,wendell carter jr.,jalen suggs,gary harris,terrence ross,moritz wagner,robin lopez,r.j. hampton"
2021-10-30,28.42,0,8.0,15.0,0.533,3.0,6.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,19.0,-6.0,0.633,0.633,0.4,0.0,3.9,6.6,5.4,13.8,1.8,0.0,6.3,24.4,126.0,119.0,4.4,"jerami grant,saddiq bey,killian hayes,isaiah stewart,cade cunningham,kelly olynyk,cory joseph,josh jackson,frank jackson,trey lyles","cole anthony,mo bamba,jalen suggs,wendell carter jr.,terrence ross,r.j. hampton,gary harris,moritz wagner,chuma okeke,ignas brazdeikis,mychal mulder"
2021-11-01,30.6,0,10.0,18.0,0.556,5.0,9.0,0.556,3.0,5.0,0.6,2.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0,28.0,14.0,0.693,0.694,0.5,0.278,7.3,5.7,6.4,14.7,3.2,3.4,0.0,28.5,147.0,100.0,17.8,"karl-anthony towns,anthony edwards,jarred vanderbilt,jaden mcdaniels,d'angelo russell,malik beasley,taurean prince,jordan mclaughlin,naz reid,josh okogie,leandro bolmaro,nathan knight","cole anthony,wendell carter jr.,mo bamba,jalen suggs,terrence ross,chuma okeke,r.j. hampton,moritz wagner"
2021-11-03,31.58,1,4.0,10.0,0.4,1.0,7.0,0.143,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,4.0,9.0,-15.0,0.45,0.45,0.7,0.0,0.0,9.7,4.7,0.0,1.6,0.0,0.0,14.2,89.0,101.0,-3.6,"jayson tatum,marcus smart,jaylen brown,robert williams,al horford,dennis schroder,josh richardson,romeo langford,payton pritchard,grant williams,aaron nesmith,bruno fernando,juancho hernangomez","cole anthony,wendell carter jr.,mo bamba,jalen suggs,terrence ross,r.j. hampton,chuma okeke,moritz wagner,mychal mulder,ignas brazdeikis"
2021-11-05,29.38,1,3.0,11.0,0.273,1.0,5.0,0.2,0.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,7.0,-7.0,0.318,0.318,0.455,0.0,3.3,8.0,5.4,21.7,1.6,2.3,8.3,17.6,76.0,102.0,-5.5,"dejounte murray,keldon johnson,derrick white,doug mcdermott,drew eubanks,thaddeus young,devin vassell,lonnie walker iv,keita bates-diop,tre jones,bryn forbes","cole anthony,mo bamba,wendell carter jr.,jalen suggs,terrence ross,r.j. hampton,chuma okeke,gary harris"
2021-11-07,31.85,1,4.0,10.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,0.0,0.0,4.0,10.0,4.0,0.46,0.4,0.1,0.2,3.7,9.4,6.8,16.3,1.6,0.0,0.0,15.6,115.0,107.0,-3.6,"joe ingles,royce o'neale,rudy gobert,donovan mitchell,bojan bogdanovic,jordan clarkson,eric paschall,trent forrest","cole anthony,wendell carter jr.,jalen suggs,mo bamba,gary harris,terrence ross,chuma okeke,r.j. hampton,moritz wagner"
2021-11-10,31.8,1,4.0,11.0,0.364,0.0,4.0,0.0,2.0,2.0,1.0,4.0,3.0,7.0,1.0,6.0,0.0,4.0,3.0,10.0,-25.0,0.421,0.364,0.364,0.182,11.4,10.1,10.8,5.2,8.7,0.0,25.2,20.0,75.0,104.0,-1.3,"james harden,kevin durant,joe harris,bruce brown,blake griffin,jevon carter,patty mills,deandre' bembry,day'ron sharpe,cam thomas","cole anthony,mo bamba,jalen suggs,wendell carter jr.,chuma okeke,r.j. hampton,terrence ross,gary harris,moritz wagner,ignas brazdeikis,mychal mulder"
2021-11-13,34.87,1,2.0,11.0,0.182,0.0,1.0,0.0,4.0,4.0,1.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,3.0,8.0,8.0,0.313,0.182,0.091,0.364,2.5,11.2,6.0,0.0,1.4,2.8,0.0,15.4,77.0,110.0,-10.1,"kyle kuzma,aaron holiday,kentavious caldwell-pope,spencer dinwiddie,daniel gafford,montrezl harrell,deni avdija,raul neto,corey kispert,anthony gill","cole anthony,wendell carter jr.,mo bamba,jalen suggs,terrence ross,r.j. hampton,chuma okeke,gary harris,moritz wagner"
2021-11-15,35.4,0,7.0,14.0,0.5,2.0,3.0,0.667,3.0,5.0,0.6,1.0,4.0,5.0,3.0,0.0,1.0,3.0,3.0,19.0,-19.0,0.586,0.571,0.214,0.357,2.8,14.3,7.8,12.1,0.0,2.5,15.6,22.2,105.0,131.0,-4.3,"clint capela,john collins,trae young,bogdan bogdanovic,kevin huerter,danilo gallinari,cam reddish,delon wright,timothe luwawu-cabarrot,skylar mays,sharife cooper,jalen johnson","cole anthony,wendell carter jr.,mo bamba,gary harris,terrence ross,chuma okeke,r.j. hampton,moritz wagner,mychal mulder"
2021-11-17,33.9,0,6.0,11.0,0.545,1.0,2.0,0.5,3.0,3.0,1.0,3.0,6.0,9.0,1.0,0.0,0.0,2.0,4.0,16.0,8.0,0.649,0.591,0.182,0.273,8.8,17.7,13.3,4.6,0.0,0.0,14.0,17.5,123.0,104.0,-0.9,"rj barrett,julius randle,mitchell robinson,kemba walker,evan fournier,alec burks,immanuel quickley,derrick rose,obi toppin,taj gibson","cole anthony,mo bamba,jalen suggs,wendell carter jr.,terrence ross,gary harris,chuma okeke,r.j. hampton,moritz wagner"
2021-11-19,28.72,0,5.0,13.0,0.385,2.0,6.0,0.333,5.0,6.0,0.833,1.0,1.0,2.0,5.0,1.0,1.0,1.0,6.0,17.0,-5.0,0.543,0.462,0.462,0.462,4.2,3.5,3.8,26.4,1.7,2.9,6.0,24.6,124.0,122.0,0.8,"deandre' bembry,james harden,patty mills,blake griffin,bruce brown,james johnson,jevon carter,cam thomas","mo bamba,cole anthony,jalen suggs,wendell carter jr.,terrence ross,chuma okeke,gary harris,r.j. hampton,moritz wagner"
2021-11-20,20.7,0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,-20.0,0.375,0.375,0.5,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,8.1,93.0,123.0,-7.5,"bobby portis,giannis antetokounmpo,khris middleton,jrue holiday,grayson allen,pat connaughton,george hill,thanasis antetokounmpo,justin robinson","jalen suggs,mo bamba,gary harris,wendell carter jr.,r.j. hampton,chuma okeke,terrence ross,robin lopez,mychal mulder,ignas brazdeikis,moritz wagner"
2021-11-22,23.7,0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,-38.0,0.0,0.0,0.333,0.0,7.1,9.0,7.9,6.0,0.0,0.0,10.0,17.5,18.0,130.0,-22.1,"giannis antetokounmpo,jrue holiday,bobby portis,khris middleton,grayson allen,jordan nwora,pat connaughton,george hill,justin robinson,thanasis antetokounmpo","wendell carter jr.,mychal mulder,mo bamba,jalen suggs,r.j. hampton,chuma okeke,moritz wagner,terrence ross,robin lopez,ignas brazdeikis"
2021-11-24,32.6,1,7.0,12.0,0.583,2.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0,7.0,4.0,0.0,0.0,0.0,2.0,16.0,2.0,0.667,0.667,0.167,0.0,6.3,13.9,10.3,21.3,0.0,0.0,0.0,15.9,146.0,111.0,5.8,"miles bridges,terry rozier,lamelo ball,gordon hayward,mason plumlee,kelly oubre jr.,cody martin,jalen mcdaniels,nick richards,p.j. washington","gary harris,wendell carter jr.,mo bamba,jalen suggs,mychal mulder,r.j. hampton,chuma okeke,moritz wagner"
2021-11-26,29.42,1,6.0,14.0,0.429,0.0,3.0,0.0,3.0,4.0,0.75,0.0,5.0,5.0,4.0,0.0,1.0,2.0,1.0,15.0,-4.0,0.476,0.429,0.214,0.286,0.0,22.1,9.8,32.3,0.0,3.1,11.3,27.3,90.0,126.0,-3.1,"lonzo ball,nikola vucevic,zach lavine,demar derozan,javonte green,alex caruso,coby white,ayo dosunmu,derrick jones jr.,troy brown jr.,devon dotson,tony bradley,alize johnson","wendell carter jr.,gary harris,jalen suggs,mo bamba,chuma okeke,r.j. hampton,terrence ross,moritz wagner,mychal mulder,ignas brazdeikis"
2021-11-27,34.28,0,4.0,13.0,0.308,1.0,3.0,0.333,3.0,4.0,0.75,3.0,5.0,8.0,4.0,1.0,1.0,0.0,2.0,12.0,1.0,0.407,0.346,0.231,0.308,8.6,15.6,11.9,19.0,1.5,2.7,0.0,19.5,102.0,111.0,-0.8,"darius garland,jarrett allen,evan mobley,lauri markkanen,isaac okoro,ricky rubio,cedi osman,kevin love,lamar stevens","gary harris,wendell carter jr.,robin lopez,jalen suggs,r.j. hampton,chuma okeke,moritz wagner,mychal mulder,terrence ross"
2021-11-29,38.28,0,11.0,24.0,0.458,1.0,5.0,0.2,4.0,6.0,0.667,0.0,6.0,6.0,5.0,1.0,0.0,2.0,1.0,27.0,4.0,0.507,0.479,0.208,0.25,0.0,12.8,6.8,27.0,1.2,0.0,7.0,32.7,100.0,103.0,3.3,"tobias harris,seth curry,tyrese maxey,joel embiid,danny green,matisse thybulle,shake milton,andre drummond,furkan korkmaz,georges niang","mo bamba,wendell carter jr.,gary harris,jalen suggs,chuma okeke,terrence ross,r.j. hampton,ignas brazdeikis"
2021-12-01,32.98,1,6.0,9.0,0.667,1.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,3.0,5.0,3.0,1.0,3.0,2.0,15.0,8.0,0.759,0.722,0.111,0.222,0.0,11.2,5.9,20.6,4.3,3.2,23.3,18.5,119.0,96.0,6.4,"aaron gordon,nikola jokic,monte morris,will barton,jeff green,facundo campazzo,zeke nnaji,jamychal green","cole anthony,gary harris,wendell carter jr.,mo bamba,terrence ross,chuma okeke,moritz wagner,r.j. hampton,mychal mulder"
2021-12-03,33.47,0,6.0,14.0,0.429,2.0,4.0,0.5,3.0,3.0,1.0,2.0,3.0,5.0,5.0,2.0,0.0,2.0,5.0,17.0,-1.0,0.555,0.5,0.286,0.214,7.5,10.2,9.0,21.5,2.9,0.0,11.5,21.9,119.0,117.0,-0.2,"christian wood,eric gordon,garrison mathews,jae'sean tate,kevin porter jr.,danuel house jr.,armoni brooks,alperen sengun,kenyon martin jr.,josh christopher","cole anthony,wendell carter jr.,gary harris,mo bamba,terrence ross,chuma okeke,r.j. hampton,moritz wagner,mychal mulder"
2021-12-06,30.5,0,7.0,13.0,0.538,1.0,3.0,0.333,0.0,0.0,0.0,3.0,1.0,4.0,6.0,3.0,0.0,1.0,0.0,15.0,-16.0,0.577,0.577,0.231,0.0,11.5,3.9,7.8,43.0,4.6,0.0,7.1,20.5,126.0,119.0,8.9,"jordan poole,stephen curry,andrew wiggins,draymond green,kevon looney,damion lee,otto porter jr.,gary payton ii,juan toscano-anderson,jonathan kuminga,jeff dowtin,moses moody","wendell carter jr.,gary harris,cole anthony,mo bamba,chuma okeke,r.j. hampton,terrence ross,moritz wagner,mychal mulder,ignas brazdeikis"
2021-12-08,32.9,0,5.0,10.0,0.5,2.0,2.0,1.0,7.0,7.0,1.0,0.0,6.0,6.0,4.0,1.0,0.0,1.0,2.0,19.0,-6.0,0.726,0.6,0.2,0.7,0.0,23.0,10.2,14.3,1.5,0.0,7.1,17.2,155.0,139.0,1.4,"tyrese haliburton,de'aaron fox,harrison barnes,terence davis,richaun holmes,davion mitchell,tristan thompson,marvin bagley iii,buddy hield,alex len","wendell carter jr.,cole anthony,gary harris,mo bamba,terrence ross,robin lopez,chuma okeke,r.j. hampton,moritz wagner"
2021-12-11,33.52,0,8.0,10.0,0.8,2.0,2.0,1.0,2.0,3.0,0.667,1.0,2.0,3.0,3.0,0.0,1.0,2.0,3.0,20.0,3.0,0.883,0.9,0.2,0.3,3.3,6.1,4.8,18.2,0.0,2.6,15.0,18.8,148.0,125.0,5.5,"luke kennard,terance mann,reggie jackson,ivica zubac,marcus morris,brandon boston jr.,isaiah hartenstein,justise winslow","cole anthony,gary harris,wendell carter jr.,mo bamba,terrence ross,moritz wagner,chuma okeke,r.j. hampton"
2021-12-12,39.18,0,8.0,18.0,0.444,2.0,5.0,0.4,2.0,4.0,0.5,0.0,7.0,7.0,2.0,0.0,0.0,4.0,3.0,20.0,-15.0,0.506,0.5,0.278,0.222,0.0,22.0,9.4,10.6,0.0,0.0,16.8,25.5,89.0,113.0,-6.3,"lebron james,russell westbrook,talen horton-tucker,austin reaves,malik monk,deandre jordan","cole anthony,gary harris,wendell carter jr.,mo bamba,terrence ross,chuma okeke,robin lopez,r.j. hampton"
2021-12-15,34.32,1,5.0,14.0,0.357,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,2.0,1.0,0.0,2.0,4.0,10.0,-17.0,0.357,0.357,0.214,0.0,6.1,14.0,9.8,10.0,1.4,0.0,12.5,19.4,76.0,113.0,-9.6,"john collins,trae young,clint capela,kevin huerter,timothe luwawu-cabarrot,cam reddish,delon wright,danilo gallinari,gorgui dieng,sharife cooper","cole anthony,chuma okeke,wendell carter jr.,r.j. hampton,terrence ross,moritz wagner,mychal mulder,ignas brazdeikis,robin lopez"
2021-12-17,36.08,1,11.0,23.0,0.478,0.0,3.0,0.0,5.0,6.0,0.833,2.0,4.0,6.0,4.0,1.0,0.0,1.0,0.0,27.0,-3.0,0.527,0.478,0.13,0.261,6.5,13.0,9.7,18.8,1.5,0.0,3.8,33.9,115.0,129.0,-1.1,"gabe vincent,kyle lowry,p.j. tucker,dewayne dedmon,duncan robinson,max strus,omer yurtseven,kz okpala,marcus garrett","chuma okeke,gary harris,robin lopez,wendell carter jr.,hassani gravett,mychal mulder,admiral schofield,aleem ford"
2021-12-18,28.48,0,4.0,14.0,0.286,0.0,2.0,0.0,6.0,6.0,1.0,0.0,11.0,11.0,6.0,1.0,0.0,2.0,2.0,14.0,8.0,0.421,0.286,0.143,0.429,0.0,34.3,18.4,31.3,1.7,0.0,10.7,27.1,97.0,84.0,-0.9,"patty mills,kessler edwards,cam thomas,david duke jr.,blake griffin,langston galloway,shaquille harrison","robin lopez,gary harris,chuma okeke,mychal mulder,hassani gravett,aleem ford,admiral schofield"
2021-12-22,36.12,0,10.0,24.0,0.417,1.0,6.0,0.167,4.0,5.0,0.8,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,25.0,1.0,0.477,0.438,0.25,0.208,3.0,8.9,6.0,5.4,1.4,5.4,7.1,35.7,91.0,109.0,-5.3,"cam reddish,john collins,delon wright,gorgui dieng,skylar mays,bogdan bogdanovic,onyeka okongwu,sharife cooper,jalen johnson","robin lopez,gary harris,chuma okeke,hassani gravett,aleem ford,admiral schofield"
2021-12-23,34.27,1,7.0,16.0,0.438,1.0,4.0,0.25,5.0,6.0,0.833,2.0,3.0,5.0,1.0,0.0,2.0,1.0,3.0,20.0,-2.0,0.536,0.469,0.25,0.375,6.4,9.1,7.8,5.0,0.0,5.0,5.1,26.1,113.0,123.0,-2.5,"josh hart,brandon ingram,devonte' graham,willy hernangomez,herbert jones,garrett temple,jaxson hayes,trey murphy iii,gary clark","cole anthony,gary harris,wendell carter jr.,chuma okeke,admiral schofield,hassani gravett,aleem ford,robin lopez"
2021-12-26,31.6,0,4.0,11.0,0.364,1.0,1.0,1.0,4.0,5.0,0.8,1.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,13.0,-7.0,0.492,0.409,0.091,0.455,3.9,2.8,3.2,6.1,3.4,0.0,18.5,25.2,87.0,107.0,-4.2,"max strus,jimmy butler,gabe vincent,omer yurtseven,duncan robinson,caleb martin,tyler herro,marcus garrett,udonis haslem","gary harris,hassani gravett,admiral schofield,wendell carter jr.,r.j. hampton,aleem ford,robin lopez"
2021-12-28,38.28,1,12.0,20.0,0.6,4.0,8.0,0.5,10.0,10.0,1.0,1.0,6.0,7.0,3.0,1.0,1.0,2.0,2.0,38.0,4.0,0.779,0.7,0.4,0.5,3.1,20.3,11.4,16.4,1.3,2.6,7.6,30.8,146.0,129.0,12.1,"jrue holiday,khris middleton,giannis antetokounmpo,bobby portis,grayson allen,george hill,pat connaughton,demarcus cousins,donte divincenzo,wesley matthews,thanasis antetokounmpo","gary harris,wendell carter jr.,robin lopez,hassani gravett,r.j. hampton,admiral schofield,moritz wagner,ignas brazdeikis"
2021-12-30,34.07,1,6.0,12.0,0.5,2.0,3.0,0.667,6.0,6.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,3.0,1.0,20.0,-5.0,0.683,0.583,0.25,0.5,0.0,10.3,5.1,4.2,0.0,0.0,17.0,22.8,112.0,138.0,-5.3,"jrue holiday,khris middleton,giannis antetokounmpo,bobby portis,grayson allen,wesley matthews,pat connaughton,donte divincenzo,demarcus cousins,george hill","wendell carter jr.,gary harris,r.j. hampton,moritz wagner,ignas brazdeikis,admiral schofield"
2022-01-02,34.32,0,5.0,14.0,0.357,0.0,1.0,0.0,4.0,6.0,0.667,1.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,14.0,-16.0,0.421,0.357,0.071,0.429,3.3,7.0,5.1,9.6,1.4,3.1,15.3,25.1,82.0,111.0,-7.5,"jaylen brown,marcus smart,dennis schroder,grant williams,al horford,josh richardson,payton pritchard,sam hauser,bruno fernando","gary harris,wendell carter jr.,mo bamba,terrence ross,admiral schofield,hassani gravett,r.j. hampton,ignas brazdeikis,moritz wagner"
2022-01-03,28.33,0,8.0,13.0,0.615,1.0,2.0,0.5,5.0,5.0,1.0,1.0,4.0,5.0,3.0,1.0,0.0,1.0,3.0,22.0,8.0,0.724,0.654,0.154,0.385,3.9,13.8,9.1,22.6,1.7,0.0,6.2,25.9,138.0,103.0,9.4,"demar derozan,nikola vucevic,zach lavine,lonzo ball,derrick jones jr.,coby white,troy brown jr.,ayo dosunmu,alfonzo mckinnie","wendell carter jr.,gary harris,mo bamba,r.j. hampton,terrence ross,admiral schofield,hassani gravett"
