date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,20.18,1,4.0,9.0,0.444,3.0,6.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,11.0,14.0,0.611,0.611,0.667,0.0,0.0,5.7,2.7,0.0,2.2,8.2,18.2,22.5,93.0,97.0,3.8,"russell westbrook,bradley beal,deni avdija,thomas bryant,ish smith,troy brown jr.,davis bertans,robin lopez,raul neto,moritz wagner","joel embiid,ben simmons,seth curry,tobias harris,danny green,shake milton,tyrese maxey,matisse thybulle"
2020-12-26,18.0,0,1.0,7.0,0.143,1.0,5.0,0.2,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,3.0,1.0,3.0,-4.0,0.214,0.214,0.714,0.0,0.0,16.7,8.9,7.0,0.0,0.0,30.0,24.3,39.0,100.0,-19.6,"rj barrett,julius randle,reggie bullock,mitchell robinson,elfrid payton,alec burks,kevin knox,dennis smith jr.,nerlens noel,frank ntilikina,theo pinson","ben simmons,joel embiid,tobias harris,seth curry,danny green,shake milton,tyrese maxey,matisse thybulle"
2020-12-27,16.67,0,1.0,8.0,0.125,0.0,5.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,4.0,-23.0,0.225,0.125,0.625,0.25,0.0,13.7,6.9,19.1,2.9,0.0,10.1,25.9,56.0,116.0,-13.6,"larry nance jr.,collin sexton,darius garland,andre drummond,kevin love,cedi osman,javale mcgee,dean wade,marques bolden,lamar stevens","ben simmons,tobias harris,seth curry,danny green,shake milton,tyrese maxey,tony bradley,matisse thybulle,dakota mathias,isaiah joe"
2021-01-20,19.63,1,2.0,5.0,0.4,1.0,3.0,0.333,2.0,3.0,0.667,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,-9.0,0.554,0.5,0.6,0.6,0.0,6.1,2.8,0.0,2.5,0.0,0.0,14.5,117.0,115.0,-2.9,"marcus smart,jaylen brown,kemba walker,tristan thompson,grant williams,javonte green,daniel theis,payton pritchard","tobias harris,ben simmons,joel embiid,danny green,tyrese maxey,shake milton,matisse thybulle"
2021-01-22,17.7,1,2.0,9.0,0.222,2.0,7.0,0.286,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,6.0,0.0,0.333,0.333,0.778,0.0,0.0,6.0,3.5,13.7,0.0,0.0,10.0,24.5,82.0,122.0,-12.5,"marcus smart,jaylen brown,kemba walker,tristan thompson,grant williams,daniel theis,javonte green,robert williams,payton pritchard","tobias harris,ben simmons,joel embiid,seth curry,danny green,matisse thybulle,shake milton,tyrese maxey"
2021-01-23,13.07,0,2.0,3.0,0.667,2.0,3.0,0.667,2.0,2.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,8.0,-5.0,1.031,1.0,1.0,0.667,0.0,32.7,16.0,0.0,0.0,0.0,0.0,12.4,212.0,110.0,11.0,"delon wright,jerami grant,mason plumlee,saddiq bey,josh jackson,isaiah stewart,sekou doumbouya,svi mykhailiuk,saben lee,jahlil okafor","joel embiid,ben simmons,tobias harris,danny green,seth curry,shake milton,matisse thybulle,tyrese maxey"
2021-01-25,14.28,0,3.0,8.0,0.375,1.0,4.0,0.25,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,7.0,1.0,0.438,0.438,0.5,0.0,6.9,29.7,16.2,11.2,3.6,0.0,0.0,24.0,106.0,122.0,1.3,"delon wright,jerami grant,mason plumlee,blake griffin,josh jackson,isaiah stewart,sekou doumbouya,saben lee,saddiq bey,svi mykhailiuk,rodney mcgruder","tobias harris,seth curry,danny green,ben simmons,tony bradley,shake milton,tyrese maxey,matisse thybulle,isaiah joe,paul reed"
2021-01-27,10.62,1,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,4.0,0.8,0.8,0.6,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,21.0,145.0,107.0,13.9,"lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,wesley matthews,alex caruso,kyle kuzma,montrezl harrell,markieff morris,talen horton-tucker","ben simmons,joel embiid,tobias harris,danny green,seth curry,shake milton,matisse thybulle,tyrese maxey"
2021-01-29,28.03,0,3.0,6.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,8.0,9.0,0.667,0.667,0.667,0.0,3.7,8.0,5.8,0.0,3.4,0.0,0.0,9.0,141.0,94.0,2.7,"malik beasley,anthony edwards,d'angelo russell,josh okogie,jaden mcdaniels,jarred vanderbilt,jaylen nowell,jake layman,ricky rubio,jordan mclaughlin","tobias harris,joel embiid,ben simmons,seth curry,danny green,matisse thybulle,shake milton,tyrese maxey,isaiah joe,tony bradley"
2021-01-31,22.95,0,6.0,12.0,0.5,3.0,5.0,0.6,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,17.0,26.0,0.66,0.625,0.417,0.167,0.0,16.1,7.4,12.9,0.0,0.0,7.2,24.7,133.0,116.0,3.6,"malcolm brogdon,domantas sabonis,justin holiday,jeremy lamb,myles turner,t.j. mcconnell,doug mcdermott,aaron holiday,goga bitadze,edmond sumner","ben simmons,tobias harris,seth curry,danny green,tony bradley,matisse thybulle,shake milton,tyrese maxey"
2021-02-03,16.08,0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,-1.0,0.667,0.667,0.333,0.0,0.0,7.5,3.9,0.0,3.0,0.0,40.0,13.4,70.0,114.0,-5.4,"devonte' graham,lamelo ball,gordon hayward,miles bridges,cody zeller,malik monk,caleb martin,bismack biyombo,cody martin","tobias harris,ben simmons,joel embiid,danny green,seth curry,matisse thybulle,shake milton,tyrese maxey"
2021-02-04,37.83,1,5.0,14.0,0.357,1.0,7.0,0.143,2.0,2.0,1.0,1.0,4.0,5.0,2.0,2.0,0.0,2.0,1.0,13.0,-3.0,0.437,0.393,0.5,0.143,3.0,10.6,7.0,7.8,2.6,0.0,11.8,19.5,87.0,123.0,-5.7,"gary trent jr.,robert covington,cj elleby,anfernee simons","joel embiid,tobias harris,danny green,seth curry,matisse thybulle,shake milton,tyrese maxey,isaiah joe,tony bradley"
2021-02-06,22.97,1,5.0,11.0,0.455,3.0,6.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,13.0,16.0,0.591,0.591,0.545,0.0,5.4,9.1,7.4,5.6,0.0,0.0,0.0,19.4,135.0,114.0,-0.8,"timothe luwawu-cabarrot,james harden,jeff green,deandre jordan,joe harris,landry shamet,bruce brown,norvel pelle,chris chiozza","ben simmons,tobias harris,joel embiid,seth curry,danny green,shake milton,matisse thybulle,tyrese maxey,isaiah joe"
2021-02-09,17.05,0,5.0,7.0,0.714,2.0,3.0,0.667,1.0,2.0,0.5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,13.0,6.0,0.825,0.857,0.429,0.286,0.0,15.4,8.6,0.0,0.0,0.0,0.0,18.9,158.0,108.0,7.7,"de'aaron fox,buddy hield,harrison barnes,marvin bagley iii,richaun holmes,tyrese haliburton,cory joseph,kyle guy","tobias harris,joel embiid,ben simmons,seth curry,danny green,matisse thybulle,shake milton"
