date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-30,15.18,1,2.0,6.0,0.333,2.0,5.0,0.4,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,7.0,10.0,0.543,0.5,0.833,0.167,0.0,10.9,6.4,18.8,0.0,0.0,0.0,17.4,128.0,110.0,-2.0,"giannis antetokounmpo,khris middleton,jrue holiday,donte divincenzo,brook lopez,bobby portis,pat connaughton,bryn forbes,thanasis antetokounmpo","tyler herro,bam adebayo,duncan robinson,andre iguodala,kelly olynyk,goran dragic,precious achiuwa,kendrick nunn,maurice harkless"
2021-01-12,36.4,0,9.0,20.0,0.45,4.0,12.0,0.333,2.0,3.0,0.667,0.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,24.0,9.0,0.563,0.55,0.6,0.15,0.0,6.1,3.0,12.5,2.6,0.0,8.6,25.6,112.0,122.0,-1.4,"danny green,joel embiid,tyrese maxey,ben simmons,isaiah joe,dakota mathias","duncan robinson,kelly olynyk,tyler herro,precious achiuwa,max strus,andre iguodala,chris silva"
2021-01-14,34.58,0,6.0,17.0,0.353,4.0,11.0,0.364,5.0,6.0,0.833,0.0,2.0,2.0,8.0,0.0,0.0,5.0,3.0,21.0,-9.0,0.535,0.471,0.647,0.353,0.0,7.5,3.7,35.1,0.0,0.0,20.3,30.4,100.0,125.0,-4.6,"ben simmons,tobias harris,tyrese maxey,danny green,joel embiid,shake milton,isaiah joe,matisse thybulle,dakota mathias,paul reed,tony bradley","kelly olynyk,duncan robinson,tyler herro,precious achiuwa,max strus,andre iguodala,chris silva"
2021-01-16,15.62,1,2.0,9.0,0.222,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,6.0,4.0,-11.0,0.222,0.222,0.444,0.0,0.0,17.1,8.8,0.0,3.3,0.0,10.0,30.5,40.0,120.0,-29.4,"jerami grant,blake griffin,mason plumlee,delon wright,josh jackson,derrick rose,isaiah stewart,sekou doumbouya,saddiq bey,svi mykhailiuk,saben lee,deividas sirvydis","duncan robinson,bam adebayo,kz okpala,kelly olynyk,goran dragic,kendrick nunn,andre iguodala,precious achiuwa,max strus,chris silva"
2021-01-18,9.12,1,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,0.5,0.5,0.667,0.0,0.0,12.8,7.7,14.0,0.0,0.0,0.0,15.6,117.0,119.0,-2.6,"blake griffin,mason plumlee,jerami grant,delon wright,derrick rose,josh jackson,svi mykhailiuk,isaiah stewart,sekou doumbouya,saddiq bey","duncan robinson,bam adebayo,goran dragic,kelly olynyk,kz okpala,kendrick nunn,maurice harkless,andre iguodala,precious achiuwa"
2021-01-20,28.05,0,1.0,8.0,0.125,1.0,8.0,0.125,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,6.0,0.188,0.188,1.0,0.0,0.0,3.4,2.0,9.2,0.0,0.0,0.0,13.0,60.0,117.0,-14.0,"og anunoby,fred vanvleet,pascal siakam,kyle lowry,terence davis,chris boucher,norman powell,stanley johnson","duncan robinson,bam adebayo,goran dragic,kelly olynyk,kendrick nunn,andre iguodala,precious achiuwa,max strus"
2021-01-22,23.57,0,4.0,10.0,0.4,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,4.0,0.0,8.0,-9.0,0.4,0.4,0.5,0.0,0.0,10.2,5.3,0.0,2.2,4.6,28.6,28.4,53.0,109.0,-12.6,"fred vanvleet,og anunoby,pascal siakam,norman powell,chris boucher,terence davis,malachi flynn,stanley johnson,yuta watanabe,deandre' bembry,jalen harris","duncan robinson,bam adebayo,goran dragic,kelly olynyk,kendrick nunn,andre iguodala,max strus,precious achiuwa,maurice harkless,kz okpala"
2021-01-23,19.67,0,1.0,5.0,0.2,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.2,0.2,0.8,0.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,11.0,68.0,131.0,-12.3,"james harden,kevin durant,joe harris,kyrie irving,deandre jordan,jeff green,bruce brown,timothe luwawu-cabarrot,reggie perry","duncan robinson,bam adebayo,goran dragic,kelly olynyk,maurice harkless,kendrick nunn,andre iguodala,precious achiuwa,kz okpala"
2021-01-25,18.58,0,2.0,6.0,0.333,0.0,3.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,6.0,-2.0,0.436,0.333,0.5,0.333,5.1,12.0,8.2,10.0,0.0,0.0,0.0,17.2,102.0,110.0,-4.6,"kyrie irving,kevin durant,joe harris,james harden,deandre jordan,jeff green,bruce brown,timothe luwawu-cabarrot,reggie perry","duncan robinson,bam adebayo,goran dragic,kz okpala,kelly olynyk,kendrick nunn,andre iguodala,precious achiuwa,max strus"
2021-01-27,12.48,1,1.0,4.0,0.25,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,-12.0,0.338,0.25,0.75,0.25,0.0,0.0,0.0,14.7,0.0,0.0,31.1,24.6,54.0,125.0,-17.7,"jamal murray,gary harris,nikola jokic,will barton,michael porter jr.,jamychal green,monte morris,facundo campazzo,r.j. hampton,zeke nnaji,bol bol,vlatko cancar","kendrick nunn,duncan robinson,bam adebayo,kz okpala,kelly olynyk,precious achiuwa,max strus,andre iguodala"
