date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,26.13,1,4.0,12.0,0.333,3.0,5.0,0.6,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,11.0,-10.0,0.458,0.458,0.417,0.0,0.0,8.0,3.7,18.6,3.7,0.0,0.0,20.9,96.0,120.0,3.3,"bojan bogdanovic,donovan mitchell,mike conley,rudy gobert,royce o'neale,joe ingles,jordan clarkson,derrick favors,georges niang,miye oni,udoka azubuike,elijah hughes,juwan morgan,shaquille harrison","cj mccollum,damian lillard,derrick jones jr.,jusuf nurkic,robert covington,cj elleby"
2020-12-26,5.92,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.0,0.0,0.0,1.0,0.0,0.0,20.4,10.3,0.0,0.0,0.0,0.0,7.2,0.0,122.0,-18.6,"christian wood,james harden,p.j. tucker,danuel house jr.,david nwaba,jae'sean tate,sterling brown,brodric thomas,bruno caboclo","cj mccollum,damian lillard,robert covington,derrick jones jr.,jusuf nurkic,anfernee simons"
2020-12-28,23.72,0,10.0,14.0,0.714,7.0,11.0,0.636,1.0,2.0,0.5,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,28.0,15.0,0.941,0.964,0.786,0.143,0.0,13.8,7.1,8.9,0.0,0.0,0.0,28.0,168.0,113.0,21.3,"anthony davis,dennis schroder,lebron james,kentavious caldwell-pope,montrezl harrell,kyle kuzma,wesley matthews,talen horton-tucker,markieff morris","robert covington,cj mccollum,derrick jones jr.,damian lillard,jusuf nurkic,anfernee simons"
2021-01-03,31.55,0,3.0,11.0,0.273,1.0,6.0,0.167,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0,-9.0,0.318,0.318,0.545,0.0,0.0,7.8,3.3,4.2,0.0,0.0,0.0,13.4,74.0,133.0,-9.1,"stephen curry,andrew wiggins,kelly oubre jr.,draymond green,james wiseman,kent bazemore,kevon looney,damion lee,eric paschall,juan toscano-anderson,mychal mulder","damian lillard,cj mccollum,robert covington,jusuf nurkic,derrick jones jr.,anfernee simons"
2021-01-05,18.6,1,5.0,10.0,0.5,2.0,5.0,0.4,1.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,13.0,-2.0,0.597,0.6,0.5,0.2,5.1,0.0,2.6,0.0,0.0,0.0,8.4,27.3,106.0,120.0,-1.8,"zach lavine,coby white,otto porter jr.,wendell carter jr.,patrick williams,garrett temple,thaddeus young,denzel valentine,daniel gafford","damian lillard,robert covington,cj mccollum,derrick jones jr.,jusuf nurkic,anfernee simons"
2021-01-07,27.4,1,2.0,7.0,0.286,2.0,5.0,0.4,3.0,4.0,0.75,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,9.0,6.0,0.514,0.429,0.714,0.571,0.0,3.3,1.9,0.0,0.0,0.0,18.6,16.4,84.0,120.0,-12.0,"d'angelo russell,malik beasley,juancho hernangomez,jarrett culver,anthony edwards,ricky rubio,jarred vanderbilt,naz reid,jake layman,jaden mcdaniels,jaylen nowell","damian lillard,cj mccollum,robert covington,jusuf nurkic,derrick jones jr.,anfernee simons,nassir little,cj elleby"
2021-01-09,30.52,0,4.0,9.0,0.444,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,10.0,2.0,0.556,0.556,0.444,0.0,0.0,6.7,3.2,4.2,0.0,0.0,10.0,13.3,99.0,102.0,-6.5,"harrison barnes,tyrese haliburton,buddy hield,de'aaron fox,marvin bagley iii,cory joseph,justin james,chimezie metu,jahmi'us ramsey,robert woodard ii","damian lillard,cj mccollum,robert covington,jusuf nurkic,derrick jones jr.,anfernee simons,cj elleby,nassir little"
2021-01-11,29.73,1,2.0,7.0,0.286,1.0,5.0,0.2,3.0,4.0,0.75,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,12.0,0.457,0.357,0.714,0.571,0.0,7.9,3.8,4.6,0.0,3.8,0.0,13.2,103.0,119.0,-5.5,"pascal siakam,fred vanvleet,og anunoby,kyle lowry,alex len,chris boucher,stanley johnson,norman powell,terence davis","damian lillard,cj mccollum,robert covington,derrick jones jr.,jusuf nurkic"
2021-01-13,23.45,0,6.0,8.0,0.75,4.0,5.0,0.8,0.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,1.0,16.0,12.0,1.0,1.0,0.625,0.0,4.4,0.0,2.6,25.8,4.2,0.0,0.0,14.9,205.0,130.0,17.8,"buddy hield,de'aaron fox,harrison barnes,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph,chimezie metu","cj mccollum,damian lillard,robert covington,jusuf nurkic,derrick jones jr."
2021-01-14,24.53,1,3.0,9.0,0.333,1.0,6.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,-24.0,0.389,0.389,0.667,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,16.1,91.0,127.0,-8.3,"domantas sabonis,myles turner,malcolm brogdon,justin holiday,edmond sumner,doug mcdermott,t.j. mcconnell,aaron holiday,kelan martin,cassius stanley","damian lillard,cj mccollum,robert covington,derrick jones jr.,jusuf nurkic,anfernee simons,cj elleby,nassir little"
