date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-26,24.05,0,8.0,9.0,0.889,4.0,4.0,1.0,1.0,2.0,0.5,1.0,3.0,4.0,3.0,1.0,0.0,1.0,2.0,21.0,10.0,1.063,1.111,0.444,0.222,4.6,10.3,7.9,24.9,1.9,0.0,9.2,19.0,179.0,106.0,17.4,"gordon hayward,devonte' graham,terry rozier,bismack biyombo,p.j. washington,miles bridges,cody martin,caleb martin,lamelo ball,jalen mcdaniels","luguentz dort,shai gilgeous-alexander,darius bazley,al horford,theo maledon,hamidou diallo,mike muscala,kenrich williams,aleksej pokusevski"
2020-12-28,25.07,1,5.0,13.0,0.385,0.0,4.0,0.0,4.0,5.0,0.8,3.0,2.0,5.0,4.0,1.0,0.0,0.0,0.0,14.0,6.0,0.461,0.385,0.308,0.385,13.7,10.1,12.0,25.2,1.9,0.0,0.0,26.6,117.0,114.0,2.5,"rudy gobert,donovan mitchell,bojan bogdanovic,royce o'neale,mike conley,jordan clarkson,joe ingles,derrick favors,georges niang,miye oni","shai gilgeous-alexander,darius bazley,luguentz dort,al horford,hamidou diallo,theo maledon,mike muscala,aleksej pokusevski,kenrich williams"
2020-12-31,24.22,1,3.0,7.0,0.429,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,8.0,-7.0,0.571,0.571,0.714,0.0,0.0,0.0,0.0,33.0,0.0,0.0,22.2,16.9,96.0,125.0,-5.2,"lonzo ball,steven adams,brandon ingram,zion williamson,josh hart,nickeil alexander-walker,jaxson hayes,kira lewis jr.","shai gilgeous-alexander,darius bazley,al horford,luguentz dort,theo maledon,aleksej pokusevski,isaiah roby,hamidou diallo,mike muscala,josh hall,kenrich williams,moses brown"
2021-01-02,27.55,0,7.0,12.0,0.583,3.0,7.0,0.429,1.0,1.0,1.0,0.0,1.0,1.0,5.0,2.0,0.0,1.0,0.0,18.0,-2.0,0.723,0.708,0.583,0.083,0.0,2.9,1.6,33.8,3.5,0.0,7.4,22.3,137.0,102.0,10.8,"nikola vucevic,markelle fultz,michael carter-williams,aaron gordon,terrence ross,gary clark,cole anthony,khem birch","shai gilgeous-alexander,darius bazley,luguentz dort,al horford,mike muscala,theo maledon,hamidou diallo,kenrich williams,aleksej pokusevski"
2021-01-04,21.23,0,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,-5.0,0.3,0.3,0.6,0.0,0.0,0.0,0.0,16.9,0.0,4.8,0.0,10.7,76.0,122.0,-7.5,"duncan robinson,tyler herro,bam adebayo,kelly olynyk,jimmy butler,goran dragic,precious achiuwa,andre iguodala,kendrick nunn,kz okpala,maurice harkless,chris silva","shai gilgeous-alexander,darius bazley,luguentz dort,al horford,isaiah roby,justin jackson,theo maledon,hamidou diallo,mike muscala,kenrich williams,josh hall,moses brown"
2021-01-06,27.2,0,4.0,9.0,0.444,3.0,7.0,0.429,2.0,2.0,1.0,1.0,2.0,3.0,4.0,2.0,0.0,1.0,1.0,13.0,4.0,0.658,0.611,0.778,0.222,3.8,8.2,5.9,21.4,3.4,0.0,9.2,17.8,129.0,106.0,4.8,"brandon ingram,lonzo ball,steven adams,zion williamson,josh hart,nickeil alexander-walker,jaxson hayes","shai gilgeous-alexander,darius bazley,luguentz dort,al horford,mike muscala,hamidou diallo,theo maledon,kenrich williams,isaiah roby"
2021-01-08,28.47,0,1.0,4.0,0.25,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,4.0,4.0,-2.0,0.41,0.25,0.5,0.5,3.4,2.7,3.0,13.9,0.0,2.4,17.0,9.2,100.0,99.0,-6.0,"rj barrett,julius randle,elfrid payton,mitchell robinson,reggie bullock,austin rivers,kevin knox,immanuel quickley,nerlens noel","shai gilgeous-alexander,luguentz dort,al horford,darius bazley,hamidou diallo,theo maledon,aleksej pokusevski,mike muscala,kenrich williams,isaiah roby"
2021-01-10,28.08,0,6.0,12.0,0.5,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,14.0,-5.0,0.583,0.583,0.5,0.0,0.0,0.0,0.0,13.2,3.3,0.0,7.7,20.7,111.0,113.0,-1.4,"kevin durant,caris levert,jarrett allen,joe harris,jeff green,taurean prince,timothe luwawu-cabarrot,landry shamet,deandre jordan,bruce brown","shai gilgeous-alexander,darius bazley,al horford,luguentz dort,hamidou diallo,isaiah roby,theo maledon,aleksej pokusevski,kenrich williams,moses brown"
2021-01-12,28.02,1,3.0,4.0,0.75,0.0,1.0,0.0,6.0,6.0,1.0,0.0,5.0,5.0,5.0,0.0,0.0,2.0,2.0,12.0,8.0,0.904,0.75,0.25,1.5,0.0,16.5,8.7,27.8,0.0,0.0,23.1,13.6,150.0,114.0,2.0,"keldon johnson,lonnie walker iv,dejounte murray,trey lyles,patty mills,devin vassell,rudy gay,jakob poeltl","shai gilgeous-alexander,darius bazley,al horford,luguentz dort,hamidou diallo,mike muscala,aleksej pokusevski,theo maledon,isaiah roby,justin jackson,kenrich williams"
2021-01-13,21.58,1,4.0,8.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,10.0,-21.0,0.563,0.5,0.125,0.25,0.0,9.9,4.8,15.8,4.6,0.0,0.0,18.7,122.0,126.0,1.6,"dennis schroder,lebron james,anthony davis,kentavious caldwell-pope,montrezl harrell,markieff morris,alex caruso,kyle kuzma,talen horton-tucker,alfonzo mckinnie","shai gilgeous-alexander,luguentz dort,darius bazley,isaiah roby,theo maledon,aleksej pokusevski,hamidou diallo,mike muscala,kenrich williams,josh hall,moses brown,justin jackson"
2021-01-15,32.88,1,3.0,11.0,0.273,0.0,5.0,0.0,2.0,4.0,0.5,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,8.0,20.0,0.313,0.273,0.455,0.364,3.0,3.5,3.2,11.2,0.0,0.0,0.0,16.3,81.0,116.0,-11.1,"coby white,zach lavine,patrick williams,lauri markkanen,wendell carter jr.,otto porter jr.,garrett temple,denzel valentine,thaddeus young","shai gilgeous-alexander,luguentz dort,darius bazley,isaiah roby,kenrich williams,mike muscala,theo maledon,hamidou diallo,aleksej pokusevski"
2021-01-19,21.98,0,2.0,5.0,0.4,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,-12.0,0.6,0.6,0.6,0.0,0.0,0.0,0.0,13.8,0.0,0.0,16.7,11.4,106.0,127.0,-6.0,"nikola jokic,gary harris,will barton,jamal murray,monte morris,pj dozier,facundo campazzo,jamychal green,isaiah hartenstein,r.j. hampton,bol bol,zeke nnaji,vlatko cancar","shai gilgeous-alexander,isaiah roby,luguentz dort,darius bazley,aleksej pokusevski,theo maledon,hamidou diallo,mike muscala,josh hall,justin jackson,kenrich williams,moses brown"
