date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,8.52,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,108.0,-16.6,"cj mccollum,damian lillard,derrick jones jr.,jusuf nurkic,robert covington,gary trent jr.,cj elleby","bojan bogdanovic,donovan mitchell,mike conley,rudy gobert,royce o'neale,joe ingles,jordan clarkson,derrick favors,miye oni,udoka azubuike,elijah hughes,juwan morgan,shaquille harrison"
2020-12-26,4.05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,25.2,23.7,24.4,0.0,0.0,0.0,0.0,0.0,222.0,114.0,-3.5,"malik beasley,d'angelo russell,josh okogie,karl-anthony towns,jake layman,ricky rubio,anthony edwards,jarrett culver,naz reid,juancho hernangomez","donovan mitchell,royce o'neale,bojan bogdanovic,mike conley,rudy gobert,joe ingles,jordan clarkson,derrick favors,juwan morgan"
2020-12-28,8.38,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,13.6,7.2,0.0,0.0,0.0,0.0,10.6,0.0,116.0,-18.0,"shai gilgeous-alexander,darius bazley,luguentz dort,al horford,george hill,hamidou diallo,theo maledon,mike muscala,aleksej pokusevski,kenrich williams","rudy gobert,donovan mitchell,bojan bogdanovic,royce o'neale,mike conley,jordan clarkson,joe ingles,derrick favors,miye oni"
2020-12-31,6.0,1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,118.0,-21.2,"jae crowder,mikal bridges,devin booker,chris paul,deandre ayton,cameron payne,dario saric,cameron johnson,jevon carter,langston galloway,frank kaminsky","donovan mitchell,mike conley,royce o'neale,rudy gobert,bojan bogdanovic,joe ingles,jordan clarkson,derrick favors"
2021-01-01,2.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.8,0.0,0.0,0.0,0.0,237.0,121.0,13.2,"kawhi leonard,paul george,nicolas batum,serge ibaka,patrick beverley,luke kennard,ivica zubac,terance mann,reggie jackson,amir coffey","donovan mitchell,mike conley,royce o'neale,bojan bogdanovic,rudy gobert,joe ingles,derrick favors,jordan clarkson"
2021-01-03,13.35,0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,14.0,0.333,0.333,0.667,0.0,0.0,34.8,21.2,0.0,0.0,0.0,0.0,9.3,71.0,100.0,-7.7,"keldon johnson,demar derozan,dejounte murray,jakob poeltl,lonnie walker iv,rudy gay,devin vassell,patty mills,trey lyles,drew eubanks,tre jones,luka samanic","royce o'neale,donovan mitchell,rudy gobert,bojan bogdanovic,mike conley,jordan clarkson,joe ingles,derrick favors,miye oni,shaquille harrison,udoka azubuike,elijah hughes,juwan morgan"
2021-01-05,7.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,16.9,7.3,0.0,0.0,0.0,100.0,6.0,0.0,131.0,-13.8,"jarrett allen,kyrie irving,bruce brown,taurean prince,jeff green,timothe luwawu-cabarrot,joe harris,caris levert,deandre jordan,reggie perry,landry shamet,chris chiozza","donovan mitchell,rudy gobert,mike conley,bojan bogdanovic,royce o'neale,joe ingles,jordan clarkson,derrick favors,miye oni,elijah hughes,udoka azubuike,trent forrest,shaquille harrison"
2021-01-06,11.7,0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,6.0,8.0,1.5,1.5,1.0,0.0,8.7,9.5,9.1,12.9,0.0,0.0,0.0,7.5,279.0,122.0,15.3,"elfrid payton,mitchell robinson,julius randle,rj barrett,reggie bullock,austin rivers,kevin knox,immanuel quickley","donovan mitchell,rudy gobert,royce o'neale,mike conley,bojan bogdanovic,joe ingles,jordan clarkson,derrick favors"
2021-01-08,13.8,0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.5,0.5,1.0,0.0,0.0,14.2,7.3,0.0,3.3,0.0,0.0,9.3,100.0,111.0,-1.7,"khris middleton,jrue holiday,giannis antetokounmpo,brook lopez,donte divincenzo,bobby portis,bryn forbes,thanasis antetokounmpo,jordan nwora,sam merrill","royce o'neale,rudy gobert,donovan mitchell,bojan bogdanovic,mike conley,jordan clarkson,derrick favors,miye oni,udoka azubuike,trent forrest,shaquille harrison,elijah hughes"
2021-01-10,11.13,0,1.0,5.0,0.2,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-2.0,0.2,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,52.0,107.0,-18.1,"jerami grant,delon wright,blake griffin,mason plumlee,josh jackson,saddiq bey,svi mykhailiuk,isaiah stewart,frank jackson,jahlil okafor,sekou doumbouya","donovan mitchell,rudy gobert,royce o'neale,mike conley,bojan bogdanovic,jordan clarkson,joe ingles,derrick favors"
