date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-29,28.1,1,9.0,12.0,0.75,1.0,2.0,0.5,0.0,3.0,0.0,4.0,3.0,7.0,0.0,1.0,2.0,1.0,4.0,19.0,-13.0,0.713,0.792,0.167,0.25,15.5,10.5,12.9,0.0,1.7,4.6,7.0,21.2,134.0,112.0,5.8,"nikola vucevic,evan fournier,markelle fultz,aaron gordon,terrence ross,michael carter-williams,chuma okeke,cole anthony,khem birch","shai gilgeous-alexander,justin jackson,luguentz dort,darius bazley,hamidou diallo,theo maledon,mike muscala,aleksej pokusevski,kenrich williams,josh hall"
2020-12-31,18.28,1,3.0,5.0,0.6,0.0,2.0,0.0,1.0,4.0,0.25,2.0,4.0,6.0,0.0,0.0,0.0,2.0,3.0,7.0,-18.0,0.518,0.6,0.4,0.8,10.3,22.3,16.1,0.0,0.0,0.0,22.8,21.8,79.0,116.0,-10.8,"lonzo ball,steven adams,brandon ingram,zion williamson,josh hart,nickeil alexander-walker,jaxson hayes,kira lewis jr.","shai gilgeous-alexander,darius bazley,al horford,george hill,luguentz dort,theo maledon,aleksej pokusevski,hamidou diallo,mike muscala,josh hall,kenrich williams,moses brown"
2021-01-04,24.1,0,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,-20.0,0.3,0.3,0.6,0.0,4.1,5.5,4.7,14.7,0.0,4.2,16.7,11.3,71.0,122.0,-8.0,"duncan robinson,tyler herro,bam adebayo,kelly olynyk,jimmy butler,goran dragic,precious achiuwa,andre iguodala,kendrick nunn,kz okpala,maurice harkless,chris silva","shai gilgeous-alexander,darius bazley,luguentz dort,george hill,al horford,justin jackson,theo maledon,hamidou diallo,mike muscala,kenrich williams,josh hall,moses brown"
2021-01-06,10.72,0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,5.0,-3.0,1.25,1.25,0.5,0.0,9.5,10.4,10.0,0.0,0.0,0.0,50.0,16.6,95.0,113.0,-5.3,"brandon ingram,lonzo ball,steven adams,zion williamson,josh hart,nickeil alexander-walker,jaxson hayes","shai gilgeous-alexander,darius bazley,luguentz dort,george hill,al horford,mike muscala,hamidou diallo,theo maledon,kenrich williams"
2021-01-08,4.15,0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.064,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,227.0,103.0,18.5,"rj barrett,julius randle,elfrid payton,mitchell robinson,reggie bullock,austin rivers,kevin knox,immanuel quickley,nerlens noel","shai gilgeous-alexander,luguentz dort,al horford,george hill,darius bazley,hamidou diallo,theo maledon,aleksej pokusevski,mike muscala,kenrich williams"
2021-01-10,19.28,0,5.0,7.0,0.714,2.0,4.0,0.5,1.0,1.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,13.0,8.0,0.874,0.857,0.571,0.143,0.0,33.6,16.2,0.0,0.0,0.0,11.8,19.5,141.0,116.0,1.6,"kevin durant,caris levert,jarrett allen,joe harris,jeff green,taurean prince,timothe luwawu-cabarrot,landry shamet,deandre jordan,bruce brown","shai gilgeous-alexander,darius bazley,george hill,al horford,luguentz dort,hamidou diallo,theo maledon,aleksej pokusevski,kenrich williams,moses brown"
2021-01-12,13.57,1,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,2.0,4.0,6.0,1.0,0.0,1.0,0.0,2.0,4.0,-9.0,0.515,0.333,0.0,0.667,15.4,27.2,21.7,10.9,0.0,5.9,0.0,12.6,134.0,106.0,2.6,"keldon johnson,lonnie walker iv,dejounte murray,trey lyles,patty mills,devin vassell,rudy gay,jakob poeltl","shai gilgeous-alexander,darius bazley,al horford,george hill,luguentz dort,hamidou diallo,mike muscala,aleksej pokusevski,theo maledon,justin jackson,kenrich williams"
2021-01-13,24.15,1,4.0,7.0,0.571,0.0,0.0,0.0,3.0,4.0,0.75,2.0,7.0,9.0,4.0,0.0,0.0,2.0,2.0,11.0,-9.0,0.628,0.571,0.0,0.571,8.5,30.9,19.4,27.4,0.0,0.0,18.6,20.3,119.0,130.0,-0.1,"dennis schroder,lebron james,anthony davis,kentavious caldwell-pope,montrezl harrell,markieff morris,alex caruso,kyle kuzma,talen horton-tucker,alfonzo mckinnie","shai gilgeous-alexander,luguentz dort,darius bazley,george hill,theo maledon,aleksej pokusevski,hamidou diallo,mike muscala,kenrich williams,josh hall,moses brown,justin jackson"
2021-01-15,25.68,1,6.0,12.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,0.0,4.0,4.0,3.0,0.0,0.0,0.0,6.0,14.0,3.0,0.543,0.542,0.25,0.167,0.0,17.9,8.3,17.4,0.0,0.0,0.0,21.0,115.0,112.0,-2.5,"coby white,zach lavine,patrick williams,lauri markkanen,wendell carter jr.,otto porter jr.,garrett temple,denzel valentine,thaddeus young","shai gilgeous-alexander,luguentz dort,george hill,darius bazley,kenrich williams,mike muscala,theo maledon,hamidou diallo,aleksej pokusevski"
2021-01-19,26.18,0,3.0,9.0,0.333,1.0,3.0,0.333,3.0,3.0,1.0,6.0,3.0,9.0,3.0,4.0,0.0,3.0,3.0,10.0,-18.0,0.484,0.389,0.333,0.333,22.4,11.0,16.7,18.0,7.1,0.0,22.5,21.2,103.0,105.0,2.6,"nikola jokic,gary harris,will barton,jamal murray,monte morris,pj dozier,facundo campazzo,jamychal green,isaiah hartenstein,r.j. hampton,bol bol,zeke nnaji,vlatko cancar","shai gilgeous-alexander,luguentz dort,darius bazley,george hill,aleksej pokusevski,theo maledon,hamidou diallo,mike muscala,josh hall,justin jackson,kenrich williams,moses brown"
