date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,35.17,1,18.0,27.0,0.667,1.0,2.0,0.5,7.0,8.0,0.875,0.0,2.0,2.0,9.0,2.0,1.0,1.0,1.0,44.0,10.0,0.721,0.685,0.074,0.296,0.0,6.1,3.0,50.3,2.5,1.9,3.2,37.8,145.0,121.0,18.8,"demar derozan,lonnie walker iv,keldon johnson,dejounte murray,rudy gay,devin vassell,patty mills,jakob poeltl","dillon brooks,jonas valanciunas,kyle anderson,grayson allen,brandon clarke,de'anthony melton,tyus jones,gorgui dieng,desmond bane"
2020-12-26,33.52,1,10.0,21.0,0.476,2.0,7.0,0.286,6.0,8.0,0.75,1.0,2.0,3.0,7.0,0.0,1.0,2.0,4.0,28.0,-2.0,0.571,0.524,0.333,0.381,2.9,5.7,4.3,44.2,0.0,2.7,7.5,32.8,118.0,122.0,5.5,"trae young,de'andre hunter,cam reddish,bogdan bogdanovic,john collins,kevin huerter,bruno fernando,brandon goodwin,nathan knight","kyle anderson,dillon brooks,grayson allen,jonas valanciunas,desmond bane,brandon clarke,tyus jones,john konchar,gorgui dieng"
2020-12-28,12.6,0,2.0,7.0,0.286,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,4.0,1.0,7.0,4.0,0.421,0.286,0.0,0.429,7.9,7.9,7.9,37.6,0.0,0.0,32.5,39.9,75.0,110.0,-13.1,"joe harris,timothe luwawu-cabarrot,caris levert,deandre jordan,taurean prince,chris chiozza,landry shamet,jeff green,jarrett allen","jonas valanciunas,kyle anderson,dillon brooks,grayson allen,tyus jones,brandon clarke,desmond bane,john konchar,gorgui dieng"
2021-01-16,30.7,1,7.0,14.0,0.5,0.0,3.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,6.0,1.0,0.0,3.0,4.0,17.0,6.0,0.539,0.5,0.214,0.286,0.0,0.0,0.0,29.3,1.5,0.0,16.0,24.9,101.0,109.0,-2.4,"ben simmons,danny green,tobias harris,tyrese maxey,shake milton,matisse thybulle,isaiah joe,tony bradley","kyle anderson,brandon clarke,dillon brooks,jonas valanciunas,xavier tillman sr.,grayson allen,desmond bane,tyus jones,de'anthony melton"
2021-01-18,34.05,1,5.0,10.0,0.5,1.0,2.0,0.5,6.0,8.0,0.75,0.0,3.0,3.0,10.0,2.0,1.0,4.0,1.0,17.0,-11.0,0.629,0.55,0.2,0.8,0.0,9.8,5.0,41.5,2.9,2.7,22.8,23.1,117.0,108.0,5.1,"devin booker,deandre ayton,chris paul,mikal bridges,cameron johnson,jae crowder,jevon carter,cameron payne,frank kaminsky,langston galloway","brandon clarke,xavier tillman sr.,kyle anderson,dillon brooks,grayson allen,tyus jones,desmond bane,gorgui dieng,john konchar"
2021-01-30,27.6,0,8.0,14.0,0.571,1.0,5.0,0.2,2.0,3.0,0.667,1.0,1.0,2.0,11.0,0.0,0.0,5.0,1.0,19.0,9.0,0.62,0.607,0.357,0.214,4.3,4.0,4.2,51.6,0.0,0.0,24.6,31.7,118.0,121.0,0.0,"dejounte murray,lonnie walker iv,demar derozan,keldon johnson,rudy gay,derrick white,patty mills,jakob poeltl,trey lyles,devin vassell,drew eubanks,tre jones,quinndary weatherspoon,keita bates-diop","dillon brooks,brandon clarke,xavier tillman sr.,kyle anderson,de'anthony melton,gorgui dieng,tyus jones,desmond bane,john konchar"
2021-02-01,21.55,0,5.0,9.0,0.556,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,8.0,2.0,0.0,4.0,1.0,13.0,7.0,0.658,0.611,0.111,0.222,5.3,8.4,7.0,43.6,4.5,0.0,28.8,28.1,117.0,102.0,3.9,"keldon johnson,demar derozan,dejounte murray,lonnie walker iv,patty mills,derrick white,jakob poeltl,rudy gay,devin vassell,drew eubanks,trey lyles,keita bates-diop,quinndary weatherspoon","kyle anderson,xavier tillman sr.,dillon brooks,brandon clarke,tyus jones,de'anthony melton,desmond bane,gorgui dieng,john konchar"
2021-02-02,28.58,0,2.0,10.0,0.2,0.0,1.0,0.0,6.0,6.0,1.0,0.0,1.0,1.0,5.0,2.0,1.0,4.0,1.0,10.0,-24.0,0.396,0.2,0.1,0.6,0.0,4.8,2.2,21.7,3.2,3.2,24.0,23.4,78.0,128.0,-8.7,"domantas sabonis,myles turner,justin holiday,malcolm brogdon,jeremy lamb,t.j. mcconnell,doug mcdermott,aaron holiday,goga bitadze,kelan martin,edmond sumner","dillon brooks,brandon clarke,xavier tillman sr.,kyle anderson,desmond bane,gorgui dieng,de'anthony melton,tyus jones,john konchar"
2021-02-04,28.65,1,6.0,15.0,0.4,1.0,5.0,0.2,2.0,5.0,0.4,0.0,3.0,3.0,4.0,2.0,0.0,2.0,2.0,15.0,-32.0,0.436,0.433,0.333,0.333,0.0,12.6,5.8,24.9,3.4,0.0,10.4,29.1,87.0,117.0,-6.2,"p.j. tucker,eric gordon,jae'sean tate,john wall,christian wood,danuel house jr.,sterling brown,demarcus cousins,mason jones","dillon brooks,brandon clarke,kyle anderson,xavier tillman sr.,desmond bane,de'anthony melton,gorgui dieng,tyus jones,john konchar"
2021-02-06,31.07,0,5.0,14.0,0.357,1.0,5.0,0.2,5.0,6.0,0.833,0.0,3.0,3.0,9.0,0.0,0.0,1.0,0.0,16.0,-25.0,0.481,0.393,0.357,0.429,0.0,11.0,5.3,43.1,0.0,0.0,5.7,25.4,117.0,131.0,-0.2,"brandon ingram,zion williamson,lonzo ball,steven adams,josh hart,kira lewis jr.,willy hernangomez","kyle anderson,xavier tillman sr.,dillon brooks,gorgui dieng,jonas valanciunas,grayson allen,tyus jones,desmond bane,de'anthony melton"
