date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2022-10-19,32.9,0,6.0,17.0,0.353,3.0,11.0,0.273,2.0,2.0,1.0,1.0,6.0,7.0,1.0,0.0,0.0,0.0,4.0,17.0,-9.0,0.475,0.441,0.647,0.118,3.0,20.4,11.1,4.4,0.0,0.0,0.0,21.8,110.0,116.0,-3.7,"dejounte murray,trae young,john collins,de'andre hunter,clint capela,onyeka okongwu,justin holiday,aaron holiday,jalen johnson","kevin porter jr.,jalen green,eric gordon,bruno fernando,kenyon martin jr.,alperen sengun,tari eason,garrison mathews,josh christopher"
2022-10-21,34.58,1,3.0,14.0,0.214,2.0,8.0,0.25,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,5.0,10.0,-31.0,0.336,0.286,0.571,0.143,3.0,0.0,1.5,3.5,0.0,5.0,0.0,17.2,87.0,131.0,-9.9,"desmond bane,steven adams,ja morant,santi aldama,john konchar,david roddy,tyus jones,jake laravia,brandon clarke,xavier tillman sr.","eric gordon,jalen green,kevin porter jr.,bruno fernando,alperen sengun,kenyon martin jr.,tari eason,garrison mathews,josh christopher"
2022-10-22,27.6,0,5.0,15.0,0.333,3.0,7.0,0.429,0.0,0.0,0.0,2.0,9.0,11.0,1.0,0.0,2.0,0.0,3.0,13.0,-11.0,0.433,0.433,0.467,0.0,6.4,39.1,20.4,6.4,0.0,6.4,0.0,22.7,102.0,122.0,-2.8,"jrue holiday,brook lopez,grayson allen,giannis antetokounmpo,jevon carter,george hill,bobby portis,jordan nwora,serge ibaka,wesley matthews,marjon beauchamp,a.j. green,sandro mamukelashvili,thanasis antetokounmpo","kevin porter jr.,jalen green,kenyon martin jr.,usman garuba,alperen sengun,tari eason,josh christopher,daishen nix,garrison mathews,trevor hudgins,boban marjanovic"
2022-10-24,33.85,1,6.0,10.0,0.6,3.0,5.0,0.6,6.0,6.0,1.0,3.0,6.0,9.0,2.0,0.0,3.0,1.0,5.0,21.0,2.0,0.831,0.75,0.5,0.6,8.9,17.7,13.3,9.6,0.0,7.0,7.3,16.2,171.0,107.0,10.7,"jarred vanderbilt,lauri markkanen,jordan clarkson,mike conley,kelly olynyk,malik beasley,talen horton-tucker,simone fontecchio,collin sexton,rudy gay,walker kessler,nickeil alexander-walker","jalen green,kevin porter jr.,kenyon martin jr.,eric gordon,daishen nix,tari eason,garrison mathews,usman garuba,josh christopher,boban marjanovic"
2022-10-26,32.22,0,3.0,10.0,0.3,2.0,6.0,0.333,2.0,4.0,0.5,1.0,8.0,9.0,0.0,1.0,0.0,2.0,4.0,10.0,-3.0,0.425,0.4,0.6,0.4,2.7,25.9,13.1,0.0,1.4,0.0,14.5,16.6,79.0,101.0,-5.6,"lauri markkanen,kelly olynyk,jordan clarkson,mike conley,jarred vanderbilt,malik beasley,talen horton-tucker,rudy gay,walker kessler,collin sexton,simone fontecchio","jalen green,kevin porter jr.,eric gordon,jae'sean tate,kenyon martin jr.,tari eason,garrison mathews,daishen nix,usman garuba,boban marjanovic"
2022-10-28,32.22,0,4.0,13.0,0.308,2.0,5.0,0.4,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,12.0,-10.0,0.432,0.385,0.385,0.154,0.0,8.1,3.5,4.4,1.5,2.7,6.7,18.7,91.0,127.0,-10.1,"anfernee simons,jerami grant,josh hart,jusuf nurkic,shaedon sharpe,justise winslow,keon johnson,nassir little,drew eubanks,greg brown iii,jabari walker","kevin porter jr.,eric gordon,jalen green,alperen sengun,jae'sean tate,kenyon martin jr.,tari eason,garrison mathews,daishen nix,usman garuba,josh christopher"
2022-10-30,25.05,0,2.0,8.0,0.25,2.0,6.0,0.333,2.0,2.0,1.0,0.0,7.0,7.0,0.0,0.0,1.0,2.0,3.0,8.0,-13.0,0.45,0.375,0.75,0.25,0.0,31.9,15.8,0.0,0.0,4.4,18.4,18.4,87.0,128.0,-9.0,"devin booker,mikal bridges,cameron johnson,chris paul,bismack biyombo,jock landale,torrey craig,cameron payne,landry shamet,damion lee,josh okogie,duane washington jr.","kevin porter jr.,jalen green,jae'sean tate,alperen sengun,kenyon martin jr.,garrison mathews,josh christopher,usman garuba,daishen nix,tari eason"
2022-10-31,30.32,0,2.0,8.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,1.0,2.0,2.0,4.0,-2.0,0.25,0.25,0.375,0.0,3.5,14.1,8.8,5.1,0.0,3.1,20.0,14.2,50.0,101.0,-11.7,"paul george,marcus morris,luke kennard,ivica zubac,reggie jackson,norman powell,nicolas batum,terance mann,amir coffey,brandon boston jr.","jalen green,kevin porter jr.,eric gordon,alperen sengun,kenyon martin jr.,garrison mathews,tari eason,usman garuba,daishen nix,josh christopher"
2022-11-02,26.85,1,1.0,10.0,0.1,0.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,2.0,2.0,2.0,-6.0,0.1,0.1,0.5,0.0,3.6,12.5,7.7,0.0,0.0,3.5,16.7,18.5,25.0,116.0,-20.7,"paul george,marcus morris,reggie jackson,ivica zubac,luke kennard,norman powell,john wall,terance mann,nicolas batum,moses brown,amir coffey","kevin porter jr.,alperen sengun,eric gordon,jalen green,daishen nix,kenyon martin jr.,tari eason,usman garuba,garrison mathews"
2022-11-07,21.88,0,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,3.0,-4.0,0.375,0.375,1.0,0.0,0.0,5.9,2.8,5.0,0.0,0.0,42.9,13.0,53.0,132.0,-18.0,"paolo banchero,jalen suggs,franz wagner,wendell carter jr.,bol bol,terrence ross,mo bamba,chuma okeke,kevon harris,caleb houstan","kevin porter jr.,jalen green,eric gordon,alperen sengun,kenyon martin jr.,tari eason,usman garuba,daishen nix,garrison mathews"
2022-11-09,30.73,0,4.0,11.0,0.364,2.0,8.0,0.25,5.0,6.0,0.833,2.0,8.0,10.0,0.0,0.0,0.0,1.0,4.0,15.0,-19.0,0.55,0.455,0.727,0.545,7.1,22.7,15.8,0.0,0.0,0.0,6.8,20.1,119.0,119.0,-6.6,"og anunoby,fred vanvleet,scottie barnes,gary trent jr.,christian koloko,thaddeus young,otto porter jr.,chris boucher,precious achiuwa,dalano banton","jalen green,kevin porter jr.,alperen sengun,eric gordon,kenyon martin jr.,tari eason,usman garuba,daishen nix,garrison mathews"
2022-11-12,27.75,0,4.0,10.0,0.4,0.0,2.0,0.0,1.0,2.0,0.5,6.0,9.0,15.0,2.0,0.0,2.0,1.0,4.0,9.0,-21.0,0.414,0.4,0.2,0.2,30.5,34.6,32.8,10.5,0.0,6.1,8.4,18.2,110.0,115.0,-1.8,"brandon ingram,cj mccollum,zion williamson,jonas valanciunas,herbert jones,larry nance jr.,jose alvarado,trey murphy iii,naji marshall,devonte' graham,dyson daniels","jalen green,kevin porter jr.,eric gordon,alperen sengun,kenyon martin jr.,usman garuba,tari eason,daishen nix,josh christopher,boban marjanovic"
2022-11-14,28.52,1,2.0,6.0,0.333,2.0,4.0,0.5,1.0,2.0,0.5,1.0,5.0,6.0,1.0,3.0,0.0,0.0,3.0,7.0,-14.0,0.509,0.5,0.667,0.333,3.7,21.6,12.0,4.7,5.0,0.0,0.0,10.2,117.0,114.0,0.0,"paul george,luke kennard,ivica zubac,marcus morris,reggie jackson,terance mann,norman powell,nicolas batum,amir coffey,robert covington,moses brown","jalen green,kevin porter jr.,alperen sengun,eric gordon,kenyon martin jr.,usman garuba,daishen nix,tari eason,josh christopher,tyty washington jr.,garrison mathews,boban marjanovic"
2022-11-16,30.13,0,3.0,10.0,0.3,2.0,5.0,0.4,2.0,2.0,1.0,1.0,8.0,9.0,0.0,0.0,2.0,0.0,4.0,10.0,-3.0,0.46,0.4,0.5,0.2,4.7,21.2,15.3,0.0,0.0,6.8,0.0,16.4,106.0,95.0,-4.3,"dorian finney-smith,reggie bullock,spencer dinwiddie,dwight powell,josh green,tim hardaway jr.,christian wood,facundo campazzo,frank ntilikina,davis bertans","kevin porter jr.,jalen green,eric gordon,alperen sengun,kenyon martin jr.,usman garuba,tari eason,daishen nix,josh christopher"
2022-11-18,36.37,1,4.0,14.0,0.286,2.0,8.0,0.25,2.0,2.0,1.0,1.0,7.0,8.0,1.0,0.0,2.0,2.0,4.0,12.0,-2.0,0.403,0.357,0.571,0.143,2.8,19.7,11.2,5.6,0.0,6.4,11.8,19.0,83.0,103.0,-4.3,"tyrese haliburton,buddy hield,jalen smith,myles turner,andrew nembhard,bennedict mathurin,oshae brissett,isaiah jackson,t.j. mcconnell,aaron nesmith,goga bitadze,james johnson","eric gordon,jalen green,alperen sengun,kenyon martin jr.,daishen nix,usman garuba,tari eason,garrison mathews,josh christopher"
2022-11-20,32.38,1,8.0,14.0,0.571,3.0,9.0,0.333,3.0,4.0,0.75,1.0,6.0,7.0,1.0,0.0,0.0,2.0,2.0,22.0,-14.0,0.698,0.679,0.643,0.286,3.4,21.7,12.2,5.1,0.0,0.0,11.3,23.1,126.0,133.0,-1.5,"stephen curry,andrew wiggins,klay thompson,draymond green,kevon looney,jordan poole,donte divincenzo,jamychal green,jonathan kuminga,moses moody,anthony lamb","jalen green,kevin porter jr.,eric gordon,alperen sengun,kenyon martin jr.,tari eason,usman garuba,daishen nix"
2022-11-25,38.05,1,6.0,17.0,0.353,5.0,11.0,0.455,4.0,4.0,1.0,2.0,7.0,9.0,1.0,1.0,1.0,0.0,3.0,21.0,14.0,0.56,0.5,0.647,0.235,5.7,20.5,13.0,3.8,1.2,2.9,0.0,18.8,153.0,120.0,1.4,"de'andre hunter,trae young,dejounte murray,john collins,onyeka okongwu,aj griffin,aaron holiday,jalen johnson,frank kaminsky,justin holiday","kevin porter jr.,kenyon martin jr.,jalen green,bruno fernando,garrison mathews,usman garuba,tari eason,daishen nix,josh christopher"
2022-11-26,31.42,1,5.0,11.0,0.455,3.0,8.0,0.375,2.0,2.0,1.0,2.0,11.0,13.0,0.0,0.0,1.0,1.0,1.0,15.0,23.0,0.631,0.591,0.727,0.182,8.5,29.0,21.1,0.0,0.0,2.9,7.8,16.9,129.0,98.0,1.8,"jalen williams,josh giddey,shai gilgeous-alexander,luguentz dort,aleksej pokusevski,tre mann,jeremiah robinson-earl,aaron wiggins,ousmane dieng,kenrich williams,isaiah joe,darius bazley","alperen sengun,jalen green,kevin porter jr.,eric gordon,garrison mathews,tari eason,daishen nix,kenyon martin jr.,usman garuba,josh christopher"
2022-11-28,17.43,0,3.0,4.0,0.75,3.0,4.0,0.75,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,3.0,9.0,-2.0,1.125,1.125,1.0,0.0,6.6,14.5,10.3,9.0,0.0,0.0,20.0,12.2,160.0,135.0,5.6,"bruce brown,nikola jokic,jamal murray,kentavious caldwell-pope,aaron gordon,ish smith,davon reed,vlatko cancar,deandre jordan,zeke nnaji,christian braun,jack white","jalen green,kevin porter jr.,eric gordon,alperen sengun,kenyon martin jr.,tari eason,daishen nix,garrison mathews,usman garuba,bruno fernando,josh christopher,boban marjanovic"
