date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2022-10-22,6.27,1,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.667,0.0,0.0,17.8,9.5,0.0,0.0,0.0,40.0,31.7,0.0,102.0,-39.9,"ja morant,desmond bane,steven adams,santi aldama,john konchar,tyus jones,david roddy,jake laravia,brandon clarke,xavier tillman sr.,kenneth lofton jr.,kennedy chandler,vince williams jr.","luka doncic,spencer dinwiddie,dorian finney-smith,reggie bullock,javale mcgee,tim hardaway jr.,christian wood,maxi kleber,josh green,dwight powell,theo pinson,mckinley wright iv,tyler dorsey"
2022-10-29,3.72,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,14.9,37.5,0.0,0.0,0.0,22.6,27.0,109.0,-23.0,"shai gilgeous-alexander,luguentz dort,aaron wiggins,tre mann,aleksej pokusevski,jalen williams,darius bazley,kenrich williams,mike muscala,eugene omoruyi,isaiah joe,jeremiah robinson-earl","luka doncic,reggie bullock,spencer dinwiddie,dorian finney-smith,dwight powell,christian wood,maxi kleber,tim hardaway jr.,josh green"
2022-11-10,0.17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,-10.9,"kyle kuzma,deni avdija,corey kispert,monte morris,anthony gill,will barton,jordan goodwin,rui hachimura,daniel gafford","luka doncic,spencer dinwiddie,dorian finney-smith,reggie bullock,dwight powell,tim hardaway jr.,maxi kleber,josh green,javale mcgee,frank ntilikina,facundo campazzo,theo pinson"
2022-12-03,6.57,0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,-8.0,0.5,0.5,0.6,0.0,0.0,17.0,7.7,0.0,0.0,0.0,0.0,31.2,100.0,104.0,-5.2,"julius randle,quentin grimes,jalen brunson,mitchell robinson,rj barrett,immanuel quickley,obi toppin,derrick rose,isaiah hartenstein,cam reddish,jericho sims,svi mykhailiuk,miles mcbride","dorian finney-smith,spencer dinwiddie,luka doncic,tim hardaway jr.,dwight powell,josh green,reggie bullock,maxi kleber,davis bertans,frank ntilikina,theo pinson,javale mcgee"
2022-12-05,2.42,1,4.0,5.0,0.8,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,-2.0,0.85,0.8,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,179.0,123.0,36.8,"cameron payne,devin booker,mikal bridges,deandre ayton,ish wainright,josh okogie,damion lee,landry shamet,dario saric,bismack biyombo,jock landale","luka doncic,spencer dinwiddie,dorian finney-smith,tim hardaway jr.,dwight powell,josh green,christian wood,maxi kleber,reggie bullock,frank ntilikina,davis bertans,theo pinson"
2022-12-10,22.92,0,5.0,13.0,0.385,0.0,4.0,0.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,15.0,-19.0,0.493,0.385,0.308,0.385,0.0,6.3,2.6,6.9,2.1,4.1,6.2,31.0,98.0,141.0,-8.5,"demar derozan,patrick williams,zach lavine,nikola vucevic,alex caruso,ayo dosunmu,coby white,derrick jones jr.,andre drummond,goran dragic,tony bradley,dalen terry","spencer dinwiddie,christian wood,tim hardaway jr.,dorian finney-smith,dwight powell,frank ntilikina,reggie bullock,kemba walker,javale mcgee,davis bertans,theo pinson"
2022-12-14,2.57,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,58.4,24.6,0.0,0.0,0.0,0.0,38.4,0.0,118.0,-35.4,"lamar stevens,donovan mitchell,jarrett allen,evan mobley,darius garland,caris levert,kevin love,isaac okoro,robin lopez,isaiah mobley,raul neto","luka doncic,spencer dinwiddie,tim hardaway jr.,dorian finney-smith,dwight powell,reggie bullock,christian wood,frank ntilikina,davis bertans,theo pinson,tyler dorsey,mckinley wright iv"
2022-12-16,6.67,1,3.0,5.0,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,-5.0,0.6,0.6,0.4,0.0,0.0,15.3,8.8,0.0,0.0,0.0,0.0,34.5,107.0,113.0,-8.3,"damian lillard,anfernee simons,josh hart,jusuf nurkic,jerami grant,shaedon sharpe,trendon watford,keon johnson,justise winslow,drew eubanks,greg brown iii,jabari walker","luka doncic,dorian finney-smith,tim hardaway jr.,spencer dinwiddie,dwight powell,christian wood,reggie bullock,frank ntilikina,kemba walker,javale mcgee,theo pinson"
2022-12-17,12.75,0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,-11.0,0.17,0.0,0.2,0.4,0.0,17.0,8.7,11.5,0.0,7.2,0.0,22.8,46.0,97.0,-10.9,"darius garland,donovan mitchell,jarrett allen,evan mobley,isaac okoro,caris levert,cedi osman,kevin love,raul neto","reggie bullock,tim hardaway jr.,christian wood,kemba walker,dorian finney-smith,frank ntilikina,theo pinson,javale mcgee"
2022-12-25,1.4,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,0.0,131.0,-42.9,"lebron james,patrick beverley,lonnie walker iv,dennis schroder,thomas bryant,austin reaves,russell westbrook,troy brown jr.,wenyen gabriel,max christie,kendrick nunn,damian jones","spencer dinwiddie,luka doncic,tim hardaway jr.,christian wood,reggie bullock,dwight powell,mckinley wright iv,davis bertans,theo pinson,tyler dorsey"
2022-12-29,12.1,1,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,-7.0,0.5,0.5,1.0,0.0,0.0,23.8,12.9,0.0,0.0,0.0,25.0,14.4,68.0,114.0,-15.5,"kevin porter jr.,jalen green,jabari smith jr.,eric gordon,alperen sengun,usman garuba,tari eason,kenyon martin jr.,garrison mathews,tyty washington jr.,bruno fernando,daishen nix,boban marjanovic","spencer dinwiddie,luka doncic,tim hardaway jr.,christian wood,frank ntilikina,mckinley wright iv,dwight powell,davis bertans,kemba walker,javale mcgee,theo pinson,a.j. lawson"
2023-01-05,15.08,1,5.0,8.0,0.625,3.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,15.0,-7.0,0.845,0.813,0.375,0.25,0.0,15.5,6.8,35.2,0.0,0.0,0.0,25.2,172.0,130.0,23.3,"jayson tatum,marcus smart,jaylen brown,al horford,derrick white,grant williams,malcolm brogdon,robert williams,sam hauser,luke kornet,justin jackson,payton pritchard,blake griffin","spencer dinwiddie,reggie bullock,tim hardaway jr.,luka doncic,christian wood,dwight powell,davis bertans,mckinley wright iv,frank ntilikina,theo pinson,javale mcgee,a.j. lawson,kemba walker"
